Reference Name	Text	Font
01872a1a	Shunsuke Saito	[0, 14, 'GillSansStd-UltraBold']
02a8e053	Lead Programmer	[0, 15, 'HelveticaNeueLTStd-Th']
082b55d7	Misai	[0, 5, 'HelveticaNeueLTStd-Th']
0b26dfdb	Bulbosa / Yuri	[0, 14, 'HelveticaNeueLTStd-Th']
0d3655de	Elektricitie	[0, 12, 'HelveticaNeueLTStd-Th']
0f019c40	Lead Technical Artist (Environment)	[0, 35, 'HelveticaNeueLTStd-Th']
10d6be9a	Airi Ohtsu	[0, 10, 'GillSansStd-UltraBold']
133e9e3f	Sound Director	[0, 14, 'HelveticaNeueLTStd-Th']
14dd2725	Masafumi Kimura	[0, 15, 'GillSansStd-UltraBold']
15e1bea1	Ayumu Murase	[0, 12, 'GillSansStd-UltraBold']
17aeedf7	Yoshio Namiki	[0, 13, 'GillSansStd-UltraBold']
20db52cc	Lisa	[0, 4, 'HelveticaNeueLTStd-Th']
216db72c	Makoto Tsumura	[0, 14, 'GillSansStd-UltraBold']
23a0e04e	Initial Story & Initial Game Design	[0, 35, 'HelveticaNeueLTStd-Th']
25e652d3	Dr. Brahman	[0, 11, 'HelveticaNeueLTStd-Th']
278a2a1c	Toshitake Tsuchikura	[0, 20, 'GillSansStd-UltraBold']
28abe055	Scenario Director	[0, 17, 'HelveticaNeueLTStd-Th']
2af152da	Vogo	[0, 4, 'HelveticaNeueLTStd-Th']
2c1edfd6	Gade	[0, 4, 'HelveticaNeueLTStd-Th']
2e2e55d9	Fi	[0, 2, 'HelveticaNeueLTStd-Th']
30f99b3b	Producer	[0, 8, 'HelveticaNeueLTStd-Th']
3129dfdd	Eugie	[0, 5, 'HelveticaNeueLTStd-Th']
35049c42	Director	[0, 8, 'HelveticaNeueLTStd-Th']
36d9be9c	Saori Yumiba	[0, 12, 'GillSansStd-UltraBold']
38a6edf2	Daisuke Mogi	[0, 12, 'GillSansStd-UltraBold']
39419e41	Cinematics Director	[0, 19, 'HelveticaNeueLTStd-Th']
3ae02727	Fuminori Komatsu	[0, 16, 'GillSansStd-UltraBold']
3be4bea3	Risa Shimizu	[0, 12, 'GillSansStd-UltraBold']
3db1edf9	Norimasa Kawano	[0, 15, 'GillSansStd-UltraBold']
41eeeff8	Keiichi Kitahara	[0, 16, 'GillSansStd-UltraBold']
43772a10	Kohei Tanaka	[0, 12, 'GillSansStd-UltraBold']
46de52ce	Aki / Echo	[0, 10, 'HelveticaNeueLTStd-Th']
4770b72e	Aya Endo	[0, 8, 'GillSansStd-UltraBold']
49a3e050	Lead Game Designer	[0, 18, 'HelveticaNeueLTStd-Th']
4d8d2a1e	Takeshi Oga	[0, 11, 'GillSansStd-UltraBold']
56cd271b	Binbin Takaoka	[0, 14, 'GillSansStd-UltraBold']
56fc9b3d	Music	[0, 5, 'HelveticaNeueLTStd-Th']
572cdfdf	Kat	[0, 3, 'HelveticaNeueLTStd-Th']
599eeded	Takanori Shigihara	[0, 18, 'GillSansStd-UltraBold']
5bd82722	Go Shinomiya	[0, 12, 'GillSansStd-UltraBold']
5cdcbe9e	Junko Shimeno	[0, 13, 'GillSansStd-UltraBold']
5ea9edf4	Momoko Ikeda	[0, 12, 'GillSansStd-UltraBold']
5f449e43	Lead GUI/Network Designer	[0, 25, 'HelveticaNeueLTStd-Th']
67f1effa	Shoujirou Hori	[0, 14, 'GillSansStd-UltraBold']
6868b729	KENN	[0, 4, 'GillSansStd-UltraBold']
6ce152d0	Yunica	[0, 6, 'HelveticaNeueLTStd-Th']
6e852a19	Junya Okura	[0, 11, 'GillSansStd-UltraBold']
6fa6e052	Lead Character Designer	[0, 23, 'HelveticaNeueLTStd-Th']
7824dfda	Chaz / Newt	[0, 11, 'HelveticaNeueLTStd-Th']
7a3455dd	Xicero	[0, 6, 'HelveticaNeueLTStd-Th']
7cff9b3f	Lead Character Modeler	[0, 22, 'HelveticaNeueLTStd-Th']
7d2fdfe1	Syd / Alias	[0, 11, 'HelveticaNeueLTStd-Th']
803c9e3e	Localization Director	[0, 21, 'HelveticaNeueLTStd-Th']
810a9c46	Lead Animator	[0, 13, 'HelveticaNeueLTStd-Th']
81db2724	Sanae Kobayashi	[0, 15, 'GillSansStd-UltraBold']
82dfbea0	Michiko Kaiden	[0, 14, 'GillSansStd-UltraBold']
84acedf6	Masashi Kudo	[0, 12, 'GillSansStd-UltraBold']
85479e45	Lead Enemy Modeler & Enemy Animator	[0, 35, 'HelveticaNeueLTStd-Th']
8df4effc	Hiroyuki Goto	[0, 13, 'GillSansStd-UltraBold']
8e6bb72b	Yoshiya Naruke	[0, 14, 'GillSansStd-UltraBold']
92e452d2	Kali	[0, 4, 'HelveticaNeueLTStd-Th']
94882a1b	Atsushi Nakamura	[0, 16, 'GillSansStd-UltraBold']
95a9e054	Lead Player Action Programmer	[0, 29, 'HelveticaNeueLTStd-Th']
9b2c55d8	Cai	[0, 3, 'HelveticaNeueLTStd-Th']
9e27dfdc	Aujean / Adreaux	[0, 16, 'HelveticaNeueLTStd-Th']
a2029c41	Lead Environment Artist	[0, 23, 'HelveticaNeueLTStd-Th']
a3d7be9b	Youji Ueda	[0, 10, 'GillSansStd-UltraBold']
a63f9e40	Lead GUI Graphic Designer	[0, 25, 'HelveticaNeueLTStd-Th']
a7de2726	Reiko Kiuchi	[0, 12, 'GillSansStd-UltraBold']
a8e2bea2	Yasuyuki Kase	[0, 13, 'GillSansStd-UltraBold']
aaafedf8	Tetsuya Abe	[0, 11, 'GillSansStd-UltraBold']
aeeceff7	Eric Bailey	[0, 11, 'GillSansStd-UltraBold']
b0752a0f	Takahiro Sasamura	[0, 17, 'GillSansStd-UltraBold']
b3dc52cd	Bit	[0, 3, 'HelveticaNeueLTStd-Th']
b46eb72d	Tsuguo Mogami	[0, 13, 'GillSansStd-UltraBold']
b6a1e04f	 	[0, 1, 'HelveticaNeueLTStd-Th']
ba8b2a1d	Naoko Sato	[0, 10, 'GillSansStd-UltraBold']
bbace056	Environment Concept Artist	[0, 26, 'HelveticaNeueLTStd-Th']
bdf252db	Cecie / Durga	[0, 13, 'HelveticaNeueLTStd-Th']
bf1fdfd7	Cyanea	[0, 6, 'HelveticaNeueLTStd-Th']
