Reference Name	Text	Font
01872a1a	Shunsuke Saito	[0, 14, 'MyriadPro-Black']
02a8e053	Lead Programmer	[0, 15, 'MyriadPro-Light']
082b55d7	Misai	[0, 5, 'MyriadPro-Light']
0b26dfdb	Bulbosa / Yuri	[0, 14, 'MyriadPro-Light']
0d3655de	Elektricitie	[0, 12, 'MyriadPro-Light']
0f019c40	Lead Technical Artist (Environment)	[0, 35, 'MyriadPro-Light']
10d6be9a	Airi Ohtsu	[0, 10, 'MyriadPro-Black']
133e9e3f	Sound Director	[0, 14, 'MyriadPro-Light']
14dd2725	Masafumi Kimura	[0, 15, 'MyriadPro-Black']
15e1bea1	Ayumu Murase	[0, 12, 'MyriadPro-Black']
17aeedf7	Yoshio Namiki	[0, 13, 'MyriadPro-Black']
20db52cc	Lisa	[0, 4, 'MyriadPro-Light']
216db72c	Makoto Tsumura	[0, 14, 'MyriadPro-Black']
23a0e04e	Initial Story & Initial Game Design	[0, 35, 'MyriadPro-Light']
25e652d3	Dr. Brahman	[0, 11, 'MyriadPro-Light']
278a2a1c	Toshitake Tsuchikura	[0, 20, 'MyriadPro-Black']
28abe055	Scenario Director	[0, 17, 'MyriadPro-Light']
2af152da	Vogo	[0, 4, 'MyriadPro-Light']
2c1edfd6	Gade	[0, 4, 'MyriadPro-Light']
2e2e55d9	Fi	[0, 2, 'MyriadPro-Light']
30f99b3b	Producer	[0, 8, 'MyriadPro-Light']
3129dfdd	Eugie	[0, 5, 'MyriadPro-Light']
35049c42	Director	[0, 8, 'MyriadPro-Light']
36d9be9c	Saori Yumiba	[0, 12, 'MyriadPro-Black']
38a6edf2	Daisuke Mogi	[0, 12, 'MyriadPro-Black']
39419e41	Cinematics Director	[0, 19, 'MyriadPro-Light']
3ae02727	Fuminori Komatsu	[0, 16, 'MyriadPro-Black']
3be4bea3	Risa Shimizu	[0, 12, 'MyriadPro-Black']
3db1edf9	Norimasa Kawano	[0, 15, 'MyriadPro-Black']
41eeeff8	Keiichi Kitahara	[0, 16, 'MyriadPro-Black']
43772a10	Kohei Tanaka	[0, 12, 'MyriadPro-Black']
46de52ce	Aki / Echo	[0, 10, 'MyriadPro-Light']
4770b72e	Aya Endo	[0, 8, 'MyriadPro-Black']
49a3e050	Lead Game Designer	[0, 18, 'MyriadPro-Light']
4d8d2a1e	Takeshi Oga	[0, 11, 'MyriadPro-Black']
56cd271b	Binbin Takaoka	[0, 14, 'MyriadPro-Black']
56fc9b3d	Music	[0, 5, 'MyriadPro-Light']
572cdfdf	Kat	[0, 3, 'MyriadPro-Light']
599eeded	Takanori Shigihara	[0, 18, 'MyriadPro-Black']
5bd82722	Go Shinomiya	[0, 12, 'MyriadPro-Black']
5cdcbe9e	Junko Shimeno	[0, 13, 'MyriadPro-Black']
5ea9edf4	Momoko Ikeda	[0, 12, 'MyriadPro-Black']
5f449e43	Lead GUI/Network Designer	[0, 25, 'MyriadPro-Light']
67f1effa	Shoujirou Hori	[0, 14, 'MyriadPro-Black']
6868b729	KENN	[0, 4, 'MyriadPro-Black']
6ce152d0	Yunica	[0, 6, 'MyriadPro-Light']
6e852a19	Junya Okura	[0, 11, 'MyriadPro-Black']
6fa6e052	Lead Character Designer	[0, 23, 'MyriadPro-Light']
7824dfda	Chaz / Newt	[0, 11, 'MyriadPro-Light']
7a3455dd	Xicero	[0, 6, 'MyriadPro-Light']
7cff9b3f	Lead Character Modeler	[0, 22, 'MyriadPro-Light']
7d2fdfe1	Syd / Alias	[0, 11, 'MyriadPro-Light']
803c9e3e	Localization Director	[0, 21, 'MyriadPro-Light']
810a9c46	Lead Animator	[0, 13, 'MyriadPro-Light']
81db2724	Sanae Kobayashi	[0, 15, 'MyriadPro-Black']
82dfbea0	Michiko Kaiden	[0, 14, 'MyriadPro-Black']
84acedf6	Masashi Kudo	[0, 12, 'MyriadPro-Black']
85479e45	Lead Enemy Modeler & Enemy Animator	[0, 35, 'MyriadPro-Light']
8df4effc	Hiroyuki Goto	[0, 13, 'MyriadPro-Black']
8e6bb72b	Yoshiya Naruke	[0, 14, 'MyriadPro-Black']
92e452d2	Kali	[0, 4, 'MyriadPro-Light']
94882a1b	Atsushi Nakamura	[0, 16, 'MyriadPro-Black']
95a9e054	Lead Player Action Programmer	[0, 29, 'MyriadPro-Light']
9b2c55d8	Cai	[0, 3, 'MyriadPro-Light']
9e27dfdc	Aujean / Adreaux	[0, 16, 'MyriadPro-Light']
a2029c41	Lead Environment Artist	[0, 23, 'MyriadPro-Light']
a3d7be9b	Youji Ueda	[0, 10, 'MyriadPro-Black']
a63f9e40	Lead GUI Graphic Designer	[0, 25, 'MyriadPro-Light']
a7de2726	Reiko Kiuchi	[0, 12, 'MyriadPro-Black']
a8e2bea2	Yasuyuki Kase	[0, 13, 'MyriadPro-Black']
aaafedf8	Tetsuya Abe	[0, 11, 'MyriadPro-Black']
aeeceff7	Eric Bailey	[0, 11, 'MyriadPro-Black']
b0752a0f	Takahiro Sasamura	[0, 17, 'MyriadPro-Black']
b3dc52cd	Bit	[0, 3, 'MyriadPro-Light']
b46eb72d	Tsuguo Mogami	[0, 13, 'MyriadPro-Black']
b6a1e04f	 	[0, 1, 'MyriadPro-Light']
ba8b2a1d	Naoko Sato	[0, 10, 'MyriadPro-Black']
bbace056	Environment Concept Artist	[0, 26, 'MyriadPro-Light']
bdf252db	Cecie / Durga	[0, 13, 'MyriadPro-Light']
bf1fdfd7	Cyanea	[0, 6, 'MyriadPro-Light']
c12f55da	Gawan	[0, 5, 'MyriadPro-Light']
c3fa9b3c	Associate Producer	[0, 18, 'MyriadPro-Light']
c69cedec	Kenichiro Hatada	[0, 16, 'MyriadPro-Black']
c8d62721	Sayaka Kinoshita	[0, 16, 'MyriadPro-Black']
c9dabe9d	Hiroki Goto	[0, 11, 'MyriadPro-Black']
cba7edf3	Makoto Isomine	[0, 14, 'MyriadPro-Black']
cc429e42	Lead Effects Artist	[0, 19, 'MyriadPro-Light']
cde12728	Kenji Nomura	[0, 12, 'MyriadPro-Black']
d4efeff9	Yasuhiro Fujii	[0, 14, 'MyriadPro-Black']
d9df52cf	Permet	[0, 6, 'MyriadPro-Light']
db832a18	Keiichiro Toyama	[0, 16, 'MyriadPro-Black']
dca4e051	Art Director	[0, 12, 'MyriadPro-Light']
e9ce271c	Asuka Tanii	[0, 11, 'MyriadPro-Black']
e9fd9b3e	Lead Sound Designer	[0, 19, 'MyriadPro-Light']
ea2ddfe0	Raven	[0, 5, 'MyriadPro-Light']
ee089c45	Lead Scripter	[0, 13, 'MyriadPro-Light']
efddbe9f	Lynn	[0, 4, 'MyriadPro-Black']
f1aaedf5	Kyousuke Wakasa	[0, 15, 'MyriadPro-Black']
f2459e44	Lead Event Designer	[0, 19, 'MyriadPro-Light']
faf2effb	Takuma Matsunaga	[0, 16, 'MyriadPro-Black']
fb69b72a	Kouji Fujiyoshi	[0, 15, 'MyriadPro-Black']
ffe252d1	Adicca	[0, 6, 'MyriadPro-Light']
