Reference Name	Text	Font
00b2842d	Flick Down on k : Jupiter Style	[0, 14, 'DINRoundOffcPro'], [14, 15, 'Gravity2_Gaiji'], [15, 31, 'DINRoundOffcPro']
05e80472	Additional test text. \n Will it display?	[0, 38, 'DINRoundOffcPro']
0c61344e	c Take Picture    b Back	[0, 1, 'Gravity2_Gaiji'], [1, 18, 'DINRoundOffcPro'], [18, 19, 'Gravity2_Gaiji'], [19, 24, 'DINRoundOffcPro']
0d355ede	Find the Treasure	[0, 17, 'DINRoundOffcPro']
1040159a	f while Floating: Fall Forward (Towards the Marker)	[0, 1, 'Gravity2_Gaiji'], [1, 51, 'DINRoundOffcPro']
1091269f	f while Floating: Fall Forward (Towards the Marker)	[0, 1, 'Gravity2_Gaiji'], [1, 51, 'DINRoundOffcPro']
12e71f6b	c Attack	[0, 1, 'Gravity2_Gaiji'], [1, 8, 'DINRoundOffcPro']
1624226a	c Gravity Kick (while shifting) \n a Generate Stasis Field	[0, 1, 'Gravity2_Gaiji'], [1, 32, 'DINRoundOffcPro'], [32, 33, 'Gravity2_Gaiji'], [33, 55, 'DINRoundOffcPro']
19542b3d	Close	[0, 5, 'DINRoundOffcPro']
198817a0	e Return to Normal Gravity	[0, 1, 'Gravity2_Gaiji'], [1, 26, 'DINRoundOffcPro']
1e783fd5	c while shifting gravity in Jupiter Style: Double Surge Kick	[0, 1, 'Gravity2_Gaiji'], [1, 60, 'DINRoundOffcPro']
1f1e8b3d	3	[0, 1, 'GillSansStd-UltraBold']
27c041db	d Combined Special Attack	[0, 1, 'Gravity2_Gaiji'], [1, 25, 'DINRoundOffcPro']
27dc6955	Here... There...	[0, 16, 'DINRoundOffcPro']
2981e48d	Look up. \n j Aim Camera	[0, 9, 'DINRoundOffcPro'], [9, 10, 'Gravity2_Gaiji'], [10, 21, 'DINRoundOffcPro']
2af88a10	Flick Up on k : Lunar Style	[0, 12, 'DINRoundOffcPro'], [12, 13, 'Gravity2_Gaiji'], [13, 27, 'DINRoundOffcPro']
2dad914b	Hold c then release while shifting gravity in Jupiter Style: Surge Kick	[0, 5, 'DINRoundOffcPro'], [5, 6, 'Gravity2_Gaiji'], [6, 71, 'DINRoundOffcPro']
32c9e693	Look to your left. \n j Move Camera	[0, 19, 'DINRoundOffcPro'], [19, 20, 'Gravity2_Gaiji'], [20, 32, 'DINRoundOffcPro']
386e63e3	d Special Attack	[0, 1, 'Gravity2_Gaiji'], [1, 16, 'DINRoundOffcPro']
3d4aaf92	Yes	[0, 3, 'DINRoundOffcPro']
403fbf66	Flick Up on k : Lunar Style \n f Float	[0, 12, 'DINRoundOffcPro'], [12, 13, 'Gravity2_Gaiji'], [13, 28, 'DINRoundOffcPro'], [28, 29, 'Gravity2_Gaiji'], [29, 35, 'DINRoundOffcPro']
41b665e9	a Gravity Throw	[0, 1, 'Gravity2_Gaiji'], [1, 15, 'DINRoundOffcPro']
45218b3f	1	[0, 1, 'GillSansStd-UltraBold']
48b841d6	r Skip	[0, 1, 'Gravity2_Gaiji'], [1, 6, 'DINRoundOffcPro']
4afe67ef	a Generate Stasis Field	[0, 1, 'Gravity2_Gaiji'], [1, 23, 'DINRoundOffcPro']
4b9c5d2b	No	[0, 2, 'DINRoundOffcPro']
4dade82a	l Enter Photo Mode	[0, 1, 'Gravity2_Gaiji'], [1, 18, 'DINRoundOffcPro']
55faac87	Show Treasure Chest Navi Marker?	[0, 32, 'DINRoundOffcPro']
5c1f907c	c Surge Kick	[0, 1, 'Gravity2_Gaiji'], [1, 12, 'DINRoundOffcPro']
5d327fa7	Kat Leveled Up! \n You've gained a power up \n point to spend!	[0, 56, 'DINRoundOffcPro']
5e42af8d	Go Online? \n (Can Take Photos after Finding Chest)	[0, 48, 'DINRoundOffcPro']
