Reference Name	Text	Font
00b2842d	kを下方向にフリック：ユピトールチューンに切り替え	[0, 1, 'Gravity2_Gaiji'], [1, 25, 'SCE-MaruFolkProM']
05e80472	追加のテストテキストです。ちゃんと出るかな？	[0, 22, 'SCE-MaruFolkProM']
0c61344e	cで撮影、bで終了	[0, 1, 'Gravity2_Gaiji'], [1, 5, 'SCE-MaruFolkProM'], [5, 6, 'Gravity2_Gaiji'], [6, 9, 'SCE-MaruFolkProM']
0d355ede	宝箱を探せ！	[0, 6, 'SCE-MaruFolkProM']
1040159a	無重力浮遊中にf：正面（目標のマークの方向）に落下	[0, 7, 'SCE-MaruFolkProM'], [7, 8, 'Gravity2_Gaiji'], [8, 25, 'SCE-MaruFolkProM']
1091269f	無重力浮遊中にf：正面（目標マークの方向）に落下	[0, 7, 'SCE-MaruFolkProM'], [7, 8, 'Gravity2_Gaiji'], [8, 24, 'SCE-MaruFolkProM']
12e71f6b	c攻撃	[0, 1, 'Gravity2_Gaiji'], [1, 3, 'SCE-MaruFolkProM']
1624226a	c重力キック（重力操作中） \n a重力グラブ	[0, 1, 'Gravity2_Gaiji'], [1, 14, 'SCE-MaruFolkProM'], [14, 15, 'Gravity2_Gaiji'], [15, 20, 'SCE-MaruFolkProM']
19542b3d	閉じる	[0, 3, 'SCE-MaruFolkProM']
198817a0	e元の地面に下りる	[0, 1, 'Gravity2_Gaiji'], [1, 9, 'SCE-MaruFolkProM']
1e783fd5	ユピトールチューン重力操作中にc長押し：ツイン重力波動キック	[0, 15, 'SCE-MaruFolkProM'], [15, 16, 'Gravity2_Gaiji'], [16, 30, 'SCE-MaruFolkProM']
1f1e8b3d	3	[0, 1, 'GillSansStd-UltraBold']
27c041db	dダブルスペシャルアタック	[0, 1, 'Gravity2_Gaiji'], [1, 13, 'SCE-MaruFolkProM']
27dc6955	あっちだよ. こっちだよ.	[0, 13, 'MovieFont-TTF']
2981e48d	上を見る：jカメラ操作	[0, 5, 'SCE-MaruFolkProM'], [5, 6, 'Gravity2_Gaiji'], [6, 11, 'SCE-MaruFolkProM']
2af88a10	上フリック：ルーナチューン	[0, 13, 'SCE-MaruFolkProM']
2dad914b	ユピトールチューン重力操作中にc長押しして放す：重力波動キック	[0, 15, 'SCE-MaruFolkProM'], [15, 16, 'Gravity2_Gaiji'], [16, 31, 'SCE-MaruFolkProM']
32c9e693	左を見る：jカメラ操作	[0, 5, 'SCE-MaruFolkProM'], [5, 6, 'Gravity2_Gaiji'], [6, 11, 'SCE-MaruFolkProM']
386e63e3	dスペシャルアタック	[0, 1, 'Gravity2_Gaiji'], [1, 10, 'SCE-MaruFolkProM']
3d4aaf92	する	[0, 2, 'SCE-MaruFolkProM']
403fbf66	k上方向にフリック：ルーナチューンに切り替え \n f無重力浮遊	[0, 1, 'Gravity2_Gaiji'], [1, 23, 'SCE-MaruFolkProM'], [23, 24, 'Gravity2_Gaiji'], [24, 29, 'SCE-MaruFolkProM']
41b665e9	a重力スロー	[0, 1, 'Gravity2_Gaiji'], [1, 6, 'SCE-MaruFolkProM']
45218b3f	1	[0, 1, 'GillSansStd-UltraBold']
48b841d6	rスキップ	[0, 1, 'Gravity2_Gaiji'], [1, 5, 'SCE-MaruFolkProM']
4afe67ef	a重力グラブ	[0, 1, 'Gravity2_Gaiji'], [1, 6, 'SCE-MaruFolkProM']
4b9c5d2b	いいえ	[0, 3, 'SCE-MaruFolkProM']
4dade82a	lフォトモードの起動	[0, 1, 'Gravity2_Gaiji'], [1, 10, 'SCE-MaruFolkProM']
55faac87	宝箱のナビ表示します？	[0, 11, 'SCE-MaruFolkProM']
5c1f907c	c重力波動キック	[0, 1, 'Gravity2_Gaiji'], [1, 8, 'SCE-MaruFolkProM']
5d327fa7	キトゥンが成長した！ \n 「能力強化ポイント」を手に入れた！	[0, 28, 'SCE-MaruFolkProM']
5e42af8d	オンラインにします？ \n （宝箱入手後 写真撮影あり）	[0, 25, 'SCE-MaruFolkProM']
629a895e	宝箱のヒント写真を撮れ！	[0, 12, 'SCE-MaruFolkProM']
65679282	画面タッチ：パラレルフェイタル	[0, 15, 'SCE-MaruFolkProM']
6687231e	jカメラ操作で落下したい方向が変えられます \n e重力解除　　f無重力浮遊	[0, 1, 'Gravity2_Gaiji'], [1, 22, 'SCE-MaruFolkProM'], [22, 23, 'Gravity2_Gaiji'], [23, 29, 'SCE-MaruFolkProM'], [29, 30, 'Gravity2_Gaiji'], [30, 35, 'SCE-MaruFolkProM']
73dd6a55	kをタップ：チューン解除	[0, 1, 'Gravity2_Gaiji'], [1, 12, 'SCE-MaruFolkProM']
76f2ac82	する	[0, 2, 'SCE-MaruFolkProM']
77f7968e	下方向にフリック：ユピトールチューン	[0, 18, 'SCE-MaruFolkProM']
7fe51f6a	c攻撃	[0, 1, 'Gravity2_Gaiji'], [1, 3, 'SCE-MaruFolkProM']
8445af8f	しない	[0, 3, 'SCE-MaruFolkProM']
8702e5	ルーナチューン重力操作中にcワームホールキック \n ヒット後にc：連続空中キック（合計４回まで）	[0, 13, 'SCE-MaruFolkProM'], [13, 14, 'Gravity2_Gaiji'], [14, 29, 'SCE-MaruFolkProM'], [29, 30, 'Gravity2_Gaiji'], [30, 46, 'SCE-MaruFolkProM']
878527fb	h回避アクション \n 回避動作中にi+c回避攻撃	[0, 1, 'Gravity2_Gaiji'], [1, 15, 'SCE-MaruFolkProM'], [15, 16, 'Gravity2_Gaiji'], [16, 17, 'SCE-MaruFolkProM'], [17, 18, 'Gravity2_Gaiji'], [18, 22, 'SCE-MaruFolkProM']
89c387b3	ユピトールチューンの移動は様々なものが壊せます	[0, 23, 'SCE-MaruFolkProM']
8c1c8b3c	2	[0, 1, 'GillSansStd-UltraBold']
8c1e3a49	カメラの設定はrの \n 「システム」から変える事が出来ます	[0, 7, 'SCE-MaruFolkProM'], [7, 8, 'Gravity2_Gaiji'], [8, 27, 'SCE-MaruFolkProM']
920b8ab9	kを下方向にフリック：ユピトールチューンに切り替え \n f無重力浮遊	[0, 1, 'Gravity2_Gaiji'], [1, 26, 'SCE-MaruFolkProM'], [26, 27, 'Gravity2_Gaiji'], [27, 32, 'SCE-MaruFolkProM']
925903c2	○○○○ \n ～ バンガ集落 ～	[0, 14, 'SCE-MaruFolkProM']
98d2c17d	c採掘船に戻る	[0, 1, 'Gravity2_Gaiji'], [1, 7, 'SCE-MaruFolkProM']
9b538cbf	ユピトールチューン重力操作中にc長押しして放す：重力波動キック	[0, 15, 'SCE-MaruFolkProM'], [15, 16, 'Gravity2_Gaiji'], [16, 31, 'SCE-MaruFolkProM']
9c1ddb6b	ルーナチューンでb長押し後離す：スプリングジャンプ \n ジャンプ中にh：空中回避アクション	[0, 8, 'SCE-MaruFolkProM'], [8, 9, 'Gravity2_Gaiji'], [9, 32, 'SCE-MaruFolkProM'], [32, 33, 'Gravity2_Gaiji'], [33, 43, 'SCE-MaruFolkProM']
a49b8ec5	a重力グラブ \n a長押し：ブラックホール重力グラブ（SPゲージを消費）	[0, 1, 'Gravity2_Gaiji'], [1, 7, 'SCE-MaruFolkProM'], [7, 8, 'Gravity2_Gaiji'], [8, 34, 'SCE-MaruFolkProM']
a8a9d3f6	kを上方向にフリック：ルーナチューン	[0, 1, 'Gravity2_Gaiji'], [1, 18, 'SCE-MaruFolkProM']
