Reference Name	Text	Font
00468e2b	Was ich mag und was ich hasse	[0, 29, 'DINRoundOffcPro']
0063c269	Auf in die Stadt	[0, 16, 'GillSansStd-UltraBold']
006d2943	Gasflasche	[0, 10, 'DINRoundOffcPro']
00724e9d	Absteigender Ast	[0, 16, 'DINRoundOffcPro']
008f8d2f	Talisman: „Rezept des Fischers“	[0, 31, 'DINRoundOffcPro']
0095956c	Wähle drei Fähigkeiten, die der \n verschmolzene Talisman haben soll.	[0, 66, 'DINRoundOffcPro']
01059121	7. Ebene	[0, 8, 'DINRoundOffcPro']
010e2838	Apfel	[0, 5, 'DINRoundOffcPro']
0123a81a	FORTFAHREN	[0, 10, 'GillSansStd-ExtraBold']
01278b62	Ein Zeitungsbote benötigt Hilfe \n beim Verteilen an die Leser der Stadt.	[0, 70, 'DINRoundOffcPro']
0128e3fd	Weiße Kat	[0, 9, 'DINRoundOffcPro']
013b274b	Spezial-Foto-Objekt Nr. 3	[0, 25, 'DINRoundOffcPro']
0140296b	Talismane	[0, 9, 'GillSansStd-UltraBold']
014f3085	„PSO2: Blauer Behälter“ erhalten! \n Drücke l, um in den Fotomodus zu gelangen \n und es zu verwenden.	[0, 41, 'DINRoundOffcPro'], [41, 42, 'Gravity2_Gaiji'], [42, 96, 'DINRoundOffcPro']
016557df	Vergnügungsviertel „Pleajeune“ \n Eine Frau auf der Brücke nahe der Arquebus-Akademie.	[0, 83, 'DINRoundOffcPro']
01659d38	Der Lohn der Angst	[0, 18, 'DINRoundOffcPro']
01838fa6	Die Masse	[0, 9, 'DINRoundOffcPro']
01862e67	„NieR: Automata – 2B ohne Visier“ erhalten! \n Drücke l, um in den Fotomodus zu gelangen \n und es zu verwenden.	[0, 51, 'DINRoundOffcPro'], [51, 52, 'Gravity2_Gaiji'], [52, 106, 'DINRoundOffcPro']
0187d605	14. Ebene	[0, 9, 'GillSansStd-UltraBold']
01901083	Entspannt	[0, 9, 'DINRoundOffcPro']
01a0418a	„Spezial-Foto-Objekt Nr. 2“ erhalten! \n Drücke l, um in den Fotomodus zu gelangen \n und es zu verwenden.	[0, 45, 'DINRoundOffcPro'], [45, 46, 'Gravity2_Gaiji'], [46, 100, 'DINRoundOffcPro']
01b370e8	7. Ebene	[0, 8, 'DINRoundOffcPro']
01d9ea5f	Spezial-Foto-Objekt Nr. 3	[0, 25, 'DINRoundOffcPro']
01f59ed8	e Fähigkeiten filtern    c Favoriten umschalten    d Löschen-Menü    f Talisman-Bestand    p Beenden	[0, 1, 'Gravity2_Gaiji'], [1, 25, 'DINRoundOffcPro'], [25, 26, 'Gravity2_Gaiji'], [26, 51, 'DINRoundOffcPro'], [51, 52, 'Gravity2_Gaiji'], [52, 69, 'DINRoundOffcPro'], [69, 70, 'Gravity2_Gaiji'], [70, 91, 'DINRoundOffcPro'], [91, 92, 'Gravity2_Gaiji'], [92, 100, 'DINRoundOffcPro']
0201fab5	Bestandene Prüfung	[0, 18, 'DINRoundOffcPro']
0203792f	Anfrage nach persönlichen Daten	[0, 31, 'DINRoundOffcPro']
0228f65e	Vergnügungsviertel „Pleajeune“ \n Tor des betrunkenen Elefanten	[0, 60, 'DINRoundOffcPro']
022a77f4	41. Ebene	[0, 9, 'DINRoundOffcPro']
02376368	„Neue Ankündigung“-Text	[0, 23, 'DINRoundOffcPro']
023d97c4	34. Ebene	[0, 9, 'GillSansStd-UltraBold']
025df376	Seltsame Gravitationsphänomene	[0, 30, 'DINRoundOffcPro']
028ea8c9	81. Ebene	[0, 9, 'GillSansStd-UltraBold']
029554ab	Verstärkt Kombo-Angriffe \n oder stilspezifische \n Tritte.	[0, 53, 'DINRoundOffcPro']
02c34025	Storyfortschritt	[0, 16, 'DINRoundOffcPro']
02deb3aa	Stasisfeld-Kampf	[0, 16, 'DINRoundOffcPro']
030aeb58	GG.	[0, 3, 'GillSansStd-UltraBold']
031c1f5f	GRAVITY RUSH™2 ©2016 Sony Interactive Entertainment Inc. Published by Sony Interactive Entertainment Europe. \n Developed by JAPAN Studio. “GRAVITY RUSH” is a trademark or a registered trademark of Sony Interactive Entertainment Europe. All rights reserved.	[0, 254, 'MyriadPro-Light']
032633fe	Sanft	[0, 5, 'DINRoundOffcPro']
0328a235	Kreise im Wasser	[0, 16, 'GillSansStd-UltraBold']
039e4f64	Glitzernder Muschelstein	[0, 24, 'DINRoundOffcPro']
03c8d584	O. K.	[0, 5, 'DINRoundOffcPro']
03d27169	20. Ebene	[0, 9, 'DINRoundOffcPro']
03db95b5	Vergesslicher Leibwächter	[0, 25, 'DINRoundOffcPro']
03e34b71	Frauenporträts 5	[0, 16, 'DINRoundOffcPro-Bold']
03f69d6b	Sun-Villa	[0, 9, 'GillSansStd-UltraBold']
03f779e5	Jupiter-Stil	[0, 12, 'DINRoundOffcPro']
0407e53f	Reichhaltige Erzvorkommen	[0, 25, 'DINRoundOffcPro']
045bd811	Sehenswürdigkeiten von Hekseville 5	[0, 35, 'DINRoundOffcPro-Bold']
046f618d	Gleitrennen I	[0, 13, 'DINRoundOffcPro']
0475b6f6	Zusammen – so seltsam	[0, 21, 'GillSansStd-UltraBold']
049a3a01	Kostüme	[0, 7, 'DINRoundOffcPro']
04c04344	Notruf aus dem Delvool-Graben	[0, 29, 'DINRoundOffcPro']
04c2a1a5	Unvergossene Tränen	[0, 19, 'GillSansStd-BoldExtraCond']
04c49b73	Sturmschutzturm – Überreste	[0, 27, 'GillSansStd-UltraBold']
04fcc698	Veränderte Einstellung	[0, 22, 'GillSansStd-UltraBold']
05429320	18. Ebene	[0, 9, 'DINRoundOffcPro']
05518e32	Ein Haus im blauen Himmel	[0, 25, 'DINRoundOffcPro']
0557c251	Das Dunkel im Innern	[0, 20, 'GillSansStd-UltraBold']
056ec270	Wandernde Kunst	[0, 15, 'GillSansStd-UltraBold']
0578294a	Pflanzkübel	[0, 11, 'DINRoundOffcPro']
0583fb22	Löschen	[0, 7, 'DINRoundOffcPro']
05a09573	Platziere fünf Talismane. \n Sie werden zu einem \n neuen recycelt.	[0, 61, 'DINRoundOffcPro']
05afdc2d	Auldnoir	[0, 8, 'DINRoundOffcPro']
05c33066	„Shifter 1.0“ erhalten! \n Drücke l, um in den Fotomodus zu gelangen \n und es zu verwenden.	[0, 31, 'DINRoundOffcPro'], [31, 32, 'Gravity2_Gaiji'], [32, 86, 'DINRoundOffcPro']
05d1d6c6	Bewegungsempfindlichkeit	[0, 24, 'DINRoundOffcPro']
05f072e7	18. Ebene	[0, 9, 'DINRoundOffcPro']
0625ecdf	Episode 3	[0, 9, 'HelveticaNeueLTStd-UltLt']
062988be	52. Ebene	[0, 9, 'GillSansStd-UltraBold']
064041d3	Geburt einer Legende	[0, 20, 'GillSansStd-UltraBold']
0643a273	Ausweichen	[0, 10, 'DINRoundOffcPro']
066779f3	78. Ebene	[0, 9, 'DINRoundOffcPro']
067a99c3	27. Ebene	[0, 9, 'GillSansStd-UltraBold']
067afaf0	Rohrhaus	[0, 8, 'DINRoundOffcPro']
068d0586	Fotoüberprüfung	[0, 15, 'GillSansStd-UltraBold']
06c556e9	92. Ebene	[0, 9, 'DINRoundOffcPro']
06c5efad	Du hast ein Foto-Objekt erhalten: \n „Spezial-Foto-Objekt Nr. 12“	[0, 62, 'DINRoundOffcPro']
070cfabc	Das Zeug zum Star	[0, 17, 'DINRoundOffcPro']
071971d0	Herausford. annehmen	[0, 20, 'DINRoundOffcPro']
07358cf6	Holzrahmenspiegel	[0, 17, 'DINRoundOffcPro']
07361ebd	d Ranglisten    p Navigationsmarkierung löschen    r Zurück	[0, 1, 'Gravity2_Gaiji'], [1, 16, 'DINRoundOffcPro'], [16, 17, 'Gravity2_Gaiji'], [17, 51, 'DINRoundOffcPro'], [51, 52, 'Gravity2_Gaiji'], [52, 59, 'DINRoundOffcPro']
0768f37d	Schatzjagd-Berichte	[0, 19, 'DINRoundOffcPro']
0787cdc9	Altstadt „Auldnoir“ \n Ein Mann, der sich am Briefkasten des Postamts aufhält.	[0, 75, 'DINRoundOffcPro']
078ba7c7	Schwarze Katze	[0, 14, 'GillSansStd-UltraBold']
07ce402c	Verschwundene	[0, 13, 'DINRoundOffcPro']
07e9b3b1	Aggressive Verkaufstaktiken II	[0, 30, 'DINRoundOffcPro']
07f33f40	Senden	[0, 6, 'DINRoundOffcPro']
07febddb	Die Besten weit und breit	[0, 25, 'DINRoundOffcPro']
08271f66	BELIEBIGE TASTE DRÜCKEN	[0, 23, 'GillSansStd-UltraBold']
084223dc	Saghassis Gemälde: Hekseville 6	[0, 31, 'DINRoundOffcPro-Bold']
088c94f3	Freestyle-Rennen I	[0, 18, 'DINRoundOffcPro']
08ae4b67	Verwunschene Zone	[0, 17, 'DINRoundOffcPro']
08b2b8f5	Die Mechanismen der Freude	[0, 26, 'GillSansStd-UltraBold']
08bd5bbf	Fortsetzung: Ausreißer	[0, 22, 'GillSansStd-UltraBold']
08d73c	Power-ups	[0, 9, 'DINRoundOffcPro']
08dbb3bf	Dieser Talisman ist zurzeit ausgerüstet. \n Trotzdem auswählen?	[0, 60, 'DINRoundOffcPro']
08dd7170	29. Ebene	[0, 9, 'DINRoundOffcPro']
08e695bc	Verlorener Sohn	[0, 15, 'DINRoundOffcPro']
090d4d01	Der neueste Hit	[0, 15, 'DINRoundOffcPro']
090e8ecd	Eine Herausgeberin sucht einen Autor, \n der ständig seine Erscheinung ändert, \n während er in der Stadt nach neuen \n Ideen sucht.	[0, 123, 'DINRoundOffcPro']
092ead26	Geld regiert die Welt	[0, 21, 'DINRoundOffcPro']
093da591	87. Ebene	[0, 9, 'DINRoundOffcPro']
0953a5d3	Story-Missionen	[0, 15, 'DINRoundOffcPro']
095941e0	k gedrückt halten: In Panthermodus wechseln	[0, 1, 'Gravity2_Gaiji'], [1, 43, 'DINRoundOffcPro']
0969dcd9	Apfel-Wahrzeichen der Firma Merlitsol \n Ein zum symbolischen Wahrzeichen gewordenes Firmenlogo.	[0, 93, 'DINRoundOffcPro']
096ed970	21. Ebene	[0, 9, 'GillSansStd-UltraBold']
09bfea75	94. Ebene	[0, 9, 'GillSansStd-UltraBold']
09c0c54e	Heller Muschelstein	[0, 19, 'DINRoundOffcPro']
09e3f779	Wurfarm	[0, 7, 'DINRoundOffcPro']
09eb8458	87. Ebene	[0, 9, 'DINRoundOffcPro']
09fccb4b	Gleitrennen I	[0, 13, 'DINRoundOffcPro']
0a4d9327	11. Ebene	[0, 9, 'DINRoundOffcPro']
0a60dc48	Glänzender Blumenstein	[0, 22, 'DINRoundOffcPro']
0a647423	Laden der Systemdaten fehlgeschlagen. \n Erneut versuchen?	[0, 55, 'DINRoundOffcPro']
0a720eb4	Stürzt die Maschinen!	[0, 21, 'DINRoundOffcPro']
0a7266fb	Licht und Schatten	[0, 18, 'GillSansStd-UltraBold']
0a79c277	Der Lohn der Angst	[0, 18, 'GillSansStd-UltraBold']
0a832951	Leuchtsignal	[0, 12, 'DINRoundOffcPro']
0a8efb29	Du hast 999 Talismane, bitte entferne einige.	[0, 45, 'DINRoundOffcPro']
0aa58d3d	Kostüm: „Shifter 1.0“	[0, 21, 'DINRoundOffcPro']
0acb91ac	Bestandene Prüfung	[0, 18, 'DINRoundOffcPro']
