Reference Name	Text	Font
00468e2b	Things I Like, Things I Hate	[0, 28, 'DINRoundOffcPro']
0063c269	Going to Town	[0, 13, 'GillSansStd-UltraBold']
006d2943	Gas Canister	[0, 12, 'DINRoundOffcPro']
00724e9d	Going Downhill	[0, 14, 'DINRoundOffcPro']
008f8d2f	Talisman: "Fisherman's Recipe"	[0, 30, 'DINRoundOffcPro']
0095956c	Choose three skills you want carried \n over to the merged talisman.	[0, 65, 'DINRoundOffcPro']
01059121	7th Layer	[0, 9, 'DINRoundOffcPro']
010e2838	Apple	[0, 5, 'DINRoundOffcPro']
0123a81a	CONTINUE	[0, 8, 'GillSansStd-ExtraBold']
01278b62	A deliveryman needs help distributing papers \n to the readers of the city.	[0, 72, 'DINRoundOffcPro']
0128e3fd	White Kat	[0, 9, 'DINRoundOffcPro']
013b274b	Special Photo Item #3	[0, 21, 'DINRoundOffcPro']
0140296b	Talismans	[0, 9, 'GillSansStd-UltraBold']
014f3085	Obtained "PSO2 Blue Container"! \n You can use it by pressing l and entering Photo Mode.	[0, 59, 'DINRoundOffcPro'], [59, 60, 'Gravity2_Gaiji'], [60, 85, 'DINRoundOffcPro']
016557df	Entertainment District "Pleajeune" \n A woman standing on the bridge near Arquebus Academy.	[0, 88, 'DINRoundOffcPro']
01659d38	The Wages of Fear	[0, 17, 'DINRoundOffcPro']
01838fa6	The Crowd	[0, 9, 'DINRoundOffcPro']
01862e67	Obtained "NieR: Automata 2B without Visor"! \n You can use it by pressing l and entering Photo Mode.	[0, 71, 'DINRoundOffcPro'], [71, 72, 'Gravity2_Gaiji'], [72, 97, 'DINRoundOffcPro']
0187d605	14th Layer	[0, 10, 'GillSansStd-UltraBold']
01901083	Relax	[0, 5, 'DINRoundOffcPro']
01a0418a	Obtained "Special Photo Item #9"! \n You can use it by pressing l and entering Photo Mode.	[0, 61, 'DINRoundOffcPro'], [61, 62, 'Gravity2_Gaiji'], [62, 87, 'DINRoundOffcPro']
01b370e8	7th Layer	[0, 9, 'DINRoundOffcPro']
01d9ea5f	Special Photo Item #3	[0, 21, 'DINRoundOffcPro']
01f59ed8	e Filter Skills    c Toggle Favorites    d Delete Menu    f Talisman Inventory    p Finish	[0, 1, 'Gravity2_Gaiji'], [1, 19, 'DINRoundOffcPro'], [19, 20, 'Gravity2_Gaiji'], [20, 41, 'DINRoundOffcPro'], [41, 42, 'Gravity2_Gaiji'], [42, 58, 'DINRoundOffcPro'], [58, 59, 'Gravity2_Gaiji'], [59, 82, 'DINRoundOffcPro'], [82, 83, 'Gravity2_Gaiji'], [83, 90, 'DINRoundOffcPro']
0201fab5	Trial and Passage	[0, 17, 'DINRoundOffcPro']
0203792f	Request for Personal Information	[0, 32, 'DINRoundOffcPro']
0228f65e	Entertainment District "Pleajeune" \n Drunken Elephant Gate	[0, 56, 'DINRoundOffcPro']
022a77f4	41st Layer	[0, 10, 'DINRoundOffcPro']
02376368	New Announcement Text	[0, 21, 'DINRoundOffcPro']
023d97c4	34th Layer	[0, 10, 'GillSansStd-UltraBold']
025df376	Strange Gravitational Phenomena	[0, 31, 'DINRoundOffcPro']
028ea8c9	81st Layer	[0, 10, 'GillSansStd-UltraBold']
029554ab	Combo attacks are powered \n up, or style-specific kicks are \n powered up.	[0, 69, 'DINRoundOffcPro']
02c34025	Story Progress	[0, 14, 'DINRoundOffcPro']
02deb3aa	Stasis Field Battle	[0, 19, 'DINRoundOffcPro']
030aeb58	VS	[0, 2, 'GillSansStd-UltraBold']
032633fe	Soft	[0, 4, 'DINRoundOffcPro']
0328a235	Circles in the Water	[0, 20, 'GillSansStd-UltraBold']
039e4f64	Brilliant Shell Stone	[0, 21, 'DINRoundOffcPro']
03c8d584	OK	[0, 2, 'DINRoundOffcPro']
03d27169	20th Layer	[0, 10, 'DINRoundOffcPro']
03db95b5	Forgetful Bodyguard	[0, 19, 'DINRoundOffcPro']
03e34b71	Women's Portraits 5	[0, 19, 'DINRoundOffcPro-Bold']
03f69d6b	Sun Mansion	[0, 11, 'GillSansStd-UltraBold']
03f779e5	Jupiter Style	[0, 13, 'DINRoundOffcPro']
0407e53f	Rich Ore Deposits	[0, 17, 'DINRoundOffcPro']
045bd811	Hekseville Sights 5	[0, 19, 'DINRoundOffcPro-Bold']
046f618d	Sliding Race I	[0, 14, 'DINRoundOffcPro']
0475b6f6	Together, So Strange	[0, 20, 'GillSansStd-UltraBold']
049a3a01	Costumes	[0, 8, 'DINRoundOffcPro']
04c04344	Delvool Trench Distress Call	[0, 28, 'DINRoundOffcPro']
04c2a1a5	Unshed Tears	[0, 12, 'GillSansStd-BoldExtraCond']
04c49b73	Stormshield Tower Remains	[0, 25, 'GillSansStd-UltraBold']
04fcc698	Change in Attitude	[0, 18, 'GillSansStd-UltraBold']
05429320	18th Layer	[0, 10, 'DINRoundOffcPro']
05518e32	A House in the Blue Sky	[0, 23, 'DINRoundOffcPro']
0557c251	The Darkness Inside	[0, 19, 'GillSansStd-UltraBold']
056ec270	Wandering Artistry	[0, 18, 'GillSansStd-UltraBold']
0578294a	Planter	[0, 7, 'DINRoundOffcPro']
0583fb22	Delete	[0, 6, 'DINRoundOffcPro']
05a09573	Place five talismans. \n They will be recycled \n into a new one.	[0, 59, 'DINRoundOffcPro']
05afdc2d	Auldnoir	[0, 8, 'DINRoundOffcPro']
05c33066	Obtained "Shifter 1.0"! \n You can use it by pressing l and entering Photo Mode.	[0, 51, 'DINRoundOffcPro'], [51, 52, 'Gravity2_Gaiji'], [52, 77, 'DINRoundOffcPro']
05d1d6c6	Motion Sensitivity	[0, 18, 'DINRoundOffcPro']
05f072e7	18th Layer	[0, 10, 'DINRoundOffcPro']
0625ecdf	Episode 3	[0, 9, 'HelveticaNeueLTStd-UltLt']
062988be	52nd Layer	[0, 10, 'GillSansStd-UltraBold']
064041d3	A Legend is Born	[0, 16, 'GillSansStd-UltraBold']
0643a273	Evade	[0, 5, 'DINRoundOffcPro']
066779f3	78th Layer	[0, 10, 'DINRoundOffcPro']
067a99c3	27th Layer	[0, 10, 'GillSansStd-UltraBold']
067afaf0	Pipe House	[0, 10, 'DINRoundOffcPro']
068d0586	Photo Check	[0, 11, 'GillSansStd-UltraBold']
06c556e9	92nd Layer	[0, 10, 'DINRoundOffcPro']
06c5efad	You've obtained the photo item: \n "Special Photo Item GamerZ."	[0, 60, 'DINRoundOffcPro']
070cfabc	Like a Radio	[0, 12, 'DINRoundOffcPro']
071971d0	Accept Challenge	[0, 16, 'DINRoundOffcPro']
07358cf6	Wood Frame Mirror	[0, 17, 'DINRoundOffcPro']
07361ebd	d Rankings    p Clear Navigation Marker    r Back	[0, 1, 'Gravity2_Gaiji'], [1, 14, 'DINRoundOffcPro'], [14, 15, 'Gravity2_Gaiji'], [15, 43, 'DINRoundOffcPro'], [43, 44, 'Gravity2_Gaiji'], [44, 49, 'DINRoundOffcPro']
0768f37d	Treasure Hunt Reports	[0, 21, 'DINRoundOffcPro']
0787cdc9	Old Town "Auldnoir" \n A man hanging around near the post office's mailbox.	[0, 72, 'DINRoundOffcPro']
078ba7c7	Black Cat	[0, 9, 'GillSansStd-UltraBold']
07ce402c	Disappearances	[0, 14, 'DINRoundOffcPro']
07e9b3b1	Aggressive Sales Tactics II	[0, 27, 'DINRoundOffcPro']
07f33f40	Send	[0, 4, 'DINRoundOffcPro']
07febddb	Best in Town	[0, 12, 'DINRoundOffcPro']
08271f66	PRESS ANY BUTTON	[0, 16, 'GillSansStd-UltraBold']
084223dc	Saghassi's Paintings: Hekseville 6	[0, 34, 'DINRoundOffcPro-Bold']
088c94f3	Freestyle Race I	[0, 16, 'DINRoundOffcPro']
08ae4b67	Enchanted Zone	[0, 14, 'DINRoundOffcPro']
08b2b8f5	The Machineries of Joy	[0, 22, 'GillSansStd-UltraBold']
08bd5bbf	Runaway Follow-Up	[0, 17, 'GillSansStd-UltraBold']
08d73c	Power Ups	[0, 9, 'DINRoundOffcPro']
08dbb3bf	This talisman is currently equipped, \n select anyway?	[0, 51, 'DINRoundOffcPro']
08dd7170	29th Layer	[0, 10, 'DINRoundOffcPro']
08e695bc	Prodigal Son	[0, 12, 'DINRoundOffcPro']
090d4d01	The Latest Hit	[0, 14, 'DINRoundOffcPro']
090e8ecd	With nothing but pictures and a novel to go \n on, an editor needs help finding an author, \n who changes appearances as he explores the \n city looking for ideas.	[0, 154, 'DINRoundOffcPro']
092ead26	Money Moves the World	[0, 21, 'DINRoundOffcPro']
093da591	87th Layer	[0, 10, 'DINRoundOffcPro']
0953a5d3	Story Missions	[0, 14, 'DINRoundOffcPro']
095941e0	Hold k : Enter Panther Mode	[0, 5, 'DINRoundOffcPro'], [5, 6, 'Gravity2_Gaiji'], [6, 27, 'DINRoundOffcPro']
0969dcd9	Merlitsol Company Apple Landmark \n A company logo that has become a symbolic landmark.	[0, 84, 'DINRoundOffcPro']
096ed970	21st Layer	[0, 10, 'GillSansStd-UltraBold']
09bfea75	94th Layer	[0, 10, 'GillSansStd-UltraBold']
09c0c54e	Bright Shell Stone	[0, 18, 'DINRoundOffcPro']
09e3f779	Throwing Arm	[0, 12, 'DINRoundOffcPro']
09eb8458	87th Layer	[0, 10, 'DINRoundOffcPro']
09fccb4b	Sliding Race I	[0, 14, 'DINRoundOffcPro']
0a4d9327	11th Layer	[0, 10, 'DINRoundOffcPro']
0a60dc48	Radiant Flower Stone	[0, 20, 'DINRoundOffcPro']
0a647423	Failed to load system data. \n Retry?	[0, 34, 'DINRoundOffcPro']
0a720eb4	Overthrow the Machines	[0, 22, 'DINRoundOffcPro']
0a7266fb	Light and Shadow	[0, 16, 'GillSansStd-UltraBold']
0a79c277	The Wages of Fear	[0, 17, 'GillSansStd-UltraBold']
0a832951	Beacon	[0, 6, 'DINRoundOffcPro']
0a8efb29	You have 999 talismans, please remove some.	[0, 43, 'DINRoundOffcPro']
0aa58d3d	Costume: "Shifter 1.0"	[0, 22, 'DINRoundOffcPro']
0acb91ac	Trial and Passage	[0, 17, 'DINRoundOffcPro']
0ad81289	Apple	[0, 5, 'DINRoundOffcPro']
0afb72ee	11th Layer	[0, 10, 'DINRoundOffcPro']
0b0ad254	A New Centipede	[0, 15, 'DINRoundOffcPro']
0b120fbc	A Gravity Slide-only race. \n Slide like a pro to reach your goal in time.	[0, 71, 'DINRoundOffcPro']
0b30ece6	Episode 8	[0, 9, 'HelveticaNeueLTStd-UltLt']
0b3488c5	59th Layer	[0, 10, 'GillSansStd-UltraBold']
0b48fa39	Took a collectible picture!	[0, 27, 'DINRoundOffcPro']
0b552f82	Dusty Token Presents	[0, 20, 'DINRoundOffcPro']
0b5673cf	Exit	[0, 4, 'DINRoundOffcPro']
0b7279fa	73rd Layer	[0, 10, 'DINRoundOffcPro']
0bac6cba	Out and About	[0, 13, 'GillSansStd-UltraBold']
0bd056f0	The Depth	[0, 9, 'DINRoundOffcPro']
0bd0efb4	You've obtained the photo item: \n "Special Photo Item #5."	[0, 56, 'DINRoundOffcPro']
0c1a746f	50th Layer	[0, 10, 'DINRoundOffcPro']
0c2760e3	Your hint led someone to finding \n the treasure!	[0, 46, 'DINRoundOffcPro']
0c3d3df9	OFF	[0, 3, 'DINRoundOffcPro']
0c4d457c	Gravity Storm in Progress	[0, 25, 'DINRoundOffcPro']
0c70a43b	Alone Again	[0, 11, 'GillSansStd-UltraBold']
0c7a729f	A store isn't taking off like the owner \n expected. Grab some customers with \n Stasis Fields.	[0, 89, 'DINRoundOffcPro']
0c7a83	Tales from the Airboats	[0, 23, 'GillSansStd-UltraBold']
0c7ea544	90th Layer	[0, 10, 'GillSansStd-UltraBold']
0c9fc130	You've obtained a new costume: "Shifter 1.0" \n as a reward for collecting 5,000 Dusty Tokens! \n You can use it by pressing l and entering Photo Mode. \n Check Dusty Tokens from Statistics in the System Menu.	[0, 119, 'DINRoundOffcPro'], [119, 120, 'Gravity2_Gaiji'], [120, 200, 'DINRoundOffcPro']
0caf622a	Episode 3	[0, 9, 'HelveticaNeueLTStd-UltLt']
0cf1f630	Words, Words	[0, 12, 'DINRoundOffcPro']
0d0c9e79	Havina Terminal	[0, 15, 'GillSansStd-UltraBold']
0d2463fd	Strike a Deal	[0, 13, 'GillSansStd-UltraBold']
0d321f6d	©2017 Sony Interactive Entertainment All Rights Reserved.	[0, 57, 'MyriadPro-Light']
0d4d23e3	Saghassi's Paintings: Hekseville 1	[0, 34, 'DINRoundOffcPro-Bold']
0d6be5b9	Manhole Warp	[0, 12, 'DINRoundOffcPro']
0d9794fa	Newspaper Delivery I	[0, 20, 'DINRoundOffcPro']
0db94b6e	Candle Zone	[0, 11, 'DINRoundOffcPro']
0dbdb8fc	Oh, Sweet Little Lady	[0, 21, 'GillSansStd-UltraBold']
0df195c3	Finding You	[0, 11, 'DINRoundOffcPro']
0df42a6f	(Dodge in the Direction Flicked)	[0, 32, 'DINRoundOffcPro']
0e018858	Dusty Tokens	[0, 12, 'GillSansStd-UltraBold']
0e2d44d6	"Long Lost Love" \n Another day, another unsent love letter.	[0, 57, 'DINRoundOffcPro']
0e3bac2e	The sudden retreat of the Garrison forces, \n Raven's alliance with the military - many \n questions rattled around in Kat's head as she \n headed to the Banga Settlement for a showdown \n with Raven.	[0, 188, 'DINRoundOffcPro']
0e79d977	28th Layer	[0, 10, 'GillSansStd-UltraBold']
0e913136	ON	[0, 2, 'DINRoundOffcPro']
0e918e14	Leather Floor Mat	[0, 17, 'DINRoundOffcPro']
0eb66f7f	34th Layer	[0, 10, 'DINRoundOffcPro']
0eb7fdf0	Talisman: "Dengeki Recovery"	[0, 28, 'DINRoundOffcPro']
0ec02772	OFF	[0, 3, 'DINRoundOffcPro']
0ec98f4f	63rd Layer	[0, 10, 'GillSansStd-UltraBold']
0ee9408c	Incoming Challenge Result	[0, 25, 'DINRoundOffcPro']
0eeef780	Thieves Code	[0, 12, 'DINRoundOffcPro']
0f0d59ef	86th Layer	[0, 10, 'DINRoundOffcPro']
0f5b8e3b	Power Up	[0, 8, 'GillSansStd-UltraBold']
0f718ac4	46th Layer	[0, 10, 'GillSansStd-UltraBold']
0f796b62	The Depth	[0, 9, 'GillSansStd-UltraBold']
0f852aef	5 Messages...	[0, 13, 'DINRoundOffcPro']
0f8843d9	Things I Like, Things I Hate	[0, 28, 'GillSansStd-UltraBold']
0faf7bf9	68th Layer	[0, 10, 'DINRoundOffcPro']
0fb802a5	Men's Portraits 6	[0, 17, 'DINRoundOffcPro-Bold']
