Reference Name	Text	Font
00468e2b	Cosas que adoro y que odio	[0, 26, 'DINRoundOffcPro']
0063c269	De camino a la ciudad	[0, 21, 'GillSansStd-UltraBold']
006d2943	Bombona de gas	[0, 14, 'DINRoundOffcPro']
00724e9d	En declive	[0, 10, 'DINRoundOffcPro']
008f8d2f	Talismán: "Receta de pescador"	[0, 30, 'DINRoundOffcPro']
0095956c	Elige tres propiedades que quieras \n transmitir al talismán combinado.	[0, 68, 'DINRoundOffcPro']
01059121	7º Estrato	[0, 10, 'DINRoundOffcPro']
010e2838	Una roja	[0, 8, 'DINRoundOffcPro']
0123a81a	CONTINUAR	[0, 9, 'GillSansStd-ExtraBold']
01278b62	Un repartidor necesita ayuda para distribuir \n la prensa a los lectores de la ciudad.	[0, 83, 'DINRoundOffcPro']
0128e3fd	Kat de blanco	[0, 13, 'DINRoundOffcPro']
013b274b	Objeto de imagen especial 3	[0, 27, 'DINRoundOffcPro']
0140296b	Talismanes	[0, 10, 'GillSansStd-UltraBold']
014f3085	¡"PSO2 Contenedor azul" conseguido! \n Puedes usarlo pulsando l y entrando en el modo imagen.	[0, 59, 'DINRoundOffcPro'], [59, 60, 'Gravity2_Gaiji'], [60, 90, 'DINRoundOffcPro']
016557df	Distrito de ocio "Pleajeune" \n Una mujer que está parada en el puente \n junto a la Academia Arquebus.	[0, 97, 'DINRoundOffcPro']
01659d38	El coste del miedo	[0, 18, 'DINRoundOffcPro']
01838fa6	La multitud	[0, 11, 'DINRoundOffcPro']
01862e67	¡Has conseguido "2B de NieR: Automata sin visor"! \n Puedes usarlo pulsando l y entrando en el modo imagen.	[0, 73, 'DINRoundOffcPro'], [73, 74, 'Gravity2_Gaiji'], [74, 104, 'DINRoundOffcPro']
0187d605	14º Estrato	[0, 11, 'GillSansStd-UltraBold']
01901083	Relajarse	[0, 9, 'DINRoundOffcPro']
01a0418a	¡Has conseguido el "Objeto de imagen especial 9"! \n Puedes usarlo pulsando l y entrando en el modo imagen.	[0, 73, 'DINRoundOffcPro'], [73, 74, 'Gravity2_Gaiji'], [74, 104, 'DINRoundOffcPro']
01b370e8	7º Estrato	[0, 10, 'DINRoundOffcPro']
01d9ea5f	Objeto de imagen especial 3	[0, 27, 'DINRoundOffcPro']
01f59ed8	e Filtrar habilidades    c Cambiar favoritos    d Eliminar    f Inventario de talismanes    p Terminar	[0, 1, 'Gravity2_Gaiji'], [1, 25, 'DINRoundOffcPro'], [25, 26, 'Gravity2_Gaiji'], [26, 48, 'DINRoundOffcPro'], [48, 49, 'Gravity2_Gaiji'], [49, 62, 'DINRoundOffcPro'], [62, 63, 'Gravity2_Gaiji'], [63, 92, 'DINRoundOffcPro'], [92, 93, 'Gravity2_Gaiji'], [93, 102, 'DINRoundOffcPro']
0201fab5	Ritos de paso	[0, 13, 'DINRoundOffcPro']
0203792f	Solicitud de información personal	[0, 33, 'DINRoundOffcPro']
0228f65e	Distrito de ocio "Pleajeune" \n Puerta del Elefante Ebrio	[0, 54, 'DINRoundOffcPro']
022a77f4	41º Estrato	[0, 11, 'DINRoundOffcPro']
02376368	Texto de nuevo aviso	[0, 20, 'DINRoundOffcPro']
023d97c4	34º Estrato	[0, 11, 'GillSansStd-UltraBold']
