Reference Name	Text	Font
00468e2b	Ce que j'aime, ou pas	[0, 21, 'DINRoundOffcPro']
0063c269	En ville	[0, 8, 'GillSansStd-UltraBold']
006d2943	Bonbonne de gaz	[0, 15, 'DINRoundOffcPro']
00724e9d	Sur le déclin	[0, 13, 'DINRoundOffcPro']
008f8d2f	Talisman : "Recette de pêcheur"	[0, 31, 'DINRoundOffcPro']
0095956c	Choisis trois aptitudes que \n tu souhaites voir transférées \n dans le talisman fusionné.	[0, 84, 'DINRoundOffcPro']
01059121	7e niveau	[0, 9, 'DINRoundOffcPro']
010e2838	Rouge	[0, 5, 'DINRoundOffcPro']
0123a81a	CONTINUER	[0, 9, 'GillSansStd-ExtraBold']
01278b62	Un coursier a besoin d'aide pour distribuer \n le journal aux lecteurs de la ville.	[0, 80, 'DINRoundOffcPro']
0128e3fd	Kat blanche	[0, 11, 'DINRoundOffcPro']
013b274b	Objet photo spécial #3	[0, 22, 'DINRoundOffcPro']
0140296b	Talismans	[0, 9, 'GillSansStd-UltraBold']
014f3085	"Conteneur bleu PSO2" obtenu ! \n Tu peux l'utiliser en appuyant sur l et \n en ouvrant le mode photo.	[0, 66, 'DINRoundOffcPro'], [66, 67, 'Gravity2_Gaiji'], [67, 96, 'DINRoundOffcPro']
016557df	Quartier festif, "Plijeune" \n Une femme se tenant sur le pont près de l'École Arquebuse.	[0, 86, 'DINRoundOffcPro']
01659d38	Le salaire de la peur	[0, 21, 'DINRoundOffcPro']
01838fa6	La foule	[0, 8, 'DINRoundOffcPro']
01862e67	"NieR: Automata 2B sans visière" obtenue ! \n Tu peux l'utiliser en appuyant sur l et \n en ouvrant le mode photo.	[0, 78, 'DINRoundOffcPro'], [78, 79, 'Gravity2_Gaiji'], [79, 108, 'DINRoundOffcPro']
0187d605	14e niveau	[0, 10, 'GillSansStd-UltraBold']
01901083	Relax	[0, 5, 'DINRoundOffcPro']
01a0418a	"Objet photo spécial #9" obtenu ! \n Tu peux l'utiliser en appuyant sur l et \n en ouvrant le mode photo.	[0, 69, 'DINRoundOffcPro'], [69, 70, 'Gravity2_Gaiji'], [70, 99, 'DINRoundOffcPro']
01b370e8	7e niveau	[0, 9, 'DINRoundOffcPro']
01d9ea5f	Objet photo spécial #3	[0, 22, 'DINRoundOffcPro']
01f59ed8	e Filtrer aptitudes    c Ajouter/Retirer des favoris    d Menu Suppression    f Inventaire des talismans    p Quitter	[0, 1, 'Gravity2_Gaiji'], [1, 23, 'DINRoundOffcPro'], [23, 24, 'Gravity2_Gaiji'], [24, 56, 'DINRoundOffcPro'], [56, 57, 'Gravity2_Gaiji'], [57, 78, 'DINRoundOffcPro'], [78, 79, 'Gravity2_Gaiji'], [79, 108, 'DINRoundOffcPro'], [108, 109, 'Gravity2_Gaiji'], [109, 117, 'DINRoundOffcPro']
0201fab5	Épreuve et passage	[0, 18, 'DINRoundOffcPro']
0203792f	Demande d'informations personnelles	[0, 35, 'DINRoundOffcPro']
0228f65e	Quartier festif, "Plijeune" \n Porte de l'éléphant ivre	[0, 52, 'DINRoundOffcPro']
022a77f4	41e niveau	[0, 10, 'DINRoundOffcPro']
02376368	Texte de nouvelle annonce	[0, 25, 'DINRoundOffcPro']
023d97c4	34e niveau	[0, 10, 'GillSansStd-UltraBold']
025df376	Étrange phénomène gravitationnel	[0, 32, 'DINRoundOffcPro']
028ea8c9	81e niveau	[0, 10, 'GillSansStd-UltraBold']
029554ab	Les combos sont améliorés, ou \n les coups de pied appartenant à \n un style spécifique sont \n améliorés.	[0, 97, 'DINRoundOffcPro']
02c34025	Progression de l'histoire	[0, 25, 'DINRoundOffcPro']
02deb3aa	Combat en champ d'apesanteur	[0, 28, 'DINRoundOffcPro']
030aeb58	Duel	[0, 4, 'GillSansStd-UltraBold']
031c1f5f	GRAVITY RUSH™2 ©2016 Sony Interactive Entertainment Inc. Published by Sony Interactive Entertainment Europe. \n Developed by JAPAN Studio. “GRAVITY RUSH” is a trademark or a registered trademark of Sony Interactive Entertainment Europe. All rights reserved.	[0, 254, 'MyriadPro-Light']
032633fe	Adouci	[0, 6, 'DINRoundOffcPro']
0328a235	Ondulations	[0, 11, 'GillSansStd-UltraBold']
039e4f64	Coquillage éclatant	[0, 19, 'DINRoundOffcPro']
03c8d584	OK	[0, 2, 'DINRoundOffcPro']
03d27169	20e niveau	[0, 10, 'DINRoundOffcPro']
03db95b5	Garde du corps négligeant	[0, 25, 'DINRoundOffcPro']
03e34b71	Portraits de femmes 5	[0, 21, 'DINRoundOffcPro-Bold']
03f69d6b	Manoir Sun	[0, 10, 'GillSansStd-UltraBold']
03f779e5	Style Jupiter	[0, 13, 'DINRoundOffcPro']
0407e53f	Filons de minerai riches	[0, 24, 'DINRoundOffcPro']
045bd811	Panoramas d'Hekseville 5	[0, 24, 'DINRoundOffcPro-Bold']
046f618d	Course de glisse I	[0, 18, 'DINRoundOffcPro']
0475b6f6	Ensemble, c'est étrange	[0, 23, 'GillSansStd-UltraBold']
049a3a01	Tenues	[0, 6, 'DINRoundOffcPro']
04c04344	Appel de détresse Fosse Delvool	[0, 31, 'DINRoundOffcPro']
04c2a1a5	Larmes refoulées	[0, 16, 'GillSansStd-BoldExtraCond']
04c49b73	Ruines de la Tour anti-tempête	[0, 30, 'GillSansStd-UltraBold']
04fcc698	Changement d'attitude	[0, 21, 'GillSansStd-UltraBold']
05429320	18e niveau	[0, 10, 'DINRoundOffcPro']
05518e32	Une maison en plein ciel	[0, 24, 'DINRoundOffcPro']
0557c251	Noirceur intérieure	[0, 19, 'GillSansStd-UltraBold']
056ec270	Art itinérant	[0, 13, 'GillSansStd-UltraBold']
0578294a	Jardinière	[0, 10, 'DINRoundOffcPro']
0583fb22	Supprimer	[0, 9, 'DINRoundOffcPro']
05a09573	Place cinq talismans. \n Ils seront recyclés pour \n créer un nouveau talisman.	[0, 73, 'DINRoundOffcPro']
05afdc2d	Auldnoir	[0, 8, 'DINRoundOffcPro']
05c33066	Tenue "Gravitéenne 1.0" obtenue ! \n Tu peux l'utiliser en appuyant sur l et \n en ouvrant le mode photo.	[0, 69, 'DINRoundOffcPro'], [69, 70, 'Gravity2_Gaiji'], [70, 99, 'DINRoundOffcPro']
05d1d6c6	Sensibilité des mouvements	[0, 26, 'DINRoundOffcPro']
05f072e7	18e niveau	[0, 10, 'DINRoundOffcPro']
0625ecdf	Épisode 3	[0, 9, 'HelveticaNeueLTStd-UltLt']
062988be	52e niveau	[0, 10, 'GillSansStd-UltraBold']
064041d3	Une légende est née	[0, 19, 'GillSansStd-UltraBold']
0643a273	Esquive	[0, 7, 'DINRoundOffcPro']
066779f3	78e niveau	[0, 10, 'DINRoundOffcPro']
067a99c3	27e niveau	[0, 10, 'GillSansStd-UltraBold']
067afaf0	Maison du conduit	[0, 17, 'DINRoundOffcPro']
068d0586	Évaluation de photo	[0, 19, 'GillSansStd-UltraBold']
06c556e9	92e niveau	[0, 10, 'DINRoundOffcPro']
06c5efad	Tu as obtenu l'objet photo : \n "Objet photo spécial #12."	[0, 55, 'DINRoundOffcPro']
070cfabc	Comme une radio	[0, 15, 'DINRoundOffcPro']
071971d0	Accepter le défi	[0, 16, 'DINRoundOffcPro']
07358cf6	Miroir dans un cadre en bois	[0, 28, 'DINRoundOffcPro']
07361ebd	d Classements    p Supprimer un repère de guidage    r Retour	[0, 1, 'Gravity2_Gaiji'], [1, 17, 'DINRoundOffcPro'], [17, 18, 'Gravity2_Gaiji'], [18, 53, 'DINRoundOffcPro'], [53, 54, 'Gravity2_Gaiji'], [54, 61, 'DINRoundOffcPro']
0768f37d	Rapports de chasse au trésor	[0, 28, 'DINRoundOffcPro']
0787cdc9	Vieille ville, "Auldnoir" \n Un homme se trouvant vers la boîte aux lettres de la poste.	[0, 85, 'DINRoundOffcPro']
078ba7c7	Chat noir	[0, 9, 'GillSansStd-UltraBold']
07ce402c	Disparitions	[0, 12, 'DINRoundOffcPro']
07e9b3b1	Techniques de vente agressives II	[0, 33, 'DINRoundOffcPro']
07f33f40	Envoyer	[0, 7, 'DINRoundOffcPro']
07febddb	Les meilleures de la ville	[0, 26, 'DINRoundOffcPro']
08271f66	APPUIE SUR UNE TOUCHE	[0, 21, 'GillSansStd-UltraBold']
084223dc	Fresques de Saghassi : Hekseville 6	[0, 35, 'DINRoundOffcPro-Bold']
088c94f3	Course (style libre) I	[0, 22, 'DINRoundOffcPro']
08ae4b67	Zone enchantée	[0, 14, 'DINRoundOffcPro']
08b2b8f5	Les rouages de la joie	[0, 22, 'GillSansStd-UltraBold']
08bd5bbf	Suite du fuyard	[0, 15, 'GillSansStd-UltraBold']
08d73c	Améliorations	[0, 13, 'DINRoundOffcPro']
08dbb3bf	Ce talisman est actuellement équipé, \n le sélectionner quand même ?	[0, 65, 'DINRoundOffcPro']
08dd7170	29e niveau	[0, 10, 'DINRoundOffcPro']
08e695bc	Fils prodigue	[0, 13, 'DINRoundOffcPro']
090d4d01	Le tube du moment	[0, 17, 'DINRoundOffcPro']
