Reference Name	Text	Font
006d2943	orf	[0, 3, 'Gravity2_hx_SansCondensed']
0123a81a	euitoc	[0, 6, 'Gravity2_hx_SansCondensed']
013b274b	uskkbane	[0, 8, 'Gravity2_hx_SansCondensed']
0140296b	ibosamsiat	[0, 10, 'Gravity2_hx_SansCondensed']
0187d605	uoia41ia	[0, 8, 'Gravity2_hx_SansCondensed']
0201fab5	amtonanis	[0, 9, 'Gravity2_hx_SansCondensed']
030aeb58	sv	[0, 2, 'Gravity2_hx_SansCondensed']
04c2a1a5	adma	[0, 4, 'Gravity2_hx_SansCondensed']
0578294a	noia	[0, 4, 'Gravity2_hx_SansCondensed']
05afdc2d	iaihuuk	[0, 7, 'Gravity2_hx_SansCondensed']
0625ecdf	3 edsie	[0, 7, 'Gravity2_hx_SansCondensed']
068d0586	uyertof	[0, 7, 'Gravity2_hx_SansCondensed']
071971d0	urkuwnsuhc	[0, 10, 'Gravity2_hx_SansCondensed']
07f33f40	ursnhsos	[0, 8, 'Gravity2_hx_SansCondensed']
096ed970	uoia12ia	[0, 8, 'Gravity2_hx_SansCondensed']
09bfea75	uoia49ia	[0, 8, 'Gravity2_hx_SansCondensed']
0a832951	iausubkosuynk	[0, 13, 'Gravity2_hx_SansCondensed']
0acb91ac	amtonanis	[0, 9, 'Gravity2_hx_SansCondensed']
0b30ece6	8 edsie	[0, 7, 'Gravity2_hx_SansCondensed']
0b5673cf	ursuyruh	[0, 8, 'Gravity2_hx_SansCondensed']
0caf622a	3 edsie	[0, 7, 'Gravity2_hx_SansCondensed']
0d6be5b9	urhnma ighs 	[0, 12, 'Gravity2_hx_SansCondensed']
0e79d977	uoia82ia	[0, 8, 'Gravity2_hx_SansCondensed']
0f5b8e3b	akoyukyron	[0, 10, 'Gravity2_hx_SansCondensed']
0f796b62	uoia001ia	[0, 9, 'Gravity2_hx_SansCondensed']
1081e9a2	ijoyonokaupa	[0, 12, 'Gravity2_hx_SansCondensed']
10ed125d	urkuus	[0, 6, 'Gravity2_hx_SansCondensed']
10efd1f4	uoia97ia	[0, 8, 'Gravity2_hx_SansCondensed']
1189d001	uruaikh	[0, 7, 'Gravity2_hx_SansCondensed']
1265ca71	uoia64ia	[0, 8, 'Gravity2_hx_SansCondensed']
12b6db76	uoia33ia	[0, 8, 'Gravity2_hx_SansCondensed']
13629f8e	atkaayuouoqm	[0, 10, 'Gravity2_hx_SansCondensed'], [10, 12, 'Gravity2_hx_SansCondensed']
13afe7f0	uoia58ia	[0, 8, 'Gravity2_hx_SansCondensed']
1404ccad	upam	[0, 4, 'Gravity2_hx_SansCondensed']
1422f36b	aeamsiotuf	[0, 10, 'Gravity2_hx_SansCondensed']
14bd2b90	eairkueta	[0, 9, 'Gravity2_hx_SansCondensed']
15c3971b	ihneonrauf	[0, 10, 'Gravity2_hx_SansCondensed']
16a2cc70	uoia15ia	[0, 8, 'Gravity2_hx_SansCondensed']
16ca05b1	uorutoakneuf	[0, 12, 'Gravity2_hx_SansCondensed']
16e70914	oteswianhookp	[0, 12, 'Gravity2_hx_SansCondensed'], [12, 13, 'Gravity2_Gaiji']
17c1db7d	uoia83ia	[0, 8, 'Gravity2_hx_SansCondensed']
18fa2d8f	otauuz	[0, 6, 'Gravity2_hx_SansCondensed']
1a05d202	uoia77ia	[0, 8, 'Gravity2_hx_SansCondensed']
1a4d38bb	instb	[0, 5, 'Gravity2_hx_SansCondensed']
1a6af40f	iksnguakhuaw	[0, 12, 'Gravity2_hx_SansCondensed']
1a97e9b0	uskaowokaupa	[0, 12, 'Gravity2_hx_SansCondensed']
1aacebca	naijroon	[0, 8, 'Gravity2_hx_SansCondensed']
1ace9722	uusng	[0, 5, 'Gravity2_hx_SansCondensed']
1b06c7e5	ursaatr	[0, 7, 'Gravity2_hx_SansCondensed']
1b67cae1	odna	[0, 4, 'Gravity2_hx_SansCondensed']
1bf9e670	22 edsie	[0, 8, 'Gravity2_hx_SansCondensed']
1c99fadd	usmisearhsowohojihia	[0, 20, 'Gravity2_hx_SansCondensed']
