Reference Name	Text	Font
00468e2b	Cose che amo, cose che odio	[0, 27, 'DINRoundOffcPro']
0063c269	Gita in città	[0, 13, 'GillSansStd-UltraBold']
006d2943	Bombola di gas	[0, 14, 'DINRoundOffcPro']
00724e9d	Sempre peggio	[0, 13, 'DINRoundOffcPro']
008f8d2f	Talismano: "Ricetta del pescatore"	[0, 34, 'DINRoundOffcPro']
0095956c	Scegli tre abilità da trasferire \n nel talismano risultante.	[0, 58, 'DINRoundOffcPro']
01059121	Livello 7	[0, 9, 'DINRoundOffcPro']
010e2838	Una mela	[0, 8, 'DINRoundOffcPro']
0123a81a	CONTINUA	[0, 8, 'GillSansStd-ExtraBold']
01278b62	Un corriere ha bisogno di aiuto per \n distribuire giornali ai lettori in città.	[0, 77, 'DINRoundOffcPro']
0128e3fd	Kat in bianco	[0, 13, 'DINRoundOffcPro']
013b274b	Oggetto speciale foto n.3	[0, 25, 'DINRoundOffcPro']
0140296b	Talismani	[0, 9, 'GillSansStd-UltraBold']
014f3085	Hai ottenuto "Contenitore blu PSO2"! \n Puoi usarlo premendo l ed entrando in modalità foto.	[0, 58, 'DINRoundOffcPro'], [58, 59, 'Gravity2_Gaiji'], [59, 89, 'DINRoundOffcPro']
016557df	Quartiere dei divertimenti "Pleajeune" \n Una donna sul ponte dell'Accademia d'Arquebus.	[0, 85, 'DINRoundOffcPro']
01659d38	Il costo della paura	[0, 20, 'DINRoundOffcPro']
01838fa6	La folla	[0, 8, 'DINRoundOffcPro']
01862e67	Hai ottenuto "2B senza visore (NieR: Automata)"! \n Puoi usarlo premendo l ed entrando in modalità foto.	[0, 70, 'DINRoundOffcPro'], [70, 71, 'Gravity2_Gaiji'], [71, 101, 'DINRoundOffcPro']
0187d605	Livello 14	[0, 10, 'GillSansStd-UltraBold']
01901083	Rilassati	[0, 9, 'DINRoundOffcPro']
01a0418a	Hai ottenuto "Oggetto speciale foto n.9"! \n Puoi usarlo premendo l ed entrando in modalità foto.	[0, 63, 'DINRoundOffcPro'], [63, 64, 'Gravity2_Gaiji'], [64, 94, 'DINRoundOffcPro']
01b370e8	Livello 7	[0, 9, 'DINRoundOffcPro']
01d9ea5f	Oggetto speciale foto n.3	[0, 25, 'DINRoundOffcPro']
01f59ed8	e Filtra abilità    c Aggiungi a/Rimuovi da preferiti    d Menu elimina    f Inventario talismani    p Termina	[0, 1, 'Gravity2_Gaiji'], [1, 20, 'DINRoundOffcPro'], [20, 21, 'Gravity2_Gaiji'], [21, 57, 'DINRoundOffcPro'], [57, 58, 'Gravity2_Gaiji'], [58, 75, 'DINRoundOffcPro'], [75, 76, 'Gravity2_Gaiji'], [76, 101, 'DINRoundOffcPro'], [101, 102, 'Gravity2_Gaiji'], [102, 110, 'DINRoundOffcPro']
0201fab5	Prova e passaggio	[0, 17, 'DINRoundOffcPro']
0203792f	Richiesta di informazioni personali	[0, 35, 'DINRoundOffcPro']
0228f65e	Quartiere dei divertimenti "Pleajeune" \n Cancello dell'elefante ubriaco	[0, 69, 'DINRoundOffcPro']
022a77f4	Livello 41	[0, 10, 'DINRoundOffcPro']
02376368	Testo nuovo annuncio	[0, 20, 'DINRoundOffcPro']
023d97c4	Livello 34	[0, 10, 'GillSansStd-UltraBold']
025df376	Strani fenomeni gravitazionali	[0, 30, 'DINRoundOffcPro']
028ea8c9	Livello 81	[0, 10, 'GillSansStd-UltraBold']
029554ab	Potenzia gli attacchi combo \n o i calci di uno stile \n specifico.	[0, 61, 'DINRoundOffcPro']
02c34025	Avanzamento storia	[0, 18, 'DINRoundOffcPro']
02deb3aa	Battaglia campo di stasi	[0, 24, 'DINRoundOffcPro']
030aeb58	VS	[0, 2, 'GillSansStd-UltraBold']
031c1f5f	GRAVITY RUSH™2 ©2016 Sony Interactive Entertainment Inc. Published by Sony Interactive Entertainment Europe. \n Developed by JAPAN Studio. “GRAVITY RUSH” is a trademark or a registered trademark of Sony Interactive Entertainment Europe. All rights reserved.	[0, 254, 'MyriadPro-Light']
032633fe	Morbido	[0, 7, 'DINRoundOffcPro']
0328a235	Cerchi nell'acqua	[0, 17, 'GillSansStd-UltraBold']
039e4f64	Pietra conchiglia brillante	[0, 27, 'DINRoundOffcPro']
03c8d584	OK	[0, 2, 'DINRoundOffcPro']
03d27169	Livello 20	[0, 10, 'DINRoundOffcPro']
03db95b5	Scorta distratta	[0, 16, 'DINRoundOffcPro']
03e34b71	Ritratti di donne 5	[0, 19, 'DINRoundOffcPro-Bold']
03f69d6b	Villa Sun	[0, 9, 'GillSansStd-UltraBold']
03f779e5	Gravità gioviana	[0, 16, 'DINRoundOffcPro']
0407e53f	Depositi minerari ricchi	[0, 24, 'DINRoundOffcPro']
045bd811	Vedute di Hekseville 5	[0, 22, 'DINRoundOffcPro-Bold']
046f618d	Gara di scivolata I	[0, 19, 'DINRoundOffcPro']
0475b6f6	Insieme, che strano	[0, 19, 'GillSansStd-UltraBold']
049a3a01	Costumi	[0, 7, 'DINRoundOffcPro']
04c04344	SOS fossa mineraria di Delvool	[0, 30, 'DINRoundOffcPro']
04c2a1a5	Lacrime non versate	[0, 19, 'GillSansStd-BoldExtraCond']
04c49b73	Rovine della Torre Spaccatuono	[0, 30, 'GillSansStd-UltraBold']
04fcc698	Cambio di atteggiamento	[0, 23, 'GillSansStd-UltraBold']
05429320	Livello 18	[0, 10, 'DINRoundOffcPro']
05518e32	Una casa nel cielo blu	[0, 22, 'DINRoundOffcPro']
0557c251	Oscurità interiore	[0, 18, 'GillSansStd-UltraBold']
056ec270	Arte vagante	[0, 12, 'GillSansStd-UltraBold']
0578294a	Cassetta per fiori	[0, 18, 'DINRoundOffcPro']
0583fb22	Elimina	[0, 7, 'DINRoundOffcPro']
05a09573	Seleziona cinque talismani. \n Verranno riciclati per \n crearne uno nuovo.	[0, 69, 'DINRoundOffcPro']
05afdc2d	Auldnoir	[0, 8, 'DINRoundOffcPro']
05c33066	Ottenuto "Shifter 1.0"! \n Puoi usarlo premendo l ed entrando in modalità foto.	[0, 45, 'DINRoundOffcPro'], [45, 46, 'Gravity2_Gaiji'], [46, 76, 'DINRoundOffcPro']
05d1d6c6	Sensibilità movimento	[0, 21, 'DINRoundOffcPro']
05f072e7	Livello 18	[0, 10, 'DINRoundOffcPro']
0625ecdf	Episodio 3	[0, 10, 'HelveticaNeueLTStd-UltLt']
062988be	Livello 52	[0, 10, 'GillSansStd-UltraBold']
064041d3	È nata una leggenda	[0, 19, 'GillSansStd-UltraBold']
0643a273	Schiva	[0, 6, 'DINRoundOffcPro']
066779f3	Livello 78	[0, 10, 'DINRoundOffcPro']
067a99c3	Livello 27	[0, 10, 'GillSansStd-UltraBold']
067afaf0	Casa tubo	[0, 9, 'DINRoundOffcPro']
068d0586	Valutazione foto	[0, 16, 'GillSansStd-UltraBold']
06c556e9	Livello 92	[0, 10, 'DINRoundOffcPro']
06c5efad	Hai ottenuto l'oggetto foto: \n "Oggetto speciale foto n.12".	[0, 58, 'DINRoundOffcPro']
070cfabc	Come la radio	[0, 13, 'DINRoundOffcPro']
071971d0	Accetta sfida	[0, 13, 'DINRoundOffcPro']
07358cf6	Specchio con cornice in legno	[0, 29, 'DINRoundOffcPro']
07361ebd	d Classifiche    p Rimuovi indicatore navigazione    r Indietro	[0, 1, 'Gravity2_Gaiji'], [1, 17, 'DINRoundOffcPro'], [17, 18, 'Gravity2_Gaiji'], [18, 53, 'DINRoundOffcPro'], [53, 54, 'Gravity2_Gaiji'], [54, 63, 'DINRoundOffcPro']
0768f37d	Rapporti caccia al tesoro	[0, 25, 'DINRoundOffcPro']
0787cdc9	Città vecchia "Auldnoir" \n Un uomo che vaga vicino alla cassetta dell'ufficio postale.	[0, 84, 'DINRoundOffcPro']
078ba7c7	Gatto nero	[0, 10, 'GillSansStd-UltraBold']
07ce402c	Sparizioni	[0, 10, 'DINRoundOffcPro']
07e9b3b1	Marketing aggressivo II	[0, 23, 'DINRoundOffcPro']
07f33f40	Invia	[0, 5, 'DINRoundOffcPro']
07febddb	I migliori della città	[0, 22, 'DINRoundOffcPro']
08271f66	PREMI UN TASTO	[0, 14, 'GillSansStd-UltraBold']
084223dc	Dipinti di Saghassi: Hekseville 6	[0, 33, 'DINRoundOffcPro-Bold']
088c94f3	Corsa libera I	[0, 14, 'DINRoundOffcPro']
08ae4b67	Zona incantata	[0, 14, 'DINRoundOffcPro']
08b2b8f5	La macchina della gioia	[0, 23, 'GillSansStd-UltraBold']
08bd5bbf	Seguito fuggitivo	[0, 17, 'GillSansStd-UltraBold']
08d73c	Potenziamenti	[0, 13, 'DINRoundOffcPro']
08dbb3bf	Al momento questo talismano è equipaggiato. \n Selezionarlo comunque?	[0, 66, 'DINRoundOffcPro']
08dd7170	Livello 29	[0, 10, 'DINRoundOffcPro']
08e695bc	Figliol prodigo	[0, 15, 'DINRoundOffcPro']
090d4d01	L'ultimo successo	[0, 17, 'DINRoundOffcPro']
090e8ecd	Affidandosi solo alla trama di un romanzo e \n a delle foto, un'editrice ha bisogno di aiuto \n per trovare uno scrittore in fuga che cambia \n di continuo aspetto mentre vaga per la città \n in cerca di ispirazione.	[0, 204, 'DINRoundOffcPro']
092ead26	I soldi fanno girare il mondo	[0, 29, 'DINRoundOffcPro']
093da591	Livello 87	[0, 10, 'DINRoundOffcPro']
0953a5d3	Missioni storia	[0, 15, 'DINRoundOffcPro']
095941e0	Tieni premuto k : Attiva modalità pantera	[0, 14, 'DINRoundOffcPro'], [14, 15, 'Gravity2_Gaiji'], [15, 41, 'DINRoundOffcPro']
0969dcd9	Simbolo a mela della Merlitsol \n Il marchio di un'azienda diventato un punto di riferimento.	[0, 90, 'DINRoundOffcPro']
096ed970	Livello 21	[0, 10, 'GillSansStd-UltraBold']
09bfea75	Livello 94	[0, 10, 'GillSansStd-UltraBold']
09c0c54e	Pietra conchiglia luminosa	[0, 26, 'DINRoundOffcPro']
09e3f779	Braccio da lanciatore	[0, 21, 'DINRoundOffcPro']
09eb8458	Livello 87	[0, 10, 'DINRoundOffcPro']
09fccb4b	Gara di scivolata I	[0, 19, 'DINRoundOffcPro']
0a4d9327	Livello 11	[0, 10, 'DINRoundOffcPro']
0a60dc48	Pietra fiore radiosa	[0, 20, 'DINRoundOffcPro']
0a647423	Impossibile caricare i dati di sistema. \n Riprovare?	[0, 50, 'DINRoundOffcPro']
0a720eb4	Rovesciare le macchine	[0, 22, 'DINRoundOffcPro']
0a7266fb	Luce e ombra	[0, 12, 'GillSansStd-UltraBold']
0a79c277	Il costo della paura	[0, 20, 'GillSansStd-UltraBold']
0a832951	Segnalatore	[0, 11, 'DINRoundOffcPro']
0a8efb29	Possiedi 999 talismani: eliminane qualcuno.	[0, 43, 'DINRoundOffcPro']
0aa58d3d	Costume: "Shifter 1.0"	[0, 22, 'DINRoundOffcPro']
0acb91ac	Prova e passaggio	[0, 17, 'DINRoundOffcPro']
0ad81289	Mela	[0, 4, 'DINRoundOffcPro']
0afb72ee	Livello 11	[0, 10, 'DINRoundOffcPro']
0b0ad254	Un nuovo Centopiedi	[0, 19, 'DINRoundOffcPro']
0b120fbc	Una gara di sole scivolate gravitazionali. \n Scivola abilmente e arriva al traguardo in tempo.	[0, 92, 'DINRoundOffcPro']
0b30ece6	Episodio 8	[0, 10, 'HelveticaNeueLTStd-UltLt']
0b3488c5	Livello 59	[0, 10, 'GillSansStd-UltraBold']
0b48fa39	Hai scattato una foto da collezione!	[0, 36, 'DINRoundOffcPro']
0b552f82	Regalo gettone Dusty	[0, 20, 'DINRoundOffcPro']
0b5673cf	Esci	[0, 4, 'DINRoundOffcPro']
0b7279fa	Livello 73	[0, 10, 'DINRoundOffcPro']
0bac6cba	A spasso	[0, 8, 'GillSansStd-UltraBold']
0bd056f0	L'abisso	[0, 8, 'DINRoundOffcPro']
0bd0efb4	Hai ottenuto l'oggetto foto: \n "Oggetto speciale foto n.5".	[0, 57, 'DINRoundOffcPro']
0c1a746f	Livello 50	[0, 10, 'DINRoundOffcPro']
0c2760e3	Il tuo indizio ha aiutato qualcuno \n a trovare il tesoro!	[0, 55, 'DINRoundOffcPro']
0c3d3df9	NO	[0, 2, 'DINRoundOffcPro']
0c4d457c	Tempesta gravitazionale in corso	[0, 32, 'DINRoundOffcPro']
0c70a43b	Ancora solitudine	[0, 17, 'GillSansStd-UltraBold']
0c7a729f	Un negozio sta deludendo le aspettative. \n Agguanta dei clienti usando \n campo di stasi.	[0, 84, 'DINRoundOffcPro']
0c7a83	Racconti delle aerobarche	[0, 25, 'GillSansStd-UltraBold']
0c7ea544	Livello 90	[0, 10, 'GillSansStd-UltraBold']
0c9fc130	Hai ottenuto un nuovo costume: "Shifter 1.0" \n per aver raccolto 5.000 gettoni Dusty! \n Puoi usarlo premendo l ed entrando in modalità foto. \n Visualizza i gettoni Dusty in Statistiche nel menu di sistema.	[0, 105, 'DINRoundOffcPro'], [105, 106, 'Gravity2_Gaiji'], [106, 199, 'DINRoundOffcPro']
0caf622a	Episodio 3	[0, 10, 'HelveticaNeueLTStd-UltLt']
0cf1f630	Parole, parole	[0, 14, 'DINRoundOffcPro']
0d0c9e79	Terminal di Havina	[0, 18, 'GillSansStd-UltraBold']
0d2463fd	Trovare un accordo	[0, 18, 'GillSansStd-UltraBold']
0d4d23e3	Dipinti di Saghassi: Hekseville 1	[0, 33, 'DINRoundOffcPro-Bold']
0d6be5b9	Tombino di trasporto	[0, 20, 'DINRoundOffcPro']
0d9794fa	Consegna giornali I	[0, 19, 'DINRoundOffcPro']
0db94b6e	Zona delle candele	[0, 18, 'DINRoundOffcPro']
0dbdb8fc	Oh, mia piccola dolce signorina	[0, 31, 'GillSansStd-UltraBold']
0df195c3	Ti cerco	[0, 8, 'DINRoundOffcPro']
0df42a6f	(Schiva nella direzione \n di scorrimento)	[0, 39, 'DINRoundOffcPro']
0e018858	Gettoni Dusty	[0, 13, 'GillSansStd-UltraBold']
0e2d44d6	"Amore perduto" \n Ogni giorno c'è una lettera d'amore che non viene spedita.	[0, 74, 'DINRoundOffcPro']
0e3bac2e	L'improvvisa ritirata delle forze della \n Guarnigione, l'alleanza tra Raven e i \n militari... Kat ha la testa piena di dubbi \n mentre si dirige verso il villaggio Banga \n per affrontare Raven.	[0, 184, 'DINRoundOffcPro']
0e79d977	Livello 28	[0, 10, 'GillSansStd-UltraBold']
0e913136	SÌ	[0, 2, 'DINRoundOffcPro']
0e918e14	Tappeto di pelle	[0, 16, 'DINRoundOffcPro']
0eb66f7f	Livello 34	[0, 10, 'DINRoundOffcPro']
0eb7fdf0	Talismano: "Dengeki recupero".	[0, 30, 'DINRoundOffcPro']
0ec02772	NO	[0, 2, 'DINRoundOffcPro']
0ec98f4f	Livello 63	[0, 10, 'GillSansStd-UltraBold']
0ee9408c	Risultato sfida in arrivo	[0, 25, 'DINRoundOffcPro']
0eeef780	Codice dei ladri	[0, 16, 'DINRoundOffcPro']
0f0d59ef	Livello 86	[0, 10, 'DINRoundOffcPro']
0f5b8e3b	Potenziamento	[0, 13, 'GillSansStd-UltraBold']
0f718ac4	Livello 46	[0, 10, 'GillSansStd-UltraBold']
0f796b62	L'abisso	[0, 8, 'GillSansStd-UltraBold']
0f852aef	5 messaggi...	[0, 13, 'DINRoundOffcPro']
0f8843d9	Cose che amo, cose che odio	[0, 27, 'GillSansStd-UltraBold']
0faf7bf9	Livello 68	[0, 10, 'DINRoundOffcPro']
0fb802a5	Ritratti di uomini 6	[0, 20, 'DINRoundOffcPro-Bold']
0fe3a6a3	Kat vive nei panni della regina Alua, finché \n la musica di un carillon perduto da tempo \n la guida da Dusty e Raven, che sono stati \n rinchiusi nel palazzo. Kat sta per scoprire \n un segreto che lega il passato del \n cancelliere Xicero a quello di Alias.	[0, 245, 'DINRoundOffcPro']
101b6cd7	Livello 66	[0, 10, 'DINRoundOffcPro']
1023b174	Impersonificazione di amministratore	[0, 36, 'DINRoundOffcPro']
104be854	Battaglia campo di stasi	[0, 24, 'GillSansStd-UltraBold']
106d8c10	Livello 66	[0, 10, 'DINRoundOffcPro']
