Reference Name	Text	Font
00468e2b	僕の好きなこと、嫌いなこと	[0, 13, 'SCE-MaruFolkProM']
0063c269	貴婦人の雲隠れ	[0, 7, 'SCE-MaruFolkProB']
006d2943	ガスボンベ	[0, 5, 'SCE-MaruFolkProM']
00724e9d	はぐれ者の本音 ２	[0, 9, 'SCE-MaruFolkProM']
008f8d2f	タリスマン「鬼才の漁師風レシピ」	[0, 16, 'SCE-MaruFolkProM']
0095956c	マージ後のタリスマンに付けたいスキルを \n ３つ選んでください。	[0, 30, 'SCE-MaruFolkProM']
01059121	深度7	[0, 3, 'SCE-MaruFolkProM']
010e2838	リンゴ	[0, 3, 'SCE-MaruFolkProM']
0123a81a	続きから	[0, 4, 'SCE-MaruFolkProM']
01278b62	運び屋からの依頼。 \n 街の読者たちに新聞を届けろ！	[0, 24, 'SCE-MaruFolkProM']
0128e3fd	ホワイトキトゥン	[0, 8, 'SCE-MaruFolkProM']
013b274b	コジマ・コジ坊パネル	[0, 10, 'SCE-MaruFolkProM']
0140296b	タリスマン装備	[0, 7, 'SCE-MaruFolkProM']
014f3085	フォトアイテム \n 「PSO2・青コンテナ」を入手しました！ \n lフォトモード中に使用できます	[0, 29, 'SCE-MaruFolkProM'], [29, 30, 'Gravity2_Gaiji'], [30, 44, 'SCE-MaruFolkProM']
016557df	歓楽街『プレジューヌ』 \n 学園近くの橋の上に立っている酒場の女	[0, 30, 'SCE-MaruFolkProM']
01659d38	恐怖の報酬	[0, 5, 'SCE-MaruFolkProM']
01838fa6	群衆	[0, 2, 'SCE-MaruFolkProM']
01862e67	コスチューム \n 「ニーアオートマタ・2Bバイザー無」を入手しました！ \n lフォトモードから着替えられます	[0, 34, 'SCE-MaruFolkProM'], [34, 35, 'Gravity2_Gaiji'], [35, 50, 'SCE-MaruFolkProM']
0187d605	深度14	[0, 4, 'SCE-MaruFolkProB']
01901083	リラックス	[0, 5, 'SCE-MaruFolkProM']
01a0418a	フォトアイテム \n 「週刊ファミ通・表紙風パネル」を入手しました！ \n lフォトモード中に使用できます	[0, 32, 'SCE-MaruFolkProM'], [32, 33, 'Gravity2_Gaiji'], [33, 47, 'SCE-MaruFolkProM']
01b370e8	深度 7	[0, 4, 'SCE-MaruFolkProM']
01d9ea5f	コジマ・コジ坊パネル	[0, 10, 'SCE-MaruFolkProM']
01f59ed8	eスキルフィルタ　cお気に入り登録/解除　d削除メニュー　f所持中のタリスマン　p終了する	[0, 1, 'Gravity2_Gaiji'], [1, 9, 'SCE-MaruFolkProM'], [9, 10, 'Gravity2_Gaiji'], [10, 21, 'SCE-MaruFolkProM'], [21, 22, 'Gravity2_Gaiji'], [22, 29, 'SCE-MaruFolkProM'], [29, 30, 'Gravity2_Gaiji'], [30, 40, 'SCE-MaruFolkProM'], [40, 41, 'Gravity2_Gaiji'], [41, 45, 'SCE-MaruFolkProM']
0201fab5	審判のテーマ	[0, 6, 'SCE-MaruFolkProM']
0203792f	個人情報要求	[0, 6, 'SCE-MaruFolkProM']
0228f65e	歓楽街『プレジューヌ』 \n 酔いどれ象の門	[0, 19, 'SCE-MaruFolkProM']
022a77f4	深度41	[0, 4, 'SCE-MaruFolkProM']
02376368	新着特報ニュースのテキスト	[0, 13, 'SCE-MaruFolkProM']
023d97c4	深度 34	[0, 5, 'SCE-MaruFolkProB']
025df376	異常な重力微子反応あり	[0, 11, 'SCE-MaruFolkProM']
028ea8c9	深度 81	[0, 5, 'SCE-MaruFolkProB']
029554ab	連続攻撃の強化や、 \n 各チューン固有のキックに関する \n 強化をおこないます。	[0, 36, 'SCE-MaruFolkProM']
02c34025	物語の進行度	[0, 6, 'SCE-MaruFolkProM']
02deb3aa	重力スロー限定バトル	[0, 10, 'SCE-MaruFolkProM']
030aeb58	VS	[0, 2, 'GillSansStd-UltraBold']
032633fe	ソフト	[0, 3, 'SCE-MaruFolkProM']
0328a235	水の中の環	[0, 5, 'SCE-MaruFolkProB']
039e4f64	絢爛豪華に光輝く種の原石	[0, 12, 'SCE-MaruFolkProM']
03c8d584	OK	[0, 2, 'SCE-MaruFolkProM']
03d27169	深度20	[0, 4, 'SCE-MaruFolkProM']
03db95b5	忘河の用心棒	[0, 6, 'SCE-MaruFolkProM']
03e34b71	人物スナップ 女性編 5	[0, 12, 'SCE-MaruFolkProM']
03f69d6b	スン家・邸宅島	[0, 7, 'SCE-MaruFolkProB']
03f779e5	ユピトールチューン	[0, 9, 'SCE-MaruFolkProM']
0407e53f	潤沢な採掘量が見込まれる	[0, 12, 'SCE-MaruFolkProM']
045bd811	観光名所 ヘキサヴィル編 5	[0, 14, 'SCE-MaruFolkProM']
046f618d	重力スライドレース１	[0, 10, 'SCE-MaruFolkProM']
0475b6f6	二人がここにいる不思議	[0, 11, 'SCE-MaruFolkProB']
049a3a01	コスチューム	[0, 6, 'SCE-MaruFolkProM']
04c04344	採掘海溝　遭難情報	[0, 9, 'SCE-MaruFolkProM']
04c2a1a5	涙	[0, 1, 'GillSansStd-BoldExtraCond']
04c49b73	重力防御メインタワー跡	[0, 11, 'SCE-MaruFolkProB']
04fcc698	住民ノ義務 ２	[0, 7, 'SCE-MaruFolkProB']
05429320	深度18	[0, 4, 'SCE-MaruFolkProM']
05518e32	青空に住もう	[0, 6, 'SCE-MaruFolkProM']
0557c251	女学生の噂話	[0, 6, 'SCE-MaruFolkProB']
056ec270	放浪画家探し	[0, 6, 'SCE-MaruFolkProB']
0578294a	プランター	[0, 5, 'SCE-MaruFolkProM']
