Reference Name	Text	Font
00468e2b	Lo que amo y lo que odio	[0, 24, 'DINRoundOffcPro']
0063c269	Camino al pueblo	[0, 16, 'GillSansStd-UltraBold']
006d2943	Tubo de gas	[0, 11, 'DINRoundOffcPro']
00724e9d	Cuesta abajo	[0, 12, 'DINRoundOffcPro']
008f8d2f	Talismán: "Receta de pescador"	[0, 30, 'DINRoundOffcPro']
0095956c	Elige tres habilidades que desees \n transmitir al talismán fusionado.	[0, 67, 'DINRoundOffcPro']
01059121	Capa 7	[0, 6, 'DINRoundOffcPro']
010e2838	Roja	[0, 4, 'DINRoundOffcPro']
0123a81a	CONTINUAR	[0, 9, 'GillSansStd-ExtraBold']
01278b62	Un repartidor necesita ayuda para distribuir \n periódicos entre los lectores de la ciudad.	[0, 88, 'DINRoundOffcPro']
0128e3fd	Kat de blanco	[0, 13, 'DINRoundOffcPro']
013b274b	Elemento de foto especial n.º 3	[0, 31, 'DINRoundOffcPro']
0140296b	Talismanes	[0, 10, 'GillSansStd-UltraBold']
014f3085	¡Obtuviste "PSO2 Contenedor azul"! \n Puedes pulsar l y entrar en Modo foto para usarlo.	[0, 49, 'DINRoundOffcPro'], [49, 50, 'Gravity2_Gaiji'], [50, 85, 'DINRoundOffcPro']
016557df	Distrito de entretenimiento "Pleajeune" \n Una mujer parada en el puente cerca de la Academia Arquebus.	[0, 100, 'DINRoundOffcPro']
01659d38	El costo del miedo	[0, 18, 'DINRoundOffcPro']
01838fa6	La multitud	[0, 11, 'DINRoundOffcPro']
01862e67	¡Obtuviste el atuendo "2B sin visor de NieR: Automata"! \n Puedes pulsar l y entrar en Modo foto para usarlo.	[0, 70, 'DINRoundOffcPro'], [70, 71, 'Gravity2_Gaiji'], [71, 106, 'DINRoundOffcPro']
0187d605	Capa 14	[0, 7, 'GillSansStd-UltraBold']
01901083	Relajarse	[0, 9, 'DINRoundOffcPro']
