Reference Name	Text	Font
00468e2b	Co lubię, a czego nie znoszę	[0, 28, 'DINRoundOffcPro']
0063c269	Ruszamy do miasta	[0, 17, 'MyriadPro-Black']
006d2943	Zbiornik z paliwem	[0, 18, 'DINRoundOffcPro']
00724e9d	Jazda w dół	[0, 11, 'DINRoundOffcPro']
008f8d2f	Talizman: „Formuła rybaka”	[0, 26, 'DINRoundOffcPro']
0095956c	Wybierz trzy umiejętności, \n które chcesz przenieść \n do połączonego talizmanu.	[0, 75, 'DINRoundOffcPro']
01059121	7. warstwa	[0, 10, 'DINRoundOffcPro']
010e2838	jabłko	[0, 6, 'DINRoundOffcPro']
0123a81a	KONTYNUUJ	[0, 9, 'MyriadPro-Black']
01278b62	Dostarczyciel musi rozwieźć gazety \n czytelnikom w mieście.	[0, 57, 'DINRoundOffcPro']
0128e3fd	Biała Kat	[0, 9, 'DINRoundOffcPro']
013b274b	Specjalny element zdjęciowy nr 3	[0, 32, 'DINRoundOffcPro']
0140296b	Talizmany	[0, 9, 'MyriadPro-Black']
014f3085	Zdobywasz element „Niebieski kontener z PSO2”! \n Możesz go użyć, naciskając l i wybierając tryb zdjęć.	[0, 74, 'DINRoundOffcPro'], [74, 75, 'Gravity2_Gaiji'], [75, 100, 'DINRoundOffcPro']
016557df	Dzielnica rozrywki „Pleajeune” \n Kobieta stojąca na moście niedaleko Akademii Arkebuza.	[0, 85, 'DINRoundOffcPro']
01659d38	Cena strachu	[0, 12, 'DINRoundOffcPro']
01838fa6	Tłum	[0, 4, 'DINRoundOffcPro']
01862e67	Zdobywasz strój "NieR: Automata 2B bez wizjera"! \n Możesz go użyć, naciskając l i przechodząc do trybu zdjęć.	[0, 76, 'DINRoundOffcPro'], [76, 77, 'Gravity2_Gaiji'], [77, 107, 'DINRoundOffcPro']
0187d605	14. warstwa	[0, 11, 'MyriadPro-Black']
01901083	Relaks	[0, 6, 'DINRoundOffcPro']
01a0418a	Zdobywasz „Specjalny element zdjęciowy nr 9”! \n Możesz go użyć, naciskając l \n i przechodząc do trybu zdjęć.	[0, 73, 'DINRoundOffcPro'], [73, 74, 'Gravity2_Gaiji'], [74, 104, 'DINRoundOffcPro']
01b370e8	7. warstwa	[0, 10, 'DINRoundOffcPro']
01d9ea5f	Specjalny element zdjęciowy nr 3	[0, 32, 'DINRoundOffcPro']
01f59ed8	e Filtruj umiejętności    c Przełącz ulubione    d Menu usuwania    f Ekwipunek talizmanów    p Zakończ	[0, 1, 'Gravity2_Gaiji'], [1, 26, 'DINRoundOffcPro'], [26, 27, 'Gravity2_Gaiji'], [27, 49, 'DINRoundOffcPro'], [49, 50, 'Gravity2_Gaiji'], [50, 68, 'DINRoundOffcPro'], [68, 69, 'Gravity2_Gaiji'], [69, 94, 'DINRoundOffcPro'], [94, 95, 'Gravity2_Gaiji'], [95, 103, 'DINRoundOffcPro']
0201fab5	Próba i przejście	[0, 17, 'DINRoundOffcPro']
0203792f	Wyłudzanie danych osobowych	[0, 27, 'DINRoundOffcPro']
0228f65e	Dzielnica rozrywki, „Pleajeune” \n Brama Pijanego Słonia.	[0, 54, 'DINRoundOffcPro']
022a77f4	41. warstwa	[0, 11, 'DINRoundOffcPro']
02376368	Tekst nowego ogłoszenia	[0, 23, 'DINRoundOffcPro']
023d97c4	34. warstwa	[0, 11, 'MyriadPro-Black']
025df376	Dziwne zjawiska grawitacyjne	[0, 28, 'DINRoundOffcPro']
028ea8c9	81. warstwa	[0, 11, 'MyriadPro-Black']
029554ab	Wzmocnione są ataki serii \n albo kopniaki związane \n z konkretnym stylem.	[0, 69, 'DINRoundOffcPro']
02c34025	Postępy w fabule	[0, 16, 'DINRoundOffcPro']
02deb3aa	Starcie pola statycznego	[0, 24, 'DINRoundOffcPro']
030aeb58	VS	[0, 2, 'MyriadPro-Black']
031c1f5f	GRAVITY RUSH™2 ©2016 Sony Interactive Entertainment Inc. Published by Sony Interactive Entertainment Europe. \n Developed by JAPAN Studio. “GRAVITY RUSH” is a trademark or a registered trademark of Sony Interactive Entertainment Europe. All rights reserved.	[0, 254, 'MyriadPro-Light']
032633fe	Miękki	[0, 6, 'DINRoundOffcPro']
0328a235	Okręgi na wodzie	[0, 16, 'MyriadPro-Black']
039e4f64	Błyszczący kamień muszli	[0, 24, 'DINRoundOffcPro']
03c8d584	OK	[0, 2, 'DINRoundOffcPro']
03d27169	20. warstwa	[0, 11, 'DINRoundOffcPro']
03db95b5	Zapominalski ochroniarz	[0, 23, 'DINRoundOffcPro']
03e34b71	Portrety kobiet 5	[0, 17, 'DINRoundOffcPro-Bold']
03f69d6b	Posiadłość Sunów	[0, 16, 'MyriadPro-Black']
03f779e5	Styl Jowisza	[0, 12, 'DINRoundOffcPro']
0407e53f	Bogate złoża rudy	[0, 17, 'DINRoundOffcPro']
045bd811	Widoki w Hekseville 5	[0, 21, 'DINRoundOffcPro-Bold']
046f618d	Wyścig ślizgowy I	[0, 17, 'DINRoundOffcPro']
0475b6f6	Razem, jakie to dziwne	[0, 22, 'MyriadPro-Black']
049a3a01	Kostiumy	[0, 8, 'DINRoundOffcPro']
04c04344	Wezwanie pomocy z kopalni	[0, 25, 'DINRoundOffcPro']
04c2a1a5	Niewylane łzy	[0, 13, 'MyriadPro-BoldCond']
04c49b73	Pozostałości Wieży Tarczy Burz	[0, 30, 'MyriadPro-Black']
04fcc698	Zmiana nastawienia	[0, 18, 'MyriadPro-Black']
05429320	18. warstwa	[0, 11, 'DINRoundOffcPro']
05518e32	Dom na błękitnym niebie	[0, 23, 'DINRoundOffcPro']
0557c251	Mrok wewnętrzny	[0, 15, 'MyriadPro-Black']
056ec270	Podróżujący artysta	[0, 19, 'MyriadPro-Black']
0578294a	Donica	[0, 6, 'DINRoundOffcPro']
0583fb22	Usuń	[0, 4, 'DINRoundOffcPro']
05a09573	Umieść pięć talizmanów. \n Zostaną one przetworzone \n w nowy.	[0, 56, 'DINRoundOffcPro']
05afdc2d	Auldnoir	[0, 8, 'DINRoundOffcPro']
05c33066	Zdobywasz strój „Grawitorka 1.0”! \n Możesz użyć, naciskając l i przechodząc \n do trybu zdjęć.	[0, 58, 'DINRoundOffcPro'], [58, 59, 'Gravity2_Gaiji'], [59, 89, 'DINRoundOffcPro']
05d1d6c6	Czułość ruchu	[0, 13, 'DINRoundOffcPro']
05f072e7	18. warstwa	[0, 11, 'DINRoundOffcPro']
0625ecdf	Część 3	[0, 7, 'MyriadPro-Light']
062988be	52. warstwa	[0, 11, 'MyriadPro-Black']
064041d3	Narodziny legendy	[0, 17, 'MyriadPro-Black']
0643a273	Unik	[0, 4, 'DINRoundOffcPro']
066779f3	78. warstwa	[0, 11, 'DINRoundOffcPro']
067a99c3	27. warstwa	[0, 11, 'MyriadPro-Black']
067afaf0	Dom w rurach	[0, 12, 'DINRoundOffcPro']
068d0586	Sprawdź zdjęcie	[0, 15, 'MyriadPro-Black']
06c556e9	92. warstwa	[0, 11, 'DINRoundOffcPro']
06c5efad	Zdobywasz element zdjęciowy: \n „Specjalny element zdjęciowy nr 12”.	[0, 65, 'DINRoundOffcPro']
070cfabc	Występ	[0, 6, 'DINRoundOffcPro']
071971d0	Przyjmij wyzwanie	[0, 17, 'DINRoundOffcPro']
07358cf6	Lustro w drewnianej ramie	[0, 25, 'DINRoundOffcPro']
