Reference Name	Text	Font
00468e2b	Coisas que gosto e que detesto	[0, 30, 'DINRoundOffcPro']
0063c269	Ir para a cidade	[0, 16, 'GillSansStd-UltraBold']
006d2943	Bilha de gás	[0, 12, 'DINRoundOffcPro']
00724e9d	Descambar	[0, 9, 'DINRoundOffcPro']
008f8d2f	Talismã: “Receita de pescador”	[0, 30, 'DINRoundOffcPro']
0095956c	Escolhe três habilidades a \n transferir para o talismã combinado.	[0, 63, 'DINRoundOffcPro']
01059121	7º nível	[0, 8, 'DINRoundOffcPro']
010e2838	Vermelha	[0, 8, 'DINRoundOffcPro']
0123a81a	CONTINUAR	[0, 9, 'GillSansStd-ExtraBold']
01278b62	Um estafeta precisa de ajuda para distribuir \n os jornais aos leitores na cidade.	[0, 79, 'DINRoundOffcPro']
0128e3fd	Kat de branco	[0, 13, 'DINRoundOffcPro']
013b274b	Item de foto especial nº 3	[0, 26, 'DINRoundOffcPro']
0140296b	Talismãs 	[0, 9, 'GillSansStd-UltraBold']
014f3085	Ganhaste "Contentor azul PSO2"! \n Podes utilizá-lo premindo l e entrando no Modo de foto.	[0, 58, 'DINRoundOffcPro'], [58, 59, 'Gravity2_Gaiji'], [59, 87, 'DINRoundOffcPro']
016557df	Zona de entretenimento de “Pleajeune” \n Uma mulher perto da ponte junto à Academia Arquebus.	[0, 90, 'DINRoundOffcPro']
01659d38	O salário do medo	[0, 17, 'DINRoundOffcPro']
01838fa6	A plateia	[0, 9, 'DINRoundOffcPro']
01862e67	Obtiveste "NieR: Automata 2B sem Visor"! \n Podes usá-lo pressionando l e \n entrando no Modo de Foto.	[0, 67, 'DINRoundOffcPro'], [67, 68, 'Gravity2_Gaiji'], [68, 96, 'DINRoundOffcPro']
0187d605	14º nível	[0, 9, 'GillSansStd-UltraBold']
01901083	Relaxar 	[0, 8, 'DINRoundOffcPro']
01a0418a	Ganhaste o “item de foto especial nº 9”! \n Podes usá-lo premindo l e entrando no Modo de fotos.	[0, 63, 'DINRoundOffcPro'], [63, 64, 'Gravity2_Gaiji'], [64, 93, 'DINRoundOffcPro']
01b370e8	7º nível	[0, 8, 'DINRoundOffcPro']
01d9ea5f	Item de foto especial nº 3	[0, 26, 'DINRoundOffcPro']
01f59ed8	e Filtrar habilidades    c Mostrar/ocultar favoritos    d Eliminar menu    f Inventário de talismãs    p Terminar	[0, 1, 'Gravity2_Gaiji'], [1, 25, 'DINRoundOffcPro'], [25, 26, 'Gravity2_Gaiji'], [26, 56, 'DINRoundOffcPro'], [56, 57, 'Gravity2_Gaiji'], [57, 75, 'DINRoundOffcPro'], [75, 76, 'Gravity2_Gaiji'], [76, 103, 'DINRoundOffcPro'], [103, 104, 'Gravity2_Gaiji'], [104, 113, 'DINRoundOffcPro']
0201fab5	Prova de admissão	[0, 17, 'DINRoundOffcPro']
0203792f	Pedido de dados pessoais 	[0, 25, 'DINRoundOffcPro']
0228f65e	Zona de entretenimento de “Pleajeune” \n Portão do elefante embriagado	[0, 67, 'DINRoundOffcPro']
022a77f4	41º nível	[0, 9, 'DINRoundOffcPro']
02376368	Novo texto de notícias	[0, 22, 'DINRoundOffcPro']
023d97c4	34º nível	[0, 9, 'GillSansStd-UltraBold']
025df376	Fenómeno gravitacional estranho	[0, 31, 'DINRoundOffcPro']
028ea8c9	81º nível	[0, 9, 'GillSansStd-UltraBold']
029554ab	Os ataques de um combo são \n melhorados ou os pontapés de \n um estilo específico são \n melhorados. 	[0, 93, 'DINRoundOffcPro']
02c34025	Progresso da história	[0, 21, 'DINRoundOffcPro']
02deb3aa	Batalha em campo de força	[0, 25, 'DINRoundOffcPro']
030aeb58	VS 	[0, 3, 'GillSansStd-UltraBold']
031c1f5f	GRAVITY RUSH™2 ©2016 Sony Interactive Entertainment Inc. Published by Sony Interactive Entertainment Europe. \n Developed by JAPAN Studio. “GRAVITY RUSH” is a trademark or a registered trademark of Sony Interactive Entertainment Europe. All rights reserved.	[0, 254, 'MyriadPro-Light']
032633fe	Suave	[0, 5, 'DINRoundOffcPro']
0328a235	Círculos na água	[0, 16, 'GillSansStd-UltraBold']
039e4f64	Pedra de fósseis cintilante	[0, 27, 'DINRoundOffcPro']
03c8d584	Ok 	[0, 3, 'DINRoundOffcPro']
03d27169	20º nível	[0, 9, 'DINRoundOffcPro']
03db95b5	Guarda-costas distraído	[0, 23, 'DINRoundOffcPro']
03e34b71	Quadros de mulheres 5	[0, 21, 'DINRoundOffcPro-Bold']
03f69d6b	Mansão Sun	[0, 10, 'GillSansStd-UltraBold']
03f779e5	Estilo de Júpiter	[0, 17, 'DINRoundOffcPro']
0407e53f	Depósito de minerais ricos 	[0, 27, 'DINRoundOffcPro']
045bd811	Atrações de Hekseville 5	[0, 24, 'DINRoundOffcPro-Bold']
046f618d	Corrida em deslize I	[0, 20, 'DINRoundOffcPro']
0475b6f6	Juntas - que estranho	[0, 21, 'GillSansStd-UltraBold']
049a3a01	Vestuário	[0, 9, 'DINRoundOffcPro']
04c04344	Emergência na trincheira Delvool	[0, 32, 'DINRoundOffcPro']
04c2a1a5	Lágrimas não vertidas	[0, 21, 'GillSansStd-BoldExtraCond']
04c49b73	Ruínas da Torre antitempestade	[0, 30, 'GillSansStd-UltraBold']
04fcc698	Mudança de atitude	[0, 18, 'GillSansStd-UltraBold']
05429320	18º nível	[0, 9, 'DINRoundOffcPro']
05518e32	Uma casa no céu azul	[0, 20, 'DINRoundOffcPro']
0557c251	A escuridão interior	[0, 20, 'GillSansStd-UltraBold']
056ec270	Talento errante	[0, 15, 'GillSansStd-UltraBold']
0578294a	Canteiro	[0, 8, 'DINRoundOffcPro']
0583fb22	Eliminar 	[0, 9, 'DINRoundOffcPro']
05a09573	Coloca cinco talismãs. Estes são \n reciclados num novo. 	[0, 54, 'DINRoundOffcPro']
05afdc2d	Auldnoir	[0, 8, 'DINRoundOffcPro']
05c33066	Ganhaste "Metagravis 1.0"! \n Podes utilizá-lo premindo l e entrando no Modo de foto.	[0, 53, 'DINRoundOffcPro'], [53, 54, 'Gravity2_Gaiji'], [54, 82, 'DINRoundOffcPro']
05d1d6c6	Sensibilidade de movimento	[0, 26, 'DINRoundOffcPro']
05f072e7	18º nível	[0, 9, 'DINRoundOffcPro']
0625ecdf	Episódio 3	[0, 10, 'HelveticaNeueLTStd-UltLt']
062988be	52º nível	[0, 9, 'GillSansStd-UltraBold']
064041d3	Nasce uma lenda	[0, 15, 'GillSansStd-UltraBold']
0643a273	Esquivar	[0, 8, 'DINRoundOffcPro']
066779f3	78º nível	[0, 9, 'DINRoundOffcPro']
067a99c3	27º nível	[0, 9, 'GillSansStd-UltraBold']
067afaf0	Casa nas condutas	[0, 17, 'DINRoundOffcPro']
068d0586	Verificar foto 	[0, 15, 'GillSansStd-UltraBold']
06c556e9	92º nível	[0, 9, 'DINRoundOffcPro']
06c5efad	Ganhaste o item de foto: \n “Item de foto especial nº 12”.	[0, 55, 'DINRoundOffcPro']
070cfabc	Como um rádio	[0, 13, 'DINRoundOffcPro']
071971d0	Aceitar desafio 	[0, 16, 'DINRoundOffcPro']
07358cf6	Espelho com estrutura em madeira	[0, 32, 'DINRoundOffcPro']
07361ebd	d Classificações    p Eliminar marcador de navegação    r Voltar	[0, 1, 'Gravity2_Gaiji'], [1, 20, 'DINRoundOffcPro'], [20, 21, 'Gravity2_Gaiji'], [21, 56, 'DINRoundOffcPro'], [56, 57, 'Gravity2_Gaiji'], [57, 64, 'DINRoundOffcPro']
0768f37d	Relatórios de caça ao tesouro	[0, 29, 'DINRoundOffcPro']
0787cdc9	Cidade velha de “Auldnoir” \n Um homem junto ao marco do correio.	[0, 62, 'DINRoundOffcPro']
078ba7c7	Gato preto	[0, 10, 'GillSansStd-UltraBold']
07ce402c	Desaparecimentos	[0, 16, 'DINRoundOffcPro']
07e9b3b1	Estratégias de venda agressivas II	[0, 34, 'DINRoundOffcPro']
07f33f40	Enviar 	[0, 7, 'DINRoundOffcPro']
07febddb	O melhor da cidade	[0, 18, 'DINRoundOffcPro']
08271f66	PRIME UM BOTÃO	[0, 14, 'GillSansStd-UltraBold']
084223dc	Pinturas de Saghassi: Hekseville 6	[0, 34, 'DINRoundOffcPro-Bold']
088c94f3	Corrida em estilo livre I	[0, 25, 'DINRoundOffcPro']
08ae4b67	Zona encantada 	[0, 15, 'DINRoundOffcPro']
08b2b8f5	Os mecanismos da alegria	[0, 24, 'GillSansStd-UltraBold']
08bd5bbf	A fuga - continuação	[0, 20, 'GillSansStd-UltraBold']
08d73c	Energias	[0, 8, 'DINRoundOffcPro']
08dbb3bf	Este talismã está equipado, ainda assim queres selecionar? 	[0, 59, 'DINRoundOffcPro']
08dd7170	29º nível	[0, 9, 'DINRoundOffcPro']
08e695bc	Filho prodígio	[0, 14, 'DINRoundOffcPro']
090d4d01	O último êxito	[0, 14, 'DINRoundOffcPro']
090e8ecd	Um editor procura um autor que muda de \n aparência enquanto explora a cidade por novas \n ideias, mas apenas tem fotos e um livro para \n o ajudar.	[0, 139, 'DINRoundOffcPro']
092ead26	O dinheiro faz o mundo girar	[0, 28, 'DINRoundOffcPro']
093da591	87º nível	[0, 9, 'DINRoundOffcPro']
0953a5d3	Missões principais	[0, 18, 'DINRoundOffcPro']
095941e0	Manter k premido: Entrar no Modo de pantera	[0, 7, 'DINRoundOffcPro'], [7, 8, 'Gravity2_Gaiji'], [8, 43, 'DINRoundOffcPro']
0969dcd9	Monumento da maçã da empresa Merlitsol \n Um logótipo de empresa que se tornou num \n monumento simbólico.	[0, 100, 'DINRoundOffcPro']
096ed970	21º nível	[0, 9, 'GillSansStd-UltraBold']
09bfea75	94º nível	[0, 9, 'GillSansStd-UltraBold']
09c0c54e	Pedra de fósseis brilhante	[0, 26, 'DINRoundOffcPro']
09e3f779	Braço de arremesso	[0, 18, 'DINRoundOffcPro']
09eb8458	87º nível	[0, 9, 'DINRoundOffcPro']
09fccb4b	Corrida em deslize I	[0, 20, 'DINRoundOffcPro']
0a4d9327	11º nível	[0, 9, 'DINRoundOffcPro']
0a60dc48	Pedra-flor radiante	[0, 19, 'DINRoundOffcPro']
0a647423	Erro a carregar dados de sistema. \n Tentar novamente? 	[0, 52, 'DINRoundOffcPro']
0a720eb4	Derrubar as máquinas	[0, 20, 'DINRoundOffcPro']
0a7266fb	Luz e sombra	[0, 12, 'GillSansStd-UltraBold']
0a79c277	O salário do medo	[0, 17, 'GillSansStd-UltraBold']
0a832951	Sinal luminoso	[0, 14, 'DINRoundOffcPro']
0a8efb29	Tens 999 talismãs, elimina alguns. 	[0, 35, 'DINRoundOffcPro']
0aa58d3d	Traje: "Metagravis 1.0"	[0, 23, 'DINRoundOffcPro']
0acb91ac	Prova de admissão	[0, 17, 'DINRoundOffcPro']
0ad81289	Maçã	[0, 4, 'DINRoundOffcPro']
0afb72ee	11º nível	[0, 9, 'DINRoundOffcPro']
0b0ad254	Uma nova Centopeia	[0, 18, 'DINRoundOffcPro']
0b120fbc	Corrida de Deslize  gravitacional. \n Desliza como uma pro e chega ao objetivo a tempo.	[0, 84, 'DINRoundOffcPro']
0b30ece6	Episódio 8	[0, 10, 'HelveticaNeueLTStd-UltLt']
0b3488c5	59º nível	[0, 9, 'GillSansStd-UltraBold']
0b48fa39	Tiraste uma foto colecionável! 	[0, 31, 'DINRoundOffcPro']
0b552f82	Prendas de tokens do Dusty	[0, 26, 'DINRoundOffcPro']
0b5673cf	Sair 	[0, 5, 'DINRoundOffcPro']
0b7279fa	73º nível	[0, 9, 'DINRoundOffcPro']
0bac6cba	Em viagem	[0, 9, 'GillSansStd-UltraBold']
0bd056f0	A profundidade	[0, 14, 'DINRoundOffcPro']
0bd0efb4	Ganhaste o item de foto: \n “Item de foto especial nº 5”.	[0, 54, 'DINRoundOffcPro']
0c1a746f	50º nível	[0, 9, 'DINRoundOffcPro']
0c2760e3	A tua dica levou alguém \n a encontrar o tesouro!	[0, 46, 'DINRoundOffcPro']
0c3d3df9	DESLIGADO	[0, 9, 'DINRoundOffcPro']
0c4d457c	Tempestade gravit. em marcha	[0, 28, 'DINRoundOffcPro']
0c70a43b	A solidão novamente	[0, 19, 'GillSansStd-UltraBold']
0c7a729f	O negócio desta loja não está a correr tão \n bem como o dono esperaria. Agarra em \n alguns  clientes com campo de força.	[0, 116, 'DINRoundOffcPro']
0c7a83	Contos dos aerobarcos	[0, 21, 'GillSansStd-UltraBold']
0c7ea544	90º nível	[0, 9, 'GillSansStd-UltraBold']
0c9fc130	Ganhaste um novo traje: “Metagravis 1.0” \n como recompensa por juntares 5000 tokens do Dusty! \n Podes usá-lo premindo l e entrando no Modo de foto. \n Verifica os tokens do Dusty em Estatísticas \n no Menu do sistema.	[0, 114, 'DINRoundOffcPro'], [114, 115, 'Gravity2_Gaiji'], [115, 207, 'DINRoundOffcPro']
0caf622a	Episódio 3	[0, 10, 'HelveticaNeueLTStd-UltLt']
0cf1f630	Palavras, palavras	[0, 18, 'DINRoundOffcPro']
0d0c9e79	Terminal de Havina 	[0, 19, 'GillSansStd-UltraBold']
0d2463fd	Fechar um negócio	[0, 17, 'GillSansStd-UltraBold']
0d4d23e3	Pinturas de Saghassi: Hekseville 1	[0, 34, 'DINRoundOffcPro-Bold']
0d6be5b9	Salto espacial para poços de visita	[0, 35, 'DINRoundOffcPro']
0d9794fa	Entrega de jornais I 	[0, 21, 'DINRoundOffcPro']
0db94b6e	Zona das velas 	[0, 15, 'DINRoundOffcPro']
0dbdb8fc	Ah, encantadora pequena senhora	[0, 31, 'GillSansStd-UltraBold']
0df195c3	Encontrar-te	[0, 12, 'DINRoundOffcPro']
0df42a6f	(Desviar na direção indicada)	[0, 29, 'DINRoundOffcPro']
0e018858	Tokens do Dusty 	[0, 16, 'GillSansStd-UltraBold']
0e2d44d6	"Amor há muito perdido" \n Mais um dia, mais uma carta de amor por enviar.	[0, 71, 'DINRoundOffcPro']
0e3bac2e	A súbita retirada das forças do exército, \n a aliança de Raven com o exército; muitas \n perguntas se levantavam na cabeça da Kat \n conforme ela se dirige para a Povoação de \n Banga, para um confronto com Raven.	[0, 202, 'DINRoundOffcPro']
0e79d977	28º nível	[0, 9, 'GillSansStd-UltraBold']
0e913136	LIGADO	[0, 6, 'DINRoundOffcPro']
0e918e14	Tapete de pele	[0, 14, 'DINRoundOffcPro']
0eb66f7f	34º nível	[0, 9, 'DINRoundOffcPro']
0eb7fdf0	Talismã: "Recuperação de Dengeki"	[0, 33, 'DINRoundOffcPro']
0ec02772	DESLIGADO	[0, 9, 'DINRoundOffcPro']
0ec98f4f	63º nível	[0, 9, 'GillSansStd-UltraBold']
0ee9408c	Resultado de desafio recebido	[0, 29, 'DINRoundOffcPro']
0eeef780	Código dos ladrões	[0, 18, 'DINRoundOffcPro']
0f0d59ef	86º nível	[0, 9, 'DINRoundOffcPro']
0f5b8e3b	Energia	[0, 7, 'GillSansStd-UltraBold']
0f718ac4	46º nível	[0, 9, 'GillSansStd-UltraBold']
0f796b62	A profundidade	[0, 14, 'GillSansStd-UltraBold']
0f852aef	5 mensagens...	[0, 14, 'DINRoundOffcPro']
0f8843d9	Coisas de que gosto e detesto	[0, 29, 'GillSansStd-UltraBold']
0faf7bf9	68º nível	[0, 9, 'DINRoundOffcPro']
0fb802a5	Quadros de homens 6	[0, 19, 'DINRoundOffcPro-Bold']
0fe3a6a3	Kat passa os seus dias como Rainha Alua, \n até que a melodia de uma caixa de música \n há muito perdida a leva até Dusty e Raven, \n que se encontram aprisionados no palácio. \n Kat está prestes a descobrir um passado \n secreto partilhado entre o Chanceler \n Xicero e o misterioso Alias.	[0, 272, 'DINRoundOffcPro']
101b6cd7	66º nível	[0, 9, 'DINRoundOffcPro']
1023b174	Fazer-se passar por um administrador 	[0, 37, 'DINRoundOffcPro']
104be854	Batalha em campo de força	[0, 25, 'GillSansStd-UltraBold']
106d8c10	66º nível	[0, 9, 'DINRoundOffcPro']
1073975e	Apanhar com limite de tempo	[0, 27, 'DINRoundOffcPro']
1081e9a2	Mostrar ícones do mapa 	[0, 23, 'DINRoundOffcPro']
1086cd87	A quantidade de vezes que combinaste \n talismãs.	[0, 46, 'DINRoundOffcPro']
108f8651	Um homem considerado estranho pelos \n demais precisa de ajuda para investigar \n uma mina que se encontra para lá da \n tempestade gravitacional.	[0, 137, 'DINRoundOffcPro']
109d1a85	Gestão de talismãs	[0, 18, 'GillSansStd-UltraBold']
10ce3814	Academia Arquebus	[0, 17, 'DINRoundOffcPro']
10ed125d	Continuar	[0, 9, 'DINRoundOffcPro']
10efd1f4	79º nível	[0, 9, 'GillSansStd-UltraBold']
10fe2e47	Dica de Eugie 	[0, 14, 'DINRoundOffcPro']
1149a078	Convés da Fortaleza Bismalia 	[0, 29, 'GillSansStd-UltraBold']
