Reference Name	Text	Font
00468e2b	Бодрость нюха	[0, 13, 'DINRoundOffcPro']
0063c269	Шик-блеск	[0, 9, 'MyriadPro-Black']
006d2943	Канистра	[0, 8, 'DINRoundOffcPro']
00724e9d	Спуск	[0, 5, 'DINRoundOffcPro']
008f8d2f	Талисман: Рыбацкий рецепт	[0, 25, 'DINRoundOffcPro']
0095956c	Выберите три функции, которые \n получит объединенный \n талисман.	[0, 60, 'DINRoundOffcPro']
01059121	Слой 7	[0, 6, 'DINRoundOffcPro']
010e2838	Яблоко	[0, 6, 'DINRoundOffcPro']
0123a81a	ПРОДОЛЖИТЬ	[0, 10, 'MyriadPro-Black']
01278b62	Курьеру понадобилась помощь \n в доставке газет читателям.	[0, 55, 'DINRoundOffcPro']
0128e3fd	Оригинальный наряд Кэт (белый)	[0, 30, 'DINRoundOffcPro']
013b274b	Особый реквизит №3	[0, 18, 'DINRoundOffcPro']
0140296b	Талисманы	[0, 9, 'MyriadPro-Black']
014f3085	Вы получили синий контейнер (PSO2)! \n Нажмите l, чтобы использовать его в режиме фотосъемки.	[0, 44, 'DINRoundOffcPro'], [44, 45, 'Gravity2_Gaiji'], [45, 90, 'DINRoundOffcPro']
016557df	Развлекательный квартал Утеха. \n Женщина на мосту у Аркебузной академии.	[0, 70, 'DINRoundOffcPro']
01659d38	Плата за страх	[0, 14, 'DINRoundOffcPro']
01838fa6	Толпа	[0, 5, 'DINRoundOffcPro']
01862e67	Вы получили наряд «NieR: Automata 2B без визора»! \n Чтобы примерить его, войдите в режим фотосъемки (l).	[0, 99, 'DINRoundOffcPro'], [99, 100, 'Gravity2_Gaiji'], [100, 102, 'DINRoundOffcPro']
0187d605	Слой 14	[0, 7, 'MyriadPro-Black']
01901083	Расслабиться	[0, 12, 'DINRoundOffcPro']
01a0418a	Вы получили «Особый реквизит №9»! \n Нажмите l, чтобы использовать его в режиме фотосъемки.	[0, 42, 'DINRoundOffcPro'], [42, 43, 'Gravity2_Gaiji'], [43, 88, 'DINRoundOffcPro']
01b370e8	Слой 7	[0, 6, 'DINRoundOffcPro']
01d9ea5f	Особый реквизит №3	[0, 18, 'DINRoundOffcPro']
01f59ed8	e Фильтр по функциям    c В избранное    d Меню удаления    f Используемые талисманы    p Закончить	[0, 1, 'Gravity2_Gaiji'], [1, 24, 'DINRoundOffcPro'], [24, 25, 'Gravity2_Gaiji'], [25, 41, 'DINRoundOffcPro'], [41, 42, 'Gravity2_Gaiji'], [42, 60, 'DINRoundOffcPro'], [60, 61, 'Gravity2_Gaiji'], [61, 88, 'DINRoundOffcPro'], [88, 89, 'Gravity2_Gaiji'], [89, 99, 'DINRoundOffcPro']
0201fab5	Через тернии	[0, 12, 'DINRoundOffcPro']
0203792f	Запрос личной информации	[0, 24, 'DINRoundOffcPro']
0228f65e	Развлекательный квартал Утеха. \n Ворота Хмельного слона.	[0, 54, 'DINRoundOffcPro']
022a77f4	Слой 41	[0, 7, 'DINRoundOffcPro']
02376368	Текст нового объявления	[0, 23, 'DINRoundOffcPro']
023d97c4	Слой 34	[0, 7, 'MyriadPro-Black']
025df376	Босс рудника	[0, 12, 'DINRoundOffcPro']
028ea8c9	Слой 81	[0, 7, 'MyriadPro-Black']
029554ab	Усиление комбо-атак или \n ударов, характерных \n для каждого стиля.	[0, 62, 'DINRoundOffcPro']
02c34025	Прогресс сюжета	[0, 15, 'DINRoundOffcPro']
02deb3aa	Битва стазис-полей	[0, 18, 'DINRoundOffcPro']
030aeb58	VS	[0, 2, 'MyriadPro-Black']
031c1f5f	GRAVITY RUSH™2 ©2016 Sony Interactive Entertainment Inc. Published by Sony Interactive Entertainment Europe. \n Developed by JAPAN Studio. “GRAVITY RUSH” is a trademark or a registered trademark of Sony Interactive Entertainment Europe. All rights reserved.	[0, 254, 'MyriadPro-Light']
032633fe	Мягкий	[0, 6, 'DINRoundOffcPro']
0328a235	Круги на воде	[0, 13, 'MyriadPro-Black']
039e4f64	Ослепительный ракушит	[0, 21, 'DINRoundOffcPro']
03c8d584	ОК	[0, 2, 'DINRoundOffcPro']
03d27169	Слой 20	[0, 7, 'DINRoundOffcPro']
03db95b5	Забывчивый охранник	[0, 19, 'DINRoundOffcPro']
03e34b71	Женские портреты 5	[0, 18, 'DINRoundOffcPro-Bold']
03f69d6b	Имение Сун	[0, 10, 'MyriadPro-Black']
03f779e5	Стиль Юпитера	[0, 13, 'DINRoundOffcPro']
0407e53f	Богатые месторождения руды	[0, 26, 'DINRoundOffcPro']
045bd811	Достопримечательности Хексевилля 5	[0, 34, 'DINRoundOffcPro-Bold']
046f618d	Скользящая гонка I	[0, 18, 'DINRoundOffcPro']
0475b6f6	Неожиданная компания	[0, 20, 'MyriadPro-Black']
049a3a01	Наряды	[0, 6, 'DINRoundOffcPro']
04c04344	Сигнал бедствия, карьер Дельвул	[0, 31, 'DINRoundOffcPro']
04c2a1a5	Непролитые слезы	[0, 16, 'MyriadPro-BoldCond']
04c49b73	Руины защитной башни	[0, 20, 'MyriadPro-Black']
04fcc698	Новое отношение	[0, 15, 'MyriadPro-Black']
05429320	Слой 18	[0, 7, 'DINRoundOffcPro']
05518e32	В лазурных небесах	[0, 18, 'DINRoundOffcPro']
0557c251	Тьма внутри	[0, 11, 'MyriadPro-Black']
056ec270	Сбежавший шедевр	[0, 16, 'MyriadPro-Black']
0578294a	Кадка	[0, 5, 'DINRoundOffcPro']
0583fb22	Удалить	[0, 7, 'DINRoundOffcPro']
05a09573	Требуется пять талисманов. Они будут \n переработаны в новый талисман.	[0, 67, 'DINRoundOffcPro']
05afdc2d	Ретромрак	[0, 9, 'DINRoundOffcPro']
05c33066	Вы получили наряд «Владыка 1.0»! \n Чтобы примерить его, войдите в режим фотосъемки (l).	[0, 82, 'DINRoundOffcPro'], [82, 83, 'Gravity2_Gaiji'], [83, 85, 'DINRoundOffcPro']
05d1d6c6	Чувствительность к движениям	[0, 28, 'DINRoundOffcPro']
05f072e7	Слой 18	[0, 7, 'DINRoundOffcPro']
0625ecdf	Эпизод 3	[0, 8, 'MyriadPro-Light']
062988be	Слой 52	[0, 7, 'MyriadPro-Black']
064041d3	Рождение легенды	[0, 16, 'MyriadPro-Black']
0643a273	Уклонение	[0, 9, 'DINRoundOffcPro']
066779f3	Слой 78	[0, 7, 'DINRoundOffcPro']
067a99c3	Слой 27	[0, 7, 'MyriadPro-Black']
067afaf0	Домик из труб	[0, 13, 'DINRoundOffcPro']
068d0586	Просмотр фото	[0, 13, 'MyriadPro-Black']
06c556e9	Слой 92	[0, 7, 'DINRoundOffcPro']
06c5efad	Вы получили реквизит: \n Особый реквизит №12.	[0, 42, 'DINRoundOffcPro']
070cfabc	Как в телевизоре	[0, 16, 'DINRoundOffcPro']
071971d0	Принять вызов	[0, 13, 'DINRoundOffcPro']
