Reference Name	Text	Font
00039632	h Muda para o Estilo Júpiter \n (Muda o estilo sempre que for pressionado)	[0, 1, 'Gravity2_Gaiji'], [1, 71, 'DINRoundOffcPro']
00a759e7	Aujean vai para um dos 4 bares. \n Preste atenção em seus movimentos e chegue \n aos bares antes dele. \n  \n Se chegar ao bar antes dele, você poderá fingir que \n trabalha nele e mandá-lo embora.	[0, 182, 'DINRoundOffcPro']
00b2842d	Deslizar para baixo em k : Alterar para estilo Júpiter	[0, 23, 'DINRoundOffcPro'], [23, 24, 'Gravity2_Gaiji'], [24, 54, 'DINRoundOffcPro']
00c0f19b	Acho que não tem mais!	[0, 22, 'DINRoundOffcPro']
0132b5e2	Use o Deslizamento de Gravidade para \n fugir de Illumina antes que ela desmorone. \n  \n Passe pelos portões misteriosos para \n criar um caminho seguro por esta área \n instável e perigosa.	[0, 176, 'DINRoundOffcPro']
013c6a41	Pedras de ESP	[0, 13, 'DINRoundOffcPro']
014c91d7	Faça o ataque especial do microburaco negro para criar um \n buraco negro ao redor de Kat que destruirá todos os \n inimigos dentro dele. \n  \n O buraco negro não funciona em alguns inimigos mais fortes, \n lembre-se disso ao usá-lo.	[0, 219, 'DINRoundOffcPro']
016ee9a3	Certo, tô dentro. Vamos nessa.	[0, 30, 'DINRoundOffcPro']
02153e83	Tire uma foto de uma caixa de tesouro e seus arredores \n para ajudar outros jogadores a encontrar o tesouro. \n Você ganhará Fichas do Dusty se outros jogadores usarem \n suas dicas para achar o tesouro.	[0, 195, 'DINRoundOffcPro']
02621e0c	Você adquiriu o talismã "Apreciação do Cliente"! \n Equipe talismãs no Menu de Talismãs.	[0, 85, 'DINRoundOffcPro']
02b32f11	Você adquiriu a mobília "Mesa"! \n Agora disponível para decorar a Casa da Kat.	[0, 76, 'DINRoundOffcPro']
02dd50a4	Durante o deslizamento de gravidade, você desliza \n pelo solo e pelas paredes. \n  \n Pressione i para virar à esquerda ou à direita e j para \n controlar a câmera. Você também pode pressionar b para saltar \n enquanto desliza. Solte g para parar de deslizar.	[0, 88, 'DINRoundOffcPro'], [88, 89, 'Gravity2_Gaiji'], [89, 127, 'DINRoundOffcPro'], [127, 128, 'Gravity2_Gaiji'], [128, 182, 'DINRoundOffcPro'], [182, 183, 'Gravity2_Gaiji'], [183, 220, 'DINRoundOffcPro'], [220, 221, 'Gravity2_Gaiji'], [221, 245, 'DINRoundOffcPro']
0306d778	Desafio fracassado	[0, 18, 'DINRoundOffcPro']
035b2a86	Você adquiriu a mobília "Ventilador"! \n Agora disponível para decorar a Casa da Kat.	[0, 82, 'DINRoundOffcPro']
03c0ad04	Para proteger a cidade e seus cidadãos, \n não largue o pacote de lugares altos. \n  \n Se a energia de seu Indicador de Gravidade acabar \n você soltará automaticamente o pacote, \n por isso preste atenção aos níveis de energia.	[0, 214, 'DINRoundOffcPro']
03c41ed7	Aproxime-se dos Nevis e tire foto deles. \n (l: Equipar câmera)	[0, 42, 'DINRoundOffcPro'], [42, 43, 'Gravity2_Gaiji'], [43, 60, 'DINRoundOffcPro']
0467f6ba	Enquanto segurar o pacote fedido num campo de estase, \n a Kat terá dificuldade em suportar o fedor dele, \n e o indicador de resistência dela começará a subir. \n Quando a barra chegar ao máximo, Kat desmaiará. \n Pressione a para lagar o pacote e se afastar para \n recuperar o fôlego e diminuir o indicador de resistência \n antes de continuar a tarefa.	[0, 213, 'DINRoundOffcPro'], [213, 214, 'Gravity2_Gaiji'], [214, 338, 'DINRoundOffcPro']
04ed5bd8	Acho que estou indo longe demais. Melhor voltar.	[0, 48, 'DINRoundOffcPro']
04f82374	Pressione h para mudar o estilo de gravidade. \n  \n No Estilo Júpiter, sua velocidade de movimento é reduzida, \n mas seu poder de ataque é aumentado.	[0, 10, 'DINRoundOffcPro'], [10, 11, 'Gravity2_Gaiji'], [11, 142, 'DINRoundOffcPro']
05a17aae	Finalizadores	[0, 13, 'DINRoundOffcPro']
05bd8434	h + para baixo em j : Muda para o Estilo Júpiter	[0, 1, 'Gravity2_Gaiji'], [1, 18, 'DINRoundOffcPro'], [18, 19, 'Gravity2_Gaiji'], [19, 48, 'DINRoundOffcPro']
067b60d0	Dois, é? Certo, vamos lá.	[0, 25, 'DINRoundOffcPro']
069f200b	Você adquiriu o item de foto "Tanque de Gás"! \n l : ver itens de foto no Modo de Foto.	[0, 46, 'DINRoundOffcPro'], [46, 47, 'Gravity2_Gaiji'], [47, 84, 'DINRoundOffcPro']
06dece8d	Chute de Gravidade vs. Inimigos rápidos	[0, 39, 'DINRoundOffcPro']
06f03110	Você adquiriu a mobília "Capacho felpudo"! \n Agora disponível para decorar a Casa da Kat.	[0, 87, 'DINRoundOffcPro']
08662a8d	Você adquiriu o talismã "Joia da Zona das Velas"! \n Equipe talismãs no Menu de Talismãs.	[0, 86, 'DINRoundOffcPro']
08c3b795	Derrote primeiro os inimigos \n com mais núcleos	[0, 45, 'DINRoundOffcPro']
08cae77f	Raven: \n Temos que fugir daquela cidade!	[0, 7, 'DINRoundOffcPro'], [7, 38, 'DINRoundOffcPro']
092888ba	f Flutuar \n c Ao flutuar: Chute de Gravidade	[0, 1, 'Gravity2_Gaiji'], [1, 10, 'DINRoundOffcPro'], [10, 11, 'Gravity2_Gaiji'], [11, 42, 'DINRoundOffcPro']
09487af6	Você adquiriu o item de foto "Cabeça de porco"! \n l : Veja itens de foto no Modo de Foto.	[0, 48, 'DINRoundOffcPro'], [48, 49, 'Gravity2_Gaiji'], [49, 87, 'DINRoundOffcPro']
099bc53f	Sem ser visto pelos soldados, \n pegue caixas de suprimento e jogue-as para fora do Bismalia. \n  \n Para se esconder, o alcance de seu campo de estase \n será limitado, por isso chegue perto da caixa antes \n de tentar pegá-la com um campo de estase.	[0, 236, 'DINRoundOffcPro']
09d0f462	Pressione c ao mudar a gravidade e use a versão da Raven \n do Chute de Gravidade, a Garra Sangrenta. \n  \n Pressione c várias vezes para girar durante o ataque e \n causar mais dano.	[0, 10, 'DINRoundOffcPro'], [10, 11, 'Gravity2_Gaiji'], [11, 110, 'DINRoundOffcPro'], [110, 111, 'Gravity2_Gaiji'], [111, 172, 'DINRoundOffcPro']
09d16047	Tábua de pedra: \n Derrote todos os inimigos no limite de tempo.	[0, 16, 'DINRoundOffcPro'], [16, 61, 'DINRoundOffcPro']
0b09a446	Mina de Delvool concluída!	[0, 26, 'DINRoundOffcPro']
0c61344e	c Tirar foto    b Voltar	[0, 1, 'Gravity2_Gaiji'], [1, 16, 'DINRoundOffcPro'], [16, 17, 'Gravity2_Gaiji'], [17, 24, 'DINRoundOffcPro']
0c827475	Chute de gravidade	[0, 18, 'DINRoundOffcPro']
0ca32c8c	Você adquiriu o talismã "Incômodo da Vizinhança"! \n Equipe talismãs no Menu de Talismãs.	[0, 86, 'DINRoundOffcPro']
0cd51bff	O campo de estase carregado no Estilo Lunar, o Vórtice de \n Gravidade, é útil para derrotar grupos de bandidos. \n  \n Segure a (por 1 segundo) perto de objetos que podem \n ser pegos em campos de estase e use um pouco da energia de seu \n Indicador de ESP para lançar o ataque.	[0, 118, 'DINRoundOffcPro'], [118, 119, 'Gravity2_Gaiji'], [119, 264, 'DINRoundOffcPro']
0d1810e2	Estilo lunar	[0, 12, 'DINRoundOffcPro']
0d355ede	Encontre o tesouro	[0, 18, 'DINRoundOffcPro']
0d4b9851	Pressione a para arrastar objetos em um campo de estase. \n Você pode arremessar objetos coletados contra os inimigos.	[0, 10, 'DINRoundOffcPro'], [10, 11, 'Gravity2_Gaiji'], [11, 115, 'DINRoundOffcPro']
0db34c2f	Encontre o lugar na foto mostrada no canto inferior direito, \n e tire uma nova foto do local. \n  \n Pressione k para ampliar ou reduzir a foto.	[0, 103, 'DINRoundOffcPro'], [103, 104, 'Gravity2_Gaiji'], [104, 136, 'DINRoundOffcPro']
0e537afd	Você adquiriu a mobília "Cortinas em mosaico"! \n Agora disponível para decorar a Casa da Kat.	[0, 91, 'DINRoundOffcPro']
0e5999aa	Vire a câmera lentamente para cima, para baixo, para a \n esquerda ou para a direita para apontar na direção em que o \n sensor reage. \n  \n Se você apontar para a posição correta, um marcador de \n navegação aparecerá.	[0, 205, 'DINRoundOffcPro']
0eeb76df	Derrote todos os inimigos \n no limite de tempo	[0, 44, 'DINRoundOffcPro']
0f383416	Você adquiriu o gesto "Apontar para cima"! \n m : Gesto	[0, 43, 'DINRoundOffcPro'], [43, 44, 'Gravity2_Gaiji'], [44, 52, 'DINRoundOffcPro']
0f49bea5	Estilo júpiter: Visão geral	[0, 27, 'DINRoundOffcPro']
1040159a	j Enquanto flutua ou inclina o controle: Apontar câmera \n f Cair para frente (na direção do marcador)	[0, 1, 'Gravity2_Gaiji'], [1, 56, 'DINRoundOffcPro'], [56, 57, 'Gravity2_Gaiji'], [57, 99, 'DINRoundOffcPro']
10845aac	Estilo Júpiter: Visão geral	[0, 27, 'DINRoundOffcPro']
1091269f	f enquanto flutua: Cair para frente (em direção ao marcador)	[0, 1, 'Gravity2_Gaiji'], [1, 60, 'DINRoundOffcPro']
109dd3ee	h + para cima em d : Estilo Lunar	[0, 1, 'Gravity2_Gaiji'], [1, 17, 'DINRoundOffcPro'], [17, 18, 'Gravity2_Gaiji'], [18, 33, 'DINRoundOffcPro']
10b34b93	Chutes de gravidade e arremessos com o campo de estase são a \n maneira mais eficiente de derrubar  os alvos. \n  \n Não dependa muito de ataques normais em que seja preciso estar \n no solo ou você perderá muito tempo.	[0, 207, 'DINRoundOffcPro']
11075541	Estilo júpiter: Deslizamento de gravidade	[0, 41, 'DINRoundOffcPro']
110bba9b	Derrote os inimigos dentro \n do limite de tempo	[0, 45, 'DINRoundOffcPro']
11297b33	Jogar objetos com campos de estase é a melhor maneira \n de atacar inimigos mais rápidos. \n Ao tentar acertar inimigos rápidos com o chute de \n gravidade, espere até eles pararem para usar o chute. \n  \n Também é perigoso esperar demais em um lugar, por isso, \n aperte i +h para se esquivar de ataques inimigos no ar.	[0, 255, 'DINRoundOffcPro'], [255, 256, 'Gravity2_Gaiji'], [256, 258, 'DINRoundOffcPro'], [258, 259, 'Gravity2_Gaiji'], [259, 303, 'DINRoundOffcPro']
115daaba	Lutando contra a luz	[0, 20, 'DINRoundOffcPro']
1214ab62	Estilo lunar: Evasão no ar	[0, 26, 'DINRoundOffcPro']
1219634d	Tábua de pedra: \n Derrote todos os inimigos com deslizamento. Ajuda estar pesado.	[0, 16, 'DINRoundOffcPro'], [16, 79, 'DINRoundOffcPro']
1226b180	Pressione i em qualquer direção +b para iniciar um \n mergulho com o salto foguete. \n  \n Use-o para aumentar sua distância de avanço.	[0, 10, 'DINRoundOffcPro'], [10, 11, 'Gravity2_Gaiji'], [11, 33, 'DINRoundOffcPro'], [33, 34, 'Gravity2_Gaiji'], [34, 126, 'DINRoundOffcPro']
12708ac0	f Cair para frente (em direção ao marcador)	[0, 1, 'Gravity2_Gaiji'], [1, 43, 'DINRoundOffcPro']
12907cfc	Você adquiriu o talismã "Tesouro Índigo"! \n Equipe talismãs no Menu de Talismãs.	[0, 78, 'DINRoundOffcPro']
12e71f6b	c Atacar	[0, 1, 'Gravity2_Gaiji'], [1, 8, 'DINRoundOffcPro']
13137904	Estilo júpiter: Movimentos especiais II	[0, 39, 'DINRoundOffcPro']
13387771	Você adquiriu a mobília "Capacho em mau estado"! \n Agora disponível para decorar a Casa da Kat.	[0, 93, 'DINRoundOffcPro']
135f0d11	Limite de tempo estendido!	[0, 26, 'DINRoundOffcPro']
1384892d	Passe no teste	[0, 14, 'DINRoundOffcPro']
142bb52e	Marcadores de navegação obstruídos	[0, 34, 'DINRoundOffcPro']
1443341d	Você adquiriu o item de foto "Caixa da Sun Shipping"! \n l : ver itens de foto no Modo de Foto.	[0, 54, 'DINRoundOffcPro'], [54, 55, 'Gravity2_Gaiji'], [55, 92, 'DINRoundOffcPro']
14f22218	Você adquiriu o talismã "Quarta Etapa"! \n Equipe talismãs no Menu de Talismãs.	[0, 76, 'DINRoundOffcPro']
15177c0d	Segure b (por cerca de 1 segundo) e solte para dar um \n salto com mola bem alto. \n  \n Você também pode usar as paredes para dar um salto com mola.	[0, 7, 'DINRoundOffcPro'], [7, 8, 'Gravity2_Gaiji'], [8, 140, 'DINRoundOffcPro']
1519ffcc	Derrote todos os inimigos \n sem danificar as bolhas	[0, 49, 'DINRoundOffcPro']
15258486	Você aprendeu o gesto "Dusty"! \n m : Gesto	[0, 31, 'DINRoundOffcPro'], [31, 32, 'Gravity2_Gaiji'], [32, 40, 'DINRoundOffcPro']
15303dcf	o Abrir mapa	[0, 1, 'Gravity2_Gaiji'], [1, 12, 'DINRoundOffcPro']
