Reference Name	Text	Font
00039632	h 更改为木星模式 \n （每次按下时将更改模式）	[0, 1, 'Gravity2_Gaiji'], [1, 22, 'DFHEI5-V-SONY']
00a759e7	欧吉将出发前往 4 个酒吧中的一个。 \n 留意他的行动并在他之前到达酒吧。 \n  \n 如果你能在欧吉之前到达酒吧，则你 \n 可以假装在那里工作并将他打发走。	[0, 70, 'DFHEI5-V-SONY']
00b2842d	k时向下滑碰：更改为木星模式	[0, 1, 'Gravity2_Gaiji'], [1, 14, 'DFHEI5-V-SONY']
00c0f19b	这下应该全部解决了！	[0, 10, 'DFHEI5-V-SONY']
0132b5e2	在伊露米纳崩溃前 \n 使用重力滑行逃离 \n  \n 利用神秘门安全通过 \n 极不稳的危险区	[0, 36, 'DFHEI5-V-SONY']
013c6a41	技能点宝石	[0, 5, 'DFHEI5-V-SONY']
014c91d7	执行迷你黑洞终极技可在凯特周围 \n 制造黑洞，将深陷其中的敌人摧毁殆尽。 \n  \n 黑洞对某些较强劲的敌人不起作用，使用时请注意。	[0, 59, 'DFHEI5-V-SONY']
016ee9a3	好，我赞成。开始吧。	[0, 10, 'DFHEI5-V-SONY']
02153e83	给宝箱及其周围的东西拍照， \n 以帮助其他玩家找到财宝。 \n 如果其他玩家根据你的提示找到财宝， \n 将可赢得达斯缇代币。	[0, 55, 'DFHEI5-V-SONY']
02621e0c	得到“顾客答谢”护符！ \n 在“护符菜单”中装备护符。	[0, 25, 'DFHEI5-V-SONY']
02b32f11	得到“书桌”陈设品！ \n 现在可用于装饰凯特的房子。	[0, 24, 'DFHEI5-V-SONY']
02dd50a4	重力滑行可滑过地面和墙壁。 \n  \n 按 i 可左转或右转，按 j 可控制镜头。 \n 您还可以在滑行时按 b 来跳跃。 \n 松开 g 可结束滑行。	[0, 17, 'DFHEI5-V-SONY'], [17, 18, 'Gravity2_Gaiji'], [18, 28, 'DFHEI5-V-SONY'], [28, 29, 'Gravity2_Gaiji'], [29, 47, 'DFHEI5-V-SONY'], [47, 48, 'Gravity2_Gaiji'], [48, 57, 'DFHEI5-V-SONY'], [57, 58, 'Gravity2_Gaiji'], [58, 65, 'DFHEI5-V-SONY']
0306d778	挑战失败	[0, 4, 'DFHEI5-V-SONY']
035b2a86	得到“风扇”家具！ \n 现在可用于装饰凯特的房子。	[0, 23, 'DFHEI5-V-SONY']
03c0ad04	为了避免对城镇及其市民的伤害， \n 不要从高处投放包裹。 \n  \n 如果重力计能量用完了， \n 则会自动投放包裹，所以请留意能量计。	[0, 58, 'DFHEI5-V-SONY']
03c41ed7	接近奈维并拍摄照片。 \n （l：配备相机）	[0, 12, 'DFHEI5-V-SONY'], [12, 13, 'Gravity2_Gaiji'], [13, 19, 'DFHEI5-V-SONY']
0467f6ba	在失重领域拿着臭烘烘的包裹时， \n 凯特开始难以忍受它散发出来的臭味，导致耐力计上升。 \n 当计量器达到上限时，凯特将昏倒。 \n 按 a 可投递包裹并离开， \n 以便呼吸，并在继续工作之前重置耐力计。	[0, 61, 'DFHEI5-V-SONY'], [61, 62, 'Gravity2_Gaiji'], [62, 92, 'DFHEI5-V-SONY']
04ed5bd8	我觉得我走得太远了。我该回去了。	[0, 16, 'DFHEI5-V-SONY']
04f82374	按 h 可更改重力模式。 \n  \n 处于木星模式时，运动速度 \n 会放慢，但攻击力会增加。	[0, 2, 'DFHEI5-V-SONY'], [2, 3, 'Gravity2_Gaiji'], [3, 39, 'DFHEI5-V-SONY']
05a17aae	致命一击	[0, 4, 'DFHEI5-V-SONY']
05bd8434	h + j 向下：更改为木星模式	[0, 1, 'Gravity2_Gaiji'], [1, 4, 'DFHEI5-V-SONY'], [4, 5, 'Gravity2_Gaiji'], [5, 16, 'DFHEI5-V-SONY']
067b60d0	两个么？好，我们开始吧。	[0, 12, 'DFHEI5-V-SONY']
069f200b	得到一个“气罐”拍照道具！ \n l：从照片模式查看拍照道具	[0, 14, 'DFHEI5-V-SONY'], [14, 15, 'Gravity2_Gaiji'], [15, 27, 'DFHEI5-V-SONY']
06dece8d	重力踢与快速移动的敌人	[0, 11, 'DFHEI5-V-SONY']
06f03110	得到“绒毛地垫”陈设品！ \n 现在可用于装饰凯特的房子。	[0, 26, 'DFHEI5-V-SONY']
08662a8d	得到“火炬区珠宝”护符！ \n 在“护符菜单”中装备护符。	[0, 26, 'DFHEI5-V-SONY']
08c3b795	依核心多的顺序击败敌人	[0, 11, 'DFHEI5-V-SONY']
08cae77f	瑞雯： \n 我们必须逃离这座城市！	[0, 4, 'DFHEI5-V-SONY'], [4, 15, 'DFHEI5-V-SONY']
092888ba	f 飘浮 \n c 飘浮时：重力踢	[0, 1, 'Gravity2_Gaiji'], [1, 5, 'DFHEI5-V-SONY'], [5, 6, 'Gravity2_Gaiji'], [6, 14, 'DFHEI5-V-SONY']
09487af6	得到一个“猪头”拍照道具！ \n l：从照片模式查看拍照道具	[0, 14, 'DFHEI5-V-SONY'], [14, 15, 'Gravity2_Gaiji'], [15, 27, 'DFHEI5-V-SONY']
099bc53f	抓起补给箱并将他们扔给比斯玛利亚， \n 并不被士兵看到。 \n  \n 为了隐密行动，失重领域范围是有限的， \n 因此尝试在失重领域中抓取之前请靠近箱子。	[0, 67, 'DFHEI5-V-SONY']
09d0f462	操控时按 c 可执行瑞雯的 \n 重力踢：血爪。 \n  \n 反复按 c 可发动旋转攻击 \n 造成更大伤害。	[0, 5, 'DFHEI5-V-SONY'], [5, 6, 'Gravity2_Gaiji'], [6, 27, 'DFHEI5-V-SONY'], [27, 28, 'Gravity2_Gaiji'], [28, 44, 'DFHEI5-V-SONY']
09d16047	碑碣： \n 在限定时间内击败所有敌人。	[0, 4, 'DFHEI5-V-SONY'], [4, 17, 'DFHEI5-V-SONY']
0b09a446	岱尔夫沟矿采掘场任务完成！	[0, 13, 'DFHEI5-V-SONY']
