Reference Name	Text	Font
00039632	h 轉換至木星模式 \n （每次按下都會轉換模式）	[0, 1, 'Gravity2_Gaiji'], [1, 22, 'DFT_YY6']
00a759e7	歐吉可能會前往的酒吧有4間。 \n 請注意他的行動，搶在他之前抵達酒吧。 \n  \n 若能比歐吉先到酒吧，便可假裝在店裡工作， \n 將他打發走。	[0, 62, 'DFT_YY6']
00b2842d	k時向下滑碰：改為木星招式	[0, 1, 'Gravity2_Gaiji'], [1, 13, 'DFT_YY6']
00c0f19b	這下應該全部解決了！	[0, 10, 'DFT_R5']
0132b5e2	在伊露米納崩壞前 \n 重力滑行離開 \n  \n 利用神秘門安全通過 \n 極不穩的危險區	[0, 34, 'DFT_YY6']
013c6a41	技能點數寶石	[0, 6, 'DFT_YY6']
014c91d7	使出迷你黑洞必殺技，在凱特周圍創造一個黑洞， \n 將深陷其中的敵人摧毀殆盡。 \n  \n 黑洞對某些較強勁的敵人不會有作用，使用時請多加注意。	[0, 64, 'DFT_YY6']
016ee9a3	好，我加入，來吧。	[0, 9, 'DFT_R5']
02153e83	拍下寶箱和周遭環境的相片，協助其他玩家找到寶藏。 \n 如有玩家根據你的提示找到寶藏，你就能獲得達斯緹符記。	[0, 51, 'DFT_YY6']
02621e0c	已獲得「顧客的讚賞」護符！ \n 請至護符選單裝備護符。	[0, 25, 'DFT_YY6']
02b32f11	已獲得「書桌」家具！ \n 可以用來裝飾凱特的家了。	[0, 23, 'DFT_YY6']
02dd50a4	重力滑行可滑過地面和牆壁。 \n  \n 按下 i 可左轉或右轉，按 j 可控制攝影機。 \n 按下 b 可於滑行中跳躍。 \n 放開 g 可結束滑行。	[0, 18, 'DFT_YY6'], [18, 19, 'Gravity2_Gaiji'], [19, 29, 'DFT_YY6'], [29, 30, 'Gravity2_Gaiji'], [30, 42, 'DFT_YY6'], [42, 43, 'Gravity2_Gaiji'], [43, 56, 'DFT_YY6'], [56, 57, 'Gravity2_Gaiji'], [57, 64, 'DFT_YY6']
0306d778	挑戰失敗	[0, 4, 'DFT_YY6']
035b2a86	已獲得「風扇」家具！ \n 可以用來裝飾凱特的家了。	[0, 23, 'DFT_YY6']
03c0ad04	為了避免傷害城鎮與其居民，別讓包裹從高處落下。 \n  \n 若重力能量用盡，重力抓取也將自動解除， \n 請隨時留意重力能量。	[0, 55, 'DFT_YY6']
03c41ed7	接近奈必並拍下它們的相片。 \n （ l：裝備相機）	[0, 16, 'DFT_YY6'], [16, 17, 'Gravity2_Gaiji'], [17, 23, 'DFT_YY6']
0467f6ba	以重力抓取拿著發出惡臭的包裹時， \n 凱特會開始難以忍受它的薰天臭氣，忍耐量表也會上升。 \n 量表一滿，凱特就會昏倒。 \n 按下 a 放下包裹，將包裹置於安全之處。 \n 只要離開包裹便可降低忍耐量表。	[0, 59, 'DFT_YY6'], [59, 60, 'Gravity2_Gaiji'], [60, 92, 'DFT_YY6']
04ed5bd8	我想我離得太遠了。我該回頭找找。	[0, 16, 'DFT_R5']
04f82374	按下 h 轉換重力模式。 \n  \n 在木星模式中，行動速度會降低，但攻擊力會上升。	[0, 3, 'DFT_YY6'], [3, 4, 'Gravity2_Gaiji'], [4, 37, 'DFT_YY6']
05a17aae	致命一擊	[0, 4, 'DFT_YY6']
05bd8434	h + j 往下：轉換至木星模式	[0, 1, 'Gravity2_Gaiji'], [1, 4, 'DFT_YY6'], [4, 5, 'Gravity2_Gaiji'], [5, 16, 'DFT_YY6']
067b60d0	兩個啊？好，上吧。	[0, 9, 'DFT_R5']
069f200b	已獲得「瓦斯罐」拍照道具！ \n l：從拍照模式查看拍照道具	[0, 14, 'DFT_YY6'], [14, 15, 'Gravity2_Gaiji'], [15, 27, 'DFT_YY6']
