Reference Name	Text	Font
00039632	h Zum Jupiter-Stil wechseln \n (Stilwechsel bei jedem Drücken)	[0, 1, 'Gravity2_Gaiji'], [1, 59, 'DINRoundOffcPro']
00a759e7	Aujean macht sich auf den Weg zu einer der 4 Bars. \n Behalte seine Bewegungen im Auge und erreiche \n die Bars vor ihm. \n  \n Wenn dir das gelingt, kannst du so tun, als würdest du \n dort arbeiten und ihn nach Hause schicken.	[0, 213, 'DINRoundOffcPro']
00b2842d	k nach unten streichen: Zum Jupiter-Stil wechseln	[0, 1, 'Gravity2_Gaiji'], [1, 49, 'DINRoundOffcPro']
00c0f19b	Das sollten alle gewesen sein!	[0, 30, 'DINRoundOffcPro']
0132b5e2	Entkomme aus Illumina, bevor es einstürzt, \n indem du Gravitationsgleiten einsetzt. \n  \n Durchquere die mysteriösen Tore, \n um einen sicheren Pfad in diesem äußerst \n instabilen und gefährlichen Bereich zu kreieren.	[0, 205, 'DINRoundOffcPro']
013c6a41	Sp.-Steine	[0, 10, 'DINRoundOffcPro']
014c91d7	Starte den Spezialangriff „Schwarzes Loch“, \n um ein schwarzes Loch um Kat herum zu erzeugen, \n das alle Gegner zerstört, die hineingeraten. \n  \n Manche zähen Gegner sind immun gegen das schwarze Loch – \n denk daran, wenn du es benutzt.	[0, 226, 'DINRoundOffcPro']
016ee9a3	Gut, ich bin bereit! Los geht‘s!	[0, 32, 'DINRoundOffcPro']
02153e83	Mach ein Foto von einer Schatzkiste und ihrer Umgebung, \n um anderen Spielern bei der Suche nach dem Schatz zu helfen. \n Wenn andere Spieler dank deiner Hinweise einen Schatz finden, \n bekommst du Dusty-Marken.	[0, 204, 'DINRoundOffcPro']
02621e0c	Talisman „Kundenwertschätzung“ erhalten! \n Talismane kannst du im Talisman-Menü ausrüsten.	[0, 88, 'DINRoundOffcPro']
02b32f11	Ausstattungsobjekt „Schreibtisch“ erhalten! \n Jetzt erhältlich, um Kats Haus zu verschönern.	[0, 90, 'DINRoundOffcPro']
02dd50a4	Beim Gravitationsgleiten gleitest du über Boden und Wände. \n  \n Mit i gleitest du nach links und rechts und mit j steuerst \n du die Kamera. Du kannst auch b drücken, um beim Gleiten \n zu springen. Lass g los, um das Gleiten zu beenden.	[0, 64, 'DINRoundOffcPro'], [64, 65, 'Gravity2_Gaiji'], [65, 108, 'DINRoundOffcPro'], [108, 109, 'Gravity2_Gaiji'], [109, 149, 'DINRoundOffcPro'], [149, 150, 'Gravity2_Gaiji'], [150, 194, 'DINRoundOffcPro'], [194, 195, 'Gravity2_Gaiji'], [195, 227, 'DINRoundOffcPro']
0306d778	Herausforderung fehlgeschlagen	[0, 30, 'DINRoundOffcPro']
035b2a86	Ausstattungsobjekt „Ventilator“ erhalten! \n Jetzt erhältlich, um Kats Haus zu verschönern.	[0, 88, 'DINRoundOffcPro']
