Reference Name	Text	Font
00039632	h Change to Jupiter Style \n (Changes style each time it's pressed)	[0, 1, 'Gravity2_Gaiji'], [1, 64, 'DINRoundOffcPro']
00a759e7	Aujean will set off for one of the 4 bars. \n Keep an eye on his movements and reach \n the bars before he does. \n  \n If you can reach the bar before Aujean, you \n can pretend to work there and turn him away.	[0, 196, 'DINRoundOffcPro']
00b2842d	Flick Down on k : Change to Jupiter Style	[0, 14, 'DINRoundOffcPro'], [14, 15, 'Gravity2_Gaiji'], [15, 41, 'DINRoundOffcPro']
00c0f19b	That should be all of 'em!	[0, 26, 'DINRoundOffcPro']
0132b5e2	Escape Illumina before it falls apart by \n using the Gravity Slide. \n  \n Pass through the mysterious gates to \n create a safe path through this highly \n unstable and dangerous area.	[0, 171, 'DINRoundOffcPro']
013c6a41	SP Gems	[0, 7, 'DINRoundOffcPro']
014c91d7	Perform the Micro Black Hole special attack to create \n a black hole around Kat that will destroy any enemies \n caught inside. \n  \n The black hole won't work against some tougher enemies, \n so be aware of that when using it.	[0, 214, 'DINRoundOffcPro']
016ee9a3	Alright, I'm game. Let's do this.	[0, 33, 'DINRoundOffcPro']
02153e83	Take a picture of a treasure box and its surroundings \n to help other players find the treasure. \n You'll earn Dusty Tokens if other players find treasure \n based on your hints.	[0, 171, 'DINRoundOffcPro']
02621e0c	Obtained "Customer Appreciation" talisman! \n Equip talismans in the Talisman Menu.	[0, 80, 'DINRoundOffcPro']
02b32f11	Obtained "Desk" furnishing! \n Now available to decorate Kat's House.	[0, 66, 'DINRoundOffcPro']
02dd50a4	While Gravity Sliding, you'll slide across the \n ground and walls. \n  \n Press i to turn left or right and j to control \n the camera. You can also press b to jump while \n sliding. Release g to end the slide.	[0, 72, 'DINRoundOffcPro'], [72, 73, 'Gravity2_Gaiji'], [73, 100, 'DINRoundOffcPro'], [100, 101, 'Gravity2_Gaiji'], [101, 144, 'DINRoundOffcPro'], [144, 145, 'Gravity2_Gaiji'], [145, 177, 'DINRoundOffcPro'], [177, 178, 'Gravity2_Gaiji'], [178, 196, 'DINRoundOffcPro']
0306d778	Challenge failed	[0, 16, 'DINRoundOffcPro']
035b2a86	Obtained "Fan" furniture! \n Now available to decorate Kat's House.	[0, 64, 'DINRoundOffcPro']
03c0ad04	To avoid harm to the town and its citizens, \n don't drop the package from high places. \n  \n If you run out of Gravity Gauge energy, \n you'll automatically drop the package, \n so keep an eye on your energy levels.	[0, 202, 'DINRoundOffcPro']
03c41ed7	Approach the Nevi and take their picture. \n (l: Equip Camera)	[0, 43, 'DINRoundOffcPro'], [43, 44, 'Gravity2_Gaiji'], [44, 59, 'DINRoundOffcPro']
0467f6ba	While holding the stinky package in a Stasis Field, \n Kat will begin to have trouble enduring the stench \n wafting from it, and her endurance gauge will rise. \n When the gauge maxes out, Kat will pass out. \n Press a to drop the package and move away to \n catch your breath and reset the endurance gauge \n before continuing the job.	[0, 206, 'DINRoundOffcPro'], [206, 207, 'Gravity2_Gaiji'], [207, 319, 'DINRoundOffcPro']
04ed5bd8	I think I'm getting too far away. I should go back.	[0, 51, 'DINRoundOffcPro']
04f82374	Press h to change gravity styles. \n  \n While in Jupiter Style, your movement speed \n slows, but your attack power rises.	[0, 6, 'DINRoundOffcPro'], [6, 7, 'Gravity2_Gaiji'], [7, 114, 'DINRoundOffcPro']
05a17aae	Finishers	[0, 9, 'DINRoundOffcPro']
05bd8434	h + down on j : Change to Jupiter Style	[0, 1, 'Gravity2_Gaiji'], [1, 12, 'DINRoundOffcPro'], [12, 13, 'Gravity2_Gaiji'], [13, 39, 'DINRoundOffcPro']
