Reference Name	Text	Font
00039632	h Cambiar a estilo Júpiter \n (Cambia de estilo cada vez que se pulsa).	[0, 1, 'Gravity2_Gaiji'], [1, 68, 'DINRoundOffcPro']
00a759e7	Aujean saldrá hacia uno de los 4 bares. \n Vigila sus movimientos y llega a \n los bares antes que él. \n  \n Si llegas al bar antes que Aujean, puedes \n fingir que trabajas ahí y prohibirle la entrada.	[0, 188, 'DINRoundOffcPro']
00b2842d	Desliza hacia abajo en k : cambiar a estilo Júpiter	[0, 23, 'DINRoundOffcPro'], [23, 24, 'Gravity2_Gaiji'], [24, 51, 'DINRoundOffcPro']
00c0f19b	¡Creo que ya no hay más!	[0, 24, 'DINRoundOffcPro']
0132b5e2	Usa el deslizamiento de gravedad \n para huir de Illumina antes de que se derrumbe. \n  \n Atraviesa sus misteriosas puertas \n y crea un camino seguro a través de \n esta inestable y peligrosa zona.	[0, 184, 'DINRoundOffcPro']
013c6a41	Gemas de poder especial	[0, 23, 'DINRoundOffcPro']
014c91d7	Lanza el ataque especial Microagujero Negro para \n crear un agujero negro alrededor de Kat que destruya \n a cualquier enemigo que atrape. \n  \n El agujero negro no puede acabar con algunos \n de los enemigos más fuertes, así que ten esto \n en cuenta cuando lo uses.	[0, 251, 'DINRoundOffcPro']
016ee9a3	Venga, me apunto. A luchar.	[0, 27, 'DINRoundOffcPro']
02153e83	Saca una fotografía de un cofre y de su alrededor \n para ayudar a otros jugadores a encontrarlo. \n Ganarás fichas de Dusty si otros jugadores \n lo encuentran gracias a tus pistas.	[0, 173, 'DINRoundOffcPro']
02621e0c	¡Has conseguido el talismán "A gusto del consumidor"! \n Equipa los talismanes en el menú del Talismán.	[0, 100, 'DINRoundOffcPro']
02b32f11	¡Has conseguido el mueble "Escritorio"! \n Ya puedes usarlo para decorar la casa de Kat.	[0, 85, 'DINRoundOffcPro']
