Reference Name	Text	Font
00039632	h Passer en style Jupiter \n (Change de style à chaque appui)	[0, 1, 'Gravity2_Gaiji'], [1, 58, 'DINRoundOffcPro']
00a759e7	Aujean va se diriger vers l'un des 4 bars. \n Garde un œil sur ses déplacements et \n atteins les bars avant lui. \n  \n Si tu rejoins un bar avant Aujean, tu pourras \n prétendre y travailler et refuser de le servir.	[0, 202, 'DINRoundOffcPro']
00b2842d	Appui rapide vers le bas sur k : passer en style Jupiter	[0, 29, 'DINRoundOffcPro'], [29, 30, 'Gravity2_Gaiji'], [30, 56, 'DINRoundOffcPro']
00c0f19b	Ça devrait être bon maintenant !	[0, 32, 'DINRoundOffcPro']
0132b5e2	Fuis Illumina avant que tout ne s'effondre \n en utilisant la glissade gravitationnelle. \n  \n Passe à travers les portes mystérieuses \n pour créer un chemin sûr dans cette zone \n très instable et dangereuse.	[0, 196, 'DINRoundOffcPro']
013c6a41	Gemmes de SP	[0, 12, 'DINRoundOffcPro']
014c91d7	Déclenche l'attaque spéciale Micro-trou noir \n pour créer un trou noir autour de Kat \n qui éliminera les ennemis pris à l'intérieur. \n  \n Le trou noir ne marche pas contre certains ennemis \n puissants, alors ne l'oublie pas au moment de l'utiliser.	[0, 238, 'DINRoundOffcPro']
016ee9a3	OK, je suis partante. Allons-y.	[0, 31, 'DINRoundOffcPro']
02153e83	Prends la photo d'un coffre au trésor et de ses environs \n pour aider les autres joueurs à le trouver. \n Tu gagneras des jetons de Poussière si d'autres joueurs \n trouvent ce trésor grâce à tes indices.	[0, 196, 'DINRoundOffcPro']
02621e0c	Talisman "Reconnaissance de la clientèle" obtenu ! \n Équipe des talismans depuis le menu des talismans.	[0, 101, 'DINRoundOffcPro']
02b32f11	Meuble "Bureau" obtenu ! \n Maintenant disponible pour décorer la maison de Kat.	[0, 77, 'DINRoundOffcPro']
02dd50a4	Lorsque tu effectues une glissade gravitationnelle, \n tu glisses entre le sol et les murs. \n  \n Appuie sur i pour tourner à gauche ou à droite, \n et sur j pour contrôler la caméra. \n Tu peux aussi appuyer sur b pour sauter en glissant. \n Appuie sur g pour mettre fin à la glissade.	[0, 101, 'DINRoundOffcPro'], [101, 102, 'Gravity2_Gaiji'], [102, 145, 'DINRoundOffcPro'], [145, 146, 'Gravity2_Gaiji'], [146, 199, 'DINRoundOffcPro'], [199, 200, 'Gravity2_Gaiji'], [200, 237, 'DINRoundOffcPro'], [237, 238, 'Gravity2_Gaiji'], [238, 269, 'DINRoundOffcPro']
0306d778	Échec du défi	[0, 13, 'DINRoundOffcPro']
035b2a86	Meuble "Ventilateur" obtenu ! \n Maintenant disponible pour décorer la maison de Kat.	[0, 82, 'DINRoundOffcPro']
03c0ad04	Pour éviter d'occasionner des dégâts à la ville \n et ses citoyens, ne fais pas tomber le paquet \n depuis un endroit trop élevé. \n  \n Si tu n'as plus d'énergie dans ta jauge de gravité, \n tu feras automatiquement tomber le paquet, \n alors garde un œil sur ton niveau d'énergie.	[0, 264, 'DINRoundOffcPro']
03c41ed7	Approche-toi des Névis et prends-les en photo. \n (l : équiper l'appareil photo)	[0, 48, 'DINRoundOffcPro'], [48, 49, 'Gravity2_Gaiji'], [49, 77, 'DINRoundOffcPro']
0467f6ba	Même en maintenant le paquet puant dans un champ d'apesanteur, \n Kat aura du mal à en supporter l'odeur qui s'en dégage, et \n sa jauge d'endurance augmentera. Quand elle atteindra \n son maximum, Kat tombera dans les pommes. \n Appuie sur a pour déposer le paquet et t'éloigner \n afin de reprendre ta respiration et réinitialiser la jauge \n d'endurance, avant de pouvoir continuer.	[0, 229, 'DINRoundOffcPro'], [229, 230, 'Gravity2_Gaiji'], [230, 367, 'DINRoundOffcPro']
04ed5bd8	Je vais trop loin, je crois. Je ferais mieux de revenir.	[0, 56, 'DINRoundOffcPro']
