Reference Name	Text	Font
00b2842d	eairkinucuotpuukirfiuouoathswk	[0, 29, 'Gravity2_hx_SansCondensed'], [29, 30, 'Gravity2_Gaiji']
0132b5e2	urgausinhcmanenarootruukwnmaighsf \n urmuusnemaagneaswauyranutuahuoetakstwaiaus \n  \n uaihetraokmoinegjitinisutussduayh	[0, 111, 'Gravity2_hx_SansCondensed']
0c61344e	uoruhsdbiestsec	[0, 7, 'Gravity2_hx_SansCondensed'], [7, 8, 'Gravity2_Gaiji'], [8, 14, 'Gravity2_hx_SansCondensed'], [14, 15, 'Gravity2_Gaiji']
0d355ede	esgaowkaarka	[0, 12, 'Gravity2_hx_SansCondensed']
1040159a	akarnukuhoukmouohuomemohfinuhuuufkoruju	[0, 24, 'Gravity2_hx_SansCondensed'], [24, 25, 'Gravity2_Gaiji'], [25, 39, 'Gravity2_hx_SansCondensed']
1091269f	akarnukuhoukmuyhkoneuosfinuhuuufkoruju	[0, 23, 'Gravity2_hx_SansCondensed'], [23, 24, 'Gravity2_Gaiji'], [24, 38, 'Gravity2_hx_SansCondensed']
115daaba	neimy  ieusesnnsiaytiakh	[0, 24, 'Gravity2_hx_SansCondensed']
12e71f6b	ikgukc	[0, 5, 'Gravity2_hx_SansCondensed'], [5, 6, 'Gravity2_Gaiji']
15303dcf	ukriowppmd	[0, 9, 'Gravity2_hx_SansCondensed'], [9, 10, 'Gravity2_Gaiji']
1624226a	ubruukyruja \n uucauoukyrujkkkuoyuuc	[0, 10, 'Gravity2_hx_SansCondensed'], [10, 11, 'Gravity2_Gaiji'], [11, 32, 'Gravity2_hx_SansCondensed'], [32, 33, 'Gravity2_Gaiji']
177663e8	ukaturhspud	[0, 10, 'Gravity2_hx_SansCondensed'], [10, 11, 'Gravity2_Gaiji']
198817a0	urronnmiontoe	[0, 12, 'Gravity2_hx_SansCondensed'], [12, 13, 'Gravity2_Gaiji']
1e783fd5	ukikodhuoyuunisthsagncinuhasoskorujnhcroipy	[0, 21, 'Gravity2_hx_SansCondensed'], [21, 22, 'Gravity2_Gaiji'], [22, 43, 'Gravity2_hx_SansCondensed']
1f1e8b3d	3	[0, 1, 'Gravity2_hx_Sans']
2265cebd	neirki  ieusesnnsiaytiakh	[0, 25, 'Gravity2_hx_SansCondensed']
2735b5e4	urgausinhcmanenarootruukwnmaighsf \n urmuusnemaagneaswauyranutuahuoetakstwaiaus \n  \n uaihetraokmoinegjitinisutussduayh	[0, 111, 'Gravity2_hx_SansCondensed']
27c041db	ukaturhspuurbad	[0, 14, 'Gravity2_hx_SansCondensed'], [14, 15, 'Gravity2_Gaiji']
27dc6955	oydicck oydicc	[0, 14, 'Gravity2_hx_SansCondensed']
2981e48d	asosreakjurmoeu	[0, 8, 'Gravity2_hx_SansCondensed'], [8, 9, 'Gravity2_Gaiji'], [9, 15, 'Gravity2_hx_SansCondensed']
2cbd824f	neirki  ieusesnnsiaytiakh	[0, 25, 'Gravity2_hx_SansCondensed']
2dad914b	ukikodhuoyuuusnaethshsagncinuhasoskorujnhcroipy	[0, 25, 'Gravity2_hx_SansCondensed'], [25, 26, 'Gravity2_Gaiji'], [26, 47, 'Gravity2_hx_SansCondensed']
32c9e693	asosreakjurmoirdi	[0, 8, 'Gravity2_hx_SansCondensed'], [8, 9, 'Gravity2_Gaiji'], [9, 17, 'Gravity2_hx_SansCondensed']
348e1f39	akarhukuhoukmuyhkoneuosf \n ursaaiohabatkiwuamoyukmisaogowreakj	[0, 23, 'Gravity2_hx_SansCondensed'], [23, 24, 'Gravity2_Gaiji'], [24, 59, 'Gravity2_hx_SansCondensed'], [59, 60, 'Gravity2_Gaiji']
386e63e3	ukaturhspud	[0, 10, 'Gravity2_hx_SansCondensed'], [10, 11, 'Gravity2_Gaiji']
403fbf66	uuufkorujuf \n eairkinucaurkkruinokohuk	[0, 10, 'Gravity2_hx_SansCondensed'], [10, 11, 'Gravity2_Gaiji'], [11, 35, 'Gravity2_hx_SansCondensed'], [35, 36, 'Gravity2_Gaiji']
41b665e9	orsuoyuua	[0, 8, 'Gravity2_hx_SansCondensed'], [8, 9, 'Gravity2_Gaiji']
45218b3f	1	[0, 1, 'Gravity2_hx_Sans']
48b841d6	upiksr	[0, 5, 'Gravity2_hx_SansCondensed'], [5, 6, 'Gravity2_Gaiji']
4afe67ef	ubruukyruja	[0, 10, 'Gravity2_hx_SansCondensed'], [10, 11, 'Gravity2_Gaiji']
4b9c5d2b	ei	[0, 2, 'Gravity2_hx_SansCondensed']
4dade82a	uoiknoomtofl	[0, 11, 'Gravity2_hx_SansCondensed'], [11, 12, 'Gravity2_Gaiji']
629a895e	ertonisasonionkaarka	[0, 20, 'Gravity2_hx_SansCondensed']
6687231e	uuufkorujuf  ojakkoruje \n usmearakgukuhitisakaedsusaemkj	[0, 10, 'Gravity2_hx_SansCondensed'], [10, 11, 'Gravity2_Gaiji'], [11, 22, 'Gravity2_hx_SansCondensed'], [22, 23, 'Gravity2_Gaiji'], [23, 53, 'Gravity2_hx_SansCondensed'], [53, 54, 'Gravity2_Gaiji']
6e30b5e1	uosaiaomttticainmuorkoabhsonteus \n usmiawkionmoimgoukbeoaubezwienorhs \n ethswuduyiorkouretankoihagbisa \n usdaakmaiuniruahdnk	[0, 118, 'Gravity2_hx_SansCondensed']
73dd6a55	ojakuhupatwk	[0, 11, 'Gravity2_hx_SansCondensed'], [11, 12, 'Gravity2_Gaiji']
7fe51f6a	ikgukc	[0, 5, 'Gravity2_hx_SansCondensed'], [5, 6, 'Gravity2_Gaiji']
807abdfc	ieusesnutussdngii	[0, 17, 'Gravity2_hx_SansCondensed']
8702e5	edmik4ieuoukikuhuuukznrcingoti \n ukikroumwcinuhasoskorujnhcnu	[0, 23, 'Gravity2_hx_SansCondensed'], [23, 24, 'Gravity2_Gaiji'], [24, 40, 'Gravity2_hx_SansCondensed'], [40, 41, 'Gravity2_Gaiji'], [41, 59, 'Gravity2_hx_SansCondensed']
878527fb	ikgukiiac+iinuhasodhik \n nosuaiiah	[0, 8, 'Gravity2_hx_SansCondensed'], [8, 9, 'Gravity2_Gaiji'], [9, 10, 'Gravity2_hx_SansCondensed'], [10, 11, 'Gravity2_Gaiji'], [11, 31, 'Gravity2_hx_SansCondensed'], [31, 32, 'Gravity2_Gaiji']
89c387b3	usmeawkaonmaamzaashudinnhcroipy	[0, 31, 'Gravity2_hx_SansCondensed']
8c1c8b3c	2	[0, 1, 'Gravity2_hx_Sans']
8c1e3a49	usmiedgookrekaakmeushs \n onrahetesnaemk	[0, 25, 'Gravity2_hx_SansCondensed'], [25, 26, 'Gravity2_Gaiji'], [26, 37, 'Gravity2_hx_SansCondensed']
920b8ab9	uuufkorujuf \n eairkinucuotpuukirfiuouoathswk	[0, 10, 'Gravity2_hx_SansCondensed'], [10, 11, 'Gravity2_Gaiji'], [11, 41, 'Gravity2_hx_SansCondensed'], [41, 42, 'Gravity2_Gaiji']
9433b5e3	urgausinhcmanenarootruukwnmaighsf \n urmuusnemaagneaswauyranutuahuoetakstwaiaus \n  \n uaihetraokmoinegjitinisutussduayh	[0, 111, 'Gravity2_hx_SansCondensed']
95a2c42e	uosaiaomttticainmuorhswaihaoetbu \n usmiawkionmoimgoihabsotuneowueiouk \n ethswuduyiorkouretankoukgaiha \n usdaakmaurketooaiuniris	[0, 121, 'Gravity2_hx_SansCondensed']
98d2c17d	urdoinnuusukasc	[0, 14, 'Gravity2_hx_SansCondensed'], [14, 15, 'Gravity2_Gaiji']
