Reference Name	Text	Font
00039632	h Passa a gravità gioviana \n (Cambia gravità a ogni pressione)	[0, 1, 'Gravity2_Gaiji'], [1, 60, 'DINRoundOffcPro']
00a759e7	Aujean proverà a raggiungere uno dei 4 bar. \n Osserva i suoi movimenti e raggiungi i bar prima di lui. \n  \n Se raggiungi il bar prima di Aujean, penserà che lavori \n lì e se ne andrà.	[0, 175, 'DINRoundOffcPro']
00b2842d	Scorri in basso su k : Passa a gravità gioviana	[0, 19, 'DINRoundOffcPro'], [19, 20, 'Gravity2_Gaiji'], [20, 47, 'DINRoundOffcPro']
00c0f19b	Dovrebbero essere finiti!	[0, 25, 'DINRoundOffcPro']
0132b5e2	Scappa da Illumina prima che collassi \n servendoti della scivolata gravitazionale. \n  \n Attraversa i cancelli misteriosi per \n trovare un sentiero sicuro in quest'area \n molto instabile e pericolosa.	[0, 189, 'DINRoundOffcPro']
013c6a41	Gemme SP	[0, 8, 'DINRoundOffcPro']
014c91d7	Esegui l'attacco speciale Mini buco nero per creare attorno \n a Kat un buco nero che distruggerà ogni nemico catturato. \n  \n Il buco nero non funzionerà contro i nemici più forti, quindi \n fai attenzione quando lo usi.	[0, 210, 'DINRoundOffcPro']
016ee9a3	OK, ci sto. Avanti.	[0, 19, 'DINRoundOffcPro']
02153e83	Scatta una foto a uno scrigno e all'ambiente circostante \n per aiutare gli altri giocatori a trovare il tesoro. \n Se gli altri giocatori troveranno il tesoro grazie ai tuoi \n indizi, guadagnerai gettoni Dusty.	[0, 203, 'DINRoundOffcPro']
02621e0c	Hai ottenuto il talismano "Clienti soddisfatti"! \n Equipaggia i talismani nel menu talismani.	[0, 91, 'DINRoundOffcPro']
02b32f11	Hai ottenuto l'arredo "Scrivania"! \n Utile per decorare la casa di Kat.	[0, 69, 'DINRoundOffcPro']
02dd50a4	Con la scivolata gravitazionale, puoi scivolare a terra e sopra \n i muri. \n  \n Usa i per girare a destra e a sinistra e j per spostare la \n visuale. Premi b per saltare durante la scivolata. \n Rilascia g per terminare la scivolata.	[0, 77, 'DINRoundOffcPro'], [77, 78, 'Gravity2_Gaiji'], [78, 114, 'DINRoundOffcPro'], [114, 115, 'Gravity2_Gaiji'], [115, 147, 'DINRoundOffcPro'], [147, 148, 'Gravity2_Gaiji'], [148, 192, 'DINRoundOffcPro'], [192, 193, 'Gravity2_Gaiji'], [193, 221, 'DINRoundOffcPro']
0306d778	Sfida fallita	[0, 13, 'DINRoundOffcPro']
035b2a86	Hai ottenuto l'arredo "Ventilatore"! \n Utile per decorare la casa di Kat.	[0, 71, 'DINRoundOffcPro']
03c0ad04	Per evitare di danneggiare città e abitanti, non consegnare \n il pacco facendolo cadere dall'alto. \n  \n Se l'indicatore di gravità si esaurisce, Kat sarà costretta a \n lasciare il pacco. Tieni, quindi, sempre d'occhio il livello \n dell'energia.	[0, 234, 'DINRoundOffcPro']
03c41ed7	Avvicinati ai Nevi e scatta loro una foto. \n (l: Equipaggia la fotocamera)	[0, 44, 'DINRoundOffcPro'], [44, 45, 'Gravity2_Gaiji'], [45, 72, 'DINRoundOffcPro']
0467f6ba	Mentre tieni il pacco puzzolente nel campo di stasi, Kat \n comincerà a soffrire per l'odore nauseabondo e l'indicatore \n di resistenza si riempirà. Quando l'indicatore è al massimo, \n Kat sviene. \n Premi a per posare il pacco e allontanati per prendere \n fiato. Così azzererai l'indicatore di resistenza e potrai \n portare a termine il lavoro.	[0, 196, 'DINRoundOffcPro'], [196, 197, 'Gravity2_Gaiji'], [197, 331, 'DINRoundOffcPro']
04ed5bd8	Forse mi sto allontanando troppo. Meglio tornare indietro.	[0, 58, 'DINRoundOffcPro']
04f82374	Premi h per cambiare tipo di gravità. \n  \n Mentre sei a gravità gioviana, la tua velocità di movimento \n diminuisce, ma il tuo potere d'attacco aumenta.	[0, 6, 'DINRoundOffcPro'], [6, 7, 'Gravity2_Gaiji'], [7, 146, 'DINRoundOffcPro']
05a17aae	Colpo di grazia	[0, 15, 'DINRoundOffcPro']
05bd8434	h + j in giù: Passa a gravità gioviana	[0, 1, 'Gravity2_Gaiji'], [1, 4, 'DINRoundOffcPro'], [4, 5, 'Gravity2_Gaiji'], [5, 38, 'DINRoundOffcPro']
067b60d0	Due contro una, eh? Fatevi sotto.	[0, 33, 'DINRoundOffcPro']
069f200b	Hai ottenuto l'oggetto foto "Bombola di gas"! \n l : Guarda gli oggetti foto in modalità foto	[0, 46, 'DINRoundOffcPro'], [46, 47, 'Gravity2_Gaiji'], [47, 90, 'DINRoundOffcPro']
06dece8d	Calcio gravitazionale e nemici veloci	[0, 37, 'DINRoundOffcPro']
06f03110	Hai ottenuto l'arredo "Tappeto ispido"! \n Utile per decorare la casa di Kat.	[0, 74, 'DINRoundOffcPro']
08662a8d	Hai ottenuto il talismano "Gioiello della zona delle candele"! \n Equipaggia i talismani nel menu talismani.	[0, 105, 'DINRoundOffcPro']
08c3b795	Sconfiggi prima i nemici \n con più nuclei	[0, 39, 'DINRoundOffcPro']
08cae77f	Raven: \n Dobbiamo allontanarci da quella città!	[0, 7, 'DINRoundOffcPro'], [7, 45, 'DINRoundOffcPro']
092888ba	f Volo sospeso \n c in volo sospeso: Calcio gravitazionale	[0, 1, 'Gravity2_Gaiji'], [1, 15, 'DINRoundOffcPro'], [15, 16, 'Gravity2_Gaiji'], [16, 55, 'DINRoundOffcPro']
09487af6	Hai ottenuto l'oggetto foto "Testa di maiale"! \n l : Guarda gli oggetti foto in modalità foto	[0, 47, 'DINRoundOffcPro'], [47, 48, 'Gravity2_Gaiji'], [48, 91, 'DINRoundOffcPro']
099bc53f	Senza farti notare dai soldati, prendi le casse di scorte e \n lanciale fuori bordo. \n  \n Per mantenere la tua copertura, il campo di stasi avrà una \n portata limitata. Avvicinati alla cassa prima di inglobarla in \n un campo di stasi.	[0, 223, 'DINRoundOffcPro']
09d0f462	Premi c a gravità alterata per eseguire un calcio \n gravitazionale in stile Raven: l'artiglio insanguinato. \n  \n Premi ripetutamente c per roteare \n e infliggere danni maggiori.	[0, 6, 'DINRoundOffcPro'], [6, 7, 'Gravity2_Gaiji'], [7, 127, 'DINRoundOffcPro'], [127, 128, 'Gravity2_Gaiji'], [128, 169, 'DINRoundOffcPro']
09d16047	Tavola di pietra: \n Sconfiggi tutti i nemici entro il tempo limite.	[0, 18, 'DINRoundOffcPro'], [18, 65, 'DINRoundOffcPro']
0b09a446	Fossa mineraria di Delvool completata!	[0, 38, 'DINRoundOffcPro']
0c61344e	c Scatta foto    b Indietro	[0, 1, 'Gravity2_Gaiji'], [1, 17, 'DINRoundOffcPro'], [17, 18, 'Gravity2_Gaiji'], [18, 27, 'DINRoundOffcPro']
0c827475	Calcio gravitazionale	[0, 21, 'DINRoundOffcPro']
0ca32c8c	Hai ottenuto il talismano "Disturbatore"! \n Equipaggia i talismani nel menu talismani.	[0, 84, 'DINRoundOffcPro']
0cd51bff	Il campo di stasi vorticante caricato a gravità lunare, \n è utile per sgominare gruppi di nemici. \n  \n Tieni premuto a per circa 1 secondo quando ti trovi \n vicino agli oggetti che puoi afferrare con il campo di stasi \n e sfrutta la tua energia SP per attaccare.	[0, 111, 'DINRoundOffcPro'], [111, 112, 'Gravity2_Gaiji'], [112, 252, 'DINRoundOffcPro']
0d1810e2	Gravità lunare	[0, 14, 'DINRoundOffcPro']
0d355ede	Trova il tesoro	[0, 15, 'DINRoundOffcPro']
0d4b9851	Premi a per attirare gli oggetti circostanti in un campo di \n stasi. Poi, lanciali contro i nemici.	[0, 6, 'DINRoundOffcPro'], [6, 7, 'Gravity2_Gaiji'], [7, 97, 'DINRoundOffcPro']
0db34c2f	Trova il luogo della foto mostrata in basso a destra, e scatta \n una nuova fotografia. \n  \n Premi k per allargare o ridurre le dimensioni della foto \n originale.	[0, 92, 'DINRoundOffcPro'], [92, 93, 'Gravity2_Gaiji'], [93, 153, 'DINRoundOffcPro']
0e537afd	Hai ottenuto l'arredo "Tende a mosaico"! \n Utile per decorare la casa di Kat.	[0, 75, 'DINRoundOffcPro']
0e5999aa	Inclina lentamente la visuale in su, in giù, a destra o \n a sinistra per identificare la direzione rilevata dal sensore. \n  \n Se punti nella direzione corretta, apparirà un indicatore \n di navigazione.	[0, 193, 'DINRoundOffcPro']
0eeb76df	Sconfiggi tutti i nemici \n entro il tempo limite	[0, 46, 'DINRoundOffcPro']
0f383416	Hai ottenuto il gesto "Punta al cielo"! \n m : Gesto	[0, 40, 'DINRoundOffcPro'], [40, 41, 'Gravity2_Gaiji'], [41, 49, 'DINRoundOffcPro']
0f49bea5	Gravità gioviana: Panoramica	[0, 28, 'DINRoundOffcPro']
1040159a	j in volo sospeso o inclina controller: Sposta visuale \n f Cadi in avanti (verso l'indicatore)	[0, 1, 'Gravity2_Gaiji'], [1, 55, 'DINRoundOffcPro'], [55, 56, 'Gravity2_Gaiji'], [56, 92, 'DINRoundOffcPro']
10845aac	Gravità gioviana: Panoramica	[0, 28, 'DINRoundOffcPro']
1091269f	f in volo sospeso: Cadi in avanti (verso l'indicatore)	[0, 1, 'Gravity2_Gaiji'], [1, 54, 'DINRoundOffcPro']
109dd3ee	h + d in su: Gravità lunare	[0, 1, 'Gravity2_Gaiji'], [1, 4, 'DINRoundOffcPro'], [4, 5, 'Gravity2_Gaiji'], [5, 27, 'DINRoundOffcPro']
10b34b93	I calci gravitazionali e i lanci di stasi sono i modi più \n efficaci per abbattere i bersagli. \n  \n Non affidarti troppo ai semplici attacchi a terra \n o finirai solo per perdere tempo.	[0, 177, 'DINRoundOffcPro']
11075541	Stile gioviano: Scivolata gravitazionale	[0, 40, 'DINRoundOffcPro']
110bba9b	Sconfiggi i nemici \n entro il tempo limite	[0, 40, 'DINRoundOffcPro']
11297b33	Lanciare oggetti con il campo di stasi è il modo migliore \n per attaccare i nemici più veloci. \n Per colpire i nemici veloci con un calcio gravitazionale, \n aspetta che siano fermi prima di eseguire il calcio. \n  \n Rimanere fermi troppo a lungo in un punto è pericoloso, \n quindi premi i + h per schivare attacchi a mezz'aria.	[0, 274, 'DINRoundOffcPro'], [274, 275, 'Gravity2_Gaiji'], [275, 278, 'DINRoundOffcPro'], [278, 279, 'Gravity2_Gaiji'], [279, 314, 'DINRoundOffcPro']
115daaba	Affrontare la luce	[0, 18, 'DINRoundOffcPro']
1214ab62	Gravità lunare: Schivata a mezz'aria	[0, 36, 'DINRoundOffcPro']
1219634d	Tavola di pietra: \n Sconfiggi i nemici in scivolata. Sarà più facile se sei pesante.	[0, 18, 'DINRoundOffcPro'], [18, 82, 'DINRoundOffcPro']
1226b180	Premi i in una direzione + b per eseguire un lungo salto \n a razzo. \n  \n Usalo per aumentare la distanza percorsa tuffandoti in avanti.	[0, 6, 'DINRoundOffcPro'], [6, 7, 'Gravity2_Gaiji'], [7, 27, 'DINRoundOffcPro'], [27, 28, 'Gravity2_Gaiji'], [28, 129, 'DINRoundOffcPro']
12708ac0	f Cadi in avanti (verso l'indicatore)	[0, 1, 'Gravity2_Gaiji'], [1, 37, 'DINRoundOffcPro']
12907cfc	Hai ottenuto il talismano "Tesoro indaco"! \n Equipaggia i talismani nel menu talismani.	[0, 85, 'DINRoundOffcPro']
12e71f6b	c Attacca	[0, 1, 'Gravity2_Gaiji'], [1, 9, 'DINRoundOffcPro']
13137904	Gravità gioviana: Mosse speciali 2	[0, 34, 'DINRoundOffcPro']
13387771	Hai ottenuto l'arredo "Tappeto logoro"! \n Utile per decorare la casa di Kat.	[0, 74, 'DINRoundOffcPro']
135f0d11	Tempo limite aumentato!	[0, 23, 'DINRoundOffcPro']
1384892d	Supera il test	[0, 14, 'DINRoundOffcPro']
142bb52e	Indicatori di navigazione ostruiti	[0, 34, 'DINRoundOffcPro']
1443341d	Hai ottenuto l'oggetto foto "Cassa Sun Trasporti"! \n l : Guarda gli oggetti foto in modalità foto	[0, 51, 'DINRoundOffcPro'], [51, 52, 'Gravity2_Gaiji'], [52, 95, 'DINRoundOffcPro']
14f22218	Hai ottenuto il talismano "Quarto passo"! \n Equipaggia i talismani nel menu talismani.	[0, 84, 'DINRoundOffcPro']
15177c0d	Tieni premuto b per circa 1 secondo, poi rilascialo per \n eseguire un salto a molla. \n  \n Puoi eseguire salti a molla anche contro i muri.	[0, 14, 'DINRoundOffcPro'], [14, 15, 'Gravity2_Gaiji'], [15, 132, 'DINRoundOffcPro']
1519ffcc	Sconfiggi tutti i nemici \n senza rompere le bolle	[0, 47, 'DINRoundOffcPro']
15258486	Hai imparato il gesto "Dusty"! \n m: Gesto	[0, 31, 'DINRoundOffcPro'], [31, 32, 'Gravity2_Gaiji'], [32, 39, 'DINRoundOffcPro']
15303dcf	o Apri la mappa	[0, 1, 'Gravity2_Gaiji'], [1, 15, 'DINRoundOffcPro']
159c41c7	Supera il test	[0, 14, 'DINRoundOffcPro']
161844f5	Kat: \n Già fatto?	[0, 5, 'DINRoundOffcPro'], [5, 15, 'DINRoundOffcPro']
161a5818	Potenziamento	[0, 13, 'DINRoundOffcPro']
1624226a	c Calcio gravitazionale (con gravità alterata) \n a Genera campo di stasi	[0, 1, 'Gravity2_Gaiji'], [1, 47, 'DINRoundOffcPro'], [47, 48, 'Gravity2_Gaiji'], [48, 70, 'DINRoundOffcPro']
16920d7c	Ora Kat può usare la sua casa fra i tubi. \n  \n Puoi raccogliere arredamenti utili per decorare la casa di Kat \n completando varie missioni e cacce al tesoro.	[0, 151, 'DINRoundOffcPro']
16a1df6f	h Passa a gravità lunare	[0, 1, 'Gravity2_Gaiji'], [1, 24, 'DINRoundOffcPro']
1707f75a	Foto scattate	[0, 13, 'DINRoundOffcPro']
173379e5	Sconfiggi il nemico raro	[0, 24, 'DINRoundOffcPro']
17696b79	Incarico di guardia	[0, 19, 'DINRoundOffcPro']
177663e8	Gemma speciale: Rigenera la barra SP	[0, 36, 'DINRoundOffcPro']
18291c1e	Tavola di pietra: \n Sconfiggi tutti i nemici.	[0, 18, 'DINRoundOffcPro'], [18, 43, 'DINRoundOffcPro']
182f2517	Hai ottenuto il talismano "Orgoglio operaio"! \n Equipaggia i talismani nel menu talismani.	[0, 88, 'DINRoundOffcPro']
18437778	Hai ottenuto l'arredo "Appendiabiti"! \n Utile per decorare la casa di Kat.	[0, 72, 'DINRoundOffcPro']
189aade7	Il modo più efficiente di liberarsi dei missili è afferrarli \n con un campo di stasi e lanciarli l'uno contro l'altro. \n  \n Ma fai attenzione: se attacchi direttamente un missile, \n questo potrebbe esploderti addosso.	[0, 209, 'DINRoundOffcPro']
189ba649	???: \n Fuoco!	[0, 5, 'DINRoundOffcPro'], [5, 11, 'DINRoundOffcPro']
18ac5e18	Tavola di pietra: \n Sconfiggi tutti i nemici nonostante i limiti.	[0, 18, 'DINRoundOffcPro'], [18, 63, 'DINRoundOffcPro']
18f8aa45	Gravità lunare: Schivata	[0, 24, 'DINRoundOffcPro']
194c24c1	Congratulazioni per aver completato il 30° livello \n della fossa mineraria di Delvool!	[0, 84, 'DINRoundOffcPro']
198817a0	e Torna a gravità normale e ritorna a terra	[0, 1, 'Gravity2_Gaiji'], [1, 43, 'DINRoundOffcPro']
1a30848d	Hai imparato il gesto "Mela"! \n m: Gesto	[0, 30, 'DINRoundOffcPro'], [30, 31, 'Gravity2_Gaiji'], [31, 38, 'DINRoundOffcPro']
1a41d4b7	Tavola di pietra: \n Supera il test.	[0, 18, 'DINRoundOffcPro'], [18, 33, 'DINRoundOffcPro']
1a9f3208	Non ci sono Nevi in questa foto.	[0, 32, 'DINRoundOffcPro']
1ab3d3fc	h + i in su: Gravità lunare	[0, 1, 'Gravity2_Gaiji'], [1, 4, 'DINRoundOffcPro'], [4, 5, 'Gravity2_Gaiji'], [5, 27, 'DINRoundOffcPro']
1abf804c	h : Torna a gravità normale \n (Cambia gravità a ogni pressione)	[0, 1, 'Gravity2_Gaiji'], [1, 61, 'DINRoundOffcPro']
1b39d56c	Quando puoi avviare una missione dalla mappa apparirà \n un indicatore missione.	[0, 77, 'DINRoundOffcPro']
1b616553	Tavola di pietra: \n Sconfiggi tutti i nemici senza allontanarti dall'isola.	[0, 18, 'DINRoundOffcPro'], [18, 73, 'DINRoundOffcPro']
1bb88cc6	i Muoviti    j Sposta visuale \n c Attacca	[0, 1, 'Gravity2_Gaiji'], [1, 13, 'DINRoundOffcPro'], [13, 14, 'Gravity2_Gaiji'], [14, 30, 'DINRoundOffcPro'], [30, 31, 'Gravity2_Gaiji'], [31, 39, 'DINRoundOffcPro']
1bd87e02	Hai ottenuto l'arredo "Cesta"! \n Utile per decorare la casa di Kat.	[0, 65, 'DINRoundOffcPro']
1be25f26	In molti dei talismani che estrarrai, \n a forme diverse corrispondono effetti diversi. \n Mutando la loro forma potrai abbinare effetti \n di talismani altrimenti incompatibili.	[0, 169, 'DINRoundOffcPro']
1c4286d7	Regola la direzione della caduta con i.	[0, 37, 'DINRoundOffcPro'], [37, 38, 'Gravity2_Gaiji'], [38, 39, 'DINRoundOffcPro']
1c70d673	Generalmente, Kat troverà talismani estraendo minerali, \n ma può anche riceverli come ricompensa per aver completato \n determinati eventi o nelle cacce al tesoro. \n  \n I talismani ottenuti durante le estrazioni saranno disponibili \n solo dopo che Kat avrà fatto valutare le pietre talismano \n trovate.	[0, 289, 'DINRoundOffcPro']
1c734cf2	Informazioni dai cittadini	[0, 26, 'DINRoundOffcPro']
1cd3f422	Fatto!	[0, 6, 'DINRoundOffcPro']
