Reference Name	Text	Font
00039632	hユピトールチューン \n （押す度にチューンが切り替わります）	[0, 1, 'Gravity2_Gaiji'], [1, 29, 'SCE-MaruFolkProM']
00a759e7	オージンは、広場にある4つの酒場のどれかに向かって移動します。 \n オージンを観察し、彼が行きそうな酒場に先回りしましょう。 \n  \n オージンよりも早くたどり着くことで、酒場の娘になりすまし、 \n 門前払いすることができます。	[0, 106, 'SCE-MaruFolkProM']
00b2842d	kを下方向にフリック：ユピトールチューンに切り替え	[0, 1, 'Gravity2_Gaiji'], [1, 25, 'SCE-MaruFolkProM']
00c0f19b	よし！ 全部片付いたかな？	[0, 13, 'MovieFont-TTF']
0132b5e2	場の崩壊に巻き込まれる前に、重力スライドで脱出しましょう。 \n  \n 歪みの強い地面を通ると、ダメージを受けてしまうため、 \n 安全なルートを通りましょう。 \n 不思議なゲートを通ると、安全な道が作られます。	[0, 96, 'SCE-MaruFolkProM']
013c6a41	SPジェム	[0, 5, 'SCE-MaruFolkProM']
014c91d7	スペシャルアタックのマイクロブラックホールは、 \n キトゥンの周囲にブラックホールが発生し \n 周囲の敵を全て飲み込みます。 \n  \n ただし、強力な敵には効かないことがありますので注意しましょう。	[0, 91, 'SCE-MaruFolkProM']
016ee9a3	……良い機会だ　手合わせ願おう	[0, 15, 'MovieFont-TTF']
02153e83	宝箱と周りの風景など、宝箱の場所のヒント写真を撮って \n 他のプレイヤーにも宝箱のありかを教えてあげましょう！ \n 誰かがあなたのヒント写真で宝箱を見つけたら \n ダスティトークンをプレゼント！	[0, 91, 'SCE-MaruFolkProM']
02621e0c	タリスマン「接客の心得」を入手した！ \n タリスマン装備画面で装備してみましょう	[0, 38, 'SCE-MaruFolkProM']
02b32f11	家具「デスク」を入手した！ \n 土管の家に配置してみましょう	[0, 28, 'SCE-MaruFolkProM']
02dd50a4	「重力スライド」中は地面や壁に沿って滑ることができます。 \n i（左右に曲がる）とj（カメラを操作）の二つを駆使して \n 自在に滑りましょう。 \n また「重力スライド」中もbでジャンプすることができます。 \n gを離すと重力スライドは解除されます。	[0, 29, 'SCE-MaruFolkProM'], [29, 30, 'Gravity2_Gaiji'], [30, 39, 'SCE-MaruFolkProM'], [39, 40, 'Gravity2_Gaiji'], [40, 80, 'SCE-MaruFolkProM'], [80, 81, 'Gravity2_Gaiji'], [81, 97, 'SCE-MaruFolkProM'], [97, 98, 'Gravity2_Gaiji'], [98, 116, 'SCE-MaruFolkProM']
0306d778	改めよ	[0, 3, 'SCE-MaruFolkProM']
035b2a86	家具「ファン」を入手した！ \n 土管の家に配置してみましょう	[0, 28, 'SCE-MaruFolkProM']
03c0ad04	街への被害を防ぐため、荷物を高い所から \n 落として壊してしまわないように注意してください。 \n  \n 運搬中に重力エナジーがなくなると、 \n 重力グラブが解除され、荷物を落としてしまいます。	[0, 88, 'SCE-MaruFolkProM']
03c41ed7	ネヴィに接近して写真に収めましょう。 \n （l：フォトモード）	[0, 20, 'SCE-MaruFolkProM'], [20, 21, 'Gravity2_Gaiji'], [21, 29, 'SCE-MaruFolkProM']
0467f6ba	くさい荷物をグラブしている間、我慢ゲージが上がっていきます。 \n 我慢が限界に達すると、気絶してしまいます。 \n  \n aで重力グラブを解除し、荷物を安全な場所に下ろして \n 荷物から離れれば、我慢ゲージを回復することできます。	[0, 54, 'SCE-MaruFolkProM'], [54, 55, 'Gravity2_Gaiji'], [55, 106, 'SCE-MaruFolkProM']
04ed5bd8	こんなに遠くじゃないよね？ 一度戻ろう	[0, 19, 'MovieFont-TTF']
04f82374	hを押す度にチューンが切り替わります。 \n  \n ユピトールチューンは、動きが遅くなるかわりに \n 強力な攻撃が可能です。	[0, 1, 'Gravity2_Gaiji'], [1, 55, 'SCE-MaruFolkProM']
05a17aae	フェイタルムーブ	[0, 8, 'SCE-MaruFolkProM']
05bd8434	h＋j下：ユピトールチューンに切り替え	[0, 1, 'Gravity2_Gaiji'], [1, 2, 'SCE-MaruFolkProM'], [2, 3, 'Gravity2_Gaiji'], [3, 19, 'SCE-MaruFolkProM']
067b60d0	二人がかりか……いいだろう！	[0, 14, 'MovieFont-TTF']
069f200b	フォトアイテム「ガスボンベ」を入手した！ \n lフォトモードから「フォトアイテム」を見てみましょう	[0, 21, 'SCE-MaruFolkProM'], [21, 22, 'Gravity2_Gaiji'], [22, 47, 'SCE-MaruFolkProM']
06dece8d	素早く動く敵への重力キック	[0, 13, 'SCE-MaruFolkProM']
06f03110	家具「シャギーラグマット」を入手した！ \n 土管の家に配置してみましょう	[0, 34, 'SCE-MaruFolkProM']
08662a8d	タリスマン「燭光の楔」を入手した！ \n タリスマン装備画面で装備してみましょう	[0, 37, 'SCE-MaruFolkProM']
08c3b795	命の玉　多き者より順に倒せ	[0, 13, 'SCE-MaruFolkProM']
08cae77f	クロウ： \n 亡霊都市と反対側へ落ちるんだ！	[0, 5, 'MovieFont-TTF'], [5, 20, 'MovieFont-TTF']
092888ba	f無重力浮遊 \n 無重力浮遊中にc：重力キック	[0, 1, 'Gravity2_Gaiji'], [1, 14, 'SCE-MaruFolkProM'], [14, 15, 'Gravity2_Gaiji'], [15, 21, 'SCE-MaruFolkProM']
09487af6	フォトアイテム「ブタの頭」を入手した！ \n lフォトモードから「フォトアイテム」を見てみましょう	[0, 20, 'SCE-MaruFolkProM'], [20, 21, 'Gravity2_Gaiji'], [21, 46, 'SCE-MaruFolkProM']
099bc53f	兵士に気づかれないように、物資が入った木箱を \n 重力スローで要塞の外へ投げていきましょう。 \n このミッションでは隠密に行動するため \n 重力スローの範囲が狭くなっています。 \n 奪いたい物資の近くで重力グラブを行いましょう。	[0, 106, 'SCE-MaruFolkProM']
09d0f462	無重力浮遊中にcを連打することで、 \n 強力な空中突進攻撃「ブラッディタロン」を出せます。 \n cを連打し続けることで、連続ヒットする非常に強力な技です。	[0, 7, 'SCE-MaruFolkProM'], [7, 8, 'Gravity2_Gaiji'], [8, 44, 'SCE-MaruFolkProM'], [44, 45, 'Gravity2_Gaiji'], [45, 73, 'SCE-MaruFolkProM']
09d16047	石碑： \n 時間内に殲滅せよ	[0, 4, 'MovieFont-TTF'], [4, 12, 'MovieFont-TTF']
0b09a446	デルヴール採掘海溝　完全制覇！	[0, 15, 'SCE-MaruFolkProM']
0c61344e	cで撮影、bで終了	[0, 1, 'Gravity2_Gaiji'], [1, 5, 'SCE-MaruFolkProM'], [5, 6, 'Gravity2_Gaiji'], [6, 9, 'SCE-MaruFolkProM']
0c827475	重力キック	[0, 5, 'SCE-MaruFolkProM']
0ca32c8c	タリスマン「近所迷惑の噂」を入手した！ \n タリスマン装備画面で装備してみましょう	[0, 39, 'SCE-MaruFolkProM']
0cd51bff	荒くれ者をまとめて倒すにはルーナチューンのチャージグラブ \n 「ボルテックススロー」が有効です。 \n グラブできる物の近くでaを長押し（1秒程度）すると、 \n SPを消費してボルテックススローを発動できます。	[0, 58, 'SCE-MaruFolkProM'], [58, 59, 'Gravity2_Gaiji'], [59, 98, 'SCE-MaruFolkProM']
0d1810e2	新しい力「ルーナチューン」	[0, 13, 'SCE-MaruFolkProM']
0d355ede	宝箱を探せ！	[0, 6, 'SCE-MaruFolkProM']
0d4b9851	aを押すと周囲の物を重力で引き寄せることができます。 \n 引き寄せた物は敵にぶつける事が可能です。	[0, 1, 'Gravity2_Gaiji'], [1, 47, 'SCE-MaruFolkProM']
0db34c2f	右下に表示される写真の撮影場所を探しましょう。 \n  \n kを押すと写真を拡大したり元に戻したりすることができます。 \n  \n その場所で同じように写真を撮ってみましょう。	[0, 25, 'SCE-MaruFolkProM'], [25, 26, 'Gravity2_Gaiji'], [26, 78, 'SCE-MaruFolkProM']
0e537afd	家具「モザイクカーテン」を入手した！ \n 土管の家に配置してみましょう	[0, 33, 'SCE-MaruFolkProM']
0e5999aa	保管ケースがある方向を向くと、センサーが反応します。 \n ゆっくりカメラを動かして、反応が強くなる方向を探しましょう。 \n  \n 反応を正面にとらえている間、ナビマーカーが表示されます。	[0, 87, 'SCE-MaruFolkProM']
0eeb76df	制限時間内に殲滅せよ	[0, 10, 'SCE-MaruFolkProM']
0f383416	ジェスチャー「あれは何？」を入手した！ \n mジェスチャー	[0, 20, 'SCE-MaruFolkProM'], [20, 21, 'Gravity2_Gaiji'], [21, 27, 'SCE-MaruFolkProM']
0f49bea5	「ユピトールチューン」おさらい	[0, 15, 'SCE-MaruFolkProM']
1040159a	無重力浮遊中にjまたはコントローラーを傾ける：カメラ操作 \n f 正面（目標のマークの方向）に落下	[0, 7, 'SCE-MaruFolkProM'], [7, 8, 'Gravity2_Gaiji'], [8, 29, 'SCE-MaruFolkProM'], [29, 30, 'Gravity2_Gaiji'], [30, 47, 'SCE-MaruFolkProM']
10845aac	「ユピトールチューン」おさらい	[0, 15, 'SCE-MaruFolkProM']
1091269f	無重力浮遊中にf：正面（目標マークの方向）に落下	[0, 7, 'SCE-MaruFolkProM'], [7, 8, 'Gravity2_Gaiji'], [8, 24, 'SCE-MaruFolkProM']
109dd3ee	h＋d上：ルーナチューン	[0, 1, 'Gravity2_Gaiji'], [1, 2, 'SCE-MaruFolkProM'], [2, 3, 'Gravity2_Gaiji'], [3, 12, 'SCE-MaruFolkProM']
10b34b93	マトを倒すには、重力キックや重力スローが有効です。 \n  \n 地上からの攻撃をするだけではなく、積極的に狙ってみましょう。	[0, 57, 'SCE-MaruFolkProM']
11075541	ユピトールチューンの「重力スライド」	[0, 18, 'SCE-MaruFolkProM']
110bba9b	制限時間内に殲滅せよ	[0, 10, 'SCE-MaruFolkProM']
11297b33	素早く動く敵には重力スローを使いましょう。 \n 重力キックを使う場合は、動きを良く見て、 \n 止まっている隙を狙いましょう。 \n また、一箇所で止まっているととても危険です。 \n i＋hの空中回避を使って、うまく攻撃を回避しましょう。	[0, 82, 'SCE-MaruFolkProM'], [82, 83, 'Gravity2_Gaiji'], [83, 84, 'SCE-MaruFolkProM'], [84, 85, 'Gravity2_Gaiji'], [85, 109, 'SCE-MaruFolkProM']
115daaba	光と闇の戦い　“光の座”	[0, 12, 'SCE-MaruFolkProM']
1214ab62	ルーナチューン「空中回避」	[0, 13, 'SCE-MaruFolkProM']
1219634d	石碑： \n 滑りし力のみで殲滅せよ　重き力を役立てよ	[0, 4, 'MovieFont-TTF'], [4, 24, 'MovieFont-TTF']
1226b180	iを傾けるのと同時にbを押すと、 \n 前方に大きく飛び出すホリゾンタルダイブができます。 \n  \n 遠くまで一気に進みたい時に使いましょう。	[0, 1, 'Gravity2_Gaiji'], [1, 10, 'SCE-MaruFolkProM'], [10, 11, 'Gravity2_Gaiji'], [11, 64, 'SCE-MaruFolkProM']
12708ac0	f正面（目標マークの方向）へ落下	[0, 1, 'Gravity2_Gaiji'], [1, 16, 'SCE-MaruFolkProM']
12907cfc	タリスマン「インディゴの宝玉」を入手した！ \n タリスマン装備画面で装備してみましょう	[0, 41, 'SCE-MaruFolkProM']
12e71f6b	c攻撃	[0, 1, 'Gravity2_Gaiji'], [1, 3, 'SCE-MaruFolkProM']
13137904	「ユピトールチューン」の特殊技２	[0, 16, 'SCE-MaruFolkProM']
13387771	家具「古びたラグマット」を入手した！ \n 土管の家に配置してみましょう	[0, 33, 'SCE-MaruFolkProM']
135f0d11	【制限時間が延長された！】	[0, 13, 'MovieFont-TTF']
1384892d	試練を乗り越えよ	[0, 8, 'SCE-MaruFolkProM']
142bb52e	障害物の先にあるナビゲーションマーカー	[0, 19, 'SCE-MaruFolkProM']
1443341d	フォトアイテム「スン商会の木箱」を入手した！ \n lフォトモードから「フォトアイテム」を見てみましょう	[0, 23, 'SCE-MaruFolkProM'], [23, 24, 'Gravity2_Gaiji'], [24, 49, 'SCE-MaruFolkProM']
14f22218	タリスマン「踏破の証：四合目」を入手した！ \n タリスマン装備画面で装備してみましょう	[0, 41, 'SCE-MaruFolkProM']
15177c0d	bを長押し(1秒程度）して離すと \n 大きく飛び上がる「バーチカルライズ」ができます。 \n  \n 壁を使ってバーチカルライズすることも可能です。	[0, 1, 'Gravity2_Gaiji'], [1, 66, 'SCE-MaruFolkProM']
1519ffcc	水泡を傷つけず、敵を殲滅せよ	[0, 14, 'SCE-MaruFolkProM']
15258486	ジェスチャー「ダスティ！」を入手した！ \n mジェスチャー	[0, 20, 'SCE-MaruFolkProM'], [20, 21, 'Gravity2_Gaiji'], [21, 27, 'SCE-MaruFolkProM']
15303dcf	oマップを開く	[0, 1, 'Gravity2_Gaiji'], [1, 7, 'SCE-MaruFolkProM']
159c41c7	試練を乗り越えよ	[0, 8, 'SCE-MaruFolkProM']
161844f5	キトゥン： \n あれ？ もういいの？	[0, 6, 'MovieFont-TTF'], [6, 16, 'MovieFont-TTF']
161a5818	パワーアップ	[0, 6, 'SCE-MaruFolkProM']
1624226a	c重力キック（重力操作中） \n a重力グラブ	[0, 1, 'Gravity2_Gaiji'], [1, 14, 'SCE-MaruFolkProM'], [14, 15, 'Gravity2_Gaiji'], [15, 20, 'SCE-MaruFolkProM']
16920d7c	土管の家が使えるようになりました。 \n 家具を集めると、好きな組み合わせで \n 土管の家に置くことができます。 \n 家具はミッションで人から貰ったり \n トレジャーハンティングなどで手に入れる事ができます。	[0, 95, 'SCE-MaruFolkProM']
