Reference Name	Text	Font
00039632	h 주피터 스타일로 변경 \n (누를 때마다 스타일 변경)	[0, 1, 'Gravity2_Gaiji'], [1, 29, 'Korean for MaruFolkPro']
00a759e7	오진이 4개의 술집 중 하나를 목표로 움직입니다. \n 움직임을 관찰하여 오진이 가려는 술집으로 \n 먼저 움직이세요. \n  \n 오진보다 먼저 술집에 도착하면, \n 그곳의 종업원으로 위장해 입장을 거부할 수 있습니다.	[0, 109, 'Korean for MaruFolkPro']
00b2842d	k 아래로 플릭: 주피터 스타일로 변경	[0, 1, 'Gravity2_Gaiji'], [1, 21, 'Korean for MaruFolkPro']
00c0f19b	이걸로 전부 끝난 것 같아!	[0, 15, 'AsiaJMR_2']
0132b5e2	중력 슬라이드를 이용해서 \n 일루미나가 다 무너지기 전에 탈출하세요. \n  \n 미지의 관문을 통과하면 이 위험하고도 불안정한 지역에서 \n 안전한 길을 생성합니다.	[0, 82, 'Korean for MaruFolkPro']
013c6a41	SP 젬	[0, 4, 'Korean for MaruFolkPro']
014c91d7	마이크로 블랙홀 필살기는, 캣 주변에 블랙홀을 생성해 \n 주변의 적을 모두 빨아들입니다. \n  \n 하지만 블랙홀은 일부 강력한 적에게는 효과가 없으므로 \n 주의해서 사용하세요.	[0, 90, 'Korean for MaruFolkPro']
016ee9a3	알았어, 그 도전 받아들이지. 한 번 해보자고.	[0, 26, 'AsiaJMR_2']
02153e83	보물 상자와 주변 풍경의 사진을 찍어 \n 다른 플레이어가 보물을 찾을 수 있게 도와주세요. \n 힌트를 이용해 보물을 찾은 플레이어가 있으면 \n 보상으로 더스티 토큰을 얻을 수 있습니다.	[0, 97, 'Korean for MaruFolkPro']
02621e0c	"고객 우선" 탤리스먼을 획득했습니다! \n 탤리스먼 메뉴에서 탤리스먼을 장비하세요.	[0, 44, 'Korean for MaruFolkPro']
02b32f11	"책상" 가구를 획득했습니다! \n 캣의 집을 장식해보세요.	[0, 30, 'Korean for MaruFolkPro']
02dd50a4	중력 슬라이드 중일 때, \n 벽과 바닥을 타고 미끄러질 수 있습니다. \n  \n i으로 좌우 방향을 전환, j으로 카메라를 조작합니다. \n 슬라이드 중일 때 b을 누르면 점프합니다. \n g을 놓으면 슬라이드를 끝냅니다.	[0, 38, 'Korean for MaruFolkPro'], [38, 39, 'Gravity2_Gaiji'], [39, 53, 'Korean for MaruFolkPro'], [53, 54, 'Gravity2_Gaiji'], [54, 79, 'Korean for MaruFolkPro'], [79, 80, 'Gravity2_Gaiji'], [80, 93, 'Korean for MaruFolkPro'], [93, 94, 'Gravity2_Gaiji'], [94, 111, 'Korean for MaruFolkPro']
0306d778	도전에 실패했습니다.	[0, 11, 'Korean for MaruFolkPro']
035b2a86	"팬" 가구를 획득했습니다! \n 캣의 집을 장식해보세요.	[0, 29, 'Korean for MaruFolkPro']
03c0ad04	마을이나 시민들을 해치지 않도록, \n 높은 곳에서 물건을 떨어뜨리지 마세요. \n  \n 중력에너지가 다 닳으면 자동으로 물건을 떨어뜨립니다. \n 그러니 에너지에 상시 주의하세요.	[0, 90, 'Korean for MaruFolkPro']
