Reference Name	Text	Font
00039632	h Cambiar a estilo Júpiter \n (Cambia de estilo cada vez que se pulsa)	[0, 1, 'Gravity2_Gaiji'], [1, 67, 'DINRoundOffcPro']
00a759e7	Aujean saldrá hacia uno de los 4 bares. \n Sigue sus movimientos y llega a los bares antes que él. \n  \n Si llegas a los bares antes que Aujean, puedes \n simular que trabajas allí para hacer que se aleje.	[0, 194, 'DINRoundOffcPro']
00b2842d	Mover hacia abajo en el k: Cambiar a estilo Júpiter	[0, 24, 'DINRoundOffcPro'], [24, 25, 'Gravity2_Gaiji'], [25, 51, 'DINRoundOffcPro']
00c0f19b	¡Esos deberían ser todos!	[0, 25, 'DINRoundOffcPro']
0132b5e2	Escapa de Illumina antes de que el sitio colapse \n utilizando el deslizamiento de gravedad. \n  \n Atraviesa las puertas misteriosas para \n crear un camino seguro y escapar \n de esta inestable y peligrosa zona.	[0, 198, 'DINRoundOffcPro']
013c6a41	Gemas de ESP	[0, 12, 'DINRoundOffcPro']
014c91d7	Realiza el ataque especial de microagujero negro para crear \n un agujero negro alrededor de Kat que destruirá a los \n enemigos en su interior. \n  \n El agujero negro no tendrá efecto contra enemigos más \n fuertes, así que tenlo en cuenta al usarlo.	[0, 237, 'DINRoundOffcPro']
016ee9a3	De acuerdo. Hagámoslo.	[0, 22, 'DINRoundOffcPro']
02153e83	Toma una foto de una caja del tesoro y los alrededores \n para ayudar a otros jugadores a encontrar el tesoro. \n Si otros jugadores encuentran el tesoro gracias \n a tus pistas, obtendrás fichas de Dusty.	[0, 196, 'DINRoundOffcPro']
02621e0c	¡Obtuviste el talismán "Aprecio por el cliente"! \n Equipa talismanes en el menú de talismanes.	[0, 92, 'DINRoundOffcPro']
02b32f11	¡Obtuviste el mueble "Escritorio"! \n Ahora está disponible para decorar la casa de Kat.	[0, 85, 'DINRoundOffcPro']
02dd50a4	Al realizar un deslizamiento de gravedad, \n te deslizarás sobre el suelo y las paredes. \n  \n Pulsa i para girar a la derecha o a la izquierda, \n y j para controlar la cámara. \n También puedes pulsar b para saltar mientras te deslizas. \n Suelta g para dejar de deslizarte.	[0, 93, 'DINRoundOffcPro'], [93, 94, 'Gravity2_Gaiji'], [94, 139, 'DINRoundOffcPro'], [139, 140, 'Gravity2_Gaiji'], [140, 189, 'DINRoundOffcPro'], [189, 190, 'Gravity2_Gaiji'], [190, 232, 'DINRoundOffcPro'], [232, 233, 'Gravity2_Gaiji'], [233, 259, 'DINRoundOffcPro']
0306d778	Reto sin éxito	[0, 14, 'DINRoundOffcPro']
035b2a86	¡Obtuviste el mueble "Ventilador"! \n Ahora está disponible para decorar la casa de Kat.	[0, 85, 'DINRoundOffcPro']
03c0ad04	Para evitar que el pueblo y los ciudadanos resulten heridos, \n no dejes caer el paquete de un lugar elevado. \n  \n Si se te acaba la energía del medidor de gravedad, \n dejarás caer el paquete automáticamente, \n así que revisa constantemente tus niveles de energía.	[0, 253, 'DINRoundOffcPro']
03c41ed7	Acércate a los Nevi y tómales una foto. \n (l: equipar cámara)	[0, 41, 'DINRoundOffcPro'], [41, 42, 'Gravity2_Gaiji'], [42, 59, 'DINRoundOffcPro']
0467f6ba	Mientras sostiene el paquete apestoso en un campo de estasis, \n Kat comenzará a tener problemas para soportar el olor \n que emana de él, y aumentará el medidor de resistencia. \n Cuando el medidor se llene por completo, Kat se desmayará. \n Pulsa a para soltar el paquete y aléjate para tomar \n aire y restablecer el medidor de resistencia \n antes de continuar el trabajo.	[0, 237, 'DINRoundOffcPro'], [237, 238, 'Gravity2_Gaiji'], [238, 358, 'DINRoundOffcPro']
04ed5bd8	Creo que estoy alejándome demasiado. \n Debería volver.	[0, 52, 'DINRoundOffcPro']
04f82374	Pulsa h para cambiar estilos de gravedad. \n  \n En el estilo Júpiter, tu velocidad de movimiento \n baja, pero tu poder de ataque sube.	[0, 6, 'DINRoundOffcPro'], [6, 7, 'Gravity2_Gaiji'], [7, 127, 'DINRoundOffcPro']
05a17aae	Ataques finales	[0, 15, 'DINRoundOffcPro']
05bd8434	h + j hacia abajo: cambiar a estilo Júpiter	[0, 1, 'Gravity2_Gaiji'], [1, 4, 'DINRoundOffcPro'], [4, 5, 'Gravity2_Gaiji'], [5, 43, 'DINRoundOffcPro']
067b60d0	Con que dos, ¿eh? De acuerdo, hagámoslo.	[0, 40, 'DINRoundOffcPro']
069f200b	¡Obtuviste el elemento de foto "Tubo de gas"! \n l: consultar elementos de foto desde el Modo foto	[0, 46, 'DINRoundOffcPro'], [46, 47, 'Gravity2_Gaiji'], [47, 95, 'DINRoundOffcPro']
06dece8d	Patada de gravedad vs. enemigos rápidos	[0, 39, 'DINRoundOffcPro']
06f03110	¡Obtuviste el mueble "Alfombra peluda"! \n Ahora está disponible para decorar la casa de Kat.	[0, 90, 'DINRoundOffcPro']
08662a8d	¡Obtuviste el talismán "Joya de la zona de velas"! \n Equipa talismanes en el menú de talismanes.	[0, 94, 'DINRoundOffcPro']
08c3b795	Derrota a los enemigos que \n más núcleos tienen primero	[0, 53, 'DINRoundOffcPro']
08cae77f	Raven: \n ¡Tenemos que salir de esa ciudad!	[0, 7, 'DINRoundOffcPro'], [7, 40, 'DINRoundOffcPro']
092888ba	f Flotar \n c cuando flotas: patada de gravedad	[0, 1, 'Gravity2_Gaiji'], [1, 9, 'DINRoundOffcPro'], [9, 10, 'Gravity2_Gaiji'], [10, 44, 'DINRoundOffcPro']
09487af6	¡Obtuviste el elemento de foto "Cabeza de cerdo"! \n l: consultar elementos de foto desde el Modo foto	[0, 50, 'DINRoundOffcPro'], [50, 51, 'Gravity2_Gaiji'], [51, 99, 'DINRoundOffcPro']
099bc53f	Sin que los soldados te vean, recoge cajas \n de suministros y lánzalas fuera del Bismalia. \n  \n Para mantenerte a cubierto, el rango de tu campo de estasis \n será limitado, así que acércate a la caja antes \n de intentar recogerla con el campo de estasis.	[0, 244, 'DINRoundOffcPro']
09d0f462	Pulsa c al transmutar la gravedad para realizar la versión \n de Raven de la patada de gravedad, la garra de sangre. \n  \n Pulsa c repetidamente para prolongar el ataque \n y causar más daño.	[0, 6, 'DINRoundOffcPro'], [6, 7, 'Gravity2_Gaiji'], [7, 121, 'DINRoundOffcPro'], [121, 122, 'Gravity2_Gaiji'], [122, 180, 'DINRoundOffcPro']
09d16047	Tabla de piedra: \n Derrota a todos los enemigos dentro del límite de tiempo.	[0, 17, 'DINRoundOffcPro'], [17, 74, 'DINRoundOffcPro']
0b09a446	¡Mina de trinchera Delvool completada!	[0, 38, 'DINRoundOffcPro']
0c61344e	c Tomar foto    b Atrás	[0, 1, 'Gravity2_Gaiji'], [1, 16, 'DINRoundOffcPro'], [16, 17, 'Gravity2_Gaiji'], [17, 23, 'DINRoundOffcPro']
0c827475	Patada de gravedad	[0, 18, 'DINRoundOffcPro']
