Reference Name	Text	Font
00039632	h Jupiter-stijl activeren \n (Andere stijl telkens als je drukt)	[0, 1, 'Gravity2_Gaiji'], [1, 61, 'DINRoundOffcPro']
00a759e7	Aujean gaat richting een van de vier bars. \n Hou zijn bewegingen in de gaten en \n bereik de bars vóór hem. \n  \n Als je de bar eerder bereikt dan Aujean, kun je \n doen alsof je daar werkt en hem wegsturen.	[0, 194, 'DINRoundOffcPro']
00b2842d	Omlaag vegen op k: overschakelen naar Jupiter-stijl	[0, 16, 'DINRoundOffcPro'], [16, 17, 'Gravity2_Gaiji'], [17, 51, 'DINRoundOffcPro']
00c0f19b	Dat waren ze!	[0, 13, 'DINRoundOffcPro']
0132b5e2	Ontsnap met de zwaartekracht-glijmove \n uit Illumina voordat het uiteenvalt. \n  \n Ga door de mysterieuze poorten om een \n veilige weg uit dit instabiele, gevaarlijke \n gebied te creëren.	[0, 176, 'DINRoundOffcPro']
013c6a41	SP-edelstenen	[0, 13, 'DINRoundOffcPro']
014c91d7	Met de speciale aanval zwart microgat vorm je een zwart gat \n rond Kat, dat de vijanden erin vernietigt. \n  \n Het zwarte gat werkt niet op sommige sterkere vijanden. \n Denk daaraan als je  deze aanval gebruikt.	[0, 202, 'DINRoundOffcPro']
016ee9a3	Oké, ik doe mee. Kom maar op.	[0, 29, 'DINRoundOffcPro']
02153e83	Maak een foto van een schatkist en de omgeving \n om andere spelers te helpen de schat te vinden. \n Je verdient Dusty-tokens als andere spelers \n schatten vinden met jouw hints.	[0, 170, 'DINRoundOffcPro']
02621e0c	Talisman Klantwaardering gekregen! \n Je kunt talismans gebruiken via het talismanmenu.	[0, 84, 'DINRoundOffcPro']
02b32f11	Meubilair Bureau gekregen! \n Nu beschikbaar om Kat's huis in te richten.	[0, 70, 'DINRoundOffcPro']
02dd50a4	Met de zwaartekracht-glijmove glij je over de grond en muren. \n  \n Gebruik i om naar links en rechts te draaien \n en bestuur de camera met j. \n Je kunt op b drukken om te springen tijdens het glijden. \n Laat g los om te stoppen met glijden.	[0, 71, 'DINRoundOffcPro'], [71, 72, 'Gravity2_Gaiji'], [72, 133, 'DINRoundOffcPro'], [133, 134, 'Gravity2_Gaiji'], [134, 147, 'DINRoundOffcPro'], [147, 148, 'Gravity2_Gaiji'], [148, 198, 'DINRoundOffcPro'], [198, 199, 'Gravity2_Gaiji'], [199, 230, 'DINRoundOffcPro']
0306d778	Uitdaging mislukt	[0, 17, 'DINRoundOffcPro']
