Reference Name	Text	Font
00039632	h Zmiana na styl Jowisza \n (Zmienia styl przy każdym naciśnięciu)	[0, 1, 'Gravity2_Gaiji'], [1, 63, 'DINRoundOffcPro']
00a759e7	Aujean wyrusza do jednego z czterech barów. \n Śledź jego ruchy i wbiegnij do barów przed nim. \n  \n Jeśli dotrzesz do baru przed Aujeanem, możesz udawać, \n że w nim pracujesz i go przegonić.	[0, 181, 'DINRoundOffcPro']
00b2842d	Przesuń (szybko) w dół na k : Przełącz na styl Jowisza	[0, 26, 'DINRoundOffcPro'], [26, 27, 'Gravity2_Gaiji'], [27, 54, 'DINRoundOffcPro']
00c0f19b	To już chyba wszystkie!	[0, 23, 'DINRoundOffcPro']
0132b5e2	Ucieknij z Illuminy zanim się rozpadnie, \n używając ślizgu grawitacyjnego. \n  \n Przechodź przez tajemnicze bramy, aby stworzyć \n bezpieczne przejście przez ten bardzo niestabilny \n i niebezpieczny obszar.	[0, 194, 'DINRoundOffcPro']
013c6a41	Klejnoty SP	[0, 11, 'DINRoundOffcPro']
014c91d7	Wykonaj atak specjalny mikro czarnej dziury, \n aby wytworzyć wokół Kat czarną dziurę, która zniszczy \n wszystkich wrogów w jej zasięgu. \n  \n Czarna dziura nie działa na potężniejszych wrogów, \n a więc weź to pod uwagę.	[0, 208, 'DINRoundOffcPro']
016ee9a3	W porządku, jestem gotowa. Do roboty.	[0, 37, 'DINRoundOffcPro']
02153e83	Zrób zdjęcie skrzyni ze skarbem i jej otoczenia, aby pomóc \n innym graczom odnaleźć skarb. \n Jeśli na podstawie twoich wskazówek inni gracze odnajdą \n skarb, otrzymasz Żetony Pyłka.	[0, 175, 'DINRoundOffcPro']
02621e0c	Zdobywasz talizman „Wdzięczni klienci”! \n Wybieraj talizmany w menu talizmanów.	[0, 77, 'DINRoundOffcPro']
02b32f11	Zdobywasz mebel „Biurko”! \n Możesz nim ozdobić dom Kat.	[0, 53, 'DINRoundOffcPro']
02dd50a4	W trakcie ślizgu grawitacyjnego możesz ślizgać się \n po ziemi i ścianach. \n  \n Wychylaj i, aby skręcać w lewo i prawo oraz j, \n aby sterować kamerą. \n Możesz też nacisnąć b, aby skoczyć w trakcie ślizgu. \n Puść g, aby zakończyć ślizg.	[0, 82, 'DINRoundOffcPro'], [82, 83, 'Gravity2_Gaiji'], [83, 117, 'DINRoundOffcPro'], [117, 118, 'Gravity2_Gaiji'], [118, 161, 'DINRoundOffcPro'], [161, 162, 'Gravity2_Gaiji'], [162, 199, 'DINRoundOffcPro'], [199, 200, 'Gravity2_Gaiji'], [200, 222, 'DINRoundOffcPro']
0306d778	Wyzwanie nieudane	[0, 17, 'DINRoundOffcPro']
035b2a86	Zdobywasz mebel „Wiatrak”! \n Możesz nim ozdobić dom Kat.	[0, 54, 'DINRoundOffcPro']
03c0ad04	Aby unikać uszkodzeń w mieście i nie skrzywdzić \n mieszkańców, nie możesz zrzucać paczek z dużej wysokości. \n  \n Jeśli skończy ci się energia na wskaźniku grawitacji, \n automatycznie zrzucisz paczkę. Uważaj więc na poziomy \n energii.	[0, 223, 'DINRoundOffcPro']
03c41ed7	Podejdź do Nevi i zrób im zdjęcie. \n (l: Wyciągnij aparat)	[0, 36, 'DINRoundOffcPro'], [36, 37, 'Gravity2_Gaiji'], [37, 56, 'DINRoundOffcPro']
0467f6ba	Trzymając śmierdzącą paczkę w polu statycznym, Kat \n będzie miała problem ze zniesieniem smrodu. Jej wskaźnik \n wytrzymałości będzie się wypełniał, a gdy osiągnie \n maksimum, Kat zemdleje. Naciśnij a, aby rzucić paczkę \n i odsuń się od niej, aby złapać oddech i wyzerować \n wskaźnik wytrzymałości. Następnie kontynuuj zlecenie.	[0, 192, 'DINRoundOffcPro'], [192, 193, 'Gravity2_Gaiji'], [193, 317, 'DINRoundOffcPro']
04ed5bd8	Chyba za bardzo się oddalam. Muszę wracać.	[0, 42, 'DINRoundOffcPro']
04f82374	Naciskaj h, aby przełączać style grawitacji. \n  \n W stylu Jowisza szybkość ruchu spada, ale wzrasta \n siła ataku.	[0, 9, 'DINRoundOffcPro'], [9, 10, 'Gravity2_Gaiji'], [10, 107, 'DINRoundOffcPro']
05a17aae	Ciosy ostateczne	[0, 16, 'DINRoundOffcPro']
05bd8434	h + j w dół : Zmiana na styl Jowisza	[0, 1, 'Gravity2_Gaiji'], [1, 4, 'DINRoundOffcPro'], [4, 5, 'Gravity2_Gaiji'], [5, 36, 'DINRoundOffcPro']
067b60d0	Dwie? No dobrze, do roboty.	[0, 27, 'DINRoundOffcPro']
069f200b	Zdobywasz element zdjęciowy „Zbiornik z paliwem”! \n l : Sprawdź elementy zdjęciowe w trybie zdjęć	[0, 50, 'DINRoundOffcPro'], [50, 51, 'Gravity2_Gaiji'], [51, 95, 'DINRoundOffcPro']
06dece8d	Kopniak grawitacyjny kontra szybcy wrogowie	[0, 43, 'DINRoundOffcPro']
06f03110	Zdobywasz mebel „Podarta mata podłogowa”! \n Możesz nim ozdobić dom Kat.	[0, 69, 'DINRoundOffcPro']
08662a8d	Zdobywasz talizman „Klejnot ze strefy świecy”! \n Wybieraj talizmany w menu talizmanów.	[0, 84, 'DINRoundOffcPro']
08c3b795	Najpierw pokonaj wrogów \n z największą liczbą rdzeni	[0, 50, 'DINRoundOffcPro']
08cae77f	Raven: \n Musimy uciekać od tego miasta!	[0, 7, 'DINRoundOffcPro'], [7, 37, 'DINRoundOffcPro']
092888ba	f Lot \n c podczas lotu: Kopniak grawitacyjny	[0, 1, 'Gravity2_Gaiji'], [1, 6, 'DINRoundOffcPro'], [6, 7, 'Gravity2_Gaiji'], [7, 42, 'DINRoundOffcPro']
09487af6	Zdobywasz element zdjęciowy „Głowa wieprza”! \n l : Sprawdź elementy zdjęciowe w trybie zdjęć	[0, 45, 'DINRoundOffcPro'], [45, 46, 'Gravity2_Gaiji'], [46, 90, 'DINRoundOffcPro']
099bc53f	Nie daj się zobaczyć żołnierzom, łap skrzynie z zaopatrzeniem \n i wyrzucaj je z Bismalii. \n  \n Aby zachować dyskrecję, twoje pole statyczne zostanie \n ograniczone, a więc musisz podejść blisko skrzyni, \n aby złapać ją w pole statyczne.	[0, 225, 'DINRoundOffcPro']
09d0f462	Naciśnij c w trakcie zmiany grawitacji, aby wykonać \n kopniak grawitacyjny w stylu Raven, czyli krwawy szpon. \n  \n Naciskaj raz za razem c, aby wykonać atak z obrotem \n i zadać większe obrażenia.	[0, 9, 'DINRoundOffcPro'], [9, 10, 'Gravity2_Gaiji'], [10, 131, 'DINRoundOffcPro'], [131, 132, 'Gravity2_Gaiji'], [132, 187, 'DINRoundOffcPro']
09d16047	Kamienna tablica: \n Pokonaj wszystkich wrogów w limicie czasu.	[0, 18, 'DINRoundOffcPro'], [18, 60, 'DINRoundOffcPro']
0b09a446	Kopalnia otworowa Delvool ukończona!	[0, 36, 'DINRoundOffcPro']
0c61344e	c Zrób zdjęcie    b Wstecz	[0, 1, 'Gravity2_Gaiji'], [1, 18, 'DINRoundOffcPro'], [18, 19, 'Gravity2_Gaiji'], [19, 26, 'DINRoundOffcPro']
0c827475	Kopniak grawitacyjny	[0, 20, 'DINRoundOffcPro']
0ca32c8c	Zdobywasz talizman „Kłopotliwy sąsiad”! \n Wybieraj talizmany w menu talizmanów.	[0, 77, 'DINRoundOffcPro']
0cd51bff	Naładowane pole statyczne w stylu Księżyca, \n wir grawitacyjny, jest użyteczne do rozprawiania się \n z całymi grupami zbirów. \n  \n Przytrzymaj a przez około 1 sekundę, znajdując się \n w okolicy obiektów, które możesz chwycić w pola statyczne, \n i zużyj nieco energii wskaźnika SP, aby uwolnić atak.	[0, 135, 'DINRoundOffcPro'], [135, 136, 'Gravity2_Gaiji'], [136, 286, 'DINRoundOffcPro']
0d1810e2	Styl Księżyca	[0, 13, 'DINRoundOffcPro']
0d355ede	Znajdź skarb	[0, 12, 'DINRoundOffcPro']
0d4b9851	Naciśnij a, aby przyciągnąć pobliskie obiekty \n do pola statycznego. Następnie możesz rzucać \n przyciągniętymi obiektami we wrogów.	[0, 9, 'DINRoundOffcPro'], [9, 10, 'Gravity2_Gaiji'], [10, 127, 'DINRoundOffcPro']
0db34c2f	Znajdź miejsce ze zdjęcia, znajdującego się w prawym dolnym \n rogu i zrób nowe zdjęcie. \n  \n Naciśnij k, aby powiększyć lub zmniejszyć zdjęcie.	[0, 96, 'DINRoundOffcPro'], [96, 97, 'Gravity2_Gaiji'], [97, 137, 'DINRoundOffcPro']
0e537afd	Zdobywasz mebel „Zasłony z mozaiką”! \n Możesz nim ozdobić dom Kat.	[0, 64, 'DINRoundOffcPro']
0e5999aa	Przesuń kamerę powoli w górę, dół, lewo lub prawo, \n aby namierzyć kierunek reakcji sensora. \n  \n Jeśli wycelujesz we właściwym kierunku, pojawi się \n wskaźnik nawigacji.	[0, 162, 'DINRoundOffcPro']
0eeb76df	Pokonaj wszystkich wrogów \n w limicie czasu	[0, 41, 'DINRoundOffcPro']
