Reference Name	Text	Font
00039632	h Mudar para Estilo de Júpiter \n (Muda o estilo cada vez que é premido)	[0, 1, 'Gravity2_Gaiji'], [1, 69, 'DINRoundOffcPro']
00a759e7	O Aujean vai para um dos quatro bares. \n Fica de olho nos seus movimentos e chega aos bares \n antes dele. \n  \n Se conseguires chegar ao bar antes de Aujean, finge \n trabalhar lá e manda-lo embora.	[0, 186, 'DINRoundOffcPro']
00b2842d	Desliza para baixo no k : Estilo de Júpiter 	[0, 22, 'DINRoundOffcPro'], [22, 23, 'Gravity2_Gaiji'], [23, 44, 'DINRoundOffcPro']
00c0f19b	Acho que estão todos!	[0, 21, 'DINRoundOffcPro']
0132b5e2	Foge de Illumina antes que se desfaça, \n usando o Deslize gravitacional. \n  \n Entra pelos portões misteriosos para \n criares um caminho seguro nesta \n zona altamente instável e perigosa.	[0, 176, 'DINRoundOffcPro']
013c6a41	Gemas de SP	[0, 11, 'DINRoundOffcPro']
014c91d7	Realiza o ataque especial Micro buraco negro para \n criares um buraco negro à volta da Kat que irá \n destruir todos os inimigos que estejam lá dentro. \n  \n Tem atenção quando o usares pois o buraco negro \n não funciona contra inimigos mais fortes.	[0, 237, 'DINRoundOffcPro']
016ee9a3	OK, estou pronta. Vamos lá.	[0, 27, 'DINRoundOffcPro']
02153e83	Tira uma fotografia de uma caixa de tesouro e das suas \n redondezas para ajudares outros jogadores a encontrar \n o tesouro. \n Recebes tokens do Dusty se outros jogadores encontrarem \n tesouros com base nas tuas dicas.	[0, 209, 'DINRoundOffcPro']
02621e0c	Recebeste o talismã “Apreciação de clientes”! \n Equipa os talismãs no Menu de talismãs.	[0, 85, 'DINRoundOffcPro']
02b32f11	Recebeste a peça de mobiliário “Secretária”! \n Já disponível para decorares a casa da Kat.	[0, 88, 'DINRoundOffcPro']
