Reference Name	Text	Font
00039632	h Переход в стиль Юпитера \n (меняет стиль при каждом нажатии)	[0, 1, 'Gravity2_Gaiji'], [1, 59, 'DINRoundOffcPro']
00a759e7	Оджин отправляется в один из 4 \n баров. Проследите за ним и зайдите \n в бар до него. \n  \n Если вам это удастся, притворитесь, что \n работаете там и выпроводите Оджина оттуда.	[0, 164, 'DINRoundOffcPro']
00b2842d	Провести вниз по k: переход в стиль Юпитера	[0, 17, 'DINRoundOffcPro'], [17, 18, 'Gravity2_Gaiji'], [18, 43, 'DINRoundOffcPro']
00c0f19b	Наверное, на этом все!	[0, 22, 'DINRoundOffcPro']
0132b5e2	Покиньте рушащуюся Иллюмину, используя \n гравити-скольжение. \n  \n Скользите сквозь загадочные врата, чтобы \n создать безопасный путь через крайне опасную \n область.	[0, 154, 'DINRoundOffcPro']
013c6a41	СП-самоцветы	[0, 12, 'DINRoundOffcPro']
014c91d7	Особая атака «Маленькая черная дыра» позволяет Кэт \n создать вокруг себя черную дыру, уничтожающую любого врага. \n  \n Самые сильные из врагов устойчивы к черной дыре: \n помните об этом, используя ее.	[0, 191, 'DINRoundOffcPro']
016ee9a3	Ладно, я в игре. Начинаем!	[0, 26, 'DINRoundOffcPro']
02153e83	Сфотографируйте ящик с сокровищем и его окружение, \n чтобы помочь другим игрокам найти его. \n Если другой игрок найдет сокровище по вашей подсказке, \n вы получите знаки Дымки.	[0, 169, 'DINRoundOffcPro']
02621e0c	Получен талисман «Любовь клиентов»! \n Откройте меню талисманов, чтобы его использовать.	[0, 85, 'DINRoundOffcPro']
02b32f11	Получен рабочий стол! \n Вы можете использовать его в интерьере дома Кэт.	[0, 70, 'DINRoundOffcPro']
02dd50a4	Гравити-скольжение позволяет скользить \n по земле и стенам. \n  \n Используйте i для поворотов и j для управления камерой. \n Чтобы прыгать при скольжении, нажимайте b. \n Отпустите g, чтобы перестать скользить.	[0, 71, 'DINRoundOffcPro'], [71, 72, 'Gravity2_Gaiji'], [72, 89, 'DINRoundOffcPro'], [89, 90, 'Gravity2_Gaiji'], [90, 155, 'DINRoundOffcPro'], [155, 156, 'Gravity2_Gaiji'], [156, 168, 'DINRoundOffcPro'], [168, 169, 'Gravity2_Gaiji'], [169, 197, 'DINRoundOffcPro']
0306d778	Испытание провалено	[0, 19, 'DINRoundOffcPro']
035b2a86	Получен вентилятор! \n Вы можете использовать его в интерьере дома Кэт.	[0, 68, 'DINRoundOffcPro']
03c0ad04	Чтобы не нанести вред городу и его жителям, \n не бросайте посылку с большой высоты. \n  \n Если шкала гравитации опустеет, \n вы автоматически сбросите посылку. \n Следите за уровнем энергии!	[0, 177, 'DINRoundOffcPro']
03c41ed7	Подойдите к неви и сфотографируйте. \n (l: Взять камеру)	[0, 37, 'DINRoundOffcPro'], [37, 38, 'Gravity2_Gaiji'], [38, 53, 'DINRoundOffcPro']
0467f6ba	Держа вонючую посылку в стазис-поле, \n Кэт терпит ее неприятный запах, \n а ее шкала выносливости заполняется. \n Когда шкала заполнится, Кэт упадет в обморок. \n Чтобы бросить посылку и перевести дух в стороне, \n нажмите a, а затем вернитесь, чтобы \n продолжить доставку.	[0, 209, 'DINRoundOffcPro'], [209, 210, 'Gravity2_Gaiji'], [210, 257, 'DINRoundOffcPro']
04ed5bd8	Кажется, я слишком далеко. Нужно возвращаться.	[0, 46, 'DINRoundOffcPro']
04f82374	Нажмите h, чтобы изменить стиль гравитации. \n  \n Стиль Юпитера снижает вашу скорость и повышает силу атаки.	[0, 8, 'DINRoundOffcPro'], [8, 9, 'Gravity2_Gaiji'], [9, 103, 'DINRoundOffcPro']
05a17aae	Добивание	[0, 9, 'DINRoundOffcPro']
05bd8434	h + вниз по j : переход в стиль Юпитера	[0, 1, 'Gravity2_Gaiji'], [1, 12, 'DINRoundOffcPro'], [12, 13, 'Gravity2_Gaiji'], [13, 39, 'DINRoundOffcPro']
067b60d0	Вдвоем? Ну ладно!	[0, 17, 'DINRoundOffcPro']
069f200b	Получен реквизит: канистра! \n l: Просмотреть реквизит в режиме фотосъемки.	[0, 28, 'DINRoundOffcPro'], [28, 29, 'Gravity2_Gaiji'], [29, 72, 'DINRoundOffcPro']
06dece8d	Гравити-удар ногой против быстрых врагов	[0, 40, 'DINRoundOffcPro']
06f03110	Получен ветхий коврик! \n Вы можете использовать его в интерьере дома Кэт.	[0, 71, 'DINRoundOffcPro']
08662a8d	Получен талисман «Камень из зоны свечей»! \n Откройте меню талисманов, чтобы его использовать.	[0, 91, 'DINRoundOffcPro']
08c3b795	Первыми победите врагов \n с наибольшим количеством ядер	[0, 53, 'DINRoundOffcPro']
08cae77f	Врана: \n Нужно скорее выбираться из города!	[0, 7, 'DINRoundOffcPro'], [7, 41, 'DINRoundOffcPro']
092888ba	f Парение \n c в парении: Гравити-удар ногой	[0, 1, 'Gravity2_Gaiji'], [1, 10, 'DINRoundOffcPro'], [10, 11, 'Gravity2_Gaiji'], [11, 41, 'DINRoundOffcPro']
09487af6	Получен реквизит: голова вепря! \n l: Просмотреть реквизит в режиме фотосъемки.	[0, 32, 'DINRoundOffcPro'], [32, 33, 'Gravity2_Gaiji'], [33, 76, 'DINRoundOffcPro']
099bc53f	Не попадаясь на глаза солдатам, \n хватайте ящики с припасами и сбрасывайте их с Бисмалии. \n  \n Диаметр стазис-поля сокращен, чтобы вам \n было удобнее скрываться, поэтому перед \n захватом подойдите к полю ближе.	[0, 200, 'DINRoundOffcPro']
09d0f462	Меняя гравитацию, нажмите c, чтобы выполнить прием \n «Кровавый коготь», аналог гравити-удара ногой у Враны. \n  \n Нажимайте c и дальше, чтобы нанести дополнительный \n урон.	[0, 26, 'DINRoundOffcPro'], [26, 27, 'Gravity2_Gaiji'], [27, 117, 'DINRoundOffcPro'], [117, 118, 'Gravity2_Gaiji'], [118, 163, 'DINRoundOffcPro']
09d16047	Каменная табличка: \n Победите всех врагов за определенное время.	[0, 19, 'DINRoundOffcPro'], [19, 62, 'DINRoundOffcPro']
0b09a446	Карьер Дельвул пройден!	[0, 23, 'DINRoundOffcPro']
0c61344e	c Сделать снимок   b Назад	[0, 1, 'Gravity2_Gaiji'], [1, 19, 'DINRoundOffcPro'], [19, 20, 'Gravity2_Gaiji'], [20, 26, 'DINRoundOffcPro']
0c827475	Гравити-удар ногой	[0, 18, 'DINRoundOffcPro']
0ca32c8c	Получен талисман «Нарушитель спокойствия»! \n Откройте меню талисманов, чтобы его использовать.	[0, 92, 'DINRoundOffcPro']
0cd51bff	Гравитационный вихрь, заряженное стазис-поле \n стиля Луны, полезно в битвах с группами врагов. \n  \n Находясь у объектов, которые нужно подобрать \n стазис-полем, зажмите a на 1 секунду, \n чтобы использовать СП-шкалу для атаки.	[0, 161, 'DINRoundOffcPro'], [161, 162, 'Gravity2_Gaiji'], [162, 215, 'DINRoundOffcPro']
0d1810e2	Стиль Луны	[0, 10, 'DINRoundOffcPro']
0d355ede	Найдите сокровище	[0, 17, 'DINRoundOffcPro']
0d4b9851	Нажмите a, чтобы захватить ближайшие предметы в \n стазис-поле. \n После этого их можно бросить в противника.	[0, 8, 'DINRoundOffcPro'], [8, 9, 'Gravity2_Gaiji'], [9, 103, 'DINRoundOffcPro']
0db34c2f	Найдите место с фотографии внизу справа и \n переснимите его. \n  \n Чтобы масштабировать снимок, используйте k.	[0, 101, 'DINRoundOffcPro'], [101, 102, 'Gravity2_Gaiji'], [102, 103, 'DINRoundOffcPro']
0e537afd	Получены разноцветные занавески! \n Вы можете использовать их в интерьере дома Кэт.	[0, 80, 'DINRoundOffcPro']
0e5999aa	Медленно наклоняйте камеру вверх, вниз, влево или вправо, \n чтобы задать сенсору нужное направление. \n  \n Если вы верно указали направление, появится \n навигационная метка.	[0, 164, 'DINRoundOffcPro']
0eeb76df	Победите всех врагов за \n определенное время	[0, 42, 'DINRoundOffcPro']
0f383416	Изучена поза «Указать наверх»! \n m: Позировать	[0, 31, 'DINRoundOffcPro'], [31, 32, 'Gravity2_Gaiji'], [32, 44, 'DINRoundOffcPro']
0f49bea5	Стиль Юпитера: общая информация	[0, 31, 'DINRoundOffcPro']
1040159a	j в парении или наклон контроллера: навести камеру \n f упасть вперед (в направлении отметки)	[0, 1, 'Gravity2_Gaiji'], [1, 51, 'DINRoundOffcPro'], [51, 52, 'Gravity2_Gaiji'], [52, 90, 'DINRoundOffcPro']
10845aac	Стиль Юпитера: общая информация	[0, 31, 'DINRoundOffcPro']
1091269f	f в парении: упасть вперед (в направлении отметки)	[0, 1, 'Gravity2_Gaiji'], [1, 50, 'DINRoundOffcPro']
109dd3ee	h + вверх на d : Стиль Луны	[0, 1, 'Gravity2_Gaiji'], [1, 13, 'DINRoundOffcPro'], [13, 14, 'Gravity2_Gaiji'], [14, 27, 'DINRoundOffcPro']
10b34b93	Гравити-удары ногой и броски стазис-полем — \n самые эффективные приемы для опрокидывания целей. \n  \n Старайтесь не полагаться целиком на стандартные атаки, \n иначе можете потратить слишком много времени зря.	[0, 199, 'DINRoundOffcPro']
11075541	Стиль Юпитера: Гравити-скольжение	[0, 33, 'DINRoundOffcPro']
110bba9b	Победите врагов за определенное \n время	[0, 37, 'DINRoundOffcPro']
11297b33	Лучший способ попасть по быстрому врагу — выполнить бросок \n стазис-полем. \n Целясь в быстрого противника гравити-ударом ногой, \n выполняйте атаку, когда он остановится. \n  \n Задерживаться в одном месте может быть опасно. \n Нажимайте i + h, чтобы уворачиваться прямо в воздухе.	[0, 222, 'DINRoundOffcPro'], [222, 223, 'Gravity2_Gaiji'], [223, 226, 'DINRoundOffcPro'], [226, 227, 'Gravity2_Gaiji'], [227, 265, 'DINRoundOffcPro']
115daaba	Бой со Светом	[0, 13, 'DINRoundOffcPro']
1214ab62	Стиль Луны: уклонение в воздухе	[0, 31, 'DINRoundOffcPro']
1219634d	Каменная табличка: \n Победите врагов с помощью скольжения. \n Увеличьте свой вес.	[0, 19, 'DINRoundOffcPro'], [19, 57, 'DINRoundOffcPro'], [57, 76, 'DINRoundOffcPro']
1226b180	Нажмите i в нужном направлении+b, чтобы \n совершить дальний прыжок-ракету. \n  \n Прыжок позволит быстро переместиться вперед.	[0, 8, 'DINRoundOffcPro'], [8, 9, 'Gravity2_Gaiji'], [9, 31, 'DINRoundOffcPro'], [31, 32, 'Gravity2_Gaiji'], [32, 118, 'DINRoundOffcPro']
12708ac0	f упасть вперед (в направлении отметки)	[0, 1, 'Gravity2_Gaiji'], [1, 39, 'DINRoundOffcPro']
12907cfc	Получен талисман «Кобальт»! \n Откройте меню талисманов, чтобы его использовать.	[0, 77, 'DINRoundOffcPro']
12e71f6b	c Атака	[0, 1, 'Gravity2_Gaiji'], [1, 7, 'DINRoundOffcPro']
13137904	Стиль Юпитера: Особые приемы II	[0, 31, 'DINRoundOffcPro']
13387771	Получен ветхий коврик! \n Вы можете использовать его в интерьере дома Кэт.	[0, 71, 'DINRoundOffcPro']
135f0d11	Лимит времени увеличен!	[0, 23, 'DINRoundOffcPro']
