Reference Name	Text	Font
dm00_00010k_010	Raven, what are \n you doing here?	[0, 31, 'DINRoundOffcPro']
dm00_00010k_020	I felt \n your call.	[0, 17, 'DINRoundOffcPro']
dm00_00010k_030	You're always \n there when I \n need you.	[0, 36, 'DINRoundOffcPro']
dm00_00010k_040	Actually, I'm \n not feeling so \n hot today.	[0, 39, 'DINRoundOffcPro']
dm00_00010k_050	You ever have one of \n those days you wish you \n could get out of mining?	[0, 69, 'DINRoundOffcPro']
dm00_00010k_060	Hmph. Guess it wouldn't \n hurt for me to go out in \n your place.	[0, 60, 'DINRoundOffcPro']
dm00_00010k_070	You'd do that for me!? \n Thank you!	[0, 33, 'DINRoundOffcPro']
dm00_00010k_080	Bring back a big haul \n for us, okay?	[0, 35, 'DINRoundOffcPro']
dm00_00010k_090	Leave it to me.	[0, 15, 'DINRoundOffcPro']
dm00_00010k_100	I'm always up for action \n when you need a break.	[0, 47, 'DINRoundOffcPro']
dm00_00020k_010	Hey Raven!	[0, 10, 'DINRoundOffcPro']
dm00_00020k_020	Need a break \n from mining?	[0, 25, 'DINRoundOffcPro']
dm00_00020k_030	Would love one! \n Thanks!	[0, 23, 'DINRoundOffcPro']
