Reference Name	Text	Font
dm00_00010k_010	Raven, ¿qué haces aquí?	[0, 23, 'DINRoundOffcPro']
dm00_00010k_020	He oído tu llamada.	[0, 19, 'DINRoundOffcPro']
dm00_00010k_030	Siempre estás ahí \n cuando te necesito.	[0, 37, 'DINRoundOffcPro']
dm00_00010k_040	La verdad es que hoy no \n me encuentro muy bien.	[0, 46, 'DINRoundOffcPro']
dm00_00010k_050	¿A veces no tienes días \n en que desearías \n escapar de las minas?	[0, 62, 'DINRoundOffcPro']
dm00_00010k_060	Umm. Supongo que no \n pasará nada porque \n te sustituya esta vez.	[0, 61, 'DINRoundOffcPro']
dm00_00010k_070	¿¡Harías eso por mí!? \n ¡Gracias!	[0, 31, 'DINRoundOffcPro']
dm00_00010k_080	Trae una buena cantidad \n para las dos, ¿vale?	[0, 44, 'DINRoundOffcPro']
dm00_00010k_090	Tú déjamelo a mí.	[0, 17, 'DINRoundOffcPro']
dm00_00010k_100	Estoy preparada para la \n acción cuando necesites \n un descanso.	[0, 60, 'DINRoundOffcPro']
dm00_00020k_010	¡Eh, Raven!	[0, 11, 'DINRoundOffcPro']
dm00_00020k_020	¿Quieres descansar un \n poco?	[0, 27, 'DINRoundOffcPro']
dm00_00020k_030	¡Me encantaría! \n ¡Gracias!	[0, 25, 'DINRoundOffcPro']
