Reference Name	Text	Font
dm00_00010k_010	레이븐, 여기서 \n 뭐하는 거야?	[0, 16, 'AsiaJMR_2']
dm00_00010k_020	네가 부르는 걸 느꼈어.	[0, 13, 'AsiaJMR_2']
dm00_00010k_030	넌 내가 필요할 때면 \n 언제나 거기 있구나.	[0, 23, 'AsiaJMR_2']
dm00_00010k_040	솔직히, 오늘은 그다지 \n 열의가 느껴지지 않아.	[0, 25, 'AsiaJMR_2']
dm00_00010k_050	레이븐, 너는 \n 채굴을 그만두고 싶다는 \n 생각이 드는 날이 없었어?	[0, 35, 'AsiaJMR_2']
dm00_00010k_060	흐음. 내가 네 일을 \n 대신해줄 수도 있는데.	[0, 24, 'AsiaJMR_2']
dm00_00010k_070	정말 그래주는 거야!? \n 고마워!	[0, 17, 'AsiaJMR_2']
dm00_00010k_080	커다란 것들로 \n 챙겨서 와줘, 알겠지?	[0, 20, 'AsiaJMR_2']
dm00_00010k_090	나한테 맡겨라.	[0, 8, 'AsiaJMR_2']
dm00_00010k_100	네가 휴식이 필요할 때면 \n 언제든 도와주도록 할게.	[0, 27, 'AsiaJMR_2']
dm00_00020k_010	저기, 레이븐!	[0, 8, 'AsiaJMR_2']
dm00_00020k_020	채굴을 잠시 쉬고 싶어?	[0, 13, 'AsiaJMR_2']
dm00_00020k_030	물론이고 말고! \n 고마워!	[0, 13, 'AsiaJMR_2']
