Reference Name	Text	Font
5ffd194d	Sono passati mesi da quando i bambini di Boutoume \n sono stati riportati a Hekseville, ma il passaggio \n nel piano dimensionale che abbiamo attraversato \n li ha fatti cadere in uno stato di ibernazione.	[0, 196, 'DINRoundOffcPro']
80f51948	Tieni duro, Zaza. Ti riporterò a casa, costi quel che costi.	[0, 60, 'DINRoundOffcPro']
a6f8194a	Uno scienziato disse che conosceva il modo per svegliarli e che \n gli serviva l'aiuto mio e di Kat per portare a termine l'esperimento.	[0, 133, 'DINRoundOffcPro']
dm01_00100m_010	Stanotte ho fatto un sogno stranissimo. \n L'unica cosa che ricordo è una domanda:	[0, 79, 'DINRoundOffcPro']
dm01_00100m_020	Cosa sacrificheresti per salvare i bambini dell'Arca?	[0, 53, 'DINRoundOffcPro']
dm01_00100m_030	Zaza, ho paura.	[0, 15, 'DINRoundOffcPro']
dm01_00100m_040	Va tutto bene, Sachya. Stammi vicina.	[0, 37, 'DINRoundOffcPro']
dm01_00100m_050	Fermi! Non costringetemi a chiamare la polizia!	[0, 47, 'DINRoundOffcPro']
dm01_00100m_060	Fa' pure, tanto non può aiutarti.	[0, 33, 'DINRoundOffcPro']
dm01_00100m_070	S-state indietro!	[0, 17, 'DINRoundOffcPro']
dm01_00100m_080	Aaaah!	[0, 6, 'DINRoundOffcPro']
dm01_00100m_090	Fine dei giochi.	[0, 16, 'DINRoundOffcPro']
dm01_00100m_100	È quella shifter inquietante!	[0, 29, 'DINRoundOffcPro']
dm01_00103	Criminale: \n N-Nevi!	[0, 11, 'DINRoundOffcPro'], [11, 18, 'DINRoundOffcPro']
dm01_00113	Devo farli allontanare dall'accumulatore.	[0, 41, 'DINRoundOffcPro']
dm01_00114	Via! State lontani da quella macchina.	[0, 38, 'DINRoundOffcPro']
dm01_00115	Sconfiggi i criminali	[0, 21, 'DINRoundOffcPro']
dm01_00116	Non permetterò a nessuno di fermare l'esperimento!	[0, 50, 'DINRoundOffcPro']
dm01_00117	Ora occupiamoci dei Nevi...	[0, 27, 'DINRoundOffcPro']
dm01_00118	Criminale: \n Possiamo fare tutto ciò che vogliamo!	[0, 11, 'DINRoundOffcPro'], [11, 48, 'DINRoundOffcPro']
dm01_00119	Criminale: \n Sì, non darci degli ordini!	[0, 11, 'DINRoundOffcPro'], [11, 38, 'DINRoundOffcPro']
dm01_00120k_010	Questo coso dovrebbe \n attirare i Nevi... \n Io devo solo \n eliminarli.	[0, 64, 'DINRoundOffcPro']
dm01_00120k_020	Una volta che ne avremo \n intrappolati abbastanza \n nelle macchine...	[0, 65, 'DINRoundOffcPro']
dm01_00120k_030	Avremo l'energia \n necessaria a dare il via \n all'esperimento.	[0, 58, 'DINRoundOffcPro']
dm01_00121	Nevi. Come previsto.	[0, 20, 'DINRoundOffcPro']
dm01_00122	Credo che il serbatoio energetico sia pieno.	[0, 44, 'DINRoundOffcPro']
dm01_00123	Devo prendere il serbatoio energetico dalla macchina.	[0, 53, 'DINRoundOffcPro']
dm01_00125	E uno.	[0, 6, 'DINRoundOffcPro']
dm01_00127	Con abbastanza energia, i bambini nell'Arca potranno tornare.	[0, 61, 'DINRoundOffcPro']
dm01_00128	Zaza... Tra poco sarai a casa.	[0, 30, 'DINRoundOffcPro']
dm01_00130	Criminale: \n E tu saresti l'unica speranza della città?	[0, 11, 'DINRoundOffcPro'], [11, 53, 'DINRoundOffcPro']
dm01_00130k_010	Raven, mi hanno appena \n segnalato che c'erano \n alcuni criminali \n alla prima postazione.	[0, 84, 'DINRoundOffcPro']
dm01_00130k_020	Non daranno \n più fastidio.	[0, 25, 'DINRoundOffcPro']
dm01_00130k_030	S-sul serio? \n Che notizia \n stupenda!	[0, 34, 'DINRoundOffcPro']
dm01_00130k_035	È mai possibile?!?	[0, 18, 'DINRoundOffcPro']
dm01_00130k_040	Che delinquenti senza \n cuore! Perché cercare di \n impedire il salvataggio \n dei bambini nell'Arca?	[0, 93, 'DINRoundOffcPro']
dm01_00130k_050	Non lo so, ma non \n lascerò che né loro \n né altri fermino \n questo esperimento.	[0, 74, 'DINRoundOffcPro']
dm01_00130k_055	Mi fa piacere!	[0, 14, 'DINRoundOffcPro']
dm01_00130k_060	Devo raggiungere \n la prossima macchina.	[0, 38, 'DINRoundOffcPro']
dm01_00130k_070	Sissignora! Dirò \n agli altri di tenere \n gli occhi aperti.	[0, 55, 'DINRoundOffcPro']
dm01_00130k_075	Non ci saremmo \n mai riusciti senza \n il vostro aiuto, \n shifter.	[0, 59, 'DINRoundOffcPro']
dm01_00130k_080	Col tuo aiuto avremo \n tutta l'energia \n necessaria in men \n che non si dica!	[0, 71, 'DINRoundOffcPro']
dm01_00131	Criminale: \n C-cos'è quello??	[0, 11, 'DINRoundOffcPro'], [11, 27, 'DINRoundOffcPro']
dm01_00132	Criminale: \n Nevi! Via!	[0, 11, 'DINRoundOffcPro'], [11, 21, 'DINRoundOffcPro']
dm01_00310k_010	Zaza?!?	[0, 7, 'DINRoundOffcPro']
dm01_00310k_020	Sachya? \n Sachya, dove sei?!?	[0, 27, 'DINRoundOffcPro']
dm01_00310k_030	Dev'essere un'illusione. \n Zaza non può essere qui.	[0, 49, 'DINRoundOffcPro']
dm01_00310k_040	È tutta colpa mia. \n Avrei dovuto \n fare di più... Avrei \n dovuto proteggerla.	[0, 72, 'DINRoundOffcPro']
dm01_00310k_050	No, la colpa è mia...	[0, 21, 'DINRoundOffcPro']
dm01_00310k_060	Devo trovarla. \n Sachya! Sachya!	[0, 30, 'DINRoundOffcPro']
dm01_00310k_070	Zaza e gli altri devono \n essere intrappolati \n in un incubo.	[0, 57, 'DINRoundOffcPro']
dm01_00310k_080	Aspettami, Zaza... \n Farò qualsiasi cosa \n pur di riportarti \n indietro.	[0, 66, 'DINRoundOffcPro']
dm01_00310k_090	E allora ci rivedremo... \n Te lo prometto.	[0, 40, 'DINRoundOffcPro']
dm01_00320k_010	Ehi, Raven! \n Sei sicura che sia solo \n per salvare quei bambini \n addormentati nell'Arca?	[0, 84, 'DINRoundOffcPro']
dm01_00320k_015	Scusa il disturbo \n ma dobbiamo parlare.	[0, 38, 'DINRoundOffcPro']
dm01_00320k_020	Gade? Cyanea? Possiamo \n parlarne più tardi? \n Ora sono impegnata.	[0, 62, 'DINRoundOffcPro']
dm01_00320k_030	Sì, il tempo è \n un fattore cruciale. \n A proposito...	[0, 50, 'DINRoundOffcPro']
dm01_00320k_040	Dobbiamo parlare \n dell'Arca. Questo piano \n per salvare i bambini \n non mi convince.	[0, 79, 'DINRoundOffcPro']
dm01_00320k_050	E lo spazio-tempo \n è in subbuglio.	[0, 33, 'DINRoundOffcPro']
dm01_00320k_060	È come se sapesse \n che sta per succedere \n qualcosa di brutto.	[0, 59, 'DINRoundOffcPro']
dm01_00320k_070	Ti rendi conto che ciò \n che dici non ha senso?	[0, 45, 'DINRoundOffcPro']
dm01_00320k_073	Mi sento... \n così... \n stanca...	[0, 29, 'DINRoundOffcPro']
dm01_00320k_075	Oh, sembra che \n il Guardiano del Sogno \n stia per unirsi alla \n nostra conversazione.	[0, 80, 'DINRoundOffcPro']
dm01_00320k_078	Cyanea sta dormendo.	[0, 20, 'DINRoundOffcPro']
