Reference Name	Text	Font
5ffd194d	最下端の街に取り残された子供たちを箱舟に乗せ、ヘキサヴィルへ帰還したのが数ヶ月前 \n しかし、過酷な亜空間飛行の影響で、子供たちは謎の眠りから目覚めないまま――	[0, 78, 'MovieFont-TTF']
80f51948	――待っていてザザ、私が必ずあなたを助ける	[0, 21, 'MovieFont-TTF']
a6f8194a	ある日、一人の科学者が“子供たちを目覚めさせる方法”を見つけたと発表した \n そして私たち“重力使い”に、その計画の協力要請があったのだ	[0, 66, 'MovieFont-TTF']
dm01_00100m_010	今朝、とてもおかしな夢を見た \n ただひとつ覚えているのは――	[0, 29, 'MovieFont-TTF']
dm01_00100m_020	箱舟の子供たちのために、 \n 何を犠牲にする？	[0, 21, 'MovieFont-TTF']
dm01_00100m_030	ザザ、こわいよ	[0, 7, 'MovieFont-TTF']
dm01_00100m_040	サチア、僕につかまれ	[0, 10, 'MovieFont-TTF']
dm01_00100m_050	やめて！ \n 警務隊を呼ぶわよ！	[0, 14, 'MovieFont-TTF']
dm01_00100m_060	そんなこと言わずに、 \n 俺たちと遊ぼうぜ？	[0, 20, 'MovieFont-TTF']
dm01_00100m_070	いやっ！ 離して！	[0, 9, 'MovieFont-TTF']
dm01_00100m_080	いてっ！	[0, 4, 'MovieFont-TTF']
dm01_00100m_090	邪魔だ	[0, 3, 'MovieFont-TTF']
dm01_00100m_100	くそっ、カラス女か――	[0, 11, 'MovieFont-TTF']
dm01_00103	暴漢： \n お、おい！ クソッ！	[0, 4, 'MovieFont-TTF'], [4, 14, 'MovieFont-TTF']
dm01_00113	奴らから装置を守らなければ…	[0, 14, 'MovieFont-TTF']
dm01_00114	今すぐ、その装置から離れろ！	[0, 14, 'MovieFont-TTF']
dm01_00115	暴漢を倒せ！	[0, 6, 'SCE-MaruFolkProM']
dm01_00116	私の邪魔をするな！ さっさと消えろ！	[0, 18, 'MovieFont-TTF']
dm01_00117	ネヴィを片付けなければ…	[0, 12, 'MovieFont-TTF']
dm01_00118	暴漢： \n 正義の味方ぶって、指図すんじゃねえよ！	[0, 4, 'MovieFont-TTF'], [4, 23, 'MovieFont-TTF']
dm01_00119	暴漢： \n 俺たちは好きにさせてもらうぜ！	[0, 4, 'MovieFont-TTF'], [4, 19, 'MovieFont-TTF']
dm01_00120k_010	この装置がネヴィを \n 誘い出し―― \n そのネヴィを私が倒す	[0, 27, 'MovieFont-TTF']
dm01_00120k_020	ネヴィの欠けらは \n この装置に吸引され \n 重力エネルギーになる	[0, 29, 'MovieFont-TTF']
dm01_00120k_030	すべての装置から \n 重力エネルギーを \n 集めれば――	[0, 24, 'MovieFont-TTF']
dm01_00121	出たなネヴィ…　事前に聞いていた通りだ	[0, 19, 'MovieFont-TTF']
dm01_00122	重力エネルギーへの変換が終わったか…	[0, 18, 'MovieFont-TTF']
dm01_00123	重力エネルギーを回収しよう	[0, 13, 'MovieFont-TTF']
dm01_00125	第１地点、重力エネルギーを回収…	[0, 16, 'MovieFont-TTF']
dm01_00127	これを集めれば、箱舟の中で眠り続ける子供たちを――	[0, 25, 'MovieFont-TTF']
dm01_00128	ザザを、目覚めさせることができる	[0, 16, 'MovieFont-TTF']
dm01_00130	暴漢： \n カラス女が人助けかよ！ 笑わせるぜ！	[0, 4, 'MovieFont-TTF'], [4, 22, 'MovieFont-TTF']
dm01_00130k_010	先ほど、第１回収地付近に \n 不審者が侵入したとの \n 通報がありまして――	[0, 34, 'MovieFont-TTF']
dm01_00130k_020	そいつらならば、 \n もう片づけた	[0, 15, 'MovieFont-TTF']
dm01_00130k_030	おお、了解であります！ \n 警備配置に不備があり、 \n ご迷惑をおかけしました…	[0, 36, 'MovieFont-TTF']
dm01_00130k_035	しかし、とんでもない \n 奴らがいるものです！	[0, 21, 'MovieFont-TTF']
dm01_00130k_040	本日、行われる公開実験は、 \n 子供たちの人命に関わる \n 重要な計画だというのに！	[0, 38, 'MovieFont-TTF']
dm01_00130k_050	子供を不幸にする奴を、 \n 私は許さない	[0, 18, 'MovieFont-TTF']
dm01_00130k_055	…ハッ！ \n その通りであります！	[0, 15, 'MovieFont-TTF']
dm01_00130k_060	今から次の回収先に向かう \n 時間までには終わらせる	[0, 24, 'MovieFont-TTF']
dm01_00130k_070	ハッ！　第３回収地の \n 警備担当者に警備強化を \n 伝えておきます！	[0, 31, 'MovieFont-TTF']
dm01_00130k_075	本任務は、 \n 重力使いの方々の \n ご協力が不可欠です！	[0, 25, 'MovieFont-TTF']
dm01_00130k_080	引き続き、ネヴィ討伐及び \n 重力エネルギーの回収を、 \n お願いいたします！	[0, 35, 'MovieFont-TTF']
dm01_00131	暴漢： \n うわっ！ なんだ！？	[0, 4, 'MovieFont-TTF'], [4, 14, 'MovieFont-TTF']
dm01_00132	暴漢： \n ネヴィだ！ 逃げろ！	[0, 4, 'MovieFont-TTF'], [4, 14, 'MovieFont-TTF']
dm01_00310k_010	ザザ……！？	[0, 6, 'MovieFont-TTF']
dm01_00310k_020	……サチア \n …どこだ？	[0, 11, 'MovieFont-TTF']
dm01_00310k_030	これは―― \n 箱舟で眠るザザの \n まぼろし…？	[0, 21, 'MovieFont-TTF']
dm01_00310k_040	サチア… \n 僕がお前を守って \n やれなかったから…	[0, 23, 'MovieFont-TTF']
dm01_00310k_050	違う… \n ザザは悪くない… \n あれは私が――	[0, 20, 'MovieFont-TTF']
dm01_00310k_060	サチア… \n サチアを捜さなくちゃ… \n 小さなサチア…	[0, 24, 'MovieFont-TTF']
dm01_00310k_070	ザザは、あの箱舟の中で \n ずっと辛い夢を見続けて \n いるのか…	[0, 29, 'MovieFont-TTF']
dm01_00310k_080	ザザ、待ってて… \n 私が必ずあなたを \n 辛い夢から目覚めさせる…	[0, 30, 'MovieFont-TTF']
