Reference Name	Text	Font
5ffd194d	Het is maanden geleden dat we de kinderen uit Boutoume \n terug hebben gebracht naar Hekseville, maar ze zijn in een \n diepe slaap gevallen na de reis door het riftvlak.	[0, 164, 'DINRoundOffcPro']
80f51948	Hou vol, Zaza. Ik doe er alles aan om je thuis te brengen.	[0, 58, 'DINRoundOffcPro']
a6f8194a	Een wetenschapper zei dat hij ze kon wakker maken. \n Hij had de hulp van mij en Kat nodig voor het experiment.	[0, 108, 'DINRoundOffcPro']
dm01_00100m_010	Ik ontwaakte uit een vreemde droom vanochtend. \n Het enige wat ik me herinner is een vraag:	[0, 89, 'DINRoundOffcPro']
dm01_00100m_020	Wat zou jij opgeven om de kinderen in de Ark te redden?	[0, 55, 'DINRoundOffcPro']
dm01_00100m_030	Zaza, ik ben bang.	[0, 18, 'DINRoundOffcPro']
dm01_00100m_040	Het komt goed, Sachya. Blijf maar dicht bij me.	[0, 47, 'DINRoundOffcPro']
dm01_00100m_050	Hou op! Anders bel ik de politie!	[0, 33, 'DINRoundOffcPro']
dm01_00100m_060	Doe maar. Ze kunnen je toch niet helpen.	[0, 40, 'DINRoundOffcPro']
dm01_00100m_070	B-Blijf uit mijn buurt!	[0, 23, 'DINRoundOffcPro']
dm01_00100m_080	Auw!	[0, 4, 'DINRoundOffcPro']
dm01_00100m_090	Het is uit met de pret.	[0, 23, 'DINRoundOffcPro']
dm01_00100m_100	Dat is die enge zwaartekracht-shifter!	[0, 38, 'DINRoundOffcPro']
dm01_00103	Schurk: \n N-Nevi!	[0, 8, 'DINRoundOffcPro'], [8, 15, 'DINRoundOffcPro']
dm01_00113	Ik moet ze weghalen bij de energieverzamelaar.	[0, 46, 'DINRoundOffcPro']
dm01_00114	Ga bij die machine vandaan. Nu!	[0, 31, 'DINRoundOffcPro']
dm01_00115	Versla de schurken	[0, 18, 'DINRoundOffcPro']
dm01_00116	Ik laat niemand het experiment tegenhouden!	[0, 43, 'DINRoundOffcPro']
dm01_00117	Nu de Nevi uitschakelen...	[0, 26, 'DINRoundOffcPro']
dm01_00118	Schurk: \n We doen waar we zin in hebben!	[0, 8, 'DINRoundOffcPro'], [8, 38, 'DINRoundOffcPro']
dm01_00119	Schurk: \n Ja, jij vertelt ons niet wat kunnen doen!	[0, 8, 'DINRoundOffcPro'], [8, 49, 'DINRoundOffcPro']
dm01_00120k_010	Dit ding moet Nevi \n aantrekken... \n en ik moet ze \n uitschakelen.	[0, 60, 'DINRoundOffcPro']
dm01_00120k_020	Als we er genoeg \n hebben gevangen \n in alle machines...	[0, 52, 'DINRoundOffcPro']
dm01_00120k_030	hebben we de energie \n die nodig is voor \n het experiment.	[0, 54, 'DINRoundOffcPro']
dm01_00121	Nevi. Zoals verwacht.	[0, 21, 'DINRoundOffcPro']
dm01_00122	De energietank van de machine zou vol moeten zijn.	[0, 50, 'DINRoundOffcPro']
dm01_00123	Ik moet de energietank van de machine meenemen.	[0, 47, 'DINRoundOffcPro']
dm01_00125	Dat was één energietank.	[0, 24, 'DINRoundOffcPro']
dm01_00127	Als ik genoeg energie ophaal, kunnen ze \n de kinderen in de Ark wakker maken.	[0, 75, 'DINRoundOffcPro']
dm01_00128	Zaza... Je komt naar huis.	[0, 26, 'DINRoundOffcPro']
dm01_00130	Schurk: \n Kon de stad niet aan betere krachten komen?	[0, 8, 'DINRoundOffcPro'], [8, 51, 'DINRoundOffcPro']
dm01_00130k_010	Raven, ik heb zojuist \n gehoord dat er wat \n schurken waren op de \n eerste locatie.	[0, 77, 'DINRoundOffcPro']
dm01_00130k_020	Ze zijn uitgeschakeld.	[0, 22, 'DINRoundOffcPro']
dm01_00130k_030	O-O ja? \n Dat is goed nieuws!	[0, 27, 'DINRoundOffcPro']
dm01_00130k_035	Dat geloof je toch \n niet?!	[0, 25, 'DINRoundOffcPro']
dm01_00130k_040	Hoe harteloos moet je \n zijn als je niet wilt \n dat de kinderen in de \n Ark worden gered?	[0, 83, 'DINRoundOffcPro']
