Reference Name	Text	Font
dm03_00100	ankuietaotmnloik	[0, 16, 'Gravity2_hx_SansCondensed']
dm03_00101	usgaowhsnicoonogka	[0, 18, 'Gravity2_hx_SansCondensed']
dm03_00102	iaianuotk	[0, 9, 'Gravity2_hx_SansCondensed']
dm03_00103	okdanuotkituad	[0, 14, 'Gravity2_hx_SansCondensed']
dm03_00104	uketusinhtsa	[0, 12, 'Gravity2_hx_SansCondensed']
dm03_00105	atiiokdituad	[0, 12, 'Gravity2_hx_SansCondensed']
dm03_00106	usgaowhtsa	[0, 10, 'Gravity2_hx_SansCondensed']
dm03_00107	iaadkeiaeiinuyihusd	[0, 19, 'Gravity2_hx_SansCondensed']
dm03_00108	uketusinhtsa	[0, 12, 'Gravity2_hx_SansCondensed']
dm03_00109	atiiokdituad	[0, 12, 'Gravity2_hx_SansCondensed']
dm03_00110	usgaowhtsa	[0, 10, 'Gravity2_hx_SansCondensed']
dm03_00111	iaadkeiaeiinuyihusd	[0, 19, 'Gravity2_hx_SansCondensed']
dm03_00112	atiiokdituad	[0, 12, 'Gravity2_hx_SansCondensed']
dm03_00113	iaadkeiaeiinuyihusd	[0, 19, 'Gravity2_hx_SansCondensed']
dm03_00114	ankikicumanuotk	[0, 15, 'Gravity2_hx_SansCondensed']
dm03_00115	usgaowulti	[0, 10, 'Gravity2_hx_SansCondensed']
dm03_00116	uretamtonuotk	[0, 13, 'Gravity2_hx_SansCondensed']
dm03_00117	ankuuoiaihatza	[0, 14, 'Gravity2_hx_SansCondensed']
dm03_00118	ay \n ihusd	[0, 3, 'Gravity2_hx_SansCondensed'], [3, 8, 'Gravity2_hx_SansCondensed']
dm03_00119	iaekotansaaswituad	[0, 18, 'Gravity2_hx_SansCondensed']
dm03_00120	iaekotansaaswnloik	[0, 18, 'Gravity2_hx_SansCondensed']
dm03_00121	ay	[0, 2, 'Gravity2_hx_SansCondensed']
dm03_00122	uoadatiiokdoaoaanuotk	[0, 21, 'Gravity2_hx_SansCondensed']
dm03_00123	uzhaieihusuhuukoothanuotk	[0, 25, 'Gravity2_hx_SansCondensed']
dm03_00124	atamtanaijdisoenboah	[0, 20, 'Gravity2_hx_SansCondensed']
dm03_00125	arttaknainhctaazdisoneki	[0, 24, 'Gravity2_hx_SansCondensed']
dm03_00126	arttaknainhctaazdisoneki	[0, 24, 'Gravity2_hx_SansCondensed']
dm03_00127	usgaowulti	[0, 10, 'Gravity2_hx_SansCondensed']
dm03_00128	arttaknainhctaazdisoneki	[0, 24, 'Gravity2_hx_SansCondensed']
dm03_00129	arttaknainhctaazdisoneki	[0, 24, 'Gravity2_hx_SansCondensed']
dm03_00130	arttaknainhctaazdisoneki	[0, 24, 'Gravity2_hx_SansCondensed']
dm03_00131	arttaknainhctaazdisoneki	[0, 24, 'Gravity2_hx_SansCondensed']
dm03_00132	arttaknainhctaazdisoneki	[0, 24, 'Gravity2_hx_SansCondensed']
dm03_00133	arttaknainhctaazdisoneki	[0, 24, 'Gravity2_hx_SansCondensed']
dm03_00134	arttaknainhctaazdisoneki	[0, 24, 'Gravity2_hx_SansCondensed']
dm03_00135	arttaknainhctaazdisoneki	[0, 24, 'Gravity2_hx_SansCondensed']
dm03_00136	arttaknainhctaazdisoneki	[0, 24, 'Gravity2_hx_SansCondensed']
dm03_00137	arttaknainhctaazdisoneki	[0, 24, 'Gravity2_hx_SansCondensed']
dm03_00138	arttaknainhctaazdisoneki	[0, 24, 'Gravity2_hx_SansCondensed']
dm03_00139	arttaknainhctaazdisoneki	[0, 24, 'Gravity2_hx_SansCondensed']
dm03_00140	arttaknainhctaazdisoneki	[0, 24, 'Gravity2_hx_SansCondensed']
dm03_00141	arttaknainhctaazdisoneki	[0, 24, 'Gravity2_hx_SansCondensed']
dm03_00142	ay \n ihusd	[0, 3, 'Gravity2_hx_SansCondensed'], [3, 8, 'Gravity2_hx_SansCondensed']
dm03_00143	uzhaieihusuhuukoothanuotk	[0, 25, 'Gravity2_hx_SansCondensed']
dm03_00144	uzhaieihusuhuukoothanuotk	[0, 25, 'Gravity2_hx_SansCondensed']
dm03_00145	uzhaieihusuhuukoothanuotk	[0, 25, 'Gravity2_hx_SansCondensed']
dm03_00146	uzhaieihusuhuukoothanuotk	[0, 25, 'Gravity2_hx_SansCondensed']
dm03_00147	uzhaieihusuhuukoothanuotk	[0, 25, 'Gravity2_hx_SansCondensed']
dm03_00148	uzhaieihusuhuukoothanuotk	[0, 25, 'Gravity2_hx_SansCondensed']
dm03_00149	uzhaieihusuhuukoothanuotk	[0, 25, 'Gravity2_hx_SansCondensed']
dm03_00150	uzhaieihusuhuukoothanuotk	[0, 25, 'Gravity2_hx_SansCondensed']
dm03_00151	uzhaieihusuhuukoothanuotk	[0, 25, 'Gravity2_hx_SansCondensed']
dm03_00152	uzhaieihusuhuukoothanuotk	[0, 25, 'Gravity2_hx_SansCondensed']
dm03_00300c_010	athsmeufninis \n urmeinmuonenih \n ihooowmoihatw \n omultietstk	[0, 54, 'Gravity2_hx_SansCondensed']
dm03_00300c_020	iaankoonweonhsta \n aa	[0, 19, 'Gravity2_hx_SansCondensed']
dm03_00300c_030	akiaibuj	[0, 8, 'Gravity2_hx_SansCondensed']
dm03_00300c_040	ozkiteotm \n irtuahd	[0, 17, 'Gravity2_hx_SansCondensed']
dm03_00300c_050	......	[0, 6, 'Gravity2_hx_SansCondensed']
