Reference Name	Text	Font
dm04_00100	Que lugar é esse?	[0, 17, 'DINRoundOffcPro']
dm04_00101	Primeiro, tenho que invocar o elemento da Luz.	[0, 46, 'DINRoundOffcPro']
dm04_00110k_010	Que bom que você chegou \n bem. Bem-vinda \n ao plano onde a luz \n e a escuridão residem.	[0, 81, 'DINRoundOffcPro']
dm04_00110k_020	O que houve? O que \n você tá fazendo aqui?	[0, 40, 'DINRoundOffcPro']
dm04_00110k_025	Sou um Criador e \n guardião da passagem \n entre os mundos.	[0, 54, 'DINRoundOffcPro']
dm04_00110k_030	O que precisamos para \n fazer tudo dar certo \n de novo está aqui.	[0, 61, 'DINRoundOffcPro']
dm04_00110k_040	Escute bem, \n não vai \n ser nada fácil.	[0, 35, 'DINRoundOffcPro']
dm04_00110k_050	Você precisa acordar a \n Luz e a Escuridão e \n fazer com que se revelem \n na forma física.	[0, 84, 'DINRoundOffcPro']
dm04_00110k_060	Comece invocando \n o elemento \n da Luz.	[0, 35, 'DINRoundOffcPro']
dm04_00110k_070	Para isso, \n proteja os \n Nevis de luz...	[0, 37, 'DINRoundOffcPro']
dm04_00110k_080	E destrua os \n Nevis de escuridão.	[0, 32, 'DINRoundOffcPro']
dm04_00110k_083	Quando fizer isso, \n você vai converter \n as áreas deles \n em luz.	[0, 60, 'DINRoundOffcPro']
dm04_00110k_086	Depois de converter \n tudo, o elemento \n da Luz deve se revelar \n na forma física.	[0, 76, 'DINRoundOffcPro']
dm04_00110k_090	Então... \n É só derrotar todos \n os Nevis de escuridão?	[0, 51, 'DINRoundOffcPro']
dm04_00110k_100	Bem, \n se você prefere \n resumir. Sim.	[0, 34, 'DINRoundOffcPro']
dm04_00110k_105	Era só ter \n dito isso.	[0, 21, 'DINRoundOffcPro']
dm04_00110k_110	Não vai ser fácil.	[0, 18, 'DINRoundOffcPro']
dm04_00110k_120	Mas você é a \n única que \n pode fazer isso.	[0, 39, 'DINRoundOffcPro']
dm04_00110k_130	Não sei por que, mas \n parece que você está no \n centro de tudo que tá \n acontecendo de errado.	[0, 89, 'DINRoundOffcPro']
dm04_00205k_010	Hahaha!	[0, 7, 'DINRoundOffcPro']
dm04_00205k_020	Faz tanto tempo que \n não assumo esta forma \n que eu quase não \n me lembro de como é.	[0, 79, 'DINRoundOffcPro']
dm04_00205k_030	Quem \n invoca o \n elemento da Luz?	[0, 30, 'DINRoundOffcPro']
dm04_00205k_033	E como um humano \n entrou neste plano?	[0, 36, 'DINRoundOffcPro']
dm04_00205k_035	Posso presumir que os \n tais Criadores estão \n usando você para fazer o \n trabalho sujo deles?	[0, 88, 'DINRoundOffcPro']
dm04_00205k_038	Tenho meus próprios \n motivos para vir aqui.	[0, 42, 'DINRoundOffcPro']
dm04_00205k_039	Preciso fazer você \n voltar para a Arca, \n reabastecê-la e \n consertar as coisas.	[0, 75, 'DINRoundOffcPro']
dm04_00205k_040	Hah! \n Acha que consegue \n me controlar?	[0, 36, 'DINRoundOffcPro']
dm04_00205k_050	Quero só ver!	[0, 13, 'DINRoundOffcPro']
dm04_00205k_060	Vai ser divertido.	[0, 18, 'DINRoundOffcPro']
dm04_00208k_010	O que tá acontecendo \n com ele?	[0, 29, 'DINRoundOffcPro']
dm04_00208k_020	Hahaha! \n A energia passa \n por mim.	[0, 32, 'DINRoundOffcPro']
dm04_00208k_030	Nada pode \n resistir à \n Luz!	[0, 25, 'DINRoundOffcPro']
dm04_00210k_003	Cyanea, você também \n tá aqui?	[0, 28, 'DINRoundOffcPro']
dm04_00210k_006	No âmago da Criadora \n Cyanea, há uma \n força poderosa.	[0, 51, 'DINRoundOffcPro']
dm04_00210k_010	Onde há luz, \n há escuridão.	[0, 26, 'DINRoundOffcPro']
dm04_00210k_020	Proteja os Nevis \n da escuridão...	[0, 32, 'DINRoundOffcPro']
dm04_00210k_030	E destrua os \n Nevis de luz.	[0, 26, 'DINRoundOffcPro']
dm04_00210k_040	Escuridão boa, luz ruim. \n Certo, só fazer o \n contrário do que eu \n tava fazendo antes.	[0, 82, 'DINRoundOffcPro']
dm04_00310k_010	*Suspiro*	[0, 9, 'DINRoundOffcPro']
dm04_00310k_020	Pensei ter sentido \n o fedor da \n sua espécie...	[0, 44, 'DINRoundOffcPro']
dm04_00310k_030	Olfato, visão, paladar, \n tato... Odeio ter que \n assumir esta forma.	[0, 65, 'DINRoundOffcPro']
dm04_00310k_035	Você ousa \n chamar Tenebria, \n o elemento da \n Escuridão?	[0, 51, 'DINRoundOffcPro']
dm04_00310k_040	Você terá apenas \n uma chance. Vá embora \n e deixarei você viver.	[0, 61, 'DINRoundOffcPro']
dm04_00310k_050	Não vou a lugar algum, \n estou aqui para \n pegar sua energia!	[0, 57, 'DINRoundOffcPro']
dm04_00310k_060	Então é hora de mostrar \n o que acontece com \n tolos insolentes que \n tropeçam no escuro.	[0, 83, 'DINRoundOffcPro']
dm04_00318k_010	Ah, a Escuridão \n corre em minhas veias...	[0, 40, 'DINRoundOffcPro']
dm04_00318k_020	O elemento da \n Luz gosta de \n uma abordagem \n mais direta.	[0, 53, 'DINRoundOffcPro']
dm04_00318k_030	Mas é muito mais \n difícil lutar \n contra o que não \n se pode ver.	[0, 60, 'DINRoundOffcPro']
dm04_00318k_033	Você exala as \n emoções que sente.	[0, 32, 'DINRoundOffcPro']
dm04_00318k_036	Amor, nobreza, credo... \n conceitos tão inúteis.	[0, 46, 'DINRoundOffcPro']
dm04_00318k_040	Vamos ver \n se são inúteis \n mesmo quando \n eu acabar com você!	[0, 57, 'DINRoundOffcPro']
dm04_00410k_010	Queria ter \n tempo para comemorar \n sua vitória...	[0, 46, 'DINRoundOffcPro']
dm04_00410k_020	Mas você vai precisar \n dar o fora daqui. \n Bem rápido.	[0, 51, 'DINRoundOffcPro']
dm04_00410k_030	Sem os elementos da \n Luz e da Escuridão, as \n tramas que unem este \n mundo estão se partindo.	[0, 88, 'DINRoundOffcPro']
dm04_00410k_040	Vamos tentar manter este \n lugar inteiro enquanto \n pudermos, mas ele \n vai acabar desabando.	[0, 87, 'DINRoundOffcPro']
dm04_00410k_050	Entendi. É hora \n de cair fora.	[0, 29, 'DINRoundOffcPro']
dm04_00410k_060	E rápido.	[0, 9, 'DINRoundOffcPro']
dm04_00410k_070	A saída é ali na frente.	[0, 24, 'DINRoundOffcPro']
dm04_00500m_010	Não podemos perder tempo.	[0, 25, 'DINRoundOffcPro']
dm04_01000	Destrua os Nevis de Escuridão \n para invocar a Luz	[0, 48, 'DINRoundOffcPro']
dm04_01001	Então tenho que derrotar todos esses Nevis de escuridão.	[0, 56, 'DINRoundOffcPro']
dm04_01002	Não!	[0, 4, 'DINRoundOffcPro']
dm04_01003	Está funcionando.	[0, 17, 'DINRoundOffcPro']
dm04_01004	Acho que vamos conseguir.	[0, 25, 'DINRoundOffcPro']
dm04_01005	Estamos indo bem.	[0, 17, 'DINRoundOffcPro']
dm04_01006	Só mais um.	[0, 11, 'DINRoundOffcPro']
dm04_01007	É o último!	[0, 11, 'DINRoundOffcPro']
dm04_01008	Eles roubaram uma das áreas!	[0, 28, 'DINRoundOffcPro']
dm04_01009	Perdi uma área, mas tudo bem.	[0, 29, 'DINRoundOffcPro']
dm04_01010	Perdi uma área, mas ainda tá tudo OK.	[0, 37, 'DINRoundOffcPro']
dm04_01011	Pegaram uma das minhas áreas, mas tá tudo bem.	[0, 46, 'DINRoundOffcPro']
dm04_01012	Pegaram uma área.	[0, 17, 'DINRoundOffcPro']
dm04_01013	Acho que os Nevis de luz vão ficar de guarda.	[0, 45, 'DINRoundOffcPro']
dm04_01014	Não posso pegar a área se houver Nevis de escuridão ao redor.	[0, 61, 'DINRoundOffcPro']
dm04_01015	Tenho que derrotar os Nevis de escuridão para pegar a área.	[0, 59, 'DINRoundOffcPro']
dm04_01016	Tenho que ser rápida, antes que os Nevis de luz sejam destruídos.	[0, 65, 'DINRoundOffcPro']
dm04_01020	Gade: \n A luz está se apagando, você tem que lutar!	[0, 6, 'DINRoundOffcPro'], [6, 49, 'DINRoundOffcPro']
dm04_01021	Gade: \n Proteja a luz dos Nevis de escuridão.	[0, 6, 'DINRoundOffcPro'], [6, 43, 'DINRoundOffcPro']
dm04_01030	Gade: \n Os Nevis de escuridão estão vindo para roubar a luz.	[0, 6, 'DINRoundOffcPro'], [6, 58, 'DINRoundOffcPro']
dm04_01031	Gade: \n Mais Nevis de escuridão estão aparecendo.	[0, 6, 'DINRoundOffcPro'], [6, 47, 'DINRoundOffcPro']
dm04_01032	Gade: \n Cuidado, mais Nevis de escuridão estão aparecendo.	[0, 6, 'DINRoundOffcPro'], [6, 56, 'DINRoundOffcPro']
dm04_01033	Gade: \n Cuidado pra não perder o que já tomou dos Nevis de escuridão.	[0, 6, 'DINRoundOffcPro'], [6, 67, 'DINRoundOffcPro']
dm04_01034	Gade: \n Não há mais luz... Os Nevis de escuridão tomaram tudo.	[0, 6, 'DINRoundOffcPro'], [6, 60, 'DINRoundOffcPro']
dm04_01035	Gade: \n Muito bem, você conseguiu. A luz tomou a área!	[0, 6, 'DINRoundOffcPro'], [6, 52, 'DINRoundOffcPro']
