Reference Name	Text	Font
dm05_00010	Gade: \n ¿Cómo llegué a esto?	[0, 6, 'DINRoundOffcPro'], [6, 26, 'DINRoundOffcPro']
dm05_00015	Cyanea: \n ¡Tengo problemas para mantener mi forma!	[0, 8, 'DINRoundOffcPro'], [8, 48, 'DINRoundOffcPro']
dm05_00100	Recoge los recuerdos perdidos	[0, 29, 'DINRoundOffcPro']
dm05_00100c_010	...	[0, 3, 'DINRoundOffcPro']
dm05_00100c_020	Bienvenida de vuelta, Raven. \n Me alegra que estés a salvo.	[0, 57, 'DINRoundOffcPro']
dm05_00100c_030	Por poco, ¿eh? Casi \n quedaste atrapada \n ahí afuera.	[0, 49, 'DINRoundOffcPro']
dm05_00100c_040	Parece que surgió un \n problema imprevisto.	[0, 41, 'DINRoundOffcPro']
dm05_00100c_050	Pero no hay tiempo para \n preocuparse por eso ahora.	[0, 50, 'DINRoundOffcPro']
dm05_00100c_060	¡Ugh!	[0, 5, 'DINRoundOffcPro']
dm05_00100c_070	Ahora que tienes los \n elementos de la luz y \n la oscuridad, podemos \n volver al Arca y...	[0, 84, 'DINRoundOffcPro']
dm05_00100c_080	¡Ah!	[0, 4, 'DINRoundOffcPro']
dm05_00100c_090	Han desaparecido.	[0, 17, 'DINRoundOffcPro']
dm05_00100c_100	¡No puede ser! \n ¿Te equivocaste en algo?	[0, 39, 'DINRoundOffcPro']
dm05_00100c_110	Algo no está bien \n en el sueño...	[0, 32, 'DINRoundOffcPro']
dm05_00100c_120	¿Hm?	[0, 4, 'DINRoundOffcPro']
dm05_00100c_130	¡Hic!	[0, 5, 'DINRoundOffcPro']
dm05_00100c_140	Gack.	[0, 5, 'DINRoundOffcPro']
dm05_00100c_150	Ugh.	[0, 4, 'DINRoundOffcPro']
dm05_00100c_160	Esto no era real...	[0, 19, 'DINRoundOffcPro']
dm05_00100c_170	Nos engañaron.	[0, 14, 'DINRoundOffcPro']
dm05_00100c_180	Y el poder de los \n Creadores acaba de ser robado.	[0, 48, 'DINRoundOffcPro']
dm05_00100c_190	Entonces tendré \n que recuperarlo.	[0, 32, 'DINRoundOffcPro']
dm05_00100c_200	¡No abandonaré \n a los niños!	[0, 27, 'DINRoundOffcPro']
dm05_00101	Ese es uno de mis recuerdos.	[0, 28, 'DINRoundOffcPro']
dm05_00102	No me permitirán que simplemente tome mis recuerdos.	[0, 52, 'DINRoundOffcPro']
dm05_00103	Si los quiero de vuelta, tendré que luchar por ellos.	[0, 53, 'DINRoundOffcPro']
dm05_00104	Recuerdo todo.	[0, 14, 'DINRoundOffcPro']
dm05_00105	Ahora estoy comenzando a recordar cosas...	[0, 42, 'DINRoundOffcPro']
dm05_00106	Es mi oportunidad de encontrar mis recuerdos.	[0, 45, 'DINRoundOffcPro']
dm05_00107	No me queda otra opción que luchar.	[0, 35, 'DINRoundOffcPro']
dm05_00108	Tengo que encontrar mis recuerdos si quiero salvar a Zaza.	[0, 58, 'DINRoundOffcPro']
dm05_00109	Estaba tan sola cuando volví a Hekseville...	[0, 44, 'DINRoundOffcPro']
dm05_00110	Revolvía la basura..., dormía en la calle...	[0, 44, 'DINRoundOffcPro']
dm05_00110k_002	Lumino de la luz. \n Tenebria de la \n oscuridad. ¿Qué esperan \n conseguir de todo esto?	[0, 80, 'DINRoundOffcPro']
dm05_00110k_004	Lo que todos desean: \n libertad. \n ¡No volverán a sellarme!	[0, 55, 'DINRoundOffcPro']
dm05_00110k_006	Solo quiero que esos \n desagradables humanos \n me dejen en paz.	[0, 59, 'DINRoundOffcPro']
dm05_00110k_008	Hmm, supongo que no hay \n forma de llegar \n a un acuerdo.	[0, 53, 'DINRoundOffcPro']
dm05_00110k_010	Si quieren volver a \n intentarlo, tendrán \n que enfrentarme.	[0, 56, 'DINRoundOffcPro']
dm05_00110k_020	Raven, espera. \n No tienes lo necesario \n para derrotarlos.	[0, 55, 'DINRoundOffcPro']
dm05_00110k_030	No todos los factores \n están en su lugar. Hay \n un problema en la \n sincronización.	[0, 78, 'DINRoundOffcPro']
dm05_00110k_040	¿Sincronización? \n ¿Qué significa eso?	[0, 36, 'DINRoundOffcPro']
dm05_00110k_050	Algo que necesita ser \n revertido al estado en \n que se encontraba \n antes del experimento.	[0, 85, 'DINRoundOffcPro']
dm05_00110k_060	Y ese algo eres tú. \n Estás incompleta.	[0, 37, 'DINRoundOffcPro']
dm05_00110k_070	El resto de tus \n recuerdos perdidos está \n aquí, en este pueblo.	[0, 61, 'DINRoundOffcPro']
dm05_00110k_080	Encuentra el resto de \n tus recuerdos, recuerda \n quién eres.	[0, 57, 'DINRoundOffcPro']
dm05_00111	Era tan débil. Y luego apareció Xii...	[0, 38, 'DINRoundOffcPro']
dm05_00112	Con Xii, aprendí a transmutar la gravedad. \n Aprendí a sobrevivir.	[0, 64, 'DINRoundOffcPro']
dm05_00113	Dejé de ser Sachya y me convertí en Raven.	[0, 42, 'DINRoundOffcPro']
dm05_00114	Derrota a Lumino y a Tenebria	[0, 29, 'DINRoundOffcPro']
dm05_00115	Recuerdos perdidos	[0, 18, 'DINRoundOffcPro']
dm05_00116	Debo encontrar mis recuerdos.	[0, 29, 'DINRoundOffcPro']
dm05_00117	Bit: \n Cuidado, no te lo harán fácil.	[0, 5, 'DINRoundOffcPro'], [5, 35, 'DINRoundOffcPro']
dm05_00118	Bit: \n Encuentra tus recuerdos antes de que sea demasiado tarde.	[0, 5, 'DINRoundOffcPro'], [5, 62, 'DINRoundOffcPro']
dm05_00119	La luz. Debe conducir a uno de mis recuerdos.	[0, 45, 'DINRoundOffcPro']
dm05_00120	¡Ahora es mi oportunidad de encontrar mis recuerdos!	[0, 52, 'DINRoundOffcPro']
dm05_00120k_010	Los recuerdos de aquí \n son de cuando dejé de \n ser Sachya y me \n convertí en Raven.	[0, 78, 'DINRoundOffcPro']
dm05_00120k_020	Y después de conocer \n a la otra transmutadora.	[0, 45, 'DINRoundOffcPro']
dm05_00120k_030	Todavía debes recordar. \n Encuentra el resto \n de tus recuerdos.	[0, 60, 'DINRoundOffcPro']
dm05_00121	Debo apurarme y recordar quién soy.	[0, 35, 'DINRoundOffcPro']
dm05_00130	Oí una voz que me llamaba cuando conocí a Xii.	[0, 46, 'DINRoundOffcPro']
dm05_00131	Era muy parecida a la de ella.	[0, 30, 'DINRoundOffcPro']
dm05_00132	Incluso cuando nos vimos por primera vez, \n sentía como si ya la conociera de antes.	[0, 82, 'DINRoundOffcPro']
dm05_00150k_010	¿Realmente crees que \n puedes derrotarme?	[0, 39, 'DINRoundOffcPro']
dm05_00150k_020	No tienes las agallas \n para robarme mi poder.	[0, 44, 'DINRoundOffcPro']
dm05_00150k_030	¡¿Qué quiere decir?!	[0, 20, 'DINRoundOffcPro']
dm05_00150k_040	Aún no tienes el poder \n que necesitas para \n derrotarla. Volverá.	[0, 62, 'DINRoundOffcPro']
dm05_00155k_010	¿Creíste que me habías \n derrotado?	[0, 33, 'DINRoundOffcPro']
dm05_00155k_020	¿¡Está de vuelta!?	[0, 18, 'DINRoundOffcPro']
dm05_00155k_030	Necesitas encontrar el \n poder para detenerlos \n para siempre.	[0, 58, 'DINRoundOffcPro']
dm05_00160k_010	Admiro tu espíritu.	[0, 19, 'DINRoundOffcPro']
dm05_00160k_020	Pero hará falta mucho \n más que eso para \n detenerme.	[0, 49, 'DINRoundOffcPro']
dm05_00160k_030	Simplemente seguirá \n atacando, ¿verdad?	[0, 38, 'DINRoundOffcPro']
dm05_00160k_040	Me temo que sí. Aún \n no tienes el poder \n que necesitas para \n derrotarlo.	[0, 69, 'DINRoundOffcPro']
dm05_00165k_010	¡Impresionante!	[0, 15, 'DINRoundOffcPro']
dm05_00165k_020	Pero no lo suficiente \n para derrotarme.	[0, 38, 'DINRoundOffcPro']
dm05_00165k_030	¿¡Está de vuelta!?	[0, 18, 'DINRoundOffcPro']
dm05_00165k_040	Todavía no tienes el \n poder que necesitas \n para detenerlos.	[0, 57, 'DINRoundOffcPro']
dm05_00170k_010	¿¡Dónde están mis \n recuerdos!?	[0, 29, 'DINRoundOffcPro']
dm05_00170k_020	Cambio de planes. \n Hora de luchar.	[0, 33, 'DINRoundOffcPro']
dm05_00170k_030	¿¡Cómo!?	[0, 8, 'DINRoundOffcPro']
