Reference Name	Text	Font
03797ebb	熙熙發現了達斯緹， \n 有達斯緹在，我才-	[0, 19, 'DFT_R5']
0510b6d9	女孩-啊， \n 我是說凱特。	[0, 12, 'DFT_R5']
07938fb8	暴風中的陰影	[0, 6, 'DFT_YY6']
0b19864c	…！	[0, 2, 'DFT_R5']
0cc180c1	呃…莉莎？ \n 我們都該感謝熙熙。	[0, 15, 'DFT_R5']
34cc65aa	他傷得 \n 那麼重？	[0, 8, 'DFT_R5']
36742888	熙熙的下落	[0, 5, 'DFT_YY6']
3d1468b0	我的夥伴… \n 你是說席得？	[0, 12, 'DFT_R5']
4660ad70	米賽的所在之處	[0, 7, 'DFT_YY6']
580fb0b1	熙熙的雜務	[0, 5, 'DFT_YY6']
5a637cd5	熙熙，不是時時 \n 都有人會幫你。	[0, 15, 'DFT_R5']
612a911b	熙熙的下落	[0, 5, 'DFT_YY6']
6f3b6d1c	有人倒下的時候， \n 他的夥伴就得擔起工作。	[0, 20, 'DFT_R5']
7459a0e3	至於你的夥伴…	[0, 7, 'DFT_R5']
7954258c	熙熙的雜務	[0, 5, 'DFT_YY6']
7da1a2e9	他的傷勢會讓他 \n 暫時動彈不得。	[0, 15, 'DFT_R5']
8e21b95f	我…抱歉我把你過去的事 \n 當作是在撒謊。	[0, 19, 'DFT_R5']
90cb048b	米賽的所在之處	[0, 7, 'DFT_YY6']
90e25b12	莉莎的道歉和慷慨，讓我發現她不是只有強悍的外在。 \n 但那依舊是她的一大特質。 \n 多虧了成為傷兵的席得，我現在得做兩份工作。	[0, 59, 'DFT_R5']
95d28347	糟了… \n 莉莎看起來很不高興。	[0, 14, 'DFT_R5']
9769bb65	謝謝你把熙熙帶回來。	[0, 10, 'DFT_R5']
992a5e18	祝好運， \n 夥伴！	[0, 8, 'DFT_R5']
9bdd24b9	熙熙的下落	[0, 5, 'DFT_YY6']
9def9bdf	米賽的所在之處	[0, 7, 'DFT_YY6']
9e1a864d	有了達斯緹和操控重力的力量，我逃出了那個困境。 \n 但重力暴風消退、撤離的居民回到聚落時…	[0, 43, 'DFT_R5']
a0b78973	熙熙的下落	[0, 5, 'DFT_YY6']
abba6224	啊？	[0, 2, 'DFT_R5']
b679723d	莉莎只是不想再次經歷 \n 同樣的悲劇…	[0, 17, 'DFT_R5']
b810aa5b	喔…	[0, 2, 'DFT_R5']
bb816d1e	米賽的所在之處	[0, 7, 'DFT_YY6']
bfc17443	啊！	[0, 2, 'DFT_R5']
c158ac61	沒關係 \n 。	[0, 5, 'DFT_R5']
c41d864f	…！	[0, 2, 'DFT_R5']
c8097749	對不起。	[0, 4, 'DFT_R5']
caa0ae67	從現在起，你可以用 \n 我飛行船裡的空房。	[0, 19, 'DFT_R5']
cb6df206	熙熙的下落	[0, 5, 'DFT_YY6']
d151794f	你得學會照顧自己！	[0, 9, 'DFT_R5']
dc59e42a	米賽的所在之處	[0, 7, 'DFT_YY6']
dcdc2625	米賽的所在之處	[0, 7, 'DFT_YY6']
e6296a96	什麼？	[0, 3, 'DFT_R5']
e6cfb8d4	熙熙的下落	[0, 5, 'DFT_YY6']
ed260d93	米賽的所在之處	[0, 7, 'DFT_YY6']
ep01_00010k_010	莉莎？怎麼了？ \n 我以為我們今天放假。	[0, 18, 'DFT_R5']
ep01_00010k_020	替我送個口信給米賽。	[0, 10, 'DFT_R5']
ep01_00010k_030	確保船隊有足夠的 \n 備用重力動力。	[0, 16, 'DFT_R5']
ep01_00010k_040	當然好，但是… \n 為什麼要由我去？	[0, 16, 'DFT_R5']
ep01_00010k_050	我在採礦場辛苦工作一天， \n 已經累死了，而且…	[0, 22, 'DFT_R5']
ep01_00010k_060	雖然你是新人， \n 但你記得我們的規定吧。	[0, 19, 'DFT_R5']
ep01_00010k_070	對…務必償還所有債務， \n 還有懶惰的工人沒飯吃。	[0, 23, 'DFT_R5']
ep01_00010k_080	把口信送過去。 \n 完成以後，向我回報。	[0, 18, 'DFT_R5']
ep01_00010k_090	你不做好分內工作， \n 就別怪我們不讓你吃飯， \n 知道了嗎？	[0, 27, 'DFT_R5']
ep01_00010k_100	知、知道了！	[0, 6, 'DFT_R5']
ep01_00010k_110	對了… \n 你有在這附近看到熙熙嗎？	[0, 16, 'DFT_R5']
ep01_00010k_120	熙熙？ \n 我不確定她會在哪裡。	[0, 14, 'DFT_R5']
ep01_00010k_130	看到她的話，跟她說 \n 她最好記得去照顧家畜。	[0, 21, 'DFT_R5']
ep01_00010k_140	好的，我會跟她說。	[0, 9, 'DFT_R5']
ep01_00010k_150	莉莎確實對她的人很嚴厲…	[0, 12, 'DFT_R5']
ep01_00020k_010	米賽？ \n 他可能在準備採礦船吧。	[0, 15, 'DFT_R5']
ep01_00020k_020	他算是很勤奮的年輕人。 \n 也許有點粗魯， \n 但他的用心毋庸置疑。	[0, 30, 'DFT_R5']
ep01_00020k_030	你對這一切可能還不熟悉…	[0, 12, 'DFT_R5']
ep01_00020k_040	但注意聽莉莎的話， \n 記住我們的規定…	[0, 18, 'DFT_R5']
ep01_00020k_050	懶惰的工人沒飯吃， \n 我知道了。	[0, 15, 'DFT_R5']
ep01_00030k_010	嘿！ \n 你有在幫忙做事嗎？	[0, 12, 'DFT_R5']
ep01_00030k_020	當然，我都照莉莎的話做， \n 而且盡心盡力。	[0, 20, 'DFT_R5']
ep01_00030k_030	其實我正要幫她找米賽。	[0, 11, 'DFT_R5']
ep01_00030k_040	哦？米賽在那邊 \n 準備採礦船。	[0, 14, 'DFT_R5']
ep01_00030k_050	嗯？喔… \n 噁…	[0, 7, 'DFT_R5']
ep01_00030k_060	怎麼？	[0, 3, 'DFT_R5']
ep01_00030k_070	你的味道有點難聞。 \n 聞起來就像我們的動物。 \n 也許你該洗澡了。	[0, 30, 'DFT_R5']
ep01_00030k_080	喔，拜託！	[0, 5, 'DFT_R5']
ep01_00030k_090	我能怎麼辦？ \n 我必須睡在鳥舍裡！	[0, 16, 'DFT_R5']
ep01_00030k_100	而且我昨晚才洗過澡的…	[0, 11, 'DFT_R5']
ep01_00035k_010	那麼，你完成你的工作了？	[0, 12, 'DFT_R5']
ep01_00035k_020	當然，我又不是小孩子。	[0, 11, 'DFT_R5']
ep01_00035k_030	對，身為得體的大人， \n 也許你該洗個像樣的澡。	[0, 22, 'DFT_R5']
ep01_00035k_040	你真的要在 \n 這件事情上鬼打牆？	[0, 15, 'DFT_R5']
ep01_00035k_050	莉莎什麼時候 \n 才會讓我離開鳥舍…	[0, 16, 'DFT_R5']
ep01_00040k_010	米賽啊？ \n 他通常在採礦船那裡。	[0, 15, 'DFT_R5']
ep01_00040k_020	他對採礦深深著迷， \n 所以總是對它東敲西打的。	[0, 22, 'DFT_R5']
ep01_00040k_030	謝謝！我這就過去 \n 採礦船那裡。	[0, 15, 'DFT_R5']
ep01_00040k_040	我本來希望今天能放假， \n 但莉莎盯上我了。	[0, 20, 'DFT_R5']
ep01_00040k_050	你最好聽她的。 \n 記住，懶惰的工人-	[0, 17, 'DFT_R5']
ep01_00040k_060	沒飯吃，我知道！	[0, 8, 'DFT_R5']
ep01_00050k_010	哦，漂流兒， \n 你和莉莎處得來嗎？	[0, 16, 'DFT_R5']
