Reference Name	Text	Font
03797ebb	Cecie hat Dusty gefunden \n und mit Dusty habe ich ...	[0, 51, 'DINRoundOffcPro']
0510b6d9	Mädchen ... äh, \n ich meine Kat.	[0, 30, 'DINRoundOffcPro']
07938fb8	Ein Schatten im Sturm	[0, 21, 'DINRoundOffcPro']
0b19864c	...!	[0, 4, 'DINRoundOffcPro']
0cc180c1	Ähm, hey. \n Lisa? \n Wir sollten Cecie danken.	[0, 41, 'DINRoundOffcPro']
34cc65aa	Wurde er so \n schwer verletzt?	[0, 28, 'DINRoundOffcPro']
36742888	Cecies Aufenthaltsort	[0, 21, 'GillSansStd-UltraBold']
3d1468b0	Mein Partner ... \n Du meinst Syd?	[0, 31, 'DINRoundOffcPro']
4660ad70	Misais Aufenthaltsort	[0, 21, 'DINRoundOffcPro']
580fb0b1	Cecies Pflichten	[0, 16, 'DINRoundOffcPro']
5a637cd5	Cecie, es wird nicht immer \n jemand da sein, der dir hilft.	[0, 57, 'DINRoundOffcPro']
612a911b	Cecies Aufenthaltsort	[0, 21, 'GillSansStd-UltraBold']
6f3b6d1c	Wenn jemand ausfällt, \n ist es Aufgabe seines Partners, \n für ihn einzuspringen.	[0, 76, 'DINRoundOffcPro']
7459a0e3	Also, was deinen \n Partner angeht ...	[0, 35, 'DINRoundOffcPro']
7954258c	Cecies Pflichten	[0, 16, 'GillSansStd-UltraBold']
7da1a2e9	Mit der Verletzung \n ist er eine Weile \n außer Gefecht gesetzt.	[0, 59, 'DINRoundOffcPro']
8e21b95f	Ich ... entschuldige bitte, \n dass ich geglaubt habe, du würdest \n über deine Vergangenheit lügen.	[0, 94, 'DINRoundOffcPro']
90cb048b	Misais Aufenthaltsort	[0, 21, 'GillSansStd-UltraBold']
90e25b12	Durch ihre Entschuldigung und ihre Großzügigkeit erkannte ich, dass Lisa nicht \n nur aus einer harten Schale bestand. Die überwog allerdings trotzdem: Da Syd außer \n Gefecht gesetzt war, standen mir Doppelschichten bevor.	[0, 217, 'DINRoundOffcPro']
95d28347	Oh-oh ... \n Lisa sieht nicht glücklich aus.	[0, 41, 'DINRoundOffcPro']
9769bb65	Danke, dass du Cecie \n zurückgebracht hast.	[0, 41, 'DINRoundOffcPro']
992a5e18	Viel Glück, \n Partner!	[0, 20, 'DINRoundOffcPro']
9bdd24b9	Cecies Aufenthaltsort	[0, 21, 'DINRoundOffcPro']
9def9bdf	Misais Aufenthaltsort	[0, 21, 'GillSansStd-UltraBold']
