Reference Name	Text	Font
036908f3	¡Eh!	[0, 4, 'DINRoundOffcPro']
076866ce	El Consejo planea poner \n en riesgo primero a \n la gente de Elgona.	[0, 63, 'DINRoundOffcPro']
0cb10af9	Pero una nueva oscuridad se gestaba en las sombras \n de esa luz. Una presencia había despertado, \n aunque estábamos demasiado ciegos para verla.	[0, 140, 'DINRoundOffcPro']
0e58f610	Creo que el Consejo lo \n está liando todo.	[0, 40, 'DINRoundOffcPro']
140787f5	¿Tú también? \n Mmm...	[0, 19, 'DINRoundOffcPro']
1c3f9b65	¡El cargamento es nuestro! \n ¡Hemos recuperado lo que \n pertenece legítimamente \n a los Lhao!	[0, 87, 'DINRoundOffcPro']
1d4f89fb	Sí, \n yo también la oigo.	[0, 23, 'DINRoundOffcPro']
2ecf9f71	Todo ha vuelto \n a ser como debería.	[0, 34, 'DINRoundOffcPro']
315757ca	Su plan ya está \n en marcha. ¿No \n hay nada que podamos \n hacer para pararlo?	[0, 71, 'DINRoundOffcPro']
3717a277	Jirga Para Lhao pertenecía \n a la gente de Lisa.	[0, 46, 'DINRoundOffcPro']
418fe912	Estoy de acuerdo, ¿pero \n cómo podemos pararlo?	[0, 45, 'DINRoundOffcPro']
4ad7eb18	No quiero ni imaginar \n perder a mi familia por \n la codicia del Consejo.	[0, 69, 'DINRoundOffcPro']
4e0f0f5a	Tienen pensado que \n la gente de Elgona \n haga el trabajo \n sucio.	[0, 60, 'DINRoundOffcPro']
57571160	Que abusen de nosotros \n es nuestro sino...	[0, 41, 'DINRoundOffcPro']
58be906d	Gracias, Vogo.	[0, 14, 'DINRoundOffcPro']
5a53060d	Eh...	[0, 5, 'DINRoundOffcPro']
5ec3ce23	Ya es hora de que se \n ganen el dinero de \n nuestros impuestos.	[0, 59, 'DINRoundOffcPro']
670bd129	La gente de aquí vive \n un poco en las \n nubes...	[0, 45, 'DINRoundOffcPro']
6cc65e3c	La Guarnición llegó y \n se llevó a rastras a \n todo hombre con buena \n condición física.	[0, 82, 'DINRoundOffcPro']
73b6ee7e	He oído que allí \n las condiciones \n son penosas.	[0, 45, 'DINRoundOffcPro']
78feff55	¿Qué habrá en \n esa grieta que \n interesa tanto \n al gobierno?	[0, 56, 'DINRoundOffcPro']
7cfef084	Pero es que no quiero \n que le recluten para \n la mina, ni a mi \n hijo tampoco.	[0, 73, 'DINRoundOffcPro']
7e566348	¡Elgona siempre se ve \n obligada a hacer \n grandes sacrificios!	[0, 59, 'DINRoundOffcPro']
8146025c	Deberían cerrarla, \n no explorarla.	[0, 33, 'DINRoundOffcPro']
82987996	Todo el mundo debe de \n estar de los nervios \n ahora mismo...	[0, 57, 'DINRoundOffcPro']
8546f38a	Aunque mi marido dice \n que no debería ir dando \n mi opinión en voz alta.	[0, 69, 'DINRoundOffcPro']
88b2bf1f	Era la primera vez \n que veía uno de \n esos asquerosos \n Escarabajos.	[0, 63, 'DINRoundOffcPro']
8a8e0462	No sabía que las \n cosas ya iban tan \n avanzadas...	[0, 47, 'DINRoundOffcPro']
91fac125	Por supuesto, llamé \n a la Guarnición para \n que los eliminara.	[0, 59, 'DINRoundOffcPro']
932d98df	Eh...	[0, 5, 'DINRoundOffcPro']
94287ea2	Ese tipo de cosas no \n solían pasar aquí.	[0, 39, 'DINRoundOffcPro']
9d7080a8	¿Y aun con todo eso \n quieren que vayamos \n a trabajar en \n las minas?	[0, 64, 'DINRoundOffcPro']
9e0a1085	Y las llamas de la esperanza \n se propagaban por la ciudad.	[0, 57, 'DINRoundOffcPro']
a752128b	Una luz que disipaba la oscuridad en \n la que Jirga Para Lhao había estado \n sumida tanto tiempo.	[0, 93, 'DINRoundOffcPro']
c321c791	¡Nunca pensé que \n vería algo así en \n Lei Havina!	[0, 46, 'DINRoundOffcPro']
c5fd0bd4	La Guarnición se \n llevó a rastras \n a todo hombre y \n chico joven sanos...	[0, 69, 'DINRoundOffcPro']
c8f90081	¡Vogo!	[0, 6, 'DINRoundOffcPro']
cc69c997	¿Qué pasa con los \n trabajadores que lidian \n con los Escarabajos \n en todo momento?	[0, 78, 'DINRoundOffcPro']
cf978514	Entre las tormentas de \n gravedad y los Nevi... \n Últimamente todo es \n una locura.	[0, 77, 'DINRoundOffcPro']
d1410387	Los rehenes eran libres, el Consejo había caído, \n el cargamento estaba en manos de la Tribu Lhao...	[0, 98, 'DINRoundOffcPro']
e1cf93f3	Gracias al sacrifico \n de Vogo...	[0, 31, 'DINRoundOffcPro']
