Reference Name	Text	Font
036908f3	¡Ey!	[0, 4, 'DINRoundOffcPro']
076866ce	El Consejo planea \n poner primero a la gente \n de Elgona en peligro.	[0, 64, 'DINRoundOffcPro']
0cb10af9	Pero una nueva oscuridad nació \n en las sombras de aquella luz. \n Una presencia se cernía sobre nosotros, \n pero fuimos muy ciegos para darnos cuenta.	[0, 144, 'DINRoundOffcPro']
0e58f610	Creo que el Consejo \n está haciendo un \n gran desastre.	[0, 51, 'DINRoundOffcPro']
140787f5	¿Tú también, \n eh?	[0, 16, 'DINRoundOffcPro']
1c3f9b65	¡El cargamento es nuestro! \n ¡Hemos recuperado lo que \n le pertenece a Lhao!	[0, 72, 'DINRoundOffcPro']
1d4f89fb	Sí, \n también lo oigo.	[0, 20, 'DINRoundOffcPro']
2ecf9f71	Todo volvió a \n la normalidad.	[0, 28, 'DINRoundOffcPro']
315757ca	Su plan ya está \n en marcha. ¿Acaso no hay \n nada que pueda hacer \n para detenerlo?	[0, 77, 'DINRoundOffcPro']
3717a277	Jirga Para Lhao solía pertenecer \n al pueblo de Lisa.	[0, 51, 'DINRoundOffcPro']
418fe912	Estoy de acuerdo, pero \n ¿qué podemos hacer para \n detenerlo?	[0, 57, 'DINRoundOffcPro']
4ad7eb18	No puedo soportar la \n idea de que mi familia \n podría morir por la \n codicia del Consejo.	[0, 84, 'DINRoundOffcPro']
4e0f0f5a	Están planeando hacer \n que la gente de Elgona \n haga el trabajo sucio.	[0, 67, 'DINRoundOffcPro']
57571160	Es nuestro destino ser \n usados y abusados.	[0, 41, 'DINRoundOffcPro']
58be906d	Gracias, Vogo.	[0, 14, 'DINRoundOffcPro']
5a53060d	Ey...	[0, 5, 'DINRoundOffcPro']
5ec3ce23	Ya era hora que se \n ganaran el pan después \n de todo lo que les \n pagamos.	[0, 69, 'DINRoundOffcPro']
670bd129	La gente de aquí está \n un poco desconectada...	[0, 45, 'DINRoundOffcPro']
6cc65e3c	La Guarnición vino y se \n llevó por la fuerza a \n todo hombre que \n pudiera trabajar.	[0, 79, 'DINRoundOffcPro']
73b6ee7e	Escuché que las \n condiciones de trabajo \n allí eran horribles.	[0, 59, 'DINRoundOffcPro']
78feff55	¿Qué podría haber dentro \n de la grieta que le \n interesa tanto \n al gobierno?	[0, 72, 'DINRoundOffcPro']
7cfef084	No quiero ver como él o \n mis hijos son reclutados \n para trabajar en \n las minas.	[0, 76, 'DINRoundOffcPro']
7e566348	¡Elgona siempre tiene \n que hacer los grandes \n sacrificios!	[0, 56, 'DINRoundOffcPro']
8146025c	Deberían clausurarla, \n no explorarla.	[0, 36, 'DINRoundOffcPro']
82987996	Todo el mundo debe \n estar muy nervioso en \n este momento...	[0, 56, 'DINRoundOffcPro']
8546f38a	Aunque mi esposo me dice \n que no ande por ahí \n dando mi opinión.	[0, 62, 'DINRoundOffcPro']
88b2bf1f	Esa fue la primera vez \n que vi a uno de esos \n horribles escarabajos.	[0, 66, 'DINRoundOffcPro']
8a8e0462	No sabía que todo \n estaba ocurriendo \n tan rápido...	[0, 49, 'DINRoundOffcPro']
91fac125	Por supuesto que llamé \n a la Guarnición para que \n los eliminaran.	[0, 63, 'DINRoundOffcPro']
932d98df	Ey...	[0, 5, 'DINRoundOffcPro']
94287ea2	Esa clase de cosas nunca \n ocurrían por aquí.	[0, 43, 'DINRoundOffcPro']
9d7080a8	¿E incluso con todo eso, \n quieren sacarnos para \n trabajar en las minas?	[0, 69, 'DINRoundOffcPro']
9e0a1085	Y la luz de la esperanza \n iluminó la ciudad.	[0, 43, 'DINRoundOffcPro']
a752128b	Una luz que rasgó el manto de oscuridad \n que había cubierto a Jirga Para Lhao \n durante tanto tiempo.	[0, 98, 'DINRoundOffcPro']
c321c791	¡Jamás pensé que vería \n algo así en Lei Havina!	[0, 46, 'DINRoundOffcPro']
c5fd0bd4	La Guarnición se llevó \n a todos los hombres y \n muchachos de \n aspecto saludable...	[0, 78, 'DINRoundOffcPro']
c8f90081	¡Vogo!	[0, 6, 'DINRoundOffcPro']
cc69c997	¿Qué hay de los \n trabajadores que deben \n lidiar todo el tiempo \n con los escarabajos?	[0, 81, 'DINRoundOffcPro']
cf978514	Con las tormentas \n de gravedad y los Nevi, \n todo el mundo anda \n enloquecido últimamente.	[0, 85, 'DINRoundOffcPro']
d1410387	Los prisioneros fueron liberados, \n el Consejo fue derrocado, \n el cargamento volvió a manos de la Tribu Lhao...	[0, 108, 'DINRoundOffcPro']
e1cf93f3	Gracias al sacrificio \n de Vogo...	[0, 32, 'DINRoundOffcPro']
ea1796f9	Qué raro... \n Es como si pudiera oírlo \n aquí con nosotros.	[0, 55, 'DINRoundOffcPro']
ep10_00000k_010	Raven, ¿qué haces? \n ¿Por qué no entras?	[0, 38, 'DINRoundOffcPro']
ep10_00000k_020	Algo anda mal...	[0, 16, 'DINRoundOffcPro']
ep10_00000k_030	¿Qué?	[0, 5, 'DINRoundOffcPro']
ep10_00000k_040	¿Acaso no te \n diste cuenta? \n ¿Dónde \n están los guardias?	[0, 53, 'DINRoundOffcPro']
ep10_00000k_050	Espera... \n ¿Quieres decir \n que los han mandado a \n las minas también?	[0, 65, 'DINRoundOffcPro']
ep10_00000k_060	¡Oh!	[0, 4, 'DINRoundOffcPro']
ep10_00001	¡Ahora puedes cambiar de estilo de gravedad!	[0, 44, 'DINRoundOffcPro']
ep10_00100	Encuentra a los rehenes	[0, 23, 'DINRoundOffcPro']
ep10_00100c_010	¡AH!	[0, 4, 'DINRoundOffcPro']
ep10_00100c_020	¡!	[0, 2, 'DINRoundOffcPro']
ep10_00100c_030	¿Lisa...?	[0, 9, 'DINRoundOffcPro']
ep10_00100c_040	Sí...	[0, 5, 'DINRoundOffcPro']
ep10_00100c_050	Ya estamos hartos \n de las órdenes de este \n gobierno corrupto.	[0, 59, 'DINRoundOffcPro']
ep10_00100c_060	Llegó la hora de \n tomar las armas y \n rebelarnos.	[0, 46, 'DINRoundOffcPro']
ep10_00100c_070	El Consejo está \n bien protegido. \n Pero tenemos \n cierta información...	[0, 66, 'DINRoundOffcPro']
ep10_00100c_080	Gracias a ti pude volver \n a ver a mi hijo; \n ¡cuenta conmigo!	[0, 58, 'DINRoundOffcPro']
ep10_00100c_090	Es el hombre \n de la patrulla...	[0, 30, 'DINRoundOffcPro']
ep10_00100c_100	Kat, tenías razón. \n Si no peleamos por lo \n que es nuestro, entonces \n no lo merecemos.	[0, 82, 'DINRoundOffcPro']
ep10_00100c_110	¿Qué opinan? \n ¿Están de acuerdo?	[0, 31, 'DINRoundOffcPro']
ep10_00100c_120	¡Por supuesto!	[0, 14, 'DINRoundOffcPro']
ep10_00100c_130	Claro que sí.	[0, 13, 'DINRoundOffcPro']
ep10_00100c_140	¿Vogo? \n ¿A dónde vas?	[0, 20, 'DINRoundOffcPro']
ep10_00100c_150	Me voy. Nadie me \n obligará a trabajar \n en una mina.	[0, 49, 'DINRoundOffcPro']
ep10_00100c_160	Cada cual por su cuenta. \n Hagan lo que quieran.	[0, 46, 'DINRoundOffcPro']
ep10_00100c_170	¡Se terminó! \n Sun Shipping murió.	[0, 32, 'DINRoundOffcPro']
