Reference Name	Text	Font
055f2730	Cuida de ti mesmo! \n Ou paga a alguém \n um preço justo para \n o fazer.	[0, 64, 'DINRoundOffcPro']
0944df0b	Ainda que não consiga \n dar conta de todos os \n problemas que precisam \n de ser resolvidos.	[0, 85, 'DINRoundOffcPro']
140766d2	Lisa...	[0, 7, 'DINRoundOffcPro']
1d4f68d8	Se ao menos soubéssemos \n o que quer aquele monstro, \n poderíamos encontrar uma \n maneira de o parar.	[0, 95, 'DINRoundOffcPro']
25877c48	O quê!? Onde está a \n Cecie!?	[0, 27, 'DINRoundOffcPro']
2697b922	Pois, quem sabe quando \n sairemos deste lugar...	[0, 46, 'DINRoundOffcPro']
2ecf7e4e	Tudo aconteceu tão \n rápido.	[0, 26, 'DINRoundOffcPro']
34f12437	Nunca pensei ver o dia \n em que a Tribo Lhao \n voltaria a conquistar \n as suas ilhas...	[0, 81, 'DINRoundOffcPro']
37178154	A senhora simpática \n salvou-me.	[0, 30, 'DINRoundOffcPro']
47a511c1	Quem saberá o que ele quer!? \n O Concelho deixou-nos em apuros.	[0, 61, 'DINRoundOffcPro']
49846e22	Isso parece uma ótima \n coisa para aprender. \n Ensina-me, \n quando souberes.	[0, 70, 'DINRoundOffcPro']
4e01afe0	A Lisa vai presidir \n e o Vogo e o Fi tratam \n das minutas.	[0, 55, 'DINRoundOffcPro']
52cc7028	Vou aprender a fazer \n toda a gente feliz!	[0, 40, 'DINRoundOffcPro']
5643eb89	Nunca quis saber \n muito acerca do \n governo...	[0, 43, 'DINRoundOffcPro']
5749b1e6	Kat! O debate é no \n anfiteatro oval \n de Lei Havina.	[0, 49, 'DINRoundOffcPro']
58be6f4a	Se não fosse por ela, \n o monstro ter-me-ia \n comido.	[0, 49, 'DINRoundOffcPro']
5b14732e	Quando crescer, quero \n ir para a escola!	[0, 39, 'DINRoundOffcPro']
5f8bed8f	Já passou muito tempo \n sem que tivéssemos uma \n conversa séria sobre \n como gerir a cidade.	[0, 86, 'DINRoundOffcPro']
645c7534	Ainda que seja um \n pequeno passo, o que \n importa é que estejamos \n a ir na direção certa...	[0, 87, 'DINRoundOffcPro']
