Reference Name	Text	Font
ep13_00100	Hein ?	[0, 6, 'DINRoundOffcPro']
ep13_00101	Rends-toi à L'oracle Pandore	[0, 28, 'DINRoundOffcPro']
ep13_00102	Ah, ce bon vieil oracle Pandore... J'espère qu'Aki va bien.	[0, 59, 'DINRoundOffcPro']
ep13_00103	Beaucoup de choses ont changé, j'espère que \n ma vieille maison des conduits est intacte.	[0, 87, 'DINRoundOffcPro']
ep13_00104	Hein, qu'est-ce qui s'est passé ici ?	[0, 37, 'DINRoundOffcPro']
ep13_00105	Je ferais bien de rentrer à la maison pour réfléchir à tout ça.	[0, 63, 'DINRoundOffcPro']
ep13_00106	Rentre à la maison	[0, 18, 'DINRoundOffcPro']
ep13_00107	C'est...	[0, 8, 'DINRoundOffcPro']
ep13_00108	Appui rapide vers le haut/bas sur k : style lunaire / Jupiter \n Appui sur k : revenir en mode normal	[0, 34, 'DINRoundOffcPro'], [34, 35, 'Gravity2_Gaiji'], [35, 72, 'DINRoundOffcPro'], [72, 73, 'Gravity2_Gaiji'], [73, 98, 'DINRoundOffcPro']
ep13_00109	Hmm, pas par là...	[0, 18, 'DINRoundOffcPro']
ep13_00110k_010	Est-ce que... \n Hekseville ?	[0, 26, 'DINRoundOffcPro']
ep13_00110k_020	Comment est-ce \n possible ?! Je serais \n revenue toute seule ?	[0, 58, 'DINRoundOffcPro']
ep13_00110k_030	OK... On se calme.	[0, 18, 'DINRoundOffcPro']
ep13_00110k_040	Tout d'abord... \n Je dois aller vérifier \n si ma maison est là.	[0, 59, 'DINRoundOffcPro']
ep13_00120k_010	C'est comme s'ils \n avaient transformé ma \n maison en décharge !	[0, 60, 'DINRoundOffcPro']
ep13_00120k_020	Je ne vois ni Cyanea ni \n Gade, qu'est-ce qui a \n bien pu arriver \n à la ville ?	[0, 74, 'DINRoundOffcPro']
ep13_00120k_030	*soupir* Y a tellement \n de déchets... Je ferais \n bien de commencer en \n recyclant ces journaux.	[0, 91, 'DINRoundOffcPro']
ep13_00120k_040	Hé ! Ce journal parle \n de l'incident \n d'Endestria...	[0, 50, 'DINRoundOffcPro']
ep13_00120k_050	"Kat, la Reine de \n la gravité" \n "Alias vaincu" \n "La ville est sauvée"	[0, 66, 'DINRoundOffcPro']
ep13_00120k_060	Alias... On dirait que \n tout s'est passé il y a \n si longtemps...	[0, 62, 'DINRoundOffcPro']
ep13_00120k_070	Hum ?	[0, 5, 'DINRoundOffcPro']
ep13_00120k_080	"L'oracle Pandore"	[0, 18, 'DINRoundOffcPro']
ep13_00120k_090	"Nous dévoilons \n la vérité" \n "Mademoiselle Aki"	[0, 45, 'DINRoundOffcPro']
