Reference Name	Text	Font
0195d74a	„Nie jesteś już ważna.” \n To chcesz powiedzieć?	[0, 45, 'DINRoundOffcPro']
0846a232	Naprawdę? Ale dziś \n wypiłem tylko \n naparstek...	[0, 45, 'DINRoundOffcPro']
0addd950	Tak, właśnie! \n Dziękuję za pomoc, \n chłopcze.	[0, 42, 'DINRoundOffcPro']
0ea67448	„Ci, na których czekamy \n w końcu się pojawią.” \n Pandora to przewidziała!	[0, 70, 'DINRoundOffcPro']
118ea438	A tobie z gęby jedzie \n siwuchą.	[0, 30, 'DINRoundOffcPro']
1393806d	Czy zostało złożone \n podanie o meldunek \n obywatelski?	[0, 51, 'DINRoundOffcPro']
15e31d33	Rząd przeniósł się \n do centrum.	[0, 30, 'DINRoundOffcPro']
1677d0cb	Przepraszam, że \n wpadam bez \n zapowiedzi, ale \n musiałam cię zobaczyć.	[0, 65, 'DINRoundOffcPro']
17ee764e	Kiedy?	[0, 6, 'DINRoundOffcPro']
1e2b2039	Kto by pomyślał, że \n stało się potworem \n i zaatakowało mnie?	[0, 58, 'DINRoundOffcPro']
1fbfd2d1	Dlaczego przeniosłaś \n się do Pleajeune?	[0, 38, 'DINRoundOffcPro']
222c0443	A więc to doktor \n Brahman skonstruował \n te dziwne latające \n maszyny...	[0, 67, 'DINRoundOffcPro']
2773223f	Tak, w Neu Hiraleon \n było mnóstwo \n instytucji.	[0, 44, 'DINRoundOffcPro']
2b740649	Tak, tak, jasne. \n Jesteśmy. Do widzenia!	[0, 39, 'DINRoundOffcPro']
2d097ce8	Właśnie! Bez niego \n nie moglibyśmy cieszyć \n się bezpieczeństwem \n i spokojem.	[0, 73, 'DINRoundOffcPro']
33bcdcb6	Tatko ostatnio \n słabuje na umyśle. \n Chyba za dużo pije.	[0, 53, 'DINRoundOffcPro']
38956544	Aki? \n Jesteś tu?	[0, 15, 'DINRoundOffcPro']
4066c1c7	Oto nowa Fortuna \n Pandory! To teraz \n marka franczyzowa!	[0, 53, 'DINRoundOffcPro']
408aefd7	Dzięki, Kat. Ja też \n tak uważam.	[0, 31, 'DINRoundOffcPro']
421f6577	Podoba nam się imię, \n które wybrała.	[0, 35, 'DINRoundOffcPro']
42fb3667	Będę czekała! Wtedy \n porozmawiamy dłużej.	[0, 40, 'DINRoundOffcPro']
43b5a9a4	Tatko zna to miejsce \n jak własną kieszeń. \n Codziennie tam chodzi.	[0, 63, 'DINRoundOffcPro']
44e3f194	Rozumiem...	[0, 11, 'DINRoundOffcPro']
454ce1c2	Jak to ująć \n delikatnie... \n Ty...	[0, 31, 'DINRoundOffcPro']
481a1135	*Ech* Coraz więcej \n osób korzysta z \n pociągów, a więc \n jestem bardzo zajęty.	[0, 73, 'DINRoundOffcPro']
4a256a50	Chyba nikogo nie \n ma w domu.	[0, 27, 'DINRoundOffcPro']
4b43396d	Rozumiem. W takim \n razie już pójdę. \n Wpadnę kiedy indziej.	[0, 56, 'DINRoundOffcPro']
4b67677d	Cieszę się, że wszystko \n dobrze się skończyło.	[0, 45, 'DINRoundOffcPro']
4cfdabaa	W Pleajeune? \n W dzielnicy rozrywki?	[0, 34, 'DINRoundOffcPro']
4d2bf49a	Jestem perfekcjonistą, \n a więc wielbię tylko \n istoty perfekcyjne.	[0, 63, 'DINRoundOffcPro']
50f45134	Trzy lata ćwiczeń nie \n zrobiły z Aki dobrej \n brzuchomówczyni.	[0, 59, 'DINRoundOffcPro']
54af6983	Nie martw się - \n prześliczne!	[0, 28, 'DINRoundOffcPro']
593c543a	Witaj w domu, \n Królowo Grawitacji. \n To ja, Pandora.	[0, 49, 'DINRoundOffcPro']
5df76b89	Sama się trochę \n martwiłam, ale wyszło \n dobrze.	[0, 45, 'DINRoundOffcPro']
61357c81	Meldunek \n obywatelski jest \n obowiązkowy.	[0, 38, 'DINRoundOffcPro']
6878835a	Zawsze trafiamy \n na jakichś dziwaków.	[0, 36, 'DINRoundOffcPro']
6d61cee5	Ciekawe, czy ktoś \n jej zapłacił, żeby się \n przeniosła...	[0, 54, 'DINRoundOffcPro']
71c08560	Powinnyście być \n wdzięczne doktorowi \n Brahmanowi za \n wszystko, co robi!	[0, 68, 'DINRoundOffcPro']
73046db6	...	[0, 3, 'DINRoundOffcPro']
760af7	Ja tam wolę Kali. \n Ona jest znacznie \n lepsza.	[0, 43, 'DINRoundOffcPro']
7c4c6fbc	Wróciłam!	[0, 9, 'DINRoundOffcPro']
7f52f906	Królowa Grawitacji? \n Ach tak, brat mojego \n znajomego kiedyś za \n nią ganiał.	[0, 72, 'DINRoundOffcPro']
838918a7	Dlaczego pociągi \n cieszą się taką \n popularnością?	[0, 47, 'DINRoundOffcPro']
859471c2	Zaraz, czy to... \n Tak! \n Kat!	[0, 26, 'DINRoundOffcPro']
86d66eef	Wracamy z Fortuny \n Pandory. Aki nadała \n imię dziecku.	[0, 51, 'DINRoundOffcPro']
8729e761	Ale mam klienta.	[0, 16, 'DINRoundOffcPro']
874d1572	To dziecko Newta.	[0, 17, 'DINRoundOffcPro']
891f7250	Jak panie widzą, \n system obrony miasta \n to najnowsza dostępna \n technologia.	[0, 72, 'DINRoundOffcPro']
8cd11aad	Wszystko jest tu teraz \n zebrane w jednym \n miejscu.	[0, 48, 'DINRoundOffcPro']
8f1e71f5	Co? Aki nadała imię? \n Mam nadzieję, że \n jakieś ładne...	[0, 53, 'DINRoundOffcPro']
92677456	Grigosy na ziemi \n zapewniają spokój, \n a Bubsy w powietrzu \n absorbują burze...	[0, 74, 'DINRoundOffcPro']
9a9fa7be	Okaż trochę szacunku! \n Gęba ci się nie zamyka!	[0, 45, 'DINRoundOffcPro']
9baf765c	Miastu nic nie \n zagraża.	[0, 23, 'DINRoundOffcPro']
9ca483f3	Posiadanie kodu \n jest bardzo przydatne.	[0, 38, 'DINRoundOffcPro']
a0f9e7fc	Przepraszam, a czy \n nie słyszałeś o \n Królowej Grawitacji?	[0, 55, 'DINRoundOffcPro']
a4f77862	Tak, tak, a to wszystko \n zasługa doktora \n Brahmana?	[0, 49, 'DINRoundOffcPro']
a5ec85f9	Może kiedy już się \n urządzę, powinnam \n się zameldować?	[0, 52, 'DINRoundOffcPro']
a8f40368	Kat? To ty?!	[0, 12, 'DINRoundOffcPro']
a941ea02	Zarejestruję wszystkie \n jej wyczyny za pomocą \n tego aparatu.	[0, 58, 'DINRoundOffcPro']
ae3488ff	Posiadanie kodu \n jest bardzo przydatne.	[0, 38, 'DINRoundOffcPro']
b0c55feb	Ty też idziesz do \n Fortuny Pandory, Kat? \n Jest na drugim piętrze.	[0, 63, 'DINRoundOffcPro']
b289ec08	Kali jest niesamowita! \n To prawdziwy ANIOŁ!	[0, 42, 'DINRoundOffcPro']
b495cbcc	Jedno z drugim nie ma \n nic wspólnego. Kiedy \n sam się zestarzejesz - \n zrozumiesz.	[0, 77, 'DINRoundOffcPro']
b77c8a05	Mówiłem już wcześniej \n i teraz powtórzę: \n żadna maszyna nie \n będzie mną rządzić!	[0, 77, 'DINRoundOffcPro']
b90d62f1	Dzięki! Musimy się \n spotkać!	[0, 27, 'DINRoundOffcPro']
ba840874	Hę? Moment... Echo \n i Newt?!	[0, 27, 'DINRoundOffcPro']
bdddcdd2	W ogóle się nie \n zmienili...	[0, 27, 'DINRoundOffcPro']
c309037f	Zaraz... czy to znaczy, \n że mnie czegoś \n brakuje?!	[0, 48, 'DINRoundOffcPro']
c977c44d	A więc jednak \n pieniądze też się \n liczą...	[0, 40, 'DINRoundOffcPro']
c99bf25d	Jak widać, upływ \n czasu nie zawsze \n jest przykry.	[0, 47, 'DINRoundOffcPro']
ce5de448	Ja?	[0, 3, 'DINRoundOffcPro']
d2bfc653	Ale wtedy zrozumiałam, \n że nie mogę przestać \n pomagać ludziom.	[0, 60, 'DINRoundOffcPro']
d50eaf30	Teraz wróżka pracuje \n w Pleajeune.	[0, 33, 'DINRoundOffcPro']
d61e7ece	To wszystko?	[0, 12, 'DINRoundOffcPro']
d7a5e64e	No wiesz, nie jesteś \n już...	[0, 27, 'DINRoundOffcPro']
d82379fb	Niepotrzebny mi \n meldunek! Zostaw \n mnie, ty kupo złomu!	[0, 53, 'DINRoundOffcPro']
da7316c1	Cóż, po tym, jak trzy \n lata temu w burzy \n grawitacyjnej zniknęło \n Neu Hiraleon...	[0, 78, 'DINRoundOffcPro']
db07c959	Postanowiłam więc \n chociaż zmienić \n otoczenie. Tu jest \n więcej potrzebujących.	[0, 75, 'DINRoundOffcPro']
de56b136	A no tak! Przeniosła \n się w inne miejsce.	[0, 40, 'DINRoundOffcPro']
df6680d4	Zapytałyśmy tylko \n o drogę. A pan nam \n tu wygłasza przemowy?	[0, 58, 'DINRoundOffcPro']
e3630bda	O rety, tak! To \n naprawdę ty, prawda?	[0, 36, 'DINRoundOffcPro']
