Reference Name	Text	Font
ep16_00400c_010	usdoomnuteakf \n inegstjoukkik \n onihahro	[0, 36, 'Gravity2_hx_SansCondensed']
ep16_00400c_020	uousihgejn \n onroihombaanaroh \n iairtaedkaerkisaih	[0, 46, 'Gravity2_hx_SansCondensed']
ep16_00400c_030	usdoanoysth \n agraihontaa \n emhuoyuuoskaakd	[0, 39, 'Gravity2_hx_SansCondensed']
ep16_00400c_040	eina \n onroihom \n on e	[0, 18, 'Gravity2_hx_SansCondensed']
ep16_00400c_050	aksaekdaiiikst \n inhsnaedomonhstaihabhsdus \n atakniatgimuteahro	[0, 59, 'Gravity2_hx_SansCondensed']
ep16_00400c_060	ukbiciothuteahsaiaiu \n owohijneebsaij \n ukknzaergaonko	[0, 50, 'Gravity2_hx_SansCondensed']
ep16_00400c_070	athsmitidoihomk \n atnoinroioabried \n eaiaihowkoenzeusahhsta	[0, 55, 'Gravity2_hx_SansCondensed']
ep16_00400c_080	usdoathsusekniotnoatihotritis \n otoauoonmuusaaakhstaaymaamgiot \n otamyoiaerriiuagnaemsuursiethss	[0, 92, 'Gravity2_hx_SansCondensed']
ep16_00400c_090	otdourmaowmuumranaij	[0, 20, 'Gravity2_hx_SansCondensed']
ep16_00400c_100	adokhcinuyne \n onmauuusweusmeukti \n ihukhsatwosuykekhisaaw	[0, 54, 'Gravity2_hx_SansCondensed']
ep16_00400c_110	agzaursauk \n owokihonoy \n ihakhs	[0, 28, 'Gravity2_hx_SansCondensed']
ep16_00400c_120	atamhsteokjoin \n ironakjoemsu \n arkigiceonekijhisaaw	[0, 48, 'Gravity2_hx_SansCondensed']
ep16_00400c_130	atraaskiinbaonakj \n ankeuousezheusmoihatw \n nenaihioihathstaahoyihioemsu	[0, 68, 'Gravity2_hx_SansCondensed']
ep16_00400c_140	usdoatmoemyaihatw \n edhcfouousez	[0, 30, 'Gravity2_hx_SansCondensed']
ep16_00400c_150	atruetatowjikiihatw \n agkokisoodhuirt \n admoetmutiowma	[0, 50, 'Gravity2_hx_SansCondensed']
ep16_00400c_160	otdoiibemiseemkiot \n inakjianowhcmook \n ursionmuumnootteusm	[0, 55, 'Gravity2_hx_SansCondensed']
ep16_00400c_170	ukkikisuyk \n ankeawehmotoursii \n inmaiisuusuoiaes \n ikowakjianotmuum	[0, 62, 'Gravity2_hx_SansCondensed']
ep16_00400c_180	akesmimo \n otiharbu	[0, 17, 'Gravity2_hx_SansCondensed']
ep16_00400c_190	onretooiuono \n otdisuyknano \n otkonaeturma \n owakjaon	[0, 47, 'Gravity2_hx_SansCondensed']
ep16_00400c_200	onanjnreiketmeuy \n owtisannmaakd \n arkuietaakmicaomti	[0, 49, 'Gravity2_hx_SansCondensed']
ep16_00400c_210	urtisiimhsna \n owahakurkeermu \n etadroeaotyn	[0, 40, 'Gravity2_hx_SansCondensed']
ep16_00400c_220	oydossotnuedihetanozohiaakgu	[0, 28, 'Gravity2_hx_SansCondensed']
ep16_00400c_230	!	[0, 1, 'Gravity2_hx_SansCondensed']
ep16_00400c_240	ontisoinn \n inkida	[0, 16, 'Gravity2_hx_SansCondensed']
ep16_00400c_250	oyseekdaeg \n etmoowkoonra	[0, 23, 'Gravity2_hx_SansCondensed']
ep16_00400c_260	usdoadabk \n owtourmoemyianothsta \n ahraintoanenaz	[0, 45, 'Gravity2_hx_SansCondensed']
ep16_00400c_270	ioih	[0, 4, 'Gravity2_hx_SansCondensed']
ep16_00400c_280	akesmeukttn \n inraihonhstausdigeo \n odhcuoemhuoyuu	[0, 46, 'Gravity2_hx_SansCondensed']
ep16_00400c_290	edanraas	[0, 8, 'Gravity2_hx_SansCondensed']
ep16_00400c_300	urttruahtaa \n naufru	[0, 18, 'Gravity2_hx_SansCondensed']
ep16_00400c_310	......	[0, 6, 'Gravity2_hx_SansCondensed']
ep16_00400c_320	naufrurdohihnisaerwoo \n othskaniiisaabseihunhcmououzkeiane	[0, 56, 'Gravity2_hx_SansCondensed']
ep16_00400c_330	atakniedkisooksaegnaakboosda \n irmanuuokonaonkaihatwnknhstisitoagstjnhstiuok \n iisoosatetadhskainemangeakhskis	[0, 106, 'Gravity2_hx_SansCondensed']
ep16_00400c_340	emhuoyuuoyseontittinkaotkoatna	[0, 30, 'Gravity2_hx_SansCondensed']
ep16_09040	uonausk nk	[0, 10, 'Gravity2_hx_SansCondensed']
