Reference Name	Text	Font
00b93b5f	"고아실종사건"이라… \n 다음에 카지를 만나면 \n 물어보는게 좋겠어.	[0, 34, 'AsiaJMR_2']
0e862919	그거 멋지군. \n 아주 멋져.	[0, 14, 'AsiaJMR_2']
123709dc	나는 들을 수 없는 \n 목소리를 발하는 존재와 \n 대화하는 자입니다…	[0, 34, 'AsiaJMR_2']
130aa6e8	시장님은 헥사빌이 \n 필요로 하는 인재입니다!	[0, 23, 'AsiaJMR_2']
17ce2b1f	슈퍼히어로처럼 \n 날아다녔어요!	[0, 15, 'AsiaJMR_2']
184f0aa2	그래, 네가 게으름 \n 부리는 것도 봤지.	[0, 21, 'AsiaJMR_2']
1b7f0be2	내 말을 들어라. \n 모두가 작은 불빛을 \n 합쳐 커다란 불을 \n 만들어야 한다.	[0, 39, 'AsiaJMR_2']
1c5ccacc	그 반군들은 아니겠지… \n 이 마을은 이미 \n 심각한 하락세라고.	[0, 32, 'AsiaJMR_2']
20c97c82	새 시장은 인기가 정말 \n 많구나. 똑똑한 데다, \n 멋진 사람이니까 \n 그럴 만도 하지만.	[0, 45, 'AsiaJMR_2']
24c70de8	캣! 어느새 \n 나타난 거예요?	[0, 15, 'AsiaJMR_2']
25a4ccd2	이사 가시는게 \n 나을 거 같은데…	[0, 17, 'AsiaJMR_2']
340c27f4	아, 아냐. 내 딸이 \n 아니야. 내 보호 구치 \n 아래에 있는 \n 여자아이야.	[0, 38, 'AsiaJMR_2']
3734d1de	수상한 자들이 \n 기이한 중력선을 \n 타고 마을로 \n 들어오는 걸 봤어.	[0, 34, 'AsiaJMR_2']
38751a15	네! \n 아주 재밌었어요!	[0, 12, 'AsiaJMR_2']
3bbdf1db	응…	[0, 2, 'AsiaJMR_2']
3d5429fa	난 서에 잠시 \n 들를 일이 있는데…	[0, 18, 'AsiaJMR_2']
40467698	오늘 도와줘서 고마워, \n 나중에 이야기하자고!	[0, 24, 'AsiaJMR_2']
41bd1c1b	꼬마 아가씨, \n 이 멋진 언니가 \n 잘 돌봐주던?	[0, 24, 'AsiaJMR_2']
4405f4e1	어쩐지 이 아이가 \n 다른 경관보다도 \n 불보사를 \n 무서워하는 느낌이…	[0, 34, 'AsiaJMR_2']
4a051f21	기다리게 해서 \n 미안해!	[0, 12, 'AsiaJMR_2']
4d4df6e7	게다가 이 아이 입장에선 \n 경관들 사이에서 기다려야 \n 한다는 건 그닥 \n 즐거운 소식이 아니니까.	[0, 50, 'AsiaJMR_2']
56ee1254	무슨 말이에요? \n 아무 말도 \n 안 하고 있었는데요.	[0, 26, 'AsiaJMR_2']
5f36155a	혼잣말을 하고 있었잖아. \n 복화술 연습이라도 \n 하고 있었어?	[0, 31, 'AsiaJMR_2']
61aca1fc	브라흐만 시장이 \n 정부 중력선을 \n 자신의 거주지로 \n 개조했다는 소식입니다.	[0, 38, 'AsiaJMR_2']
62640b11	고아원…?	[0, 5, 'AsiaJMR_2']
6af4a302	시장님은 항상 \n 도시 가까이에 머무르고 \n 싶으셨던 모양입니다.	[0, 32, 'AsiaJMR_2']
6bac0d17	고아원에서 \n 이 아이를 맡게 될 거야.	[0, 20, 'AsiaJMR_2']
