Reference Name	Text	Font
0000acc2	Setacciando l'aerobarca \n di Brahman...	[0, 37, 'DINRoundOffcPro']
048d9e8d	Ma certo! Gli spiedini \n di Jirga Para Lhao \n sono i migliori!	[0, 58, 'DINRoundOffcPro']
08ad2228	Sai, la tua voce \n mi ricorda quella \n della cantante.	[0, 50, 'DINRoundOffcPro']
08b554b2	Per prima cosa, \n impariamo come \n processare i minerali.	[0, 53, 'DINRoundOffcPro']
0b55d734	Ehi, Raven, hai visto \n in giro una ragazza \n lucente?	[0, 50, 'DINRoundOffcPro']
0dd5a093	Gradisce uno spiedino \n in ricordo dei \n vecchi tempi?	[0, 50, 'DINRoundOffcPro']
1012bd23	Jirga Para Lhao e \n Hekseville devono creare \n un legame indissolubile.	[0, 67, 'DINRoundOffcPro']
11f5242e	Ehi, è vero.	[0, 12, 'DINRoundOffcPro']
11fd56b8	È quello che ha detto \n Lisa, quindi lo stiamo \n mettendo in pratica.	[0, 65, 'DINRoundOffcPro']
12bf8554	Gli amici non \n si comprano. \n L'amicizia è...	[0, 42, 'DINRoundOffcPro']
136d6fb9	Finalmente sta \n iniziando a \n riprendersi.	[0, 39, 'DINRoundOffcPro']
149dd93a	Allora sono l'unica \n che può vederla...?	[0, 39, 'DINRoundOffcPro']
195abf29	Lisa non ha avuto pace \n negli ultimi giorni, con \n tutte queste riunioni.	[0, 70, 'DINRoundOffcPro']
1b07885a	Sembra che anche la \n gente di Lei Havina \n stia cambiando... \n Anche se lentamente...	[0, 80, 'DINRoundOffcPro']
1c3e51e1	Pattuglio Endestria. \n Ero curioso di sapere \n come andavano le cose \n e sono venuto a vedere.	[0, 88, 'DINRoundOffcPro']
1e55b709	La vecchia città è stata \n ricostruita e ne abbiamo \n scoperta una nuova.	[0, 69, 'DINRoundOffcPro']
1ec6666a	Ma dobbiamo collaborare \n con Jirga Para Lhao per \n dare un futuro migliore \n a entrambe le città.	[0, 92, 'DINRoundOffcPro']
2183b59a	Cadde dal cielo...	[0, 18, 'DINRoundOffcPro']
22a2c12f	Fammi sapere se posso \n fare qualcosa per \n darti una mano!	[0, 55, 'DINRoundOffcPro']
233f9cca	Te l'ho già detto! \n Niente da fare!	[0, 34, 'DINRoundOffcPro']
258653e7	Qui ci finiscono un \n sacco di brutti tipi.	[0, 41, 'DINRoundOffcPro']
270e6970	Io e la polizia faremo \n tutto il possibile per \n dare una mano.	[0, 60, 'DINRoundOffcPro']
279db90f	Ma, con l'aiuto di Lisa, \n tutti si sono uniti per \n collaborare e, ora, in \n città è tornata la pace.	[0, 96, 'DINRoundOffcPro']
2acbb7a0	Una mela rossa...	[0, 17, 'DINRoundOffcPro']
2beac335	E io farò tutto il \n possibile perché \n questo accada.	[0, 50, 'DINRoundOffcPro']
2c879ed0	Non lo farò per soldi, \n ma solo se mi tratterai \n come un amico!	[0, 61, 'DINRoundOffcPro']
2d504e6a	Ragazza lucente	[0, 15, 'DINRoundOffcPro']
2dfbb8e0	Bambini...?	[0, 11, 'DINRoundOffcPro']
2ece55ed	Chi hai chiamato \n brutto tipo?	[0, 29, 'DINRoundOffcPro']
35cfa0d6	E va bene, ma come \n faccio a farti diventare \n mio amico?!?	[0, 56, 'DINRoundOffcPro']
36b4a3f9	Ne è passato di tempo, \n signorina!	[0, 33, 'DINRoundOffcPro']
371658f3	No, non tu, nonno. \n Perché non mi dai \n il tempo di spiegare?	[0, 58, 'DINRoundOffcPro']
3b8d2c87	Chi pensava che un \n giorno avrei visto navi \n di Hekseville nel porto \n di Jirga Para Lhao?	[0, 86, 'DINRoundOffcPro']
3e17a3dc	Anche se non lavoro più \n per lui, cerca sempre di \n comprarmi col denaro!	[0, 70, 'DINRoundOffcPro']
422aa490	Grandioso!	[0, 10, 'DINRoundOffcPro']
431c2a9a	Chi, io? \n M-magari più tardi!	[0, 28, 'DINRoundOffcPro']
43245c24	Per esempio: \n Quali precauzioni vanno \n prese nella conversione \n dei minerali in \n energia gravitazionale?	[0, 100, 'DINRoundOffcPro']
46c4dea6	Ti senti bene? \n Non avrai mangiato \n qualcosa che ti ha \n fatto male?	[0, 64, 'DINRoundOffcPro']
47a4e85f	Bel lavoro, Bulbosa! \n Lo sapevo che avevi \n un cuore d'oro.	[0, 56, 'DINRoundOffcPro']
