Reference Name	Text	Font
061cae11	操蔵主……	[0, 5, 'MovieFont-TTF']
0f64b017	狭い世界の唾棄すべき \n 価値観が僕達を \n 縛り付けている…	[0, 27, 'MovieFont-TTF']
300b9f0d	お願いキセロ、 \n 喋らないで！	[0, 14, 'MovieFont-TTF']
3759fb5b	本日はアルハさまの \n ご尊顔を拝見できて \n 嬉しゅうございました	[0, 30, 'MovieFont-TTF']
3953a113	そ…操蔵主ビットよ… \n どうか…アルハさまに \n 導きを……	[0, 27, 'MovieFont-TTF']
aa05b8a9	死と破壊が生み出す \n 輝かしい新世界―― \n そこが僕達の遊び場だ！	[0, 31, 'MovieFont-TTF']
cbaca69f	アルハさま、 \n 100年前にもう一度 \n 戻れるなら… \n 私は……	[0, 29, 'MovieFont-TTF']
d4f4a8a5	僕と君はとても \n よく似ている	[0, 14, 'MovieFont-TTF']
dd3cabab	全ての理を変える力―― \n エレクトリシティ \n 僕がお前に自由を \n 与えてあげる	[0, 36, 'MovieFont-TTF']
ep22_00100	なんだか肌寒い…　早くベッドに入って眠ろう	[0, 21, 'MovieFont-TTF']
ep22_00101	今日のことを日記に書こう…	[0, 13, 'MovieFont-TTF']
ep22_00102	朝に聞いた音は何だったんだろう…	[0, 16, 'MovieFont-TTF']
ep22_00103	もらった本はいつ読もう…	[0, 12, 'MovieFont-TTF']
ep22_00104	塔の外の世界…あの話みたいに…	[0, 15, 'MovieFont-TTF']
ep22_00105	あの鍵はどこの鍵だろう…？	[0, 13, 'MovieFont-TTF']
ep22_00106	あの紙切れ、どの本棚から飛んできたのかな…	[0, 21, 'MovieFont-TTF']
ep22_00107	ページがちぎれた本…どこかで見たような…	[0, 20, 'MovieFont-TTF']
ep22_00108	部屋の机…　引き出しがあったような…？	[0, 19, 'MovieFont-TTF']
ep22_00109	ここの鍵じゃないみたい…	[0, 12, 'MovieFont-TTF']
ep22_00110	開かないや	[0, 5, 'MovieFont-TTF']
ep22_00111	侍従： \n アルハさま！	[0, 4, 'MovieFont-TTF'], [4, 10, 'MovieFont-TTF']
ep22_00112	侍従： \n アルハさま、お戻りください	[0, 4, 'MovieFont-TTF'], [4, 17, 'MovieFont-TTF']
ep22_00113	侍従： \n この先には何もありません　お気になさりませんように	[0, 4, 'MovieFont-TTF'], [4, 29, 'MovieFont-TTF']
ep22_00114	侍従： \n アルハさま、ご公務にお戻りください	[0, 4, 'MovieFont-TTF'], [4, 21, 'MovieFont-TTF']
ep22_00115	カイ： \n 体を冷やしてしまうから窓を開けないように	[0, 4, 'MovieFont-TTF'], [4, 24, 'MovieFont-TTF']
ep22_00116	侍従の女： \n かしこまりました	[0, 6, 'MovieFont-TTF'], [6, 14, 'MovieFont-TTF']
ep22_00117	カイ： \n 何かあったら必ず僕に報告して	[0, 4, 'MovieFont-TTF'], [4, 18, 'MovieFont-TTF']
ep22_00118	侍従： \n はい、カイさま	[0, 4, 'MovieFont-TTF'], [4, 11, 'MovieFont-TTF']
ep22_00119	あれ？ いつも扉前にいる侍従がいない……	[0, 20, 'MovieFont-TTF']
ep22_00120	侍従： \n 皆、待機しております　お早めに大聖堂へご移動ください	[0, 4, 'MovieFont-TTF'], [4, 30, 'MovieFont-TTF']
ep22_00121	侍従： \n アルハさま、何かご用事でも？ お早めにお済ませくださいませ	[0, 4, 'MovieFont-TTF'], [4, 33, 'MovieFont-TTF']
ep22_00122	侍従： \n ご不浄でしたらあちらにございます　手短にお済ませください	[0, 4, 'MovieFont-TTF'], [4, 32, 'MovieFont-TTF']
ep22_00123	侍従： \n なあ、見たか？ カイさまの守護獣	[0, 4, 'MovieFont-TTF'], [4, 20, 'MovieFont-TTF']
ep22_00124	侍従： \n ああ、あんな大きな獣は見たことがないな	[0, 4, 'MovieFont-TTF'], [4, 23, 'MovieFont-TTF']
ep22_00125	侍従： \n カイさまは高貴な血筋の出だからな　守護獣も立派なのさ	[0, 4, 'MovieFont-TTF'], [4, 30, 'MovieFont-TTF']
ep22_00126	侍従： \n そうだな　アルハ女王とは大違いだ…	[0, 4, 'MovieFont-TTF'], [4, 21, 'MovieFont-TTF']
ep22_00127	侍従： \n アルハ女王の肖像画を見たんだが…	[0, 4, 'MovieFont-TTF'], [4, 20, 'MovieFont-TTF']
ep22_00128	侍従： \n 不気味なくらい姿が変わってなかったんだよ	[0, 4, 'MovieFont-TTF'], [4, 24, 'MovieFont-TTF']
ep22_00129	侍従： \n 100年前の絵だろう？ そんなことありえるのか？	[0, 4, 'MovieFont-TTF'], [4, 28, 'MovieFont-TTF']
ep22_00130	侍従： \n そっくりなだけの別人だったりしてな…	[0, 4, 'MovieFont-TTF'], [4, 22, 'MovieFont-TTF']
ep22_00131	侍従： \n あの囚人、なかなか大人しくならないな	[0, 4, 'MovieFont-TTF'], [4, 22, 'MovieFont-TTF']
