Reference Name	Text	Font
af5c43c5	Поспешите!	[0, 10, 'DINRoundOffcPro']
da6a43ce	Актиния, вперед!	[0, 16, 'DINRoundOffcPro']
ep23_00100	Бит: \n Это Грань — измерение между измерениями.	[0, 5, 'DINRoundOffcPro'], [5, 45, 'DINRoundOffcPro']
ep23_00101	Бит: \n Все, что ты потеряла, находится здесь.	[0, 5, 'DINRoundOffcPro'], [5, 43, 'DINRoundOffcPro']
ep23_00102	Все, что я потеряла?	[0, 20, 'DINRoundOffcPro']
ep23_00200c_010	!..	[0, 3, 'DINRoundOffcPro']
ep23_00200c_020	Что случилось?!	[0, 15, 'DINRoundOffcPro']
ep23_00200c_030	Давно не виделись, \n Врана.	[0, 25, 'DINRoundOffcPro']
ep23_00200c_040	Ты?..	[0, 5, 'DINRoundOffcPro']
ep23_00200c_050	Ты и другая \n есть одно целое, \n разделенное судьбой \n надвое.	[0, 56, 'DINRoundOffcPro']
ep23_00200c_060	И хотя это состояние \n вызвало много трудностей, \n которых мы не ждали...	[0, 69, 'DINRoundOffcPro']
ep23_00200c_070	Сейчас оно может \n сыграть нам на руку.	[0, 37, 'DINRoundOffcPro']
ep23_00200c_080	Кто ты?	[0, 7, 'DINRoundOffcPro']
ep23_00200c_090	Ты меня знаешь.	[0, 15, 'DINRoundOffcPro']
ep23_00200c_100	Сахия. \n Вспомни.	[0, 15, 'DINRoundOffcPro']
ep23_00200c_110	...	[0, 3, 'DINRoundOffcPro']
ep23_00200c_115	Бог огня! \n Он настоящий...	[0, 25, 'DINRoundOffcPro']
ep23_00200c_120	Это ты!	[0, 7, 'DINRoundOffcPro']
ep23_00200c_130	Все сходится в одной точке. \n Король отправил в Хексевилль \n Электрисию.	[0, 68, 'DINRoundOffcPro']
ep23_00200c_140	Если король хочет уничтожить мир, \n то именно у Электрисии \n достаточно сил, чтобы \n это сделать.	[0, 91, 'DINRoundOffcPro']
ep23_00200c_150	Ты одна из них. \n Как Гейд с \n Цианеей.	[0, 35, 'DINRoundOffcPro']
ep23_00200c_160	Я же лишь скромный слуга, \n чей долг — помочь исправить \n ошибки, допущенные \n создателями этого мира.	[0, 96, 'DINRoundOffcPro']
ep23_00200c_170	Где Кэт?	[0, 8, 'DINRoundOffcPro']
ep23_00200c_180	Ей нужно разобраться с \n последствиями того, что \n случилось сто лет назад.	[0, 71, 'DINRoundOffcPro']
ep23_00200c_190	Значит, я выиграю \n ей немного \n времени.	[0, 37, 'DINRoundOffcPro']
ep23_00200c_200	Пока Алия... Кэт не вспомнит, \n кто она на самом деле, между \n миром и Электрисией лишь \n одна преграда — ты.	[0, 103, 'DINRoundOffcPro']
ep23_00210k_010	Давно не виделись, Кэт.	[0, 23, 'DINRoundOffcPro']
ep23_00210k_020	Сид? Это правда ты? \n Где ты...	[0, 29, 'DINRoundOffcPro']
ep23_00210k_030	Неважно.	[0, 8, 'DINRoundOffcPro']
ep23_00210k_040	Это не имеет значения. \n Если ты в порядке, то \n это главное.	[0, 57, 'DINRoundOffcPro']
ep23_00210k_050	Ну, я здесь и в то же \n время я не здесь...	[0, 41, 'DINRoundOffcPro']
ep23_00210k_060	О чем ты? Где ты? \n Куда ты?	[0, 26, 'DINRoundOffcPro']
ep23_00210k_070	Ты слышала Создателя. \n Это Грань — измерение \n между измерениями.	[0, 62, 'DINRoundOffcPro']
ep23_00210k_080	Создателя? Ты о том \n мальчике, которого \n я встретила?	[0, 51, 'DINRoundOffcPro']
ep23_00210k_090	Это тот самый мальчик, \n что спас меня \n в Хексевилле...	[0, 52, 'DINRoundOffcPro']
