Reference Name	Text	Font
ep27_00100	Aluna: \n Oh, uau! É a Raven!	[0, 7, 'DINRoundOffcPro'], [7, 26, 'DINRoundOffcPro']
ep27_00100m_010	Um ano depois...	[0, 16, 'DINRoundOffcPro']
ep27_00101	Aluna: \n Raven! Sou sua maior fã!	[0, 7, 'DINRoundOffcPro'], [7, 31, 'DINRoundOffcPro']
ep27_00102	Aluna: \n É ela mesma!?	[0, 7, 'DINRoundOffcPro'], [7, 20, 'DINRoundOffcPro']
ep27_00103	Aluna: \n É a Raven em pessoa! Que legal!	[0, 7, 'DINRoundOffcPro'], [7, 38, 'DINRoundOffcPro']
ep27_00104	Aluna: \n Raven, você é incrível!	[0, 7, 'DINRoundOffcPro'], [7, 30, 'DINRoundOffcPro']
ep27_00105	Aluna: \n É a Raven!	[0, 7, 'DINRoundOffcPro'], [7, 17, 'DINRoundOffcPro']
ep27_00106	Syd: \n OOOI, Raven!	[0, 5, 'DINRoundOffcPro'], [5, 17, 'DINRoundOffcPro']
ep27_00107	Syd: \n Até!	[0, 5, 'DINRoundOffcPro'], [5, 9, 'DINRoundOffcPro']
ep27_00108	Patrulhe Auldnoir	[0, 17, 'DINRoundOffcPro']
ep27_00109	Hoje vou começar perto da fábrica.	[0, 34, 'DINRoundOffcPro']
ep27_00110	Mulher: \n Briga! Alguém separa!	[0, 8, 'DINRoundOffcPro'], [8, 29, 'DINRoundOffcPro']
ep27_00110k_010	Ei, vai \n patrulhar a cidade?	[0, 27, 'DINRoundOffcPro']
ep27_00110k_020	Estava me aprontando \n para sair agora.	[0, 37, 'DINRoundOffcPro']
ep27_00110k_022	Syd, você descobriu \n o que aconteceu \n com aquele menino \n que era rei?	[0, 66, 'DINRoundOffcPro']
ep27_00110k_025	Encontramos ele. Ainda \n estava vivo. Levamos \n ele sob custódia.	[0, 61, 'DINRoundOffcPro']
ep27_00110k_028	Mas ele deu um jeito \n de sumir \n das nossas vistas.	[0, 48, 'DINRoundOffcPro']
ep27_00110k_030	Ei, quem diria que \n um dia você se \n tornaria a heroína \n da cidade?	[0, 63, 'DINRoundOffcPro']
ep27_00110k_040	Você mudou muito desde \n que a "garota-corvo" \n metia medo no coração \n das pessoas.	[0, 78, 'DINRoundOffcPro']
ep27_00110k_050	Humpf, acho que as \n pessoas mudam.	[0, 33, 'DINRoundOffcPro']
ep27_00110k_060	Claro, é isso que nos \n torna humanos.	[0, 36, 'DINRoundOffcPro']
ep27_00110k_070	Ouvi dizer que a frota \n de Banga virá hoje.	[0, 42, 'DINRoundOffcPro']
ep27_00110k_080	Acho que vão atracar \n no píer do centro.	[0, 39, 'DINRoundOffcPro']
ep27_00110k_090	Dê um pulo lá, ficarão \n felizes em ver \n alguém conhecido.	[0, 55, 'DINRoundOffcPro']
ep27_00110k_100	Talvez eu vá. E você, \n Syd?	[0, 26, 'DINRoundOffcPro']
ep27_00110k_110	Não vai dar, \n tenho outras coisas \n para resolver.	[0, 47, 'DINRoundOffcPro']
ep27_00110k_120	Estou atrás de um vinho \n difícil de encontrar.	[0, 45, 'DINRoundOffcPro']
ep27_00110k_130	Esse vinho por acaso \n tem um gato \n preto no rótulo?	[0, 49, 'DINRoundOffcPro']
ep27_00110k_140	Acertou em cheio, Raven.	[0, 24, 'DINRoundOffcPro']
ep27_00110k_150	Mande um abraço \n para Lisa e os outros!	[0, 38, 'DINRoundOffcPro']
ep27_00110k_160	Pode deixar. Espero que \n você encontre o vinho.	[0, 46, 'DINRoundOffcPro']
ep27_00111	Humpf, acho que é melhor separar.	[0, 33, 'DINRoundOffcPro']
ep27_00112	Separe a briga	[0, 14, 'DINRoundOffcPro']
ep27_00113	Aluna: \n É a Raven!	[0, 7, 'DINRoundOffcPro'], [7, 17, 'DINRoundOffcPro']
ep27_00114	Homem: \n Ainda bem que está aqui!	[0, 7, 'DINRoundOffcPro'], [7, 31, 'DINRoundOffcPro']
ep27_00115	Mulher: \n Por favor, você precisa ajudar!	[0, 8, 'DINRoundOffcPro'], [8, 39, 'DINRoundOffcPro']
ep27_00116	Humpf, encerrou.	[0, 16, 'DINRoundOffcPro']
ep27_00117	Chaz: \n Senhorita Raven!	[0, 6, 'DINRoundOffcPro'], [6, 22, 'DINRoundOffcPro']
ep27_00118	Parece que Pleajeune é a próxima na patrulha.	[0, 45, 'DINRoundOffcPro']
ep27_00119	Patrulhe Pleajeune	[0, 18, 'DINRoundOffcPro']
ep27_00120	Hum?	[0, 4, 'DINRoundOffcPro']
ep27_00120k_010	Obrigado por ajudar \n a manter a paz.	[0, 35, 'DINRoundOffcPro']
ep27_00120k_020	Recebemos aprovação \n para enviar mais \n policiais para Auldnoir.	[0, 61, 'DINRoundOffcPro']
ep27_00120k_030	Pode deixar este \n lugar com a gente!	[0, 35, 'DINRoundOffcPro']
ep27_00120k_040	Não pode passar \n o resto da vida \n combatendo o crime.	[0, 51, 'DINRoundOffcPro']
ep27_00120k_050	Deveria tirar uma noite \n para se divertir.	[0, 41, 'DINRoundOffcPro']
ep27_00120k_060	Pode até passar naquela \n cartomante em Pleajeune \n e perguntar se o \n amor está nas cartas.	[0, 86, 'DINRoundOffcPro']
ep27_00120k_070	Chefe! Ela tá bem \n crescida, deixe-a viver \n a própria vida.	[0, 57, 'DINRoundOffcPro']
ep27_00120k_080	Parece que minha próxima \n parada é Pleajeune.	[0, 44, 'DINRoundOffcPro']
ep27_00120k_090	S-sim, claro.	[0, 13, 'DINRoundOffcPro']
ep27_00120k_100	Depois do que aconteceu, \n você ouviu falar...	[0, 44, 'DINRoundOffcPro']
ep27_00120k_110	Nada...	[0, 7, 'DINRoundOffcPro']
ep27_00120k_120	Sei...	[0, 6, 'DINRoundOffcPro']
ep27_00121	É o Aujean ali embaixo?	[0, 23, 'DINRoundOffcPro']
ep27_00122	Vou visitar a Eugie.	[0, 20, 'DINRoundOffcPro']
ep27_00123	Hora de passar na Aki.	[0, 22, 'DINRoundOffcPro']
ep27_00124	Vá para o Destinos de Pandora	[0, 29, 'DINRoundOffcPro']
ep27_00125	Ok, hora de seguir o conselho da Pandora e ir ao centro.	[0, 56, 'DINRoundOffcPro']
ep27_00126	Vá para o centro	[0, 16, 'DINRoundOffcPro']
ep27_00127	Hã?	[0, 3, 'DINRoundOffcPro']
ep27_00128	Aqueles são o Newt e a Echo?	[0, 28, 'DINRoundOffcPro']
ep27_00129	Hum?	[0, 4, 'DINRoundOffcPro']
ep27_00130	Echo: \n Ei, não é um dos aerobarcos de Banga?	[0, 6, 'DINRoundOffcPro'], [6, 43, 'DINRoundOffcPro']
ep27_00130k_010	Ei querida, você teria \n orgulho de Eugie, \n ele não se parece \n nada com o pai.	[0, 74, 'DINRoundOffcPro']
ep27_00130k_020	Vamos comemorar. Seu \n copo está pronto aí \n onde você está?	[0, 56, 'DINRoundOffcPro']
ep27_00130k_030	Aujean, bebendo \n com sua esposa?	[0, 31, 'DINRoundOffcPro']
ep27_00130k_040	Raven! Tenho uma \n ótima notícia...	[0, 33, 'DINRoundOffcPro']
ep27_00130k_050	Meu filho Eugie entrou \n na Academia Arquebus!	[0, 44, 'DINRoundOffcPro']
ep27_00130k_060	Parabéns, isso \n não é fácil.	[0, 27, 'DINRoundOffcPro']
ep27_00130k_070	Se Kat estivesse \n aqui, seu queixo \n cairia no chão.	[0, 49, 'DINRoundOffcPro']
ep27_00130k_080	É, garanto \n que sim...	[0, 21, 'DINRoundOffcPro']
ep27_00130k_090	Cadê Eugie? Gostaria \n de lhe dar parabéns \n pessoalmente.	[0, 54, 'DINRoundOffcPro']
ep27_00130k_100	Ele já foi para a escola \n dar uma olhada.	[0, 40, 'DINRoundOffcPro']
ep27_00130k_110	Certo, vou \n para lá.	[0, 19, 'DINRoundOffcPro']
ep27_00130k_120	Diga para Eugie \n manter o foco \n nos livros!	[0, 41, 'DINRoundOffcPro']
ep27_00131	Vá a Endestria	[0, 14, 'DINRoundOffcPro']
ep27_00132	Posso dar um pulo em Endestria, fica no caminho.	[0, 48, 'DINRoundOffcPro']
ep27_00133	Nada fora do comum aqui...	[0, 26, 'DINRoundOffcPro']
ep27_00134	Tudo nos conformes por aqui.	[0, 28, 'DINRoundOffcPro']
ep27_00135	Tudo certinho por aqui.	[0, 23, 'DINRoundOffcPro']
ep27_00140k_010	Ei, Raven, vai \n fazer patrulha?	[0, 30, 'DINRoundOffcPro']
ep27_00140k_020	Sim, como sempre. Seu \n pai falou que você \n entrou na academia.	[0, 60, 'DINRoundOffcPro']
ep27_00140k_030	Achei que você estava \n empolgado em assumir a \n barraca de sorvete dele.	[0, 69, 'DINRoundOffcPro']
ep27_00140k_040	Nah, meus amigos me \n deram a real. Me fizeram \n ver que é bom estudar.	[0, 67, 'DINRoundOffcPro']
ep27_00140k_050	A escola deve abrir os \n seus olhos e expandir \n seus horizontes. \n Algo assim...	[0, 75, 'DINRoundOffcPro']
ep27_00140k_060	Sempre achei que a \n escola fosse um tédio, \n mas acho que \n não é tão ruim.	[0, 70, 'DINRoundOffcPro']
ep27_00140k_070	Vou manter \n isso em mente.	[0, 25, 'DINRoundOffcPro']
ep27_00140k_080	Meu avô foi quem \n primeiro chamou minha \n atenção para a escola.	[0, 61, 'DINRoundOffcPro']
ep27_00140k_090	Quando terminar de \n estudar aqui, vou viajar \n e conhecer o mundo.	[0, 63, 'DINRoundOffcPro']
ep27_00140k_100	Já eu vou estudar muito \n para virar presidente \n da minha própria \n fábrica de sorvete!	[0, 82, 'DINRoundOffcPro']
ep27_00140k_110	As pessoas vão ficar \n enlouquecidas pelo \n meu produto.	[0, 52, 'DINRoundOffcPro']
ep27_00140k_120	Vou deixar \n papai orgulhoso! Só... \n Não conta isso pra ele.	[0, 57, 'DINRoundOffcPro']
ep27_00140k_130	Boa sorte, será \n nosso segredo.	[0, 30, 'DINRoundOffcPro']
ep27_00150k_010	Pandora lhe dá as \n boas-vindas, Raven!	[0, 37, 'DINRoundOffcPro']
ep27_00150k_020	...	[0, 3, 'DINRoundOffcPro']
ep27_00150k_030	Vim saber \n o meu futuro.	[0, 23, 'DINRoundOffcPro']
ep27_00150k_040	A seu dispor! Acho que \n quer o de sempre.	[0, 40, 'DINRoundOffcPro']
ep27_00150k_050	Pandora, fale \n sobre o futuro!	[0, 29, 'DINRoundOffcPro']
ep27_00150k_060	O local da sorte de \n hoje é o "centro".	[0, 38, 'DINRoundOffcPro']
ep27_00150k_070	Pandora, Raven quer \n saber sobre "aquele \n a quem ela espera".	[0, 59, 'DINRoundOffcPro']
ep27_00150k_080	O local da sorte de hoje \n é o "centro". O local \n da sorte de hoje é...	[0, 68, 'DINRoundOffcPro']
