Reference Name	Text	Font
ep27_00100	女学生： \n 哇！是瑞雯！	[0, 5, 'DFHEI5-V-SONY'], [5, 11, 'DFHEI5-V-SONY']
ep27_00100m_010	一年之后...	[0, 7, 'DFHEI5-V-SONY']
ep27_00101	女学生： \n 瑞雯！我是你的铁杆粉丝！	[0, 5, 'DFHEI5-V-SONY'], [5, 17, 'DFHEI5-V-SONY']
ep27_00102	女学生： \n 那真的是她吗！？	[0, 5, 'DFHEI5-V-SONY'], [5, 13, 'DFHEI5-V-SONY']
ep27_00103	女学生： \n 是瑞雯本人！多酷啊！	[0, 5, 'DFHEI5-V-SONY'], [5, 15, 'DFHEI5-V-SONY']
ep27_00104	女学生： \n 瑞雯，你太了不起了！	[0, 5, 'DFHEI5-V-SONY'], [5, 15, 'DFHEI5-V-SONY']
ep27_00105	女学生： \n 是瑞雯！	[0, 5, 'DFHEI5-V-SONY'], [5, 9, 'DFHEI5-V-SONY']
ep27_00106	希德： \n 嘿，瑞雯！	[0, 4, 'DFHEI5-V-SONY'], [4, 9, 'DFHEI5-V-SONY']
ep27_00107	希德： \n 回见！	[0, 4, 'DFHEI5-V-SONY'], [4, 7, 'DFHEI5-V-SONY']
ep27_00108	巡逻旧街市	[0, 5, 'DFHEI5-V-SONY']
ep27_00109	今天就从这里的工厂开始。	[0, 12, 'DFHEI5-V-SONY']
ep27_00110	女人： \n 打架了！快来人阻止他们！	[0, 4, 'DFHEI5-V-SONY'], [4, 16, 'DFHEI5-V-SONY']
ep27_00110k_010	你好啊，出去巡逻啊？	[0, 10, 'DFHEI5-V-SONY']
ep27_00110k_020	我刚准备要去。	[0, 7, 'DFHEI5-V-SONY']
ep27_00110k_022	希德，你们知道 \n 本来是国王的那孩子， \n 后来怎么了吗？	[0, 26, 'DFHEI5-V-SONY']
ep27_00110k_025	之后有找到他。 \n 被政府机关保护着，	[0, 17, 'DFHEI5-V-SONY']
ep27_00110k_028	但某天就莫名其妙消失了。	[0, 12, 'DFHEI5-V-SONY']
ep27_00110k_030	谁会想到有这么一天， \n 你会成为这座城市 \n 的守卫者？	[0, 25, 'DFHEI5-V-SONY']
ep27_00110k_040	你和当初那个让大家 \n 心生恐惧的乌鸦女 \n 不一样了呢。	[0, 25, 'DFHEI5-V-SONY']
ep27_00110k_050	哼，人都会变吧。	[0, 8, 'DFHEI5-V-SONY']
ep27_00110k_060	当然， \n 那是人类的本性啊。	[0, 13, 'DFHEI5-V-SONY']
ep27_00110k_070	我听说班加舰队 \n 今天会来。	[0, 13, 'DFHEI5-V-SONY']
ep27_00110k_080	我猜他们会靠在 \n 闹市区码头。	[0, 14, 'DFHEI5-V-SONY']
ep27_00110k_090	你应该顺便过来，他们 \n 会很高兴看到一个 \n 熟悉的面孔。	[0, 26, 'DFHEI5-V-SONY']
ep27_00110k_100	我可能会去的。 \n 你呢，希德？	[0, 14, 'DFHEI5-V-SONY']
ep27_00110k_110	这次就算了，我还有些 \n 事情要处理。	[0, 17, 'DFHEI5-V-SONY']
ep27_00110k_120	我忙着搜寻一瓶很难 \n 找到的葡萄酒。	[0, 17, 'DFHEI5-V-SONY']
ep27_00110k_130	这很难找到的葡萄酒 \n 是不是标签上有 \n 只黑猫？	[0, 22, 'DFHEI5-V-SONY']
ep27_00110k_140	猜得对，瑞雯。	[0, 7, 'DFHEI5-V-SONY']
ep27_00110k_150	代我向丽莎和其他人问好！	[0, 12, 'DFHEI5-V-SONY']
ep27_00110k_160	我会的。 \n 希望你找到那瓶酒。	[0, 14, 'DFHEI5-V-SONY']
ep27_00111	哼，打架是吗。	[0, 7, 'DFHEI5-V-SONY']
ep27_00112	拉架	[0, 2, 'DFHEI5-V-SONY']
ep27_00113	女学生： \n 是瑞雯！	[0, 5, 'DFHEI5-V-SONY'], [5, 9, 'DFHEI5-V-SONY']
ep27_00114	男人： \n 谢天谢地，你在这里！	[0, 4, 'DFHEI5-V-SONY'], [4, 14, 'DFHEI5-V-SONY']
ep27_00115	女人： \n 拜托，请你帮帮忙！	[0, 4, 'DFHEI5-V-SONY'], [4, 13, 'DFHEI5-V-SONY']
ep27_00116	呼，完事了。	[0, 6, 'DFHEI5-V-SONY']
ep27_00117	卡基： \n 瑞雯小姐！	[0, 4, 'DFHEI5-V-SONY'], [4, 9, 'DFHEI5-V-SONY']
ep27_00118	下一站要巡的是霓虹街。	[0, 11, 'DFHEI5-V-SONY']
ep27_00119	巡逻霓虹街	[0, 5, 'DFHEI5-V-SONY']
ep27_00120	嗯？	[0, 2, 'DFHEI5-V-SONY']
ep27_00120k_010	谢谢你协助维持和平。	[0, 10, 'DFHEI5-V-SONY']
ep27_00120k_020	我们刚刚获准在 \n 旧街市部署更多人员。	[0, 18, 'DFHEI5-V-SONY']
ep27_00120k_030	所以你可以把这个 \n 地方交给我们！	[0, 16, 'DFHEI5-V-SONY']
ep27_00120k_040	你不能把你的余生 \n 都用在打击犯罪上。	[0, 18, 'DFHEI5-V-SONY']
ep27_00120k_050	你应该找天晚上 \n 好好出去玩一玩。	[0, 16, 'DFHEI5-V-SONY']
ep27_00120k_060	也许顺便拜访霓虹街的 \n 占卜师，看看能不能 \n 翻到爱情卡。	[0, 27, 'DFHEI5-V-SONY']
ep27_00120k_070	头儿！她是个大姑娘了， \n 让她自己做主吧。	[0, 20, 'DFHEI5-V-SONY']
ep27_00120k_080	看起来我的下一站 \n 应该是霓虹街。	[0, 16, 'DFHEI5-V-SONY']
ep27_00120k_090	当，当然。	[0, 5, 'DFHEI5-V-SONY']
ep27_00120k_100	发生那事后， \n 你是否听说过-	[0, 14, 'DFHEI5-V-SONY']
ep27_00120k_110	没有...	[0, 5, 'DFHEI5-V-SONY']
ep27_00120k_120	知道了...	[0, 6, 'DFHEI5-V-SONY']
ep27_00121	那边是欧吉吗？	[0, 7, 'DFHEI5-V-SONY']
ep27_00122	我先去看看尤吉。	[0, 8, 'DFHEI5-V-SONY']
ep27_00123	是时候拜访亚基了。	[0, 9, 'DFHEI5-V-SONY']
ep27_00124	前往梦魅之馆	[0, 6, 'DFHEI5-V-SONY']
ep27_00125	该听潘朵拉建议到闹市区去了。	[0, 14, 'DFHEI5-V-SONY']
ep27_00126	前往闹市区	[0, 5, 'DFHEI5-V-SONY']
ep27_00127	啊？	[0, 2, 'DFHEI5-V-SONY']
ep27_00128	那边是纽特和艾可吗？	[0, 10, 'DFHEI5-V-SONY']
ep27_00129	嗯？	[0, 2, 'DFHEI5-V-SONY']
ep27_00130	艾可： \n 嘿，那不是班加飞船吗？	[0, 4, 'DFHEI5-V-SONY'], [4, 15, 'DFHEI5-V-SONY']
ep27_00130k_010	嘿，亲爱的，你会为 \n 尤吉感到骄傲的， \n 他一点也不像他的老爸。	[0, 30, 'DFHEI5-V-SONY']
ep27_00130k_020	让我们庆祝一下。 \n 你的杯子准备好了吗？ \n 你在哪？	[0, 24, 'DFHEI5-V-SONY']
ep27_00130k_030	欧吉，你在跟你 \n 妻子喝酒吗？	[0, 14, 'DFHEI5-V-SONY']
ep27_00130k_040	瑞雯！我有个重大 \n 新闻...	[0, 14, 'DFHEI5-V-SONY']
ep27_00130k_050	我儿子尤吉进 \n 阿克比斯学院了。	[0, 15, 'DFHEI5-V-SONY']
ep27_00130k_060	恭喜你，这不容易。	[0, 9, 'DFHEI5-V-SONY']
ep27_00130k_070	如果凯特在，她一定会 \n 惊的下巴掉到地上去。	[0, 21, 'DFHEI5-V-SONY']
ep27_00130k_080	是啊，一定会…	[0, 7, 'DFHEI5-V-SONY']
ep27_00130k_090	尤吉在哪里？ \n 我想亲自恭喜他。	[0, 15, 'DFHEI5-V-SONY']
ep27_00130k_100	他已经到学校了， \n 在熟悉环境呢。	[0, 16, 'DFHEI5-V-SONY']
ep27_00130k_110	好，我会过去的。	[0, 8, 'DFHEI5-V-SONY']
ep27_00130k_120	一定要嘱咐尤吉 \n 专心念书！	[0, 13, 'DFHEI5-V-SONY']
ep27_00131	前往工业区	[0, 5, 'DFHEI5-V-SONY']
ep27_00132	我顺便去下工业区，反正顺路。	[0, 14, 'DFHEI5-V-SONY']
ep27_00133	这里没什么异状...	[0, 10, 'DFHEI5-V-SONY']
ep27_00134	这里一切正常。	[0, 7, 'DFHEI5-V-SONY']
ep27_00135	这里一切都好。	[0, 7, 'DFHEI5-V-SONY']
ep27_00140k_010	嘿，瑞雯，去巡逻？	[0, 9, 'DFHEI5-V-SONY']
ep27_00140k_020	对，一如既往。 \n 我听你爸爸说 \n 你考进学院了。	[0, 22, 'DFHEI5-V-SONY']
ep27_00140k_030	我原本都以为你准备 \n 接手他的冰淇淋摊了。	[0, 20, 'DFHEI5-V-SONY']
ep27_00140k_040	不，我朋友点醒了我。 \n 让我明白学习的重要性。	[0, 22, 'DFHEI5-V-SONY']
ep27_00140k_050	学校能打开眼界， \n 拓宽视野。 \n 这类话…	[0, 19, 'DFHEI5-V-SONY']
ep27_00140k_060	我总以为学校很无趣， \n 但其实也没那么糟。	[0, 20, 'DFHEI5-V-SONY']
ep27_00140k_070	我会记住你的话。	[0, 8, 'DFHEI5-V-SONY']
ep27_00140k_080	是我爷爷先引起 \n 我对学校的兴趣。	[0, 16, 'DFHEI5-V-SONY']
ep27_00140k_090	我在这儿完成学业后， \n 就会出去看看世界。	[0, 20, 'DFHEI5-V-SONY']
ep27_00140k_100	至于我，我会努力学习， \n 成为我那家冰淇淋 \n 公司的总裁！	[0, 27, 'DFHEI5-V-SONY']
ep27_00140k_110	大家一定会喜欢 \n 我做的冰淇淋的！	[0, 16, 'DFHEI5-V-SONY']
ep27_00140k_120	我要让老爸感到自豪！ \n 只是...不要告诉他 \n 我说了这些。	[0, 28, 'DFHEI5-V-SONY']
ep27_00140k_130	祝你好运，还有， \n 我会保密的。	[0, 15, 'DFHEI5-V-SONY']
