Reference Name	Text	Font
02be492e	Duração do combo aumentada para 6.	[0, 34, 'DINRoundOffcPro']
07c94935	Pressione c + b ao mesmo tempo \n para um ataque de queda.	[0, 10, 'DINRoundOffcPro'], [10, 11, 'Gravity2_Gaiji'], [11, 14, 'DINRoundOffcPro'], [14, 15, 'Gravity2_Gaiji'], [15, 55, 'DINRoundOffcPro']
0863b560	Deslize de baixa energia	[0, 24, 'DINRoundOffcPro']
0cdca82a	Distância de transporte aumentada	[0, 33, 'DINRoundOffcPro']
0fd7657c	Cortada giratória	[0, 17, 'DINRoundOffcPro']
1383021b	Você pode fazer 4 Buracos de Minhoca \n em sequência.	[0, 50, 'DINRoundOffcPro']
13940426	Você pode bloquear 4 vezes seguidas.	[0, 36, 'DINRoundOffcPro']
1827c478	Pressione c enquanto desvia para \n iniciar um contra-ataque.	[0, 10, 'DINRoundOffcPro'], [10, 11, 'Gravity2_Gaiji'], [11, 58, 'DINRoundOffcPro']
20fea268	Reforço do chute gravitacional	[0, 30, 'DINRoundOffcPro']
220332c5	Pressione c enquanto desliza para \n iniciar um ataque deslizante.	[0, 10, 'DINRoundOffcPro'], [10, 11, 'Gravity2_Gaiji'], [11, 63, 'DINRoundOffcPro']
2427a5d1	Você pode segurar até 6 objetos \n ou pessoas em campos de estase.	[0, 63, 'DINRoundOffcPro']
28bb0272	A Garra Espiral dura mais tempo.	[0, 32, 'DINRoundOffcPro']
28c14930	Aumenta a distância de voo durante o \n primeiro ataque no combo lunar.	[0, 68, 'DINRoundOffcPro']
2dcc4937	Pressione i + c durante um combo \n para dar um salto mortal nesse sentido.	[0, 10, 'DINRoundOffcPro'], [10, 11, 'Gravity2_Gaiji'], [11, 14, 'DINRoundOffcPro'], [14, 15, 'Gravity2_Gaiji'], [15, 72, 'DINRoundOffcPro']
2e66b562	Ataque deslizante	[0, 17, 'DINRoundOffcPro']
32dfa82c	Fuga adicionada	[0, 15, 'DINRoundOffcPro']
335b1807	O Tufão de gravidade dura mais tempo.	[0, 37, 'DINRoundOffcPro']
34533e14	Super Armadura	[0, 14, 'DINRoundOffcPro']
3472e59c	+ Distância do Chuve Gravitacional	[0, 34, 'DINRoundOffcPro']
3589be92	Expande a área de efeito produzida pelo \n Chute de Tempestade.	[0, 60, 'DINRoundOffcPro']
35da657e	Reforço de recuperação de ESP	[0, 29, 'DINRoundOffcPro']
3a310990	Pressione c + b ao mesmo tempo \n para um ataque de queda.	[0, 10, 'DINRoundOffcPro'], [10, 11, 'Gravity2_Gaiji'], [11, 14, 'DINRoundOffcPro'], [14, 15, 'Gravity2_Gaiji'], [15, 55, 'DINRoundOffcPro']
3e2ac47a	Enquanto muda a gravidade, desvie de um \n ataque do inimigo no último momento para \n recuperar seu indicador de gravidade.	[0, 118, 'DINRoundOffcPro']
4601a36a	Consumo de energia reduzido	[0, 27, 'DINRoundOffcPro']
4637f034	Aumenta o dano ao atacar \n inimigos de armadura.	[0, 46, 'DINRoundOffcPro']
4a2aa5d3	Você pode segurar até 4 objetos \n ou pessoas em campos de estase.	[0, 63, 'DINRoundOffcPro']
4ebe0274	Cada ataque que acerta um inimigo \n recupera energia de seu indicador ESP.	[0, 72, 'DINRoundOffcPro']
4ec44932	Duração do combo aumenta para 5.	[0, 32, 'DINRoundOffcPro']
55533266	Recupera a saúde com base no número de \n inimigos absorvidos.	[0, 59, 'DINRoundOffcPro']
56d26579	Fuga rápida	[0, 11, 'DINRoundOffcPro']
57e37b10	Reforço para Pisada terremoto	[0, 29, 'DINRoundOffcPro']
5883cdea	Não tropeça mais se um inimigo atacar \n você enquanto desliza.	[0, 60, 'DINRoundOffcPro']
5a1bc8d8	Arremesso Perfurante Carregado	[0, 30, 'DINRoundOffcPro']
5a75e59e	Revestimento de gravidade	[0, 25, 'DINRoundOffcPro']
5b29098b	Aumenta para 7 o número dos \n ataques em sequência em um combo.	[0, 61, 'DINRoundOffcPro']
5b88864b	Aumenta o tempo em que os inimigos \n ficam imóveis \n ao segurar a (consumindo ESP).	[0, 60, 'DINRoundOffcPro'], [60, 61, 'Gravity2_Gaiji'], [61, 79, 'DINRoundOffcPro']
5b9b1683	Onda de choque	[0, 14, 'DINRoundOffcPro']
5f89021f	Você pode fazer 6 Buracos de Minhoca \n em sequência.	[0, 50, 'DINRoundOffcPro']
642dc47c	Você pode esquivar-se 4 vezes seguidas.	[0, 39, 'DINRoundOffcPro']
6617a5c7	Desvie de ataques baseados em energia \n dentro do alcance do campo de estase \n arremessados em você.	[0, 96, 'DINRoundOffcPro']
67cb594c	Você pode dar 3 Chutes de Gravidade \n em sequência.	[0, 49, 'DINRoundOffcPro']
69492f49	Desvios adicionais	[0, 18, 'DINRoundOffcPro']
6b22a5ce	Aumenta a velocidade e distância dos \n elementos lançados num campo de estase.	[0, 76, 'DINRoundOffcPro']
6c3af036	Os ataques inimigos não interrompem \n seu combo.	[0, 46, 'DINRoundOffcPro']
74c74934	Pressione b durante um combo \n para escapar com um salto.	[0, 10, 'DINRoundOffcPro'], [10, 11, 'Gravity2_Gaiji'], [11, 55, 'DINRoundOffcPro']
79600345	Enredar	[0, 7, 'DINRoundOffcPro']
79daa829	Rec. do Ind. de Gravidade	[0, 25, 'DINRoundOffcPro']
7b13c8d3	Desvio de energia	[0, 17, 'DINRoundOffcPro']
7b6de599	Pouso firme	[0, 11, 'DINRoundOffcPro']
7c210986	Aumenta para 11 o número dos \n ataques em sequência em um combo.	[0, 62, 'DINRoundOffcPro']
7c84be8f	Aumenta a distância do \n Chute de Tempestade.	[0, 43, 'DINRoundOffcPro']
7cd5657b	Combinação aérea mais forte	[0, 27, 'DINRoundOffcPro']
7db04dcc	Reforço do limite de bloqueio	[0, 29, 'DINRoundOffcPro']
