Reference Name	Text	Font
02be492e	Augmente jusqu'à 6 la longueur \n des combos.	[0, 42, 'DINRoundOffcPro']
07c94935	Appuie simultanément sur c et b \n pour lancer une attaque en piqué.	[0, 25, 'DINRoundOffcPro'], [25, 26, 'Gravity2_Gaiji'], [26, 30, 'DINRoundOffcPro'], [30, 31, 'Gravity2_Gaiji'], [31, 65, 'DINRoundOffcPro']
0863b560	Glissade économique	[0, 19, 'DINRoundOffcPro']
0cdca82a	Distance de saut quantique +	[0, 28, 'DINRoundOffcPro']
0fd7657c	Attaque en tonneau	[0, 18, 'DINRoundOffcPro']
1383021b	Tu peux enchaîner 4 coups de pied \n Trou de ver.	[0, 46, 'DINRoundOffcPro']
13940426	Tu peux bloquer 4 attaques à la suite.	[0, 38, 'DINRoundOffcPro']
1827c478	Appuie sur c en esquivant pour lancer \n une contre-attaque.	[0, 11, 'DINRoundOffcPro'], [11, 12, 'Gravity2_Gaiji'], [12, 57, 'DINRoundOffcPro']
20fea268	Bonus de coup de pied gravitationnel	[0, 36, 'DINRoundOffcPro']
220332c5	Appuie sur c en glissant pour lancer \n une attaque glissée.	[0, 11, 'DINRoundOffcPro'], [11, 12, 'Gravity2_Gaiji'], [12, 57, 'DINRoundOffcPro']
2427a5d1	Tu peux maintenir jusqu'à 6 objets ou \n personnes dans un champ d'apesanteur.	[0, 75, 'DINRoundOffcPro']
28bb0272	La griffe tournoyante dure plus \n longtemps.	[0, 42, 'DINRoundOffcPro']
28c14930	Augmente la distance de vol lors de la \n première attaque d'un combo lunaire.	[0, 75, 'DINRoundOffcPro']
2dcc4937	Appuie sur i et c pendant un combo \n pour faire un saut périlleux dans \n cette direction.	[0, 11, 'DINRoundOffcPro'], [11, 12, 'Gravity2_Gaiji'], [12, 16, 'DINRoundOffcPro'], [16, 17, 'Gravity2_Gaiji'], [17, 85, 'DINRoundOffcPro']
2e66b562	Attaque glissée	[0, 15, 'DINRoundOffcPro']
32dfa82c	Prise de distance supplémentaire	[0, 32, 'DINRoundOffcPro']
335b1807	Le Typhon gravitationnel dure plus \n longtemps.	[0, 45, 'DINRoundOffcPro']
34533e14	Super armure	[0, 12, 'DINRoundOffcPro']
3472e59c	Distance coup de pied grav. +	[0, 29, 'DINRoundOffcPro']
3589be92	Agrandit la zone d'effet du coup de pied \n avec élan.	[0, 51, 'DINRoundOffcPro']
35da657e	Bonus récupération d'SP	[0, 23, 'DINRoundOffcPro']
3a310990	Appuie simultanément sur c et b \n pour lancer une attaque en piqué.	[0, 25, 'DINRoundOffcPro'], [25, 26, 'Gravity2_Gaiji'], [26, 30, 'DINRoundOffcPro'], [30, 31, 'Gravity2_Gaiji'], [31, 65, 'DINRoundOffcPro']
3e2ac47a	Pendant une inversion de gravité, \n esquive une attaque au dernier moment \n pour reconstituer ta jauge de gravité.	[0, 110, 'DINRoundOffcPro']
4601a36a	Économie d'énergie	[0, 18, 'DINRoundOffcPro']
4637f034	Inflige plus de dégâts aux ennemis \n blindés.	[0, 43, 'DINRoundOffcPro']
4a2aa5d3	Tu peux maintenir jusqu'à 4 objets ou \n personnes dans un champ d'apesanteur.	[0, 75, 'DINRoundOffcPro']
4ebe0274	Chaque attaque qui touche un ennemi \n permet de reconstituer ta jauge de SP.	[0, 74, 'DINRoundOffcPro']
4ec44932	Augmente jusqu'à 5 la longueur \n des combos.	[0, 42, 'DINRoundOffcPro']
55533266	Récupère de la santé en fonction du \n nombre d'ennemis absorbés.	[0, 62, 'DINRoundOffcPro']
56d26579	Fuite rapide	[0, 12, 'DINRoundOffcPro']
57e37b10	Bonus d'attaque sismique	[0, 24, 'DINRoundOffcPro']
5883cdea	Permet de ne plus trébucher lorsqu'un \n ennemi t'attaque pendant une glissade.	[0, 76, 'DINRoundOffcPro']
5a1bc8d8	Lancer perforant chargé	[0, 23, 'DINRoundOffcPro']
5a75e59e	Revêtement gravitationnel	[0, 25, 'DINRoundOffcPro']
5b29098b	Augmente jusqu'à 7 le nombre d'attaques \n que tu peux enchaîner dans un combo.	[0, 76, 'DINRoundOffcPro']
5b88864b	Prolonge la durée d'immobilisation des \n ennemis lorsque tu maintiens a \n (consomme des SP).	[0, 68, 'DINRoundOffcPro'], [68, 69, 'Gravity2_Gaiji'], [69, 88, 'DINRoundOffcPro']
5b9b1683	Onde de choc	[0, 12, 'DINRoundOffcPro']
5f89021f	Tu peux enchaîner 6 coups de pied \n Trou de ver.	[0, 46, 'DINRoundOffcPro']
642dc47c	Tu peux réaliser 4 esquives à la suite.	[0, 39, 'DINRoundOffcPro']
6617a5c7	Renvoie toutes les attaques d'énergie \n à portée du champ d'apesanteur \n qu'on a propulsé sur toi.	[0, 94, 'DINRoundOffcPro']
67cb594c	Tu peux enchaîner 3 coups de pied \n gravitationnels.	[0, 50, 'DINRoundOffcPro']
69492f49	Esquives supplémentaires	[0, 24, 'DINRoundOffcPro']
6b22a5ce	Augmente la vitesse et la portée des \n éléments propulsés par un champ \n d'apesanteur.	[0, 82, 'DINRoundOffcPro']
6c3af036	Les attaques ennemies n'interrompent \n plus les combos.	[0, 53, 'DINRoundOffcPro']
74c74934	Appuie sur b pendant un combo pour \n t'éloigner d'un bond de l'ennemi.	[0, 11, 'DINRoundOffcPro'], [11, 12, 'Gravity2_Gaiji'], [12, 68, 'DINRoundOffcPro']
79600345	Vortex belliqueux	[0, 17, 'DINRoundOffcPro']
79daa829	Récupération de jauge de gravité	[0, 32, 'DINRoundOffcPro']
7b13c8d3	Déviation d'énergie	[0, 19, 'DINRoundOffcPro']
7b6de599	Pied sûr	[0, 8, 'DINRoundOffcPro']
7c210986	Augmente jusqu'à 11 le nombre d'attaques \n que tu peux enchaîner dans un combo.	[0, 77, 'DINRoundOffcPro']
7c84be8f	Augmente la distance du coup de pied \n avec élan.	[0, 47, 'DINRoundOffcPro']
7cd5657b	Combo aérien renforcé	[0, 21, 'DINRoundOffcPro']
7db04dcc	Bonus limite de garde	[0, 21, 'DINRoundOffcPro']
7de67b12	Attaque sismique	[0, 16, 'DINRoundOffcPro']
