Reference Name	Text	Font
02be492e	组合长度增加至 6。	[0, 10, 'DFHEI5-V-SONY']
07c94935	同时按下c + b，即可启动下落攻击。	[0, 4, 'DFHEI5-V-SONY'], [4, 5, 'Gravity2_Gaiji'], [5, 8, 'DFHEI5-V-SONY'], [8, 9, 'Gravity2_Gaiji'], [9, 19, 'DFHEI5-V-SONY']
0863b560	低能量滑行	[0, 5, 'DFHEI5-V-SONY']
0cdca82a	传送距离增加	[0, 6, 'DFHEI5-V-SONY']
0fd7657c	风火轮攻击	[0, 5, 'DFHEI5-V-SONY']
1383021b	可连续施展4次虫洞踢。	[0, 11, 'DFHEI5-V-SONY']
13940426	可连续阻挡 4 次。	[0, 10, 'DFHEI5-V-SONY']
1827c478	在闪避时按下c，启动反攻击。	[0, 6, 'DFHEI5-V-SONY'], [6, 7, 'Gravity2_Gaiji'], [7, 14, 'DFHEI5-V-SONY']
20fea268	重力踢提升	[0, 5, 'DFHEI5-V-SONY']
220332c5	在滑动时按住c，启动滑行攻击。	[0, 6, 'DFHEI5-V-SONY'], [6, 7, 'Gravity2_Gaiji'], [7, 15, 'DFHEI5-V-SONY']
2427a5d1	在失重领域中你可以抓住 \n 最多 6 个物体或人。	[0, 23, 'DFHEI5-V-SONY']
28bb0272	螺旋爪的持续时间更长。	[0, 11, 'DFHEI5-V-SONY']
28c14930	提高在月亮组合攻击的 \n 第一次攻击期间飞行的距离。	[0, 24, 'DFHEI5-V-SONY']
2dcc4937	在组合攻击期间按下i + c， \n 往此方向做空翻动作。	[0, 9, 'DFHEI5-V-SONY'], [9, 10, 'Gravity2_Gaiji'], [10, 13, 'DFHEI5-V-SONY'], [13, 14, 'Gravity2_Gaiji'], [14, 26, 'DFHEI5-V-SONY']
2e66b562	滑行攻击	[0, 4, 'DFHEI5-V-SONY']
32dfa82c	已新增逃脱	[0, 5, 'DFHEI5-V-SONY']
335b1807	重力台风的持续时间更长。	[0, 12, 'DFHEI5-V-SONY']
34533e14	超级装甲	[0, 4, 'DFHEI5-V-SONY']
3472e59c	重力踢距离增加	[0, 7, 'DFHEI5-V-SONY']
3589be92	扩大浪涌踢的作用范围。	[0, 11, 'DFHEI5-V-SONY']
35da657e	技能点恢复加速	[0, 7, 'DFHEI5-V-SONY']
3a310990	同时按下c + b，即可启动下落攻击。	[0, 4, 'DFHEI5-V-SONY'], [4, 5, 'Gravity2_Gaiji'], [5, 8, 'DFHEI5-V-SONY'], [8, 9, 'Gravity2_Gaiji'], [9, 19, 'DFHEI5-V-SONY']
3e2ac47a	在操控重力时，在最后时刻闪避敌人 \n 攻击以重新充填你的重力计量器。	[0, 32, 'DFHEI5-V-SONY']
4601a36a	能量消耗降低	[0, 6, 'DFHEI5-V-SONY']
4637f034	在攻击武装敌人时造成更多伤害。	[0, 15, 'DFHEI5-V-SONY']
4a2aa5d3	在失重领域中你可以抓住 \n 最多 4 个物体或人。	[0, 23, 'DFHEI5-V-SONY']
4ebe0274	每次击中敌人都会 \n 恢复技能点计量器的能量。	[0, 21, 'DFHEI5-V-SONY']
4ec44932	组合长度增加至 5。	[0, 10, 'DFHEI5-V-SONY']
55533266	根据所吸收的敌人人数恢复体力值。	[0, 16, 'DFHEI5-V-SONY']
56d26579	快速逃离	[0, 4, 'DFHEI5-V-SONY']
57e37b10	震动踏提升	[0, 5, 'DFHEI5-V-SONY']
5883cdea	滑行中遭受攻击时不会被绊住。	[0, 14, 'DFHEI5-V-SONY']
5a1bc8d8	聚气贯穿投掷	[0, 6, 'DFHEI5-V-SONY']
5a75e59e	重力覆盖层	[0, 5, 'DFHEI5-V-SONY']
5b29098b	组合技的连击次数提高至 7 次。	[0, 16, 'DFHEI5-V-SONY']
5b88864b	按住a（消耗技能点）时 \n 可延长敌人被冻结的时间。	[0, 2, 'DFHEI5-V-SONY'], [2, 3, 'Gravity2_Gaiji'], [3, 24, 'DFHEI5-V-SONY']
5b9b1683	震荡波	[0, 3, 'DFHEI5-V-SONY']
5f89021f	可连续施展6次虫洞踢。	[0, 11, 'DFHEI5-V-SONY']
642dc47c	可连续闪避 4 次。	[0, 10, 'DFHEI5-V-SONY']
6617a5c7	使失重领域范围内向你发起 \n 的任何能量攻击偏向	[0, 22, 'DFHEI5-V-SONY']
67cb594c	可连续施展3次重力踢。	[0, 11, 'DFHEI5-V-SONY']
69492f49	其他闪避	[0, 4, 'DFHEI5-V-SONY']
6b22a5ce	提高在失重领域投掷物品的速度和距离。	[0, 18, 'DFHEI5-V-SONY']
6c3af036	敌人攻击不再对组合攻击造成干扰。	[0, 16, 'DFHEI5-V-SONY']
74c74934	在组合攻击期间按下b，跳跃逃离敌人。	[0, 9, 'DFHEI5-V-SONY'], [9, 10, 'Gravity2_Gaiji'], [10, 18, 'DFHEI5-V-SONY']
79600345	追加缠绕特性	[0, 6, 'DFHEI5-V-SONY']
