Reference Name	Text	Font
02be492e	組合技長度增加至6。	[0, 10, 'DFT_YY6']
07c94935	同時按下c+b \n 以啟動下墜攻擊。	[0, 4, 'DFT_YY6'], [4, 5, 'Gravity2_Gaiji'], [5, 6, 'DFT_YY6'], [6, 7, 'Gravity2_Gaiji'], [7, 16, 'DFT_YY6']
0863b560	低能量滑行	[0, 5, 'DFT_YY6']
0cdca82a	傳送距離已增加	[0, 7, 'DFT_YY6']
0fd7657c	旋轉突刺攻擊	[0, 6, 'DFT_YY6']
1383021b	可連續施展4次蟲洞踢擊。	[0, 12, 'DFT_YY6']
13940426	可連續防禦4次。	[0, 8, 'DFT_YY6']
1827c478	在閃避時按下c以展開反擊。	[0, 6, 'DFT_YY6'], [6, 7, 'Gravity2_Gaiji'], [7, 13, 'DFT_YY6']
20fea268	重力踢擊強化器	[0, 7, 'DFT_YY6']
220332c5	在滑行時按下c以施展滑行攻擊。	[0, 6, 'DFT_YY6'], [6, 7, 'Gravity2_Gaiji'], [7, 15, 'DFT_YY6']
2427a5d1	可重力抓取6個物品或人。	[0, 12, 'DFT_YY6']
28bb0272	迴轉龍捲風更持久。	[0, 9, 'DFT_YY6']
28c14930	增加月球模式組合技中首次攻擊 \n 的飛行距離。	[0, 21, 'DFT_YY6']
2dcc4937	在組合技期間按下i+c \n 以翻滾至該方向。	[0, 8, 'DFT_YY6'], [8, 9, 'Gravity2_Gaiji'], [9, 10, 'DFT_YY6'], [10, 11, 'Gravity2_Gaiji'], [11, 20, 'DFT_YY6']
2e66b562	滑行攻擊	[0, 4, 'DFT_YY6']
32dfa82c	已新增脫逃	[0, 5, 'DFT_YY6']
335b1807	重力颱風更為持久。	[0, 9, 'DFT_YY6']
34533e14	超級裝甲	[0, 4, 'DFT_YY6']
3472e59c	重力踢擊距離已增加	[0, 9, 'DFT_YY6']
3589be92	擴大強襲踢擊的作用範圍。	[0, 12, 'DFT_YY6']
35da657e	技能點數回復強化器	[0, 9, 'DFT_YY6']
3a310990	同時按下c+b \n 以啟動下墜攻擊。	[0, 4, 'DFT_YY6'], [4, 5, 'Gravity2_Gaiji'], [5, 6, 'DFT_YY6'], [6, 7, 'Gravity2_Gaiji'], [7, 16, 'DFT_YY6']
3e2ac47a	操控重力時，緊急閃避敵人攻擊 \n 可補充重力能量計量表。	[0, 26, 'DFT_YY6']
4601a36a	能量消耗已減少	[0, 7, 'DFT_YY6']
4637f034	攻擊穿著護甲的敵人時造成更多傷害。	[0, 17, 'DFT_YY6']
4a2aa5d3	可重力抓取4個物品或人。	[0, 12, 'DFT_YY6']
4ebe0274	每次擊中敵人都會回復 \n 你的技能點數量表。	[0, 20, 'DFT_YY6']
4ec44932	組合技長度增加至5。	[0, 10, 'DFT_YY6']
55533266	根據吸收的敵人數量回復體力。	[0, 14, 'DFT_YY6']
56d26579	迅速逃離	[0, 4, 'DFT_YY6']
57e37b10	強震重踏強化器	[0, 7, 'DFT_YY6']
5883cdea	滑行中遭受攻擊時不會被絆住。	[0, 14, 'DFT_YY6']
5a1bc8d8	聚氣穿刺重摔	[0, 6, 'DFT_YY6']
5a75e59e	重力覆蓋	[0, 4, 'DFT_YY6']
5b29098b	組合技的攻擊次數增加至7次。 	[0, 15, 'DFT_YY6']
5b88864b	延長長按a時（消耗技能點數） \n 凍結敵人的時間。	[0, 4, 'DFT_YY6'], [4, 5, 'Gravity2_Gaiji'], [5, 23, 'DFT_YY6']
5b9b1683	衝擊波	[0, 3, 'DFT_YY6']
5f89021f	可連續施展6次蟲洞踢擊。	[0, 12, 'DFT_YY6']
642dc47c	可連續閃避4次。	[0, 8, 'DFT_YY6']
6617a5c7	在重力抓取範圍內， \n 反射任何針對你的能量攻擊。	[0, 23, 'DFT_YY6']
67cb594c	可連續施展3次重力踢擊。	[0, 12, 'DFT_YY6']
69492f49	額外閃避	[0, 4, 'DFT_YY6']
6b22a5ce	增加以重力抓取投擲物品的速度與距離。	[0, 18, 'DFT_YY6']
6c3af036	敵人的攻擊不再打斷你的組合技。	[0, 15, 'DFT_YY6']
74c74934	在組合技期間按下b \n 以跳離敵人。	[0, 8, 'DFT_YY6'], [8, 9, 'Gravity2_Gaiji'], [9, 16, 'DFT_YY6']
79600345	纏繞	[0, 2, 'DFT_YY6']
79daa829	重力能量計量表回復	[0, 9, 'DFT_YY6']
7b13c8d3	能量格擋	[0, 4, 'DFT_YY6']
7b6de599	強勁步法	[0, 4, 'DFT_YY6']
7c210986	組合技的攻擊次數增加至11次。 	[0, 16, 'DFT_YY6']
7c84be8f	增加強襲踢擊的距離。	[0, 10, 'DFT_YY6']
7cd5657b	更強的空中組合技	[0, 8, 'DFT_YY6']
7db04dcc	防守上限強化器	[0, 7, 'DFT_YY6']
7de67b12	強震重踏	[0, 4, 'DFT_YY6']
8081021a	增加施展蟲洞踢擊時的移動距離。	[0, 15, 'DFT_YY6']
812c098d	組合技的攻擊次數增加至10次。 	[0, 16, 'DFT_YY6']
819e1685	更強的連續攻擊	[0, 7, 'DFT_YY6']
82c55def	已新增蝶式掃蕩	[0, 7, 'DFT_YY6']
858c0221	用蟲洞踢擊閃避敵襲 \n 可補充重力能量計量表。	[0, 21, 'DFT_YY6']
859d042c	可連續防禦2次。	[0, 8, 'DFT_YY6']
88c35947	可連續施展2次重力踢擊。	[0, 12, 'DFT_YY6']
8dce594e	可連續施展5次重力踢擊。	[0, 12, 'DFT_YY6']
8dcfb1a1	終極黑洞	[0, 4, 'DFT_YY6']
8f0132c4	可在滑行時閃避。	[0, 8, 'DFT_YY6']
9125a5d0	可重力抓取3個物品或人。	[0, 12, 'DFT_YY6']
95bf492f	組合技長度增加至7。	[0, 10, 'DFT_YY6']
95cbbfe2	聚氣旋風重摔	[0, 6, 'DFT_YY6']
9b64b561	滑行閃避	[0, 4, 'DFT_YY6']
9c4e3263	擴大迷你黑洞攻擊的半徑。	[0, 12, 'DFT_YY6']
9ede7b0d	預防擊退	[0, 4, 'DFT_YY6']
9fdda82b	蟲洞踢擊強化器	[0, 7, 'DFT_YY6']
a287be91	敵人的攻擊不再打斷你的強襲踢擊。	[0, 16, 'DFT_YY6']
a2d8657d	更長的飛行距離	[0, 7, 'DFT_YY6']
a684021c	在蟲洞踢擊組合技中按下b \n 以立即遠離敵人。	[0, 11, 'DFT_YY6'], [11, 12, 'Gravity2_Gaiji'], [12, 21, 'DFT_YY6']
a72f098f	組合技的攻擊次數增加至5次。 	[0, 15, 'DFT_YY6']
aec65949	減少施展重力踢擊時消耗的重力能量。	[0, 17, 'DFT_YY6']
b0442f46	已新增魚叉攻擊	[0, 7, 'DFT_YY6']
b335f033	同時按下c+b \n 以啟動下墜攻擊。	[0, 4, 'DFT_YY6'], [4, 5, 'Gravity2_Gaiji'], [5, 6, 'DFT_YY6'], [6, 7, 'Gravity2_Gaiji'], [7, 16, 'DFT_YY6']
b50f6ecd	長按a（消耗技能點數）時， \n 增加粉碎領域的體積。	[0, 2, 'DFT_YY6'], [2, 3, 'Gravity2_Gaiji'], [3, 24, 'DFT_YY6']
b728a5d2	在重力抓取範圍內，反射任何丟向你的物體。	[0, 20, 'DFT_YY6']
bbc24931	組合攻擊命中時， \n 加速技能點數量表的回復。	[0, 21, 'DFT_YY6']
c05b0342	持續時間更長	[0, 6, 'DFT_YY6']
c37fbe8c	強襲踢擊集氣時較不易因被攻擊而中斷。	[0, 18, 'DFT_YY6']
