Reference Name	Text	Font
02be492e	Kombo-Länge auf 6 erhöht.	[0, 25, 'DINRoundOffcPro']
07c94935	Drücke gleichzeitig c + b, um \n einen Sturzangriff auszuführen.	[0, 20, 'DINRoundOffcPro'], [20, 21, 'Gravity2_Gaiji'], [21, 24, 'DINRoundOffcPro'], [24, 25, 'Gravity2_Gaiji'], [25, 61, 'DINRoundOffcPro']
0863b560	Energiearmes Gleiten	[0, 20, 'DINRoundOffcPro']
0cdca82a	Teleportation-Distanz erhöht	[0, 28, 'DINRoundOffcPro']
0fd7657c	Stachelwalzenangriff	[0, 20, 'DINRoundOffcPro']
1383021b	Du kannst 4 Wurmlochkicks \n aneinanderreihen.	[0, 43, 'DINRoundOffcPro']
13940426	Du kannst 4 Mal hintereinander blocken.	[0, 39, 'DINRoundOffcPro']
1827c478	Drücke beim Ausweichen c, \n um einen Gegenangriff auszuführen.	[0, 23, 'DINRoundOffcPro'], [23, 24, 'Gravity2_Gaiji'], [24, 60, 'DINRoundOffcPro']
20fea268	Gravitationskick-Boost	[0, 22, 'DINRoundOffcPro']
220332c5	Drücke beim Gleiten c, um einen \n Gleitangriff auszuführen.	[0, 20, 'DINRoundOffcPro'], [20, 21, 'Gravity2_Gaiji'], [21, 57, 'DINRoundOffcPro']
2427a5d1	Du kannst in einem Stasisfeld bis zu 6 \n Objekte oder Personen festhalten.	[0, 72, 'DINRoundOffcPro']
28bb0272	Die Spiralklaue hält länger an.	[0, 31, 'DINRoundOffcPro']
28c14930	Verlängert die Flugdistanz während des \n ersten Angriffs einer Lunar-Kombo.	[0, 73, 'DINRoundOffcPro']
2dcc4937	Drücke während einer Kombo i + c \n für einen Salto in die gleiche Richtung.	[0, 27, 'DINRoundOffcPro'], [27, 28, 'Gravity2_Gaiji'], [28, 31, 'DINRoundOffcPro'], [31, 32, 'Gravity2_Gaiji'], [32, 73, 'DINRoundOffcPro']
2e66b562	Gleitangriff	[0, 12, 'DINRoundOffcPro']
32dfa82c	Zusätzliches Losreißen	[0, 22, 'DINRoundOffcPro']
335b1807	Der Gravitationswirbel dauert länger an.	[0, 40, 'DINRoundOffcPro']
34533e14	Superpanzerung	[0, 14, 'DINRoundOffcPro']
3472e59c	Erhöhte Gravitationskick-Reichweite	[0, 35, 'DINRoundOffcPro']
3589be92	Erhöht den Wirkungsbereich eines \n Sturmkicks.	[0, 44, 'DINRoundOffcPro']
35da657e	Sp.-Wiederherstellungs-Boost	[0, 28, 'DINRoundOffcPro']
3a310990	Drücke gleichzeitig c + b, um \n einen Sturzangriff auszuführen.	[0, 20, 'DINRoundOffcPro'], [20, 21, 'Gravity2_Gaiji'], [21, 24, 'DINRoundOffcPro'], [24, 25, 'Gravity2_Gaiji'], [25, 61, 'DINRoundOffcPro']
3e2ac47a	Weiche einem Angriff in letzter Sekunde \n aus, wenn du die Schwerkraft veränderst, \n um die Gravitationsanzeige aufzufüllen.	[0, 120, 'DINRoundOffcPro']
4601a36a	Verringerter Energieverbrauch	[0, 29, 'DINRoundOffcPro']
4637f034	Verursacht mehr Schaden beim Angreifen \n von Gegnern mit Rüstung.	[0, 63, 'DINRoundOffcPro']
4a2aa5d3	Du kannst in einem Stasisfeld bis zu 4 \n Objekte oder Personen festhalten.	[0, 72, 'DINRoundOffcPro']
4ebe0274	Jeder Angriff, der einen Gegner trifft, \n füllt Energie deiner Sp.-Anzeige auf.	[0, 77, 'DINRoundOffcPro']
4ec44932	Kombo-Länge auf 5 erhöht.	[0, 25, 'DINRoundOffcPro']
55533266	Stellt Gesundheit basierend auf der \n Anzahl der absorbierten Gegner \n wieder her.	[0, 78, 'DINRoundOffcPro']
56d26579	Schnelle Flucht	[0, 15, 'DINRoundOffcPro']
57e37b10	Erdbebenstampfer-Boost	[0, 22, 'DINRoundOffcPro']
5883cdea	Du stolperst nicht mehr, wenn dich \n ein Gegner beim Gleiten angreift.	[0, 68, 'DINRoundOffcPro']
5a1bc8d8	Aufgeladener durchstechender Wurf	[0, 33, 'DINRoundOffcPro']
5a75e59e	Gravitationshülle	[0, 17, 'DINRoundOffcPro']
