Reference Name	Text	Font
02be492e	Aumenta la duración del combo hasta 6.	[0, 38, 'DINRoundOffcPro']
07c94935	Pulsa c + b a la vez para \n iniciar un ataque en caída.	[0, 6, 'DINRoundOffcPro'], [6, 7, 'Gravity2_Gaiji'], [7, 10, 'DINRoundOffcPro'], [10, 11, 'Gravity2_Gaiji'], [11, 53, 'DINRoundOffcPro']
0863b560	Deslizamiento de baja energía	[0, 29, 'DINRoundOffcPro']
0cdca82a	Aumento distancia de atajo	[0, 26, 'DINRoundOffcPro']
0fd7657c	Ataque rodando	[0, 14, 'DINRoundOffcPro']
1383021b	Puedes encadenar 4 \n patadas de agujero de gusano.	[0, 48, 'DINRoundOffcPro']
13940426	Puedes bloquear 4 veces seguidas.	[0, 33, 'DINRoundOffcPro']
1827c478	Pulsa c mientras esquivas \n para iniciar un contrataque.	[0, 6, 'DINRoundOffcPro'], [6, 7, 'Gravity2_Gaiji'], [7, 54, 'DINRoundOffcPro']
20fea268	Mejora de patada de gravedad	[0, 28, 'DINRoundOffcPro']
220332c5	Pulsa c mientras te deslizas para \n iniciar un ataque de deslizamiento.	[0, 6, 'DINRoundOffcPro'], [6, 7, 'Gravity2_Gaiji'], [7, 69, 'DINRoundOffcPro']
2427a5d1	Puedes mantener hasta 6 objetos \n o personas en un campo estático.	[0, 64, 'DINRoundOffcPro']
28bb0272	La Garra Espiral dura más tiempo.	[0, 33, 'DINRoundOffcPro']
28c14930	Aumenta la distancia de vuelo \n durante el primer ataque \n en un combo lunar.	[0, 73, 'DINRoundOffcPro']
2dcc4937	Pulsa c + b durante un combo \n para dar un salto mortal \n en esa dirección.	[0, 6, 'DINRoundOffcPro'], [6, 7, 'Gravity2_Gaiji'], [7, 10, 'DINRoundOffcPro'], [10, 11, 'Gravity2_Gaiji'], [11, 71, 'DINRoundOffcPro']
2e66b562	Ataque de deslizamiento	[0, 23, 'DINRoundOffcPro']
32dfa82c	Separación añadida	[0, 18, 'DINRoundOffcPro']
335b1807	El tifón de gravedad dura más tiempo.	[0, 37, 'DINRoundOffcPro']
34533e14	Superblindaje	[0, 13, 'DINRoundOffcPro']
3472e59c	Aumento radio de patada de gravedad	[0, 35, 'DINRoundOffcPro']
3589be92	Aumenta la zona afectada por \n una patada explosiva.	[0, 50, 'DINRoundOffcPro']
35da657e	Mejora recuperación poder especial	[0, 34, 'DINRoundOffcPro']
3a310990	Pulsa c + b a la vez para \n iniciar un ataque en caída.	[0, 6, 'DINRoundOffcPro'], [6, 7, 'Gravity2_Gaiji'], [7, 10, 'DINRoundOffcPro'], [10, 11, 'Gravity2_Gaiji'], [11, 53, 'DINRoundOffcPro']
3e2ac47a	Al alterar la gravedad, esquiva ataques \n del enemigo en el último momento \n para recuperar el nivel de gravedad.	[0, 109, 'DINRoundOffcPro']
4601a36a	Reducción de consumo de energía	[0, 31, 'DINRoundOffcPro']
4637f034	Provoca más daños al atacar \n a enemigos blindados.	[0, 49, 'DINRoundOffcPro']
4a2aa5d3	Puedes mantener hasta 4 objetos \n o personas en un campo estático.	[0, 64, 'DINRoundOffcPro']
4ebe0274	Cada ataque que alcanza a un enemigo \n recupera energía para tu nivel de \n poder especial.	[0, 86, 'DINRoundOffcPro']
4ec44932	Aumenta la duración del combo hasta 5.	[0, 38, 'DINRoundOffcPro']
55533266	Recupera tu salud según el número \n de enemigos absorbidos.	[0, 57, 'DINRoundOffcPro']
56d26579	Escapada rápida	[0, 15, 'DINRoundOffcPro']
57e37b10	Mejora de pisada sísmica	[0, 24, 'DINRoundOffcPro']
5883cdea	Si un enemigo te ataca durante el \n deslizamiento, no te derribará.	[0, 65, 'DINRoundOffcPro']
5a1bc8d8	Lanzamiento de perforación cargado	[0, 34, 'DINRoundOffcPro']
5a75e59e	Capa de gravedad	[0, 16, 'DINRoundOffcPro']
5b29098b	Aumenta el número de ataques \n encadenados en un combo hasta 7.	[0, 61, 'DINRoundOffcPro']
5b88864b	Aumenta el tiempo que los enemigos \n permanecen congelados al mantener \n pulsado a (consume poder especial).	[0, 77, 'DINRoundOffcPro'], [77, 78, 'Gravity2_Gaiji'], [78, 104, 'DINRoundOffcPro']
5b9b1683	Ondas de choque	[0, 15, 'DINRoundOffcPro']
5f89021f	Puedes encadenar 6 \n patadas de agujero de gusano.	[0, 48, 'DINRoundOffcPro']
642dc47c	Puedes esquivar 4 veces seguidas.	[0, 33, 'DINRoundOffcPro']
6617a5c7	Desvía cualquier ataque de energía que \n te lancen y esté en el radio del \n campo estático.	[0, 87, 'DINRoundOffcPro']
67cb594c	Puedes encadenar 3 \n patadas de gravedad.	[0, 39, 'DINRoundOffcPro']
69492f49	Fintas adicionales	[0, 18, 'DINRoundOffcPro']
6b22a5ce	Aumenta la velocidad y distancia \n de los objetos lanzados \n con un campo estático.	[0, 79, 'DINRoundOffcPro']
6c3af036	Los ataques enemigos ya no \n interrumpen tus combos.	[0, 50, 'DINRoundOffcPro']
74c74934	Pulsa b durante un combo \n para alejarte con un salto \n de tus enemigos.	[0, 6, 'DINRoundOffcPro'], [6, 7, 'Gravity2_Gaiji'], [7, 68, 'DINRoundOffcPro']
79600345	Entrelazamiento	[0, 15, 'DINRoundOffcPro']
79daa829	Recuperación del nivel de gravedad	[0, 34, 'DINRoundOffcPro']
7b13c8d3	Desvío de energía	[0, 17, 'DINRoundOffcPro']
7b6de599	Mejor equilibrio	[0, 16, 'DINRoundOffcPro']
7c210986	Aumenta el número de ataques \n encadenados en un combo hasta 11.	[0, 62, 'DINRoundOffcPro']
7c84be8f	Aumenta el alcance \n de la patada explosiva.	[0, 42, 'DINRoundOffcPro']
7cd5657b	Gran ataque combinado aéreo	[0, 27, 'DINRoundOffcPro']
7db04dcc	Mejora del límite de guardia	[0, 28, 'DINRoundOffcPro']
7de67b12	Pisada sísmica	[0, 14, 'DINRoundOffcPro']
8081021a	Aumenta la distancia que te puedes \n desplazar con una patada de agujero \n de gusano.	[0, 81, 'DINRoundOffcPro']
812c098d	Aumenta el número de ataques \n encadenados en un combo hasta 10.	[0, 62, 'DINRoundOffcPro']
819e1685	Gran ataque combinado	[0, 21, 'DINRoundOffcPro']
82c55def	Aleteo de mariposa añadido	[0, 26, 'DINRoundOffcPro']
858c0221	Esquiva el disparo de un enemigo con \n una patada de agujero de gusano para \n recuperar el nivel de gravedad.	[0, 105, 'DINRoundOffcPro']
859d042c	Puedes bloquear 2 veces seguidas.	[0, 33, 'DINRoundOffcPro']
88c35947	Puedes encadenar 2 \n patadas de gravedad.	[0, 39, 'DINRoundOffcPro']
8dce594e	Puedes encadenar 5 \n patadas de gravedad.	[0, 39, 'DINRoundOffcPro']
8dcfb1a1	Ultra agujero negro	[0, 19, 'DINRoundOffcPro']
8f0132c4	Puedes esquivar \n durante el deslizamiento.	[0, 41, 'DINRoundOffcPro']
9125a5d0	Puedes mantener hasta 3 objetos \n o personas en un campo estático.	[0, 64, 'DINRoundOffcPro']
95bf492f	Aumenta la duración del combo hasta 7.	[0, 38, 'DINRoundOffcPro']
95cbbfe2	Lanzamiento de vórtice cargado	[0, 30, 'DINRoundOffcPro']
9b64b561	Escapada de deslizamiento	[0, 25, 'DINRoundOffcPro']
9c4e3263	Expande el radio del ataque \n de micro agujero negro.	[0, 51, 'DINRoundOffcPro']
9ede7b0d	Prevención de retroceso	[0, 23, 'DINRoundOffcPro']
9fdda82b	Mejora de patada de gusano	[0, 26, 'DINRoundOffcPro']
a287be91	Los disparos enemigos ya no \n interrumpen tu patada explosiva.	[0, 60, 'DINRoundOffcPro']
a2d8657d	Distancia de vuelo mayor	[0, 24, 'DINRoundOffcPro']
a684021c	Pulsa b durante una patada de agujero \n de gusano combinada para apartarte \n rápidamente del enemigo.	[0, 6, 'DINRoundOffcPro'], [6, 7, 'Gravity2_Gaiji'], [7, 97, 'DINRoundOffcPro']
a72f098f	Aumenta el número de ataques \n encadenados en un combo hasta 5.	[0, 61, 'DINRoundOffcPro']
aec65949	Disminuye la cantidad de energía \n perdida al lanzar una patada \n de gravedad.	[0, 74, 'DINRoundOffcPro']
b0442f46	Disparo de arpón añadido	[0, 24, 'DINRoundOffcPro']
b335f033	Pulsa c + b a la vez para \n iniciar un ataque en caída.	[0, 6, 'DINRoundOffcPro'], [6, 7, 'Gravity2_Gaiji'], [7, 10, 'DINRoundOffcPro'], [10, 11, 'Gravity2_Gaiji'], [11, 53, 'DINRoundOffcPro']
b50f6ecd	Aumenta el tamaño de la esfera de \n detritos al mantener pulsado a \n (consume poder especial).	[0, 63, 'DINRoundOffcPro'], [63, 64, 'Gravity2_Gaiji'], [64, 90, 'DINRoundOffcPro']
b728a5d2	Desvía cualquier objeto físico que \n te lancen y esté en el radio del \n campo estático.	[0, 83, 'DINRoundOffcPro']
bbc24931	Aumenta la recuperación del nivel \n de poder especial cuando un ataque \n combinado alcanza a un enemigo.	[0, 100, 'DINRoundOffcPro']
c05b0342	Mayor duración	[0, 14, 'DINRoundOffcPro']
c37fbe8c	Tienes menos probabilidades de que \n te interrumpan mientras estás cargando \n una patada explosiva.	[0, 95, 'DINRoundOffcPro']
c3d06578	Salto mortal	[0, 12, 'DINRoundOffcPro']
c4ab4dc9	Asalto añadido	[0, 14, 'DINRoundOffcPro']
c4e17b0f	Perforar blindaje	[0, 17, 'DINRoundOffcPro']
c65c1808	Crea un tornado devastador que daña \n a los enemigos, bloquea ataques \n y te hace invulnerable.	[0, 91, 'DINRoundOffcPro']
c719c8d7	Mejora de campo estático	[0, 24, 'DINRoundOffcPro']
c7543e15	Mejora de nivel de poder especial	[0, 33, 'DINRoundOffcPro']
c827098a	Aumenta el número de ataques \n encadenados en un combo hasta 6.	[0, 61, 'DINRoundOffcPro']
c8991682	Ráfaga de patadas	[0, 17, 'DINRoundOffcPro']
cc980429	Pulsa c mientras bloqueas para \n iniciar un contrataque.	[0, 6, 'DINRoundOffcPro'], [6, 7, 'Gravity2_Gaiji'], [7, 54, 'DINRoundOffcPro']
