Reference Name	Text	Font
02be492e	Lunghezza combo aumentata a 6.	[0, 30, 'DINRoundOffcPro']
07c94935	Premi c + b contemporaneamente per \n eseguire un attacco in caduta.	[0, 6, 'DINRoundOffcPro'], [6, 7, 'Gravity2_Gaiji'], [7, 10, 'DINRoundOffcPro'], [10, 11, 'Gravity2_Gaiji'], [11, 65, 'DINRoundOffcPro']
0863b560	Scivolata a bassa energia	[0, 25, 'DINRoundOffcPro']
0cdca82a	Distanza di trasporto aumentata	[0, 31, 'DINRoundOffcPro']
0fd7657c	Attacco rotante	[0, 15, 'DINRoundOffcPro']
1383021b	Puoi concatenare 4 \n calci spaziotemporali.	[0, 41, 'DINRoundOffcPro']
13940426	Puoi parare 4 volte di seguito.	[0, 31, 'DINRoundOffcPro']
1827c478	Premi c durante una schivata \n per contrattaccare.	[0, 6, 'DINRoundOffcPro'], [6, 7, 'Gravity2_Gaiji'], [7, 48, 'DINRoundOffcPro']
20fea268	Mega calcio gravitazionale	[0, 26, 'DINRoundOffcPro']
220332c5	Premi c in scivolata per eseguire \n un attacco in scivolata.	[0, 6, 'DINRoundOffcPro'], [6, 7, 'Gravity2_Gaiji'], [7, 58, 'DINRoundOffcPro']
2427a5d1	Puoi trattenere fino a 6 oggetti \n o persone nei campi di stasi.	[0, 62, 'DINRoundOffcPro']
28bb0272	Maggior durata dell'artiglio turbinante.	[0, 40, 'DINRoundOffcPro']
28c14930	Aumenta la distanza percorsa durante il \n primo attacco di una combo lunare.	[0, 74, 'DINRoundOffcPro']
2dcc4937	Premi i + c in una combo per fare \n un salto mortale in quella direzione.	[0, 6, 'DINRoundOffcPro'], [6, 7, 'Gravity2_Gaiji'], [7, 10, 'DINRoundOffcPro'], [10, 11, 'Gravity2_Gaiji'], [11, 71, 'DINRoundOffcPro']
2e66b562	Attacco in scivolata	[0, 20, 'DINRoundOffcPro']
32dfa82c	Aggiunta liberazione	[0, 20, 'DINRoundOffcPro']
335b1807	Maggior durata del \n tifone gravitazionale.	[0, 41, 'DINRoundOffcPro']
34533e14	Super corazza	[0, 13, 'DINRoundOffcPro']
3472e59c	Maggior distanza calcio gravit.	[0, 31, 'DINRoundOffcPro']
3589be92	Espande l'area d'effetto prodotta \n da un calcio disintegrante.	[0, 61, 'DINRoundOffcPro']
35da657e	Mega recupero SP	[0, 16, 'DINRoundOffcPro']
3a310990	Premi c + b contemporaneamente per \n eseguire un attacco in caduta.	[0, 6, 'DINRoundOffcPro'], [6, 7, 'Gravity2_Gaiji'], [7, 10, 'DINRoundOffcPro'], [10, 11, 'Gravity2_Gaiji'], [11, 65, 'DINRoundOffcPro']
3e2ac47a	A gravità alterata, schiva un attacco \n nemico all'ultimo momento per ricaricare \n il tuo indicatore di gravità.	[0, 108, 'DINRoundOffcPro']
4601a36a	Consumo di energia ridotto	[0, 26, 'DINRoundOffcPro']
4637f034	Infliggi danni maggiori \n ai nemici corazzati.	[0, 44, 'DINRoundOffcPro']
4a2aa5d3	Puoi trattenere fino a 4 oggetti \n o persone nei campi di stasi.	[0, 62, 'DINRoundOffcPro']
4ebe0274	Ogni tuo attacco andato a segno \n rigenera la tua barra SP.	[0, 57, 'DINRoundOffcPro']
4ec44932	Lunghezza combo aumentata a 5.	[0, 30, 'DINRoundOffcPro']
55533266	Recupera salute in base al numero \n di nemici assorbiti.	[0, 54, 'DINRoundOffcPro']
56d26579	Fuga rapida	[0, 11, 'DINRoundOffcPro']
57e37b10	Mega pestone sismico	[0, 20, 'DINRoundOffcPro']
5883cdea	Non inciampi se un nemico ti colpisce \n durante una scivolata.	[0, 60, 'DINRoundOffcPro']
5a1bc8d8	Mega lancio perforante	[0, 22, 'DINRoundOffcPro']
5a75e59e	Rivestimento gravitazionale	[0, 27, 'DINRoundOffcPro']
5b29098b	Porta a 7 il numero di attacchi \n eseguibili in una combo.	[0, 56, 'DINRoundOffcPro']
5b88864b	Aumenta il tempo di congelamento dei \n nemici tenendo premuto a (usa SP).	[0, 60, 'DINRoundOffcPro'], [60, 61, 'Gravity2_Gaiji'], [61, 71, 'DINRoundOffcPro']
5b9b1683	Onda d'urto	[0, 11, 'DINRoundOffcPro']
5f89021f	Puoi concatenare 6 \n calci spaziotemporali.	[0, 41, 'DINRoundOffcPro']
642dc47c	Puoi schivare 4 volte di seguito.	[0, 33, 'DINRoundOffcPro']
6617a5c7	Deflette ogni attacco energetico rivolto \n contro di te nel raggio del campo di \n stasi.	[0, 84, 'DINRoundOffcPro']
