Reference Name	Text	Font
02be492e	連続攻撃の回数が6回になる	[0, 13, 'SCE-MaruFolkProM']
07c94935	c＋b同時入力で \n ドロップ攻撃が出る	[0, 1, 'Gravity2_Gaiji'], [1, 2, 'SCE-MaruFolkProM'], [2, 3, 'Gravity2_Gaiji'], [3, 18, 'SCE-MaruFolkProM']
0863b560	重力エナジー効率アップ	[0, 11, 'SCE-MaruFolkProM']
0cdca82a	移動レンジ拡張	[0, 7, 'SCE-MaruFolkProM']
0fd7657c	ローリングスパイク追加	[0, 11, 'SCE-MaruFolkProM']
1383021b	ワームホールキックによる \n 連続攻撃の回数が4回になる	[0, 26, 'SCE-MaruFolkProM']
13940426	連続でガードできる回数が4回になる	[0, 17, 'SCE-MaruFolkProM']
1827c478	回避中にcで \n カウンター攻撃が出る	[0, 4, 'SCE-MaruFolkProM'], [4, 5, 'Gravity2_Gaiji'], [5, 17, 'SCE-MaruFolkProM']
20fea268	重力キック強化	[0, 7, 'SCE-MaruFolkProM']
220332c5	重力スライド中にcで \n スライダーキックが出る	[0, 8, 'SCE-MaruFolkProM'], [8, 9, 'Gravity2_Gaiji'], [9, 22, 'SCE-MaruFolkProM']
2427a5d1	重力グラブで持ち上げられる \n オブジェクトの数が6個になる	[0, 28, 'SCE-MaruFolkProM']
28bb0272	スクラッチトルネードの \n 持続時間が延びる	[0, 20, 'SCE-MaruFolkProM']
28c14930	ルーナコンビネーション初撃の \n 飛距離が伸びる	[0, 22, 'SCE-MaruFolkProM']
2dcc4937	連続攻撃中にi＋cで \n サマーソルトキックを出す	[0, 6, 'SCE-MaruFolkProM'], [6, 7, 'Gravity2_Gaiji'], [7, 8, 'SCE-MaruFolkProM'], [8, 9, 'Gravity2_Gaiji'], [9, 23, 'SCE-MaruFolkProM']
2e66b562	スライダーキック追加	[0, 10, 'SCE-MaruFolkProM']
32dfa82c	エスケープ追加	[0, 7, 'SCE-MaruFolkProM']
335b1807	グラビティタイフォンの \n 持続時間が延びる	[0, 20, 'SCE-MaruFolkProM']
34533e14	ひるみ耐性追加	[0, 7, 'SCE-MaruFolkProM']
3472e59c	射程距離拡張	[0, 6, 'SCE-MaruFolkProM']
3589be92	重力波動キックのヒット時に出る \n 衝撃波の範囲が広がる	[0, 26, 'SCE-MaruFolkProM']
35da657e	SP効率アップ	[0, 7, 'SCE-MaruFolkProM']
3a310990	c＋b同時入力で \n ドロップ攻撃が出る	[0, 1, 'Gravity2_Gaiji'], [1, 2, 'SCE-MaruFolkProM'], [2, 3, 'Gravity2_Gaiji'], [3, 18, 'SCE-MaruFolkProM']
3e2ac47a	重力操作中にギリギリで敵の攻撃を \n 回避成功すると重力エナジーが回復する	[0, 35, 'SCE-MaruFolkProM']
4601a36a	重力エナジー効率アップ	[0, 11, 'SCE-MaruFolkProM']
