Reference Name	Text	Font
02be492e	연속 공격의 횟수가 6번으로 증가합니다.	[0, 22, 'Korean for MaruFolkPro']
07c94935	c + b을 동시에 누르면 낙하 공격을 \n 사용합니다.	[0, 1, 'Gravity2_Gaiji'], [1, 4, 'Korean for MaruFolkPro'], [4, 5, 'Gravity2_Gaiji'], [5, 28, 'Korean for MaruFolkPro']
0863b560	저에너지 슬라이드	[0, 9, 'Korean for MaruFolkPro']
0cdca82a	워프 거리 증가	[0, 8, 'Korean for MaruFolkPro']
0fd7657c	회전 스파이크 공격	[0, 10, 'Korean for MaruFolkPro']
1383021b	웜홀 킥을 연속해서 4번까지 \n 사용할 수 있습니다.	[0, 27, 'Korean for MaruFolkPro']
13940426	연속으로 4번 방어할 수 있습니다.	[0, 19, 'Korean for MaruFolkPro']
1827c478	회피 중 c을 누르면 \n 반격을 사용합니다.	[0, 5, 'Korean for MaruFolkPro'], [5, 6, 'Gravity2_Gaiji'], [6, 22, 'Korean for MaruFolkPro']
20fea268	중력 킥 부스트	[0, 8, 'Korean for MaruFolkPro']
220332c5	슬라이드 중일 때 c을 누르면 \n 슬라이드 공격을 합니다.	[0, 10, 'Korean for MaruFolkPro'], [10, 11, 'Gravity2_Gaiji'], [11, 30, 'Korean for MaruFolkPro']
2427a5d1	중력 잡기로 들어올릴 수 있는 \n 대상의 수가 6개가 됩니다.	[0, 32, 'Korean for MaruFolkPro']
28bb0272	스크래치 토네이도가 더 오래 지속됩니다.	[0, 22, 'Korean for MaruFolkPro']
28c14930	루나 콤보의 첫 공격 시 \n 비행 거리가 증가합니다.	[0, 27, 'Korean for MaruFolkPro']
2dcc4937	콤보 도중 i + c을 누르면 \n 해당 방향으로 낙하 공격을 사용합니다.	[0, 6, 'Korean for MaruFolkPro'], [6, 7, 'Gravity2_Gaiji'], [7, 10, 'Korean for MaruFolkPro'], [10, 11, 'Gravity2_Gaiji'], [11, 38, 'Korean for MaruFolkPro']
2e66b562	슬라이드 공격	[0, 7, 'Korean for MaruFolkPro']
32dfa82c	이탈 추가	[0, 5, 'Korean for MaruFolkPro']
335b1807	그래비티 타이푼이 더 오래 지속됩니다.	[0, 21, 'Korean for MaruFolkPro']
