Reference Name	Text	Font
02be492e	Extensión de combinación \n incrementada hasta 6.	[0, 46, 'DINRoundOffcPro']
07c94935	Pulsa c + b al mismo tiempo para \n comenzar un ataque en caída.	[0, 6, 'DINRoundOffcPro'], [6, 7, 'Gravity2_Gaiji'], [7, 10, 'DINRoundOffcPro'], [10, 11, 'Gravity2_Gaiji'], [11, 61, 'DINRoundOffcPro']
0863b560	Deslizamiento de baja energía	[0, 29, 'DINRoundOffcPro']
0cdca82a	Mayor dist. de teletransporte	[0, 29, 'DINRoundOffcPro']
0fd7657c	Ataque punzante arrollador	[0, 26, 'DINRoundOffcPro']
1383021b	Puedes encadenar 4 \n patadas de agujero de gusano.	[0, 48, 'DINRoundOffcPro']
13940426	Puedes bloquear 4 veces seguidas.	[0, 33, 'DINRoundOffcPro']
1827c478	Pulsa c mientras esquivas para \n iniciar un contraataque.	[0, 6, 'DINRoundOffcPro'], [6, 7, 'Gravity2_Gaiji'], [7, 55, 'DINRoundOffcPro']
20fea268	Aumento de patada de gravedad	[0, 29, 'DINRoundOffcPro']
220332c5	Pulsa c mientras te deslizas para \n iniciar un ataque en deslizamiento.	[0, 6, 'DINRoundOffcPro'], [6, 7, 'Gravity2_Gaiji'], [7, 69, 'DINRoundOffcPro']
2427a5d1	Puedes mantener hasta 6 objetos \n o personas en campos de estasis.	[0, 64, 'DINRoundOffcPro']
28bb0272	La garra espiral dura más tiempo.	[0, 33, 'DINRoundOffcPro']
28c14930	Aumenta la distancia de vuelo durante \n el primer ataque en \n una combinación lunar.	[0, 80, 'DINRoundOffcPro']
2dcc4937	Pulsa i + c durante una \n combinación para hacer un \n salto mortal en esa dirección.	[0, 6, 'DINRoundOffcPro'], [6, 7, 'Gravity2_Gaiji'], [7, 10, 'DINRoundOffcPro'], [10, 11, 'Gravity2_Gaiji'], [11, 80, 'DINRoundOffcPro']
2e66b562	Ataque en deslizamiento	[0, 23, 'DINRoundOffcPro']
32dfa82c	Escape agregado	[0, 15, 'DINRoundOffcPro']
335b1807	El tifón de gravedad dura más tiempo.	[0, 37, 'DINRoundOffcPro']
34533e14	Superarmadura	[0, 13, 'DINRoundOffcPro']
3472e59c	Mayor dist. de patada de gravedad	[0, 33, 'DINRoundOffcPro']
3589be92	Expande el área de efecto producida \n por una patada explosiva.	[0, 61, 'DINRoundOffcPro']
35da657e	Aumento de recuperación de ESP	[0, 30, 'DINRoundOffcPro']
3a310990	Pulsa c + b al mismo tiempo para \n comenzar un ataque en caída.	[0, 6, 'DINRoundOffcPro'], [6, 7, 'Gravity2_Gaiji'], [7, 10, 'DINRoundOffcPro'], [10, 11, 'Gravity2_Gaiji'], [11, 61, 'DINRoundOffcPro']
3e2ac47a	Mientras cambias de gravedad, esquiva \n un ataque enemigo en el último momento \n para recuperar tu medidor de gravedad.	[0, 115, 'DINRoundOffcPro']
4601a36a	Consumo de energía reducido	[0, 27, 'DINRoundOffcPro']
4637f034	Produce más daño al atacar \n enemigos con armadura.	[0, 49, 'DINRoundOffcPro']
4a2aa5d3	Puedes mantener hasta 4 objetos \n o personas en campos de estasis.	[0, 64, 'DINRoundOffcPro']
4ebe0274	Cada ataque que impacte a un enemigo \n permite recuperar energía \n en tu medidor de SP.	[0, 83, 'DINRoundOffcPro']
4ec44932	Extensión de combinación \n incrementada hasta 5.	[0, 46, 'DINRoundOffcPro']
55533266	Recupera salud en base a la cantidad \n de enemigos absorbidos.	[0, 60, 'DINRoundOffcPro']
56d26579	Escape rápido	[0, 13, 'DINRoundOffcPro']
57e37b10	Aumento de pisotón terremoto	[0, 28, 'DINRoundOffcPro']
5883cdea	Ya no tropiezas si un enemigo te ataca \n mientras te deslizas.	[0, 60, 'DINRoundOffcPro']
5a1bc8d8	Lanzamiento penetrante cargado	[0, 30, 'DINRoundOffcPro']
5a75e59e	Blindaje de gravedad	[0, 20, 'DINRoundOffcPro']
5b29098b	Aumenta la cantidad de ataques \n que puedes encadenar en una combinación \n de hasta 7.	[0, 82, 'DINRoundOffcPro']
